"","sexo","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"64","Mujer","Copiapó",58784,90660,96426,134803,167783,180907,161145,195408,237332,330499,368441,415874
"65","Mujer","Cordillera",65383,110505,140446,142566,211321,180330,256749,219050,280111,297940,271492,347781
"66","Mujer","Coyhaique",63489,68783,110188,129565,158658,197052,258845,224784,363675,400441,370878,442068
"67","Mujer","Curicó",53054,80345,82280,87736,121870,145110,130609,184358,254614,286175,266489,299145
"68","Mujer","El Loa",66331,72488,85693,118645,159347,156014,225103,270067,345764,395004,317103,432912
"69","Mujer","Elqui",52515,73816,75502,126576,157250,142259,161048,175317,231213,275504,278949,325456
"70","Mujer","Huasco",48878,69598,83578,86409,133280,130113,164092,190357,243703,298322,264500,287106
"71","Mujer","Iquique",118324,121014,128532,180897,215434,171338,187207,180165,273255,341970,367294,381826
"72","Mujer","Limarí",42560,77775,71839,101170,106730,136784,136595,175662,205154,216279,248404,267024
"73","Mujer","Linares",50484,67907,75948,98007,124175,132442,117756,145366,196737,203618,213440,255403
"74","Mujer","Llanquihue",50718,86295,153346,130845,165697,149034,176834,224951,231158,308038,289311,323191
"75","Mujer","Los Andes",34862,76256,80927,154028,139771,148909,147790,155520,243166,359777,261538,347375
"76","Mujer","Magallanes",65640,112932,141578,134217,162856,247437,230114,269671,277044,376184,367309,433339
"77","Mujer","Maipo",46923,70148,110755,130288,138016,159744,210277,224010,241163,261376,283182,350042
"78","Mujer","Malleco",51839,61956,145140,111827,134973,120534,158563,172538,196872,262118,259527,290596
"79","Mujer","Marga Marga",66280,77395,100395,130676,159252,166498,185053,164774,245137,300430,276886,339280
"80","Mujer","Melipilla",45439,64934,82423,132151,136877,149212,159497,187199,244135,303961,256678,316902
"81","Mujer","Ñuble",37220,67262,73217,109615,132421,122617,134623,153209,198559,233068,229214,282617
"82","Mujer","Osorno",46765,70730,107734,116838,131087,176162,147592,177658,223558,266287,283438,280854
"83","Mujer","Petorca",49815,89323,90495,111128,112423,132284,146745,160229,198883,256912,206722,266799
"84","Mujer","Quillota",53483,89797,76232,120199,141228,178626,152440,169252,228874,255966,243380,269611
"85","Mujer","Ranco",53975,123015,73520,113430,143211,186771,152365,183137,213539,278887,245880,251709
"86","Mujer","San Antonio",34360,94560,109568,117679,154716,145997,150483,228164,245409,244307,266751,301668
"87","Mujer","San Felipe",49709,69854,89387,112086,123188,137401,136444,160007,238766,246383,235912,291831
"88","Mujer","Santiago",67501,119405,166184,193051,232632,221279,280778,288241,336117,469065,416628,505347
"89","Mujer","Talagante",52829,80484,89342,123175,128277,159589,191523,223403,256205,321593,293363,339995
"90","Mujer","Talca",54244,79224,78982,107958,131200,137335,143063,157440,227174,251335,278546,314399
"91","Mujer","Tamarugal",47189,68677,95402,171785,142638,143395,146006,192327,250692,261848,259229,291832
"92","Mujer","Tierra del Fuego",43549,89148,126812,126341,167198,184165,277697,260359,550939,370121,351009,470875
"93","Mujer","Tocopilla",51025,64619,97091,126684,157923,181635,218346,208764,273453,356456,328504,352700
"94","Mujer","Última Esperanza",49453,64509,110938,101895,128931,162108,201476,227845,314909,384715,300502,414134
"95","Mujer","Valdivia",50174,75606,97882,121050,163333,196166,174453,180864,232303,309926,267542,286230
"96","Mujer","Valparaíso",48243,87982,103977,118646,172444,156267,184979,221064,253531,346953,331489,360753
