"","sexo","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"64","Hombre","Los Andes",63054,175134,211909,210703,264512,301173,300507,364348,405607,681549,422672,596592
"65","Hombre","Los Ángeles",119063,92850,129026,174738,210010,246217,207288,275872,321482,333617,354019,411012
"66","Hombre","Los Vilos",51720,136716,75592,NA,178579,180996,200250,250089,316643,335545,355287,436902
"67","Hombre","Lota",60479,79461,70666,108129,168183,143233,165342,198859,283674,295197,334955,332823
"68","Hombre","Machalí",79659,79822,413963,163806,359935,238674,287505,289239,396561,627037,616623,621003
"69","Hombre","Macul",132778,151517,231885,314140,308804,268316,484379,305872,382198,399069,524108,545203
"70","Hombre","Maipú",109088,129986,256027,255228,280154,262832,307573,403493,490438,594711,496415,540528
"71","Hombre","María Pinto",55558,67369,105323,122002,134886,138487,187565,195941,248600,407350,373284,491084
"72","Hombre","Mariquina",49483,88123,95547,NA,NA,NA,187968,232127,260498,278731,227643,310079
"73","Hombre","Maullín",78128,69760,70480,138899,160854,115949,174847,218520,222005,303821,269623,311674
"74","Hombre","Mejillones",76126,124984,162024,223653,263950,321998,267653,355232,457094,443747,441861,659969
"75","Hombre","Melipilla",54101,118631,126782,191175,170332,195258,367463,252666,361378,343115,295726,459620
"76","Hombre","Molina",35935,51842,93541,104013,139865,198945,166518,242194,265145,299277,306383,324057
"77","Hombre","Mostazal",54661,85454,NA,129380,154597,159399,195166,233361,288162,391027,314841,348216
"78","Hombre","Mulchén",45422,62194,66099,117369,149716,145924,146891,158245,234910,383242,288191,290632
"79","Hombre","Natales",60946,90933,140669,150623,237692,231920,307475,311929,412868,487999,489884,538162
"80","Hombre","Nogales",56835,89790,175249,140574,168949,191507,197813,261901,339709,386009,352171,495303
"81","Hombre","Ñuñoa",232941,310357,415441,553196,720736,748641,765046,876507,810887,1168523,1248929,1077527
"82","Hombre","Osorno",86640,106249,152590,141460,211581,253259,251338,235669,375049,367206,411284,385961
"83","Hombre","Ovalle",67156,98413,125701,135271,177901,196822,225575,196379,256570,358549,374512,349373
"84","Hombre","Paillaco",51130,69356,90254,NA,NA,NA,162150,194789,264850,295966,269488,279350
"85","Hombre","Paine",55889,92132,96812,123502,280066,206519,215244,224973,264523,339872,324693,313714
"86","Hombre","Paredones",43081,48788,71595,NA,NA,127897,NA,215572,238972,358857,289013,261131
"87","Hombre","Parral",68900,95366,101280,139206,125678,163643,160553,233631,307873,275038,240099,338446
"88","Hombre","Pelarco",48687,59440,71956,85880,103188,153176,132457,175659,209784,254686,251627,311929
"89","Hombre","Pelluhue",83006,41682,67252,NA,84471,138553,176174,175579,233622,282672,237647,340190
"90","Hombre","Peñaflor",80074,146073,126207,137045,229782,228406,337756,262250,419613,537411,562017,520386
"91","Hombre","Peñalolén",59873,99180,211577,175046,259727,250677,297877,385486,407807,464772,388460,664930
"92","Hombre","Penco",67045,80052,122473,155242,154970,154073,221950,200666,272971,308581,311076,372701
"93","Hombre","Pica",73997,121336,95514,202591,215118,259008,210407,252800,354288,363916,324966,378256
"94","Hombre","Pirque",135595,92953,178695,NA,408161,343870,519056,366549,507998,270270,371947,855714
"95","Hombre","Pitrufquén",73159,97756,NA,113155,243279,207346,155680,254387,271995,321462,297125,346499
"96","Hombre","Porvenir",59679,116186,170916,194741,708801,271606,552482,319819,682322,807753,448980,525670
"97","Hombre","Pozo Almonte",102967,128010,105910,168569,227183,234788,237247,406623,379772,423895,421968,429611
"98","Hombre","Providencia",386050,654251,661912,822462,1220735,1040474,1239130,980670,1621371,1788474,1330083,1479197
"99","Hombre","Pucón",44089,79060,280214,80141,122824,179313,262932,313343,236347,353537,335372,374489
"100","Hombre","Pudahuel",67435,99788,128013,190634,230162,228133,260064,332607,457798,370452,349781,447079
"101","Hombre","Puente Alto",85606,166198,200213,209917,234166,243610,330178,375710,329379,448425,378297,437576
"102","Hombre","Puerto Montt",64451,121009,207252,217375,221695,219278,301010,287513,335143,449436,353820,403710
"103","Hombre","Puerto Octay",114699,92714,117305,NA,NA,192807,157371,214748,294885,677017,290394,367027
"104","Hombre","Puerto Varas",83325,319216,264463,139781,271170,335199,261965,335852,363238,449449,675459,406276
"105","Hombre","Punta Arenas",99620,171087,199322,216913,275709,331464,362312,372020,516421,595570,517815,675430
"106","Hombre","Purranque",35011,80946,125103,174657,124875,150780,168426,196376,317400,330227,319160,325513
"107","Hombre","Quilicura",58925,108426,146116,NA,250434,257457,350189,326214,408068,412181,492797,492870
"108","Hombre","Quillón",49149,67834,50423,NA,NA,103560,108230,191142,256153,347599,262998,366288
"109","Hombre","Quillota",45806,140543,110549,191297,201982,269404,248724,225640,329047,377806,392366,433329
"110","Hombre","Quilpué",83854,126923,139316,245704,291643,303678,297122,300802,419561,515086,510424,499188
"111","Hombre","Quinta Normal",65547,140059,158562,215728,228050,255158,274239,298339,400209,351502,372328,425472
"112","Hombre","Rancagua",122891,192149,208164,243813,263587,264008,298573,373727,452733,469680,425947,500233
"113","Hombre","Renaico",55378,74639,69678,NA,NA,150851,163640,151391,236158,244074,281233,281326
"114","Hombre","Renca",67902,100572,141033,161497,197191,199559,273041,262074,306146,295371,341104,374790
"115","Hombre","Rengo",63472,111853,115380,130883,179289,180772,191513,212779,283768,395947,320995,337075
"116","Hombre","Saavedra",111327,84115,33221,88653,NA,95323,84055,156812,171409,260318,320341,273734
"117","Hombre","San Antonio",44576,127767,133737,186052,189382,207068,214036,222943,285818,326170,340560,382794
"118","Hombre","San Bernardo",95294,116026,244761,205612,246824,210649,276655,312299,334439,321143,384128,412581
"119","Hombre","San Clemente",45213,64303,76819,93282,107555,104686,134108,152047,247865,262969,255161,296529
"120","Hombre","San Felipe",95535,121914,154591,172316,201681,196770,229724,223819,344212,380960,368962,390170
"121","Hombre","San Fernando",55522,126441,155464,174053,222041,242710,215351,273326,351103,360935,326163,369554
"122","Hombre","San Joaquín",64331,137817,175464,NA,244829,228241,216498,294696,348715,321498,448275,422320
"123","Hombre","San José de Maipo",89284,181266,197601,NA,332545,245742,328633,368634,419229,437052,349018,530376
"124","Hombre","San Miguel",98213,243648,184989,326988,373893,333751,503546,609559,608013,452172,534542,764334
"125","Hombre","San Nicolás",58765,71757,68246,NA,NA,115948,140953,132825,201922,248894,253197,293368
"126","Hombre","San Pedro",41063,71664,99878,NA,150833,164334,221071,204254,282204,285599,211387,343652
"127","Hombre","San Ramón",59173,93771,136496,178826,201497,214480,219591,248618,296965,366181,343150,388882
"128","Hombre","San Vicente",47235,161421,72966,199271,164077,183019,198379,162291,263025,303018,304833,393356
"129","Hombre","Santa Cruz",37245,50162,54287,152916,148941,201728,226746,212883,260873,400648,359678,333738
"130","Hombre","Santiago",85960,173628,308710,304308,385497,419798,510245,509240,582480,677939,712383,603258
"131","Hombre","Sierra Gorda",94849,117531,130697,230638,232790,224775,325219,342417,419358,484535,497200,573180
"132","Hombre","Talagante",75734,107408,134936,179687,263771,224333,372566,486598,324523,463240,434809,638478
"133","Hombre","Talca",83597,128290,138679,210076,230641,286921,261575,257687,374384,391153,381788,504727
"134","Hombre","Talcahuano",99921,82390,151456,179821,225190,221632,244836,311502,334304,421420,425150,407975
"135","Hombre","Temuco",99105,100680,189066,217542,312760,398831,307413,324711,446300,484038,399738,441670
"136","Hombre","Teno",56129,126061,84295,95575,116838,204947,131601,198033,269894,292942,251967,337723
"137","Hombre","Teodoro Schmidt",40517,78952,NA,72791,87043,105496,137085,120576,219862,271580,231615,246781
"138","Hombre","Tierra Amarilla",60821,129356,106798,168701,168545,186825,182749,313176,322687,418337,393045,430756
"139","Hombre","Tiltil",70289,94591,124500,NA,197403,197553,238443,256398,419333,408853,421463,388706
"140","Hombre","Tocopilla",70423,130377,142090,206585,248757,226491,249337,289833,434526,504112,440536,441647
"141","Hombre","Toltén",41124,75162,59361,NA,NA,129438,135450,121100,193898,228884,222792,215175
"142","Hombre","Tomé",112669,87940,97411,122749,151394,153586,192459,183426,378178,282785,274800,394677
"143","Hombre","Traiguén",68930,69652,162431,106747,139434,149342,310983,201067,214695,272236,323982,381753
"144","Hombre","Valdivia",83842,109261,132829,193746,222489,183746,361235,290128,361144,450240,375243,459673
"145","Hombre","Vallenar",106371,151532,164847,195042,183840,184392,281275,304316,363949,451894,430555,453876
"146","Hombre","Valparaíso",78362,117466,158586,171253,204111,261524,224125,351675,347296,404454,452484,423837
"147","Hombre","Victoria",56998,67016,103373,175206,138093,149584,194331,203653,240212,323313,255196,353505
"148","Hombre","Villa Alegre",65757,122333,90169,104775,155876,155141,153369,154068,205149,230272,255051,318982
"149","Hombre","Villa Alemana",88767,198420,188493,251397,286753,250858,320514,323253,415939,528254,405402,483305
