family_income_04_07_id,family_income_04_07
0,NaN
1,0 - 278.000
2,278.001 - 834.000
3,834.001 - 1.400.000
4,1.400.001 - 1.950.000
5,1.950.001 - 2.500.000
6,2.500.001 - o m\u00e9s
