applicant_status_id,applicant_status_es,applicant_status_en
1,tiene al menos una postulaci\u00f3n efectiva (seleccionado o en lista de espera),has at least one valid application (selected or in waiting list)
2,no cumple los requisitos de ninguna preferencia,does not fulfill the requirements of any preference
