school_id,school_original_es,school_es
31395,LICEO POLIVALENTE DE CASAS VIEJAS MIGUELINA MERA LAGOS,Liceo Polivalente de Casas Viejas Miguelina Mera Lagos
31421,COLEGIO TERRA ANDINA,Colegio Terra Andina
31428,COLEGIO INSTITUTO MANQUEHUE,Colegio Instituto Manquehue
31438,COLEGIO AULA CLINICA SANTA MARIA,Colegio Aula Cl\u00ednica Santa Mar\u00eda
31444,COLEGIO RUKA NEWEN,Colegio Ruka New\u00e9n
31445,COLEGIO FUNDADORES DE QUILPUE,Colegio Fundadores de Quilpu\u00e9
31495,COLEGIO LOS PENSAMIENTOS DE SAN BERNARDO,Colegio Los Pensamientos de San Bernardo
31509,ESCUELA PREMILITAR GENERAL BERNARDO OHIGGINS RIQUELME,Escuela Premilitar General Bernardo O'Higgins Riquelme
40008,INSTITUTO DE EDUCACION PARA EL ADULTO,Instituto de Educaci\u00f3n Para El Adulto
40023,COLEGIO SAN ALBERTO,Colegio San Alberto
40027,COLEGIO PASIONISTAS DE QUILPUE,Colegio Pasionistas de Quilpu\u00e9
40064,COLEGIO ALTA CORDILLERA,Colegio Alta Cordillera
40076,COLEGIO ADULTOS LAS VIOLETAS,Colegio Adultos Las Violetas
40110,COLEGIO SAINT MATTHEW,Colegio Saint Matthew
40112,COLEGIO DE ADULTOS AGUILA REAL,Colegio de Adultos \u00c1guila Real
40115,CENTRO EDUCACIONAL PAULO FREIRE,Centro Educacional Paulo Freire
40129,CENTRO DE ESTUDIOS FRANCISCO BILBAO COYHAIQUE,Centro de Estudios Francisco Bilbao Coyhaique
40139,COLEGIO PIEDRA NEGRA,Colegio Piedra Negra
40146,COLEGIO SAN RAMON,Colegio San Ram\u00f3n
40155,COLEGIO DIEGO VEL\u00c1ZQUEZ,Colegio Diego Vel\u00e1zquez
40160,CTRO.EDUCACION INTEGRADA DE ADULTOS SAN FRANC,Centro Educacional Integral de Adultos San Francisco
40175,C.ED.INT.ADUL RUKANTU LOS LAGOS,Centro Educacional Integral de Adultos Rukantu Los Lagos
40186,COLEGIO DE ADULTOS GALILEO,Colegio de Adultos Galileo
40199,COLEGIO SENDA,Colegio Senda
40206,CENT.DE EDUC.INTEG.DE ADULT.PUELMAPU,Centro Educacional Integral De Adultos Puelmapu
40208,COLEGIO TECNICO PROFESIONAL ALTUE,Colegio T\u00e9cnico Profesional Altu\u00e9
40230,COLEGIO TECNOLOGICO DON BOSCO DE ARICA,Colegio Tecnol\u00f3gico Don Bosco de Arica
40231,COLEGIO CORDILLERA,Colegio Cordillera
40251,LICEO JUAN XXIII-VILLA ALEMANA,Liceo Juan XXIII-Villa Alemana
40252,LICEO JOS\u00c9 CORT\u00c9S BROWN-RECREO,Liceo Jos\u00e9 Cort\u00e9s Brown-Recreo
40256,COLEGIO TECNICO NACIONES UNIDAS,Colegio T\u00e9cnico Naciones Unidas
40282,COMUNIDAD DE APRENDIZAJE VINCULOS CASTRO,Comunidad de Aprendizaje V\u00ednculos Castro
40284,COLEGIO ANDALUE,Colegio Andalu\u00e9
40286,DUC IN ALTUM! COLEGIO PARA ADULTOS,Duc In Altum Colegio para Adultos
40288,COLEGIO PADRE GENE BARBER SJ,Colegio Padre Gene Barber Sj
40290,ESCUELA DE ADULTOS MONTULN KIMKËLEM,Escuela de Adultos Montuln Kimkëlem
40295,COLEGIO MAHATMA GANDHI,Colegio Mahatma Gandhi
40297,COLEGIO INNOVASUR,Colegio Innovasur
40298,COLEGIO BERNARDO O´HIGGINS,Colegio Bernardo O'Higgins
40299,COLEGIO ROBLES,Colegio Robles
40305,COLEGIO JUAN PABLO II,Colegio Juan Pablo II
40308,COMUNIDAD DE APRENDIZAJE VINCULOS PUERTO MONTT,Comunidad de Aprendizaje V\u00ednculos Puerto Montt
40311,COLEGIO CAUPOLICAN,Colegio Caupolic\u00e1n
40316,COLEGIO PUMANQUE,Colegio Pumanque
40319,COLEGIO PART. SUB. CUMBRES DEL CHOAPA,Colegio Particular Subvencionado Cumbres del Choapa
40320,COLEGIO ACADEMIA TARAPACA ORELLA,Colegio Academia Tarapac\u00e1 Orella
40321,COLEGIO DE ADULTOS BRILLA EL SOL DE LA SERENA,Colegio de Adultos Brilla el Sol de La Serena
40329,COLEGIO ROBERTO BRAVO,Colegio Roberto Bravo
40338,ACONCAGUA EDUCA,Aconcagua Educa
40343,COLEGIO CREACION LA ARAUCANA PUERTO MONTT,Colegio Creaci\u00f3n la Araucana Puerto Montt
40363,COLEGIO ALCAZAR DE ARICA,Colegio Alc\u00e1zar de Arica
40370,COLEGIO PUKALAN DE ALGARROBO,Colegio Pukal\u00e1n de Algarrobo
40381,COLEGIO ACONCAGUA EDUCA,Colegio Aconcagua Educa
40399,COLEGIO NAZARET,Colegio Nazaret
40400,CENTRO DE EDUCACION INTEGRAL DE ADULTOS SANTA,Centro de Educaci\u00f3n Integral de Adultos Santa
40406,COLEGIO MADRE ISABEL LARRA\u00d1AGA,Colegio Madre Isabel Larra\u00f1aga
40407,CENTRO DE ESTUDIOS BORDEMAR,Centro de Estudios Bordemar
