"","geography_level","geography_name","geography_id","year","weighted_mean_income","weighted_median_income","weighted_gini_income","ci_weighted_mean_income","ci_weighted_median_income","ci_weighted_gini_income"
"56","provincia","Bíobío","p83","1992",34550,20024,0.513,"[32961, 36200]","[19312, 20239]","[0.5, 0.532]"
"57","provincia","Cachapoal","p61","1992",72084,42174,0.504,"[68648, 75138]","[40920, 44752]","[0.481, 0.521]"
"59","provincia","Cardenal Caro","p62","1992",33243,18973,0.525,"[23164, 45064]","[18510, 20272]","[0.334, 0.645]"
"60","provincia","Cauquenes","p72","1992",32033,15821,0.563,"[28105, 37355]","[15656, 16623]","[0.516, 0.615]"
"61","provincia","Cautín","p91","1992",42507,28797,0.439,"[41362, 44385]","[27843, 29690]","[0.427, 0.455]"
"62","provincia","Chacabuco","p133","1992",37889,26470,0.421,"[35836, 40255]","[25718, 27019]","[0.399, 0.447]"
"63","provincia","Chañaral","p32","1992",69946,38760,0.535,"[64325, 75009]","[36562, 41267]","[0.506, 0.556]"
"64","provincia","Chiloé","p102","1992",50370,28835,0.505,"[45984, 54338]","[26125, 32190]","[0.483, 0.524]"
"65","provincia","Choapa","p42","1992",37127,19610,0.53,"[31417, 43581]","[16035, 22252]","[0.485, 0.57]"
"66","provincia","Colchagua","p63","1992",37504,23810,0.496,"[34700, 40196]","[22364, 25376]","[0.467, 0.523]"
"67","provincia","Concepción","p81","1992",45362,26496,0.524,"[43270, 47361]","[26050, 27217]","[0.505, 0.541]"
"68","provincia","Copiapó","p31","1992",63311,39018,0.511,"[59587, 68789]","[36219, 41216]","[0.489, 0.542]"
"69","provincia","Cordillera","p152","1992",69227,44776,0.521,"[62863, 76018]","[40588, 48537]","[0.474, 0.563]"
"70","provincia","Coyhaique","p111","1992",50669,32068,0.484,"[46285, 56333]","[29988, 32834]","[0.442, 0.529]"
"71","provincia","Curicó","p73","1992",62247,29984,0.573,"[57025, 67527]","[28401, 32149]","[0.542, 0.604]"
"72","provincia","El Loa","p22","1992",57510,39140,0.457,"[53762, 60720]","[34615, 40938]","[0.44, 0.475]"
"73","provincia","Elqui","p41","1992",47720,26899,0.501,"[45159, 49903]","[25626, 27972]","[0.487, 0.515]"
"75","provincia","Huasco","p33","1992",50552,28671,0.53,"[45448, 54819]","[26913, 29508]","[0.496, 0.564]"
"76","provincia","Iquique","p11","1992",81433,46510,0.51,"[77103, 86410]","[44205, 51208]","[0.489, 0.528]"
"77","provincia","Limarí","p43","1992",48345,28341,0.505,"[43948, 52258]","[26840, 29484]","[0.473, 0.531]"
"78","provincia","Linares","p74","1992",41603,22618,0.552,"[38472, 45198]","[21991, 23310]","[0.517, 0.586]"
"79","provincia","Llanquihue","p101","1992",59659,32335,0.534,"[55102, 65331]","[30861, 35177]","[0.509, 0.56]"
"80","provincia","Los Andes","p53","1992",62265,40002,0.49,"[57963, 66760]","[36906, 42076]","[0.462, 0.51]"
"81","provincia","Magallanes","p121","1992",72604,42526,0.509,"[67244, 76834]","[40743, 44706]","[0.484, 0.536]"
"82","provincia","Maipo","p134","1992",47581,29920,0.497,"[44641, 50780]","[28860, 31075]","[0.475, 0.518]"
"83","provincia","Malleco","p92","1992",32094,20164,0.477,"[29906, 34291]","[19660, 21718]","[0.448, 0.504]"
"84","provincia","Marga Marga","p58","1992",58223,37488,0.491,"[53721, 63758]","[34779, 39791]","[0.459, 0.521]"
"85","provincia","Melipilla","p135","1992",41414,25900,0.489,"[38556, 46091]","[25263, 26909]","[0.46, 0.533]"
"86","provincia","Ñuble","p84","1992",41898,22062,0.553,"[39204, 44325]","[21462, 22763]","[0.527, 0.58]"
"87","provincia","Osorno","p103","1992",54111,30331,0.543,"[50148, 58077]","[27414, 31087]","[0.524, 0.56]"
"89","provincia","Petorca","p54","1992",43689,25329,0.514,"[38834, 49543]","[24215, 26892]","[0.464, 0.569]"
"90","provincia","Quillota","p55","1992",46537,26299,0.556,"[40728, 53452]","[24303, 27193]","[0.497, 0.601]"
"91","provincia","Ranco","p142","1992",81342,56700,0.513,"[71924, 90561]","[47774, 61485]","[0.468, 0.54]"
"92","provincia","San Antonio","p56","1992",50026,32818,0.481,"[46202, 54358]","[31579, 34787]","[0.453, 0.506]"
"93","provincia","San Felipe","p57","1992",52878,30244,0.506,"[47685, 58619]","[27510, 33422]","[0.475, 0.539]"
"94","provincia","Santiago","p131","1992",85386,41890,0.585,"[83294, 87257]","[41294, 42639]","[0.577, 0.593]"
"95","provincia","Talagante","p136","1992",54185,29008,0.544,"[49700, 59326]","[28300, 31214]","[0.508, 0.577]"
"96","provincia","Talca","p71","1992",52172,27606,0.542,"[49027, 55374]","[26034, 28760]","[0.526, 0.557]"
"97","provincia","Tamarugal","p12","1992",55153,33184,0.526,"[49624, 61850]","[27046, 35628]","[0.493, 0.555]"
"98","provincia","Tierra del Fuego","p123","1992",42747,29134,0.402,"[37514, 47725]","[26162, 46357]","[0.349, 0.438]"
"99","provincia","Tocopilla","p23","1992",42470,28338,0.494,"[37352, 48750]","[25879, 29911]","[0.434, 0.552]"
"100","provincia","Última Esperanza","p124","1992",46099,27938,0.475,"[41679, 50224]","[26093, 29982]","[0.444, 0.502]"
"101","provincia","Valdivia","p141","1992",46989,30045,0.482,"[44000, 50780]","[28947, 30924]","[0.46, 0.504]"
"102","provincia","Valparaíso","p51","1992",64008,36479,0.533,"[59824, 68281]","[34714, 38934]","[0.511, 0.557]"
"103","provincia","Antofagasta","p21","1994",76986,45107,0.508,"[72786, 82780]","[43719, 45860]","[0.484, 0.54]"
"104","provincia","Arauco","p82","1994",37353,24480,0.467,"[36266, 38273]","[23893, 24986]","[0.457, 0.48]"
"105","provincia","Arica","p151","1994",86944,49221,0.545,"[80773, 93457]","[46624, 52036]","[0.521, 0.56]"
"106","provincia","Aysén","p112","1994",59652,36654,0.481,"[54927, 66077]","[34585, 37864]","[0.447, 0.523]"
"107","provincia","Bíobío","p83","1994",45033,27102,0.509,"[42643, 47225]","[26453, 28060]","[0.486, 0.535]"
"108","provincia","Cachapoal","p61","1994",75790,48311,0.494,"[71952, 80125]","[46470, 50145]","[0.474, 0.513]"
"110","provincia","Cardenal Caro","p62","1994",32762,27117,0.367,"[29957, 35320]","[23065, 29294]","[0.336, 0.406]"
"111","provincia","Cauquenes","p72","1994",44769,23736,0.547,"[41249, 48407]","[21177, 24890]","[0.524, 0.567]"
"112","provincia","Cautín","p91","1994",78648,43813,0.546,"[72711, 85803]","[42421, 46185]","[0.516, 0.573]"
"113","provincia","Chacabuco","p133","1994",47407,32130,0.442,"[45056, 50770]","[30618, 32692]","[0.423, 0.473]"
"114","provincia","Chañaral","p32","1994",58270,43911,0.414,"[55549, 61680]","[40963, 45410]","[0.397, 0.434]"
"115","provincia","Chiloé","p102","1994",70533,46950,0.504,"[64230, 78807]","[42068, 49988]","[0.473, 0.532]"
"116","provincia","Choapa","p42","1994",46978,23666,0.573,"[43722, 51080]","[23065, 24398]","[0.544, 0.601]"
"117","provincia","Colchagua","p63","1994",42118,26615,0.48,"[35050, 50473]","[25949, 27911]","[0.383, 0.556]"
"118","provincia","Concepción","p81","1994",71034,39518,0.534,"[68482, 72987]","[37894, 40985]","[0.522, 0.544]"
"119","provincia","Copiapó","p31","1994",57768,39726,0.458,"[54392, 61568]","[38891, 42528]","[0.436, 0.481]"
"120","provincia","Cordillera","p152","1994",89384,62582,0.458,"[82711, 97095]","[59018, 64101]","[0.431, 0.496]"
"121","provincia","Coyhaique","p111","1994",71421,39123,0.518,"[65682, 75899]","[36584, 40938]","[0.492, 0.536]"
"122","provincia","Curicó","p73","1994",61956,28296,0.624,"[50191, 75149]","[27230, 28995]","[0.533, 0.69]"
"123","provincia","El Loa","p22","1994",84320,52051,0.513,"[78553, 91196]","[47946, 54356]","[0.49, 0.537]"
"124","provincia","Elqui","p41","1994",61163,38929,0.477,"[58827, 63610]","[37789, 40083]","[0.46, 0.491]"
"125","provincia","General Carrera","p114","1994",48535,24042,0.561,"[40599, 56511]","[22442, 29522]","[0.502, 0.614]"
"126","provincia","Huasco","p33","1994",61569,36896,0.514,"[56977, 67161]","[35611, 39000]","[0.486, 0.536]"
"127","provincia","Iquique","p11","1994",79932,52051,0.465,"[73762, 86859]","[49200, 55884]","[0.438, 0.497]"
"128","provincia","Limarí","p43","1994",51177,32564,0.475,"[48658, 53455]","[31390, 33630]","[0.457, 0.493]"
"129","provincia","Linares","p74","1994",46154,25708,0.535,"[43757, 48777]","[25155, 26694]","[0.513, 0.556]"
"130","provincia","Llanquihue","p101","1994",90621,36742,0.622,"[75606, 105191]","[35494, 39930]","[0.565, 0.668]"
"131","provincia","Los Andes","p53","1994",63374,41870,0.447,"[59562, 67622]","[40045, 44114]","[0.418, 0.48]"
"132","provincia","Magallanes","p121","1994",90702,68116,0.419,"[86893, 94364]","[65224, 70651]","[0.401, 0.438]"
"133","provincia","Maipo","p134","1994",90535,58550,0.519,"[84313, 96688]","[55100, 60690]","[0.495, 0.538]"
"134","provincia","Malleco","p92","1994",50165,26525,0.547,"[45834, 56324]","[25773, 27243]","[0.512, 0.589]"
"135","provincia","Marga Marga","p58","1994",69724,46576,0.468,"[65352, 73427]","[45438, 50118]","[0.453, 0.483]"
"136","provincia","Melipilla","p135","1994",49783,35700,0.436,"[47147, 51988]","[34401, 36161]","[0.414, 0.457]"
"137","provincia","Ñuble","p84","1994",45604,26880,0.508,"[43791, 47299]","[26401, 27767]","[0.495, 0.52]"
"138","provincia","Osorno","p103","1994",74503,38563,0.537,"[68872, 79861]","[36896, 41962]","[0.512, 0.55]"
"140","provincia","Petorca","p54","1994",52836,32634,0.471,"[50069, 55757]","[31959, 33075]","[0.455, 0.489]"
"141","provincia","Quillota","p55","1994",54480,38049,0.452,"[51783, 56534]","[35576, 39576]","[0.433, 0.472]"
"142","provincia","Ranco","p142","1994",55390,32921,0.523,"[47961, 61603]","[32143, 37935]","[0.478, 0.557]"
"143","provincia","San Antonio","p56","1994",54913,37128,0.457,"[51621, 59022]","[35275, 38982]","[0.435, 0.489]"
"144","provincia","San Felipe","p57","1994",57350,36075,0.479,"[54660, 59394]","[35172, 36808]","[0.464, 0.493]"
"145","provincia","Santiago","p131","1994",117832,56624,0.59,"[111521, 125677]","[55416, 56992]","[0.567, 0.615]"
"146","provincia","Talagante","p136","1994",49587,35299,0.439,"[47844, 51303]","[34272, 36093]","[0.424, 0.45]"
"147","provincia","Talca","p71","1994",51731,34122,0.475,"[50054, 53363]","[32629, 34712]","[0.463, 0.487]"
"148","provincia","Tamarugal","p12","1994",30912,20242,0.516,"[27783, 34021]","[18818, 20825]","[0.473, 0.55]"
"149","provincia","Tierra del Fuego","p123","1994",88134,60226,0.485,"[79739, 100069]","[48377, 68116]","[0.448, 0.518]"
"150","provincia","Tocopilla","p23","1994",51630,34501,0.457,"[48700, 53788]","[32510, 37128]","[0.434, 0.473]"
"151","provincia","Última Esperanza","p124","1994",83069,44323,0.537,"[71480, 93619]","[41137, 48195]","[0.472, 0.575]"
"152","provincia","Valdivia","p141","1994",66827,37760,0.515,"[62472, 71629]","[35981, 40744]","[0.49, 0.535]"
"153","provincia","Valparaíso","p51","1994",84389,54107,0.498,"[80648, 88079]","[51112, 56543]","[0.483, 0.513]"
"154","provincia","Antofagasta","p21","1996",127594,79296,0.498,"[119798, 136901]","[75885, 90559]","[0.478, 0.525]"
"155","provincia","Arauco","p82","1996",56891,35309,0.49,"[54656, 59727]","[33867, 36611]","[0.476, 0.507]"
"156","provincia","Arica","p151","1996",84318,54688,0.488,"[76137, 95146]","[51075, 59432]","[0.438, 0.532]"
"157","provincia","Aysén","p112","1996",96091,61565,0.504,"[90113, 104195]","[57607, 66888]","[0.48, 0.526]"
"158","provincia","Bíobío","p83","1996",108411,44605,0.634,"[97886, 121959]","[43085, 48630]","[0.604, 0.66]"
"159","provincia","Cachapoal","p61","1996",86599,52534,0.523,"[82247, 91617]","[50000, 54624]","[0.498, 0.543]"
"160","provincia","Capitán Prat","p113","1996",85882,50228,0.533,"[74097, 96978]","[42028, 53371]","[0.505, 0.565]"
"161","provincia","Cardenal Caro","p62","1996",46248,30268,0.454,"[42225, 52110]","[29259, 32447]","[0.41, 0.5]"
"162","provincia","Cauquenes","p72","1996",63770,36206,0.522,"[57958, 72481]","[33401, 41999]","[0.495, 0.576]"
"163","provincia","Cautín","p91","1996",70619,39138,0.543,"[68079, 74015]","[37432, 40751]","[0.532, 0.558]"
"164","provincia","Chacabuco","p133","1996",62134,47639,0.429,"[57564, 66435]","[44837, 49327]","[0.403, 0.453]"
"165","provincia","Chañaral","p32","1996",82550,55707,0.484,"[76434, 89531]","[51382, 59782]","[0.462, 0.513]"
"166","provincia","Chiloé","p102","1996",61904,43380,0.43,"[55869, 66404]","[41578, 45067]","[0.377, 0.463]"
"167","provincia","Choapa","p42","1996",52247,31111,0.518,"[47377, 58324]","[28576, 32912]","[0.474, 0.569]"
"168","provincia","Colchagua","p63","1996",69379,44000,0.505,"[65330, 74741]","[42327, 45138]","[0.482, 0.531]"
"169","provincia","Concepción","p81","1996",95852,48780,0.557,"[91009, 101254]","[47231, 50517]","[0.538, 0.571]"
"170","provincia","Copiapó","p31","1996",118345,58704,0.559,"[106610, 130652]","[55000, 67253]","[0.535, 0.58]"
"171","provincia","Cordillera","p152","1996",89790,67387,0.401,"[85326, 94542]","[63108, 73701]","[0.384, 0.42]"
"172","provincia","Coyhaique","p111","1996",89880,54592,0.488,"[83430, 95881]","[52212, 56640]","[0.46, 0.507]"
"173","provincia","Curicó","p73","1996",79978,39992,0.565,"[71792, 88333]","[36820, 40860]","[0.531, 0.59]"
"174","provincia","El Loa","p22","1996",101754,76213,0.425,"[94903, 112124]","[72202, 80686]","[0.387, 0.469]"
"175","provincia","Elqui","p41","1996",91221,51875,0.512,"[86707, 95719]","[50514, 54294]","[0.495, 0.527]"
"176","provincia","General Carrera","p114","1996",78593,57854,0.434,"[68518, 89294]","[50076, 65504]","[0.372, 0.494]"
"177","provincia","Huasco","p33","1996",73910,41751,0.526,"[65544, 81224]","[39545, 48029]","[0.486, 0.557]"
"178","provincia","Iquique","p11","1996",110969,78000,0.487,"[101276, 121061]","[72260, 80300]","[0.451, 0.518]"
"179","provincia","Limarí","p43","1996",57263,34875,0.514,"[52262, 62884]","[33520, 36182]","[0.478, 0.549]"
"180","provincia","Linares","p74","1996",59769,34618,0.509,"[55285, 64545]","[33125, 37000]","[0.476, 0.543]"
"181","provincia","Llanquihue","p101","1996",98305,49770,0.557,"[88214, 109052]","[47579, 54273]","[0.528, 0.588]"
"182","provincia","Los Andes","p53","1996",85745,56450,0.489,"[78827, 97910]","[50959, 59731]","[0.45, 0.537]"
"183","provincia","Magallanes","p121","1996",122372,77805,0.477,"[110820, 134753]","[74869, 80045]","[0.44, 0.525]"
"184","provincia","Maipo","p134","1996",84821,51667,0.506,"[78227, 93948]","[48649, 55609]","[0.479, 0.547]"
"185","provincia","Malleco","p92","1996",70310,34167,0.596,"[63859, 76008]","[32506, 34757]","[0.571, 0.621]"
"186","provincia","Marga Marga","p58","1996",105945,68370,0.489,"[100170, 112504]","[66414, 73109]","[0.472, 0.505]"
"187","provincia","Melipilla","p135","1996",88136,50521,0.5,"[80846, 94135]","[48992, 54047]","[0.467, 0.523]"
"188","provincia","Ñuble","p84","1996",67063,37785,0.522,"[63215, 71083]","[35384, 39918]","[0.504, 0.542]"
"189","provincia","Osorno","p103","1996",69393,36152,0.552,"[61271, 81216]","[32617, 40774]","[0.511, 0.601]"
"190","provincia","Parinacota","p152","1996",54556,34000,0.499,"[48450, 62341]","[30191, 36739]","[0.46, 0.541]"
"191","provincia","Petorca","p54","1996",59717,39450,0.458,"[56218, 63453]","[36856, 41866]","[0.432, 0.478]"
"192","provincia","Quillota","p55","1996",81071,56442,0.471,"[75048, 87413]","[51357, 59531]","[0.443, 0.495]"
"193","provincia","Ranco","p142","1996",54412,31533,0.525,"[49167, 60947]","[29729, 34901]","[0.479, 0.576]"
"194","provincia","San Antonio","p56","1996",88571,53908,0.491,"[79790, 102174]","[51336, 57123]","[0.445, 0.565]"
"195","provincia","San Felipe","p57","1996",72607,45660,0.482,"[68031, 77386]","[43582, 47410]","[0.466, 0.497]"
"196","provincia","Santiago","p131","1996",150673,80019,0.553,"[146567, 156078]","[77560, 81040]","[0.544, 0.566]"
"197","provincia","Talagante","p136","1996",76464,43650,0.505,"[70067, 84445]","[43065, 47940]","[0.465, 0.546]"
"198","provincia","Talca","p71","1996",85679,44320,0.577,"[76441, 93784]","[42557, 45536]","[0.546, 0.605]"
"199","provincia","Tamarugal","p12","1996",36276,23225,0.538,"[32856, 40303]","[21026, 23598]","[0.508, 0.577]"
"200","provincia","Tierra del Fuego","p123","1996",114957,71007,0.504,"[99102, 128963]","[63322, 80688]","[0.453, 0.54]"
"201","provincia","Tocopilla","p23","1996",91121,52917,0.512,"[80643, 101614]","[45855, 59181]","[0.461, 0.552]"
"202","provincia","Última Esperanza","p124","1996",74918,53904,0.434,"[69733, 79830]","[51562, 57193]","[0.409, 0.457]"
"203","provincia","Valdivia","p141","1996",83797,44238,0.559,"[76040, 92940]","[42335, 48354]","[0.531, 0.584]"
"204","provincia","Valparaíso","p51","1996",97954,59323,0.494,"[92163, 104738]","[55790, 64735]","[0.472, 0.511]"
"205","provincia","Antofagasta","p21","1998",143302,80807,0.519,"[133897, 158135]","[77542, 84196]","[0.485, 0.554]"
"206","provincia","Arauco","p82","1998",61158,35908,0.526,"[57470, 65084]","[34825, 36556]","[0.5, 0.55]"
"207","provincia","Arica","p151","1998",96621,70870,0.455,"[91070, 103328]","[63501, 76863]","[0.432, 0.484]"
"208","provincia","Aysén","p112","1998",106516,68502,0.451,"[102408, 113818]","[64766, 71510]","[0.437, 0.467]"
"209","provincia","Bíobío","p83","1998",105617,46853,0.623,"[94667, 120902]","[44663, 50264]","[0.586, 0.662]"
"210","provincia","Cachapoal","p61","1998",104922,57104,0.536,"[100128, 110905]","[54811, 58374]","[0.522, 0.554]"
"211","provincia","Capitán Prat","p113","1998",108924,81390,0.458,"[96991, 122141]","[72243, 87836]","[0.412, 0.486]"
"212","provincia","Cardenal Caro","p62","1998",68537,43440,0.475,"[62466, 76723]","[36587, 47255]","[0.447, 0.507]"
"213","provincia","Cauquenes","p72","1998",71700,43769,0.511,"[65242, 79717]","[40708, 46615]","[0.474, 0.555]"
"214","provincia","Cautín","p91","1998",108817,48875,0.616,"[102917, 115730]","[47306, 50028]","[0.599, 0.634]"
"215","provincia","Chacabuco","p133","1998",94207,54547,0.537,"[84133, 103893]","[52464, 57233]","[0.491, 0.579]"
"216","provincia","Chañaral","p32","1998",94793,60840,0.498,"[86945, 103493]","[53664, 66732]","[0.464, 0.543]"
"217","provincia","Chiloé","p102","1998",74323,47334,0.484,"[68591, 78766]","[43109, 49742]","[0.458, 0.504]"
"218","provincia","Choapa","p42","1998",66195,44195,0.477,"[63492, 69235]","[42814, 46533]","[0.459, 0.492]"
"219","provincia","Colchagua","p63","1998",83005,46960,0.524,"[78198, 87865]","[46182, 48047]","[0.504, 0.544]"
"220","provincia","Concepción","p81","1998",115417,59404,0.561,"[111654, 119951]","[57959, 61433]","[0.548, 0.572]"
"221","provincia","Copiapó","p31","1998",94921,56070,0.507,"[87204, 102299]","[50786, 58162]","[0.486, 0.529]"
