"","geography_level","geography_name","geography_id","year","weighted_mean_income","weighted_median_income","weighted_gini_income","ci_weighted_mean_income","ci_weighted_median_income","ci_weighted_gini_income"
"238","provincia","Melipilla","p135","1998",79434,50388,0.48,"[75584, 84512]","[49334, 52763]","[0.465, 0.503]"
"239","provincia","Ñuble","p84","1998",93635,56585,0.523,"[86950, 102625]","[53372, 60004]","[0.494, 0.563]"
"240","provincia","Osorno","p103","1998",90383,52495,0.531,"[81017, 98450]","[48822, 55970]","[0.495, 0.554]"
"241","provincia","Parinacota","p152","1998",90585,53145,0.49,"[83275, 98547]","[49935, 59439]","[0.464, 0.516]"
"242","provincia","Petorca","p54","1998",75518,44922,0.497,"[71726, 81963]","[43410, 46946]","[0.478, 0.522]"
"243","provincia","Quillota","p55","1998",90019,59335,0.478,"[85592, 96520]","[56507, 61017]","[0.46, 0.496]"
"244","provincia","Ranco","p142","1998",56402,30818,0.537,"[51654, 60602]","[29609, 32553]","[0.502, 0.573]"
"245","provincia","San Antonio","p56","1998",94924,61908,0.466,"[89915, 101247]","[59852, 65807]","[0.445, 0.491]"
"246","provincia","San Felipe","p57","1998",78244,53453,0.442,"[74928, 82781]","[51672, 56187]","[0.429, 0.459]"
"247","provincia","Santiago","p131","1998",181373,89267,0.584,"[177092, 185223]","[87975, 91604]","[0.577, 0.59]"
"248","provincia","Talagante","p136","1998",83352,52949,0.473,"[79991, 88452]","[51973, 55220]","[0.451, 0.501]"
"249","provincia","Talca","p71","1998",99578,56820,0.533,"[93240, 109450]","[51939, 60385]","[0.514, 0.559]"
"250","provincia","Tamarugal","p12","1998",82798,53936,0.46,"[78605, 88155]","[51267, 56224]","[0.44, 0.48]"
"251","provincia","Tierra del Fuego","p123","1998",255899,73573,0.76,"[134398, 467782]","[67790, 85340]","[0.551, 0.859]"
"252","provincia","Tocopilla","p23","1998",93620,60302,0.483,"[86297, 105440]","[55608, 66888]","[0.444, 0.521]"
"253","provincia","Última Esperanza","p124","1998",117063,68013,0.509,"[106083, 127523]","[60660, 75434]","[0.481, 0.532]"
"254","provincia","Valdivia","p141","1998",100888,51712,0.587,"[89255, 111269]","[45909, 52736]","[0.545, 0.623]"
"255","provincia","Valparaíso","p51","1998",137519,73342,0.547,"[130450, 145773]","[69035, 74837]","[0.532, 0.566]"
"256","provincia","Antofagasta","p21","2000",172179,91300,0.554,"[152432, 187167]","[86574, 98710]","[0.521, 0.581]"
"257","provincia","Arauco","p82","2000",69987,40706,0.512,"[67378, 74697]","[40000, 43008]","[0.495, 0.537]"
"258","provincia","Arica","p151","2000",128072,61655,0.584,"[110133, 151305]","[58407, 67757]","[0.528, 0.626]"
"259","provincia","Aysén","p112","2000",122534,66598,0.574,"[101689, 169393]","[59785, 68942]","[0.502, 0.677]"
"260","provincia","Bíobío","p83","2000",209984,52069,0.739,"[189706, 248407]","[47019, 56678]","[0.727, 0.751]"
"261","provincia","Cachapoal","p61","2000",110817,70150,0.492,"[107428, 116452]","[67044, 73554]","[0.481, 0.503]"
"262","provincia","Capitán Prat","p113","2000",76249,52440,0.434,"[63850, 91409]","[46222, 59167]","[0.366, 0.504]"
"263","provincia","Cardenal Caro","p62","2000",73670,48389,0.464,"[70570, 76455]","[46551, 50029]","[0.449, 0.477]"
"264","provincia","Cauquenes","p72","2000",77956,44425,0.526,"[70895, 86215]","[43683, 46438]","[0.49, 0.564]"
"265","provincia","Cautín","p91","2000",108629,49400,0.613,"[102396, 115503]","[48009, 50046]","[0.597, 0.636]"
"266","provincia","Chacabuco","p133","2000",82511,57305,0.477,"[77693, 88918]","[54306, 60000]","[0.454, 0.511]"
"267","provincia","Chañaral","p32","2000",119565,83715,0.481,"[111234, 128368]","[75000, 87963]","[0.459, 0.508]"
"268","provincia","Chiloé","p102","2000",88711,61682,0.433,"[85751, 92092]","[60220, 63726]","[0.421, 0.449]"
"269","provincia","Choapa","p42","2000",72011,47278,0.488,"[68234, 78484]","[45257, 49574]","[0.466, 0.524]"
"270","provincia","Colchagua","p63","2000",95672,54567,0.518,"[88493, 112537]","[52869, 57119]","[0.483, 0.583]"
"271","provincia","Concepción","p81","2000",98464,63542,0.472,"[95787, 101323]","[62542, 65438]","[0.464, 0.485]"
"272","provincia","Copiapó","p31","2000",99110,60714,0.48,"[93216, 106028]","[55742, 62888]","[0.454, 0.503]"
"273","provincia","Cordillera","p152","2000",122098,71133,0.54,"[102213, 154138]","[67415, 74678]","[0.451, 0.63]"
"274","provincia","Coyhaique","p111","2000",144920,91323,0.496,"[131128, 155412]","[89300, 100037]","[0.461, 0.527]"
"275","provincia","Curicó","p73","2000",143788,60867,0.638,"[130411, 160826]","[59345, 61585]","[0.612, 0.668]"
"276","provincia","El Loa","p22","2000",150522,101105,0.429,"[138201, 161630]","[93293, 114563]","[0.406, 0.449]"
"277","provincia","Elqui","p41","2000",115720,69767,0.516,"[110018, 121315]","[65556, 71473]","[0.498, 0.536]"
"278","provincia","General Carrera","p114","2000",103907,56120,0.54,"[85958, 132815]","[51746, 59676]","[0.466, 0.608]"
"279","provincia","Huasco","p33","2000",72354,51770,0.448,"[68965, 75917]","[50195, 54407]","[0.431, 0.463]"
"280","provincia","Iquique","p11","2000",125980,87303,0.484,"[118849, 134722]","[79792, 88892]","[0.462, 0.507]"
"281","provincia","Limarí","p43","2000",100197,50936,0.58,"[82959, 142179]","[48379, 52726]","[0.493, 0.701]"
"282","provincia","Linares","p74","2000",83791,48603,0.535,"[80551, 87722]","[46999, 50114]","[0.518, 0.55]"
"283","provincia","Llanquihue","p101","2000",106996,60480,0.527,"[100395, 112417]","[58124, 62500]","[0.51, 0.545]"
"284","provincia","Los Andes","p53","2000",113903,69174,0.52,"[104088, 129032]","[66236, 72179]","[0.475, 0.572]"
"285","provincia","Magallanes","p121","2000",239112,122058,0.572,"[210276, 268421]","[108330, 137898]","[0.547, 0.591]"
"286","provincia","Maipo","p134","2000",100302,62827,0.468,"[95141, 105120]","[60884, 65236]","[0.451, 0.486]"
"287","provincia","Malleco","p92","2000",66567,39307,0.52,"[63362, 70174]","[38424, 40244]","[0.5, 0.538]"
"288","provincia","Marga Marga","p58","2000",122982,82500,0.463,"[116045, 130147]","[77439, 86958]","[0.436, 0.486]"
"289","provincia","Melipilla","p135","2000",104852,59758,0.541,"[96504, 114795]","[57080, 61169]","[0.51, 0.575]"
"290","provincia","Ñuble","p84","2000",81582,49798,0.503,"[75958, 90347]","[46242, 54616]","[0.479, 0.559]"
"291","provincia","Osorno","p103","2000",100129,47500,0.586,"[92905, 108928]","[44978, 48820]","[0.561, 0.613]"
"292","provincia","Parinacota","p152","2000",84586,31603,0.661,"[72845, 96138]","[28450, 36668]","[0.634, 0.688]"
"293","provincia","Petorca","p54","2000",86023,51309,0.513,"[78260, 97711]","[49996, 54160]","[0.467, 0.568]"
"294","provincia","Quillota","p55","2000",111157,65000,0.528,"[102961, 122397]","[62058, 68402]","[0.496, 0.567]"
"295","provincia","Ranco","p142","2000",74022,39837,0.553,"[66898, 82591]","[37608, 42163]","[0.524, 0.584]"
"296","provincia","San Antonio","p56","2000",97901,65875,0.481,"[90467, 105167]","[62147, 70919]","[0.452, 0.508]"
"297","provincia","San Felipe","p57","2000",95181,59109,0.492,"[87856, 105041]","[57135, 62432]","[0.456, 0.531]"
"298","provincia","Santiago","p131","2000",169720,88270,0.565,"[163496, 177779]","[87136, 90515]","[0.555, 0.582]"
"299","provincia","Talagante","p136","2000",92873,63750,0.454,"[88982, 99111]","[60997, 65164]","[0.435, 0.485]"
"300","provincia","Talca","p71","2000",104709,62084,0.528,"[98687, 112454]","[58375, 64544]","[0.513, 0.55]"
"301","provincia","Tamarugal","p12","2000",104863,58290,0.543,"[97886, 115191]","[55258, 63477]","[0.525, 0.565]"
"302","provincia","Tierra del Fuego","p123","2000",148042,101973,0.439,"[135091, 161090]","[98358, 108708]","[0.416, 0.461]"
"303","provincia","Tocopilla","p23","2000",80901,53366,0.449,"[71540, 91495]","[46414, 56875]","[0.416, 0.488]"
"304","provincia","Última Esperanza","p124","2000",119789,68475,0.509,"[104635, 142282]","[62473, 73449]","[0.457, 0.565]"
"305","provincia","Valdivia","p141","2000",103379,58409,0.541,"[94502, 120949]","[56204, 60321]","[0.513, 0.618]"
"306","provincia","Valparaíso","p51","2000",135054,87522,0.495,"[127938, 140865]","[82761, 92344]","[0.481, 0.509]"
"307","provincia","Antofagasta","p21","2003",136246,99108,0.436,"[128073, 144824]","[91315, 105878]","[0.41, 0.462]"
"308","provincia","Arauco","p82","2003",80349,49062,0.523,"[74571, 88477]","[48289, 50002]","[0.485, 0.565]"
"309","provincia","Arica","p151","2003",119872,72823,0.496,"[111283, 130514]","[64155, 78575]","[0.475, 0.52]"
"310","provincia","Aysén","p112","2003",109737,77280,0.437,"[100414, 123605]","[71327, 81635]","[0.404, 0.473]"
"311","provincia","Bíobío","p83","2003",83192,53235,0.482,"[79490, 85799]","[51736, 55916]","[0.467, 0.493]"
"312","provincia","Cachapoal","p61","2003",114406,76192,0.455,"[110382, 118537]","[75200, 78448]","[0.438, 0.469]"
"313","provincia","Capitán Prat","p113","2003",110545,81667,0.43,"[95382, 127550]","[72584, 98343]","[0.373, 0.472]"
"314","provincia","Cardenal Caro","p62","2003",109673,68900,0.5,"[95502, 121645]","[59231, 77791]","[0.438, 0.542]"
"315","provincia","Cauquenes","p72","2003",76793,52956,0.431,"[73072, 81969]","[51417, 57421]","[0.409, 0.453]"
"316","provincia","Cautín","p91","2003",105180,52283,0.586,"[97722, 112900]","[50312, 54619]","[0.559, 0.611]"
"317","provincia","Chacabuco","p133","2003",109515,62500,0.526,"[100983, 119299]","[60199, 62514]","[0.489, 0.561]"
"318","provincia","Chañaral","p32","2003",134243,81515,0.485,"[125983, 143453]","[78084, 88723]","[0.459, 0.513]"
"319","provincia","Chiloé","p102","2003",110368,73079,0.471,"[106235, 115753]","[70465, 74632]","[0.456, 0.489]"
"320","provincia","Choapa","p42","2003",70058,48342,0.451,"[66043, 74642]","[45992, 49906]","[0.426, 0.479]"
"321","provincia","Colchagua","p63","2003",100692,61028,0.487,"[96772, 104932]","[59744, 62733]","[0.472, 0.505]"
"322","provincia","Concepción","p81","2003",126563,68193,0.555,"[121004, 133169]","[66667, 69697]","[0.538, 0.573]"
"323","provincia","Copiapó","p31","2003",94748,68211,0.441,"[89948, 102552]","[63201, 74374]","[0.42, 0.471]"
"324","provincia","Cordillera","p152","2003",142559,99598,0.45,"[133721, 151263]","[92066, 102752]","[0.422, 0.471]"
"325","provincia","Coyhaique","p111","2003",185359,102901,0.554,"[168943, 205345]","[93733, 113116]","[0.527, 0.581]"
"326","provincia","Curicó","p73","2003",96155,59601,0.485,"[90805, 102723]","[56912, 61419]","[0.457, 0.515]"
"327","provincia","El Loa","p22","2003",150455,102216,0.482,"[137261, 164076]","[95647, 105651]","[0.45, 0.509]"
"328","provincia","Elqui","p41","2003",136940,75323,0.556,"[126083, 146573]","[72792, 77965]","[0.528, 0.584]"
"329","provincia","General Carrera","p114","2003",91636,67100,0.473,"[81328, 99926]","[58834, 72145]","[0.437, 0.501]"
"330","provincia","Huasco","p33","2003",110273,74850,0.482,"[104163, 117842]","[68963, 78294]","[0.459, 0.501]"
"331","provincia","Iquique","p11","2003",140446,88333,0.48,"[131843, 148891]","[86393, 95548]","[0.454, 0.508]"
"332","provincia","Limarí","p43","2003",102436,61147,0.527,"[90724, 113794]","[58237, 63089]","[0.478, 0.568]"
"333","provincia","Linares","p74","2003",86408,53890,0.498,"[82478, 90982]","[52225, 55016]","[0.479, 0.525]"
"334","provincia","Llanquihue","p101","2003",119580,71133,0.514,"[113593, 126276]","[68399, 74001]","[0.494, 0.537]"
"335","provincia","Los Andes","p53","2003",119373,71793,0.516,"[110152, 128198]","[68766, 75778]","[0.487, 0.536]"
"336","provincia","Magallanes","p121","2003",174912,109798,0.497,"[162905, 195691]","[102800, 125735]","[0.466, 0.528]"
"337","provincia","Maipo","p134","2003",122970,71096,0.523,"[114691, 132624]","[66192, 74100]","[0.499, 0.546]"
"338","provincia","Malleco","p92","2003",86429,51737,0.526,"[81627, 91507]","[50708, 53113]","[0.498, 0.552]"
"339","provincia","Marga Marga","p58","2003",117102,82352,0.458,"[112886, 123857]","[78212, 84068]","[0.443, 0.474]"
"340","provincia","Melipilla","p135","2003",140278,67673,0.587,"[126184, 155541]","[64784, 69821]","[0.547, 0.618]"
"341","provincia","Ñuble","p84","2003",87108,50979,0.515,"[84290, 90928]","[50163, 52714]","[0.503, 0.532]"
"342","provincia","Osorno","p103","2003",104425,56114,0.524,"[96580, 112311]","[52009, 59696]","[0.504, 0.545]"
"343","provincia","Parinacota","p152","2003",77798,50329,0.486,"[70744, 88093]","[43250, 55834]","[0.451, 0.533]"
"344","provincia","Petorca","p54","2003",88992,64528,0.433,"[85276, 93401]","[60809, 66779]","[0.415, 0.453]"
"345","provincia","Quillota","p55","2003",98118,66271,0.445,"[93340, 103512]","[65144, 68879]","[0.43, 0.466]"
"346","provincia","Ranco","p142","2003",73848,45800,0.487,"[70052, 78328]","[44188, 48625]","[0.469, 0.511]"
"347","provincia","San Antonio","p56","2003",96823,67262,0.452,"[92292, 103205]","[65300, 69301]","[0.427, 0.488]"
"348","provincia","San Felipe","p57","2003",96451,65042,0.454,"[91923, 101195]","[63233, 66408]","[0.428, 0.474]"
"349","provincia","Santiago","p131","2003",212226,101430,0.591,"[205508, 221003]","[100050, 102429]","[0.581, 0.603]"
"350","provincia","Talagante","p136","2003",122175,75450,0.51,"[116345, 128725]","[71721, 76720]","[0.493, 0.525]"
"351","provincia","Talca","p71","2003",117384,65416,0.559,"[105592, 137104]","[62154, 67149]","[0.521, 0.616]"
"352","provincia","Tamarugal","p12","2003",84580,60032,0.444,"[80156, 89215]","[58991, 61959]","[0.422, 0.465]"
"353","provincia","Tierra del Fuego","p123","2003",320412,130606,0.67,"[206739, 540035]","[124378, 136852]","[0.51, 0.79]"
"354","provincia","Tocopilla","p23","2003",116734,91752,0.404,"[111152, 123188]","[86963, 95190]","[0.385, 0.427]"
"355","provincia","Última Esperanza","p124","2003",150726,67907,0.616,"[118673, 197048]","[59469, 72092]","[0.516, 0.699]"
"356","provincia","Valdivia","p141","2003",117306,57091,0.58,"[110114, 126925]","[53943, 59976]","[0.56, 0.599]"
"357","provincia","Valparaíso","p51","2003",124718,82982,0.464,"[119289, 131546]","[80057, 85776]","[0.445, 0.487]"
"358","provincia","Antofagasta","p21","2006",184461,125904,0.459,"[173353, 196456]","[120127, 131543]","[0.438, 0.487]"
"359","provincia","Arauco","p82","2006",78575,57425,0.416,"[76028, 81425]","[55799, 59290]","[0.402, 0.429]"
"360","provincia","Arica","p151","2006",145871,93425,0.524,"[108568, 206088]","[87549, 102227]","[0.369, 0.664]"
"361","provincia","Aysén","p112","2006",158685,110828,0.436,"[149543, 167527]","[104165, 118711]","[0.41, 0.466]"
"362","provincia","Bíobío","p83","2006",112836,69160,0.497,"[107510, 119579]","[67560, 72098]","[0.476, 0.519]"
"363","provincia","Cachapoal","p61","2006",140777,90677,0.465,"[136519, 146607]","[88507, 92810]","[0.453, 0.481]"
"364","provincia","Capitán Prat","p113","2006",196842,152410,0.419,"[185314, 208248]","[143161, 159701]","[0.392, 0.437]"
"365","provincia","Cardenal Caro","p62","2006",95268,65663,0.461,"[91114, 100419]","[64416, 67911]","[0.438, 0.487]"
"366","provincia","Cauquenes","p72","2006",83478,58191,0.438,"[76909, 88502]","[54250, 60906]","[0.408, 0.463]"
"367","provincia","Cautín","p91","2006",125519,74481,0.517,"[120397, 130103]","[72536, 75937]","[0.502, 0.532]"
"368","provincia","Chacabuco","p133","2006",141916,87794,0.501,"[132894, 151514]","[83536, 90075]","[0.476, 0.527]"
"369","provincia","Chañaral","p32","2006",171376,115316,0.466,"[155360, 191906]","[109075, 124406]","[0.417, 0.52]"
"370","provincia","Chiloé","p102","2006",146468,97430,0.453,"[140800, 152146]","[93876, 100695]","[0.441, 0.464]"
"371","provincia","Choapa","p42","2006",114482,75184,0.476,"[108379, 120296]","[71957, 79107]","[0.451, 0.501]"
"372","provincia","Colchagua","p63","2006",113380,77390,0.448,"[109901, 118108]","[75401, 79538]","[0.433, 0.466]"
"373","provincia","Concepción","p81","2006",144707,84683,0.515,"[140443, 148821]","[83439, 85970]","[0.503, 0.526]"
"374","provincia","Copiapó","p31","2006",170294,110845,0.465,"[158694, 182466]","[108431, 118414]","[0.442, 0.494]"
"375","provincia","Cordillera","p152","2006",175404,105195,0.498,"[162245, 188739]","[98613, 110449]","[0.47, 0.522]"
"376","provincia","Coyhaique","p111","2006",153587,119167,0.429,"[142485, 161026]","[105355, 126865]","[0.407, 0.451]"
"377","provincia","Curicó","p73","2006",148769,84128,0.516,"[137654, 159074]","[79433, 86311]","[0.49, 0.54]"
"378","provincia","El Loa","p22","2006",170900,115902,0.441,"[156359, 192502]","[102556, 129425]","[0.403, 0.493]"
"379","provincia","Elqui","p41","2006",140369,84535,0.506,"[131118, 150761]","[81073, 85976]","[0.483, 0.53]"
"380","provincia","General Carrera","p114","2006",207857,121898,0.507,"[188367, 240857]","[112481, 132262]","[0.47, 0.562]"
"381","provincia","Huasco","p33","2006",161926,115470,0.45,"[152073, 173269]","[106050, 119224]","[0.424, 0.48]"
"382","provincia","Iquique","p11","2006",146302,109944,0.427,"[139134, 153801]","[103525, 115731]","[0.406, 0.452]"
"383","provincia","Limarí","p43","2006",84891,62227,0.394,"[80777, 88934]","[61189, 64385]","[0.376, 0.412]"
"384","provincia","Linares","p74","2006",101177,65544,0.488,"[97473, 104927]","[63293, 67328]","[0.473, 0.503]"
"385","provincia","Llanquihue","p101","2006",163914,100612,0.49,"[156573, 174391]","[97640, 105032]","[0.471, 0.514]"
"386","provincia","Los Andes","p53","2006",149521,94670,0.467,"[140172, 160592]","[91059, 100018]","[0.445, 0.497]"
"387","provincia","Magallanes","p121","2006",209808,134216,0.488,"[185581, 237445]","[123801, 145237]","[0.434, 0.531]"
"388","provincia","Maipo","p134","2006",125361,89944,0.446,"[119800, 131032]","[84899, 93061]","[0.427, 0.46]"
"389","provincia","Malleco","p92","2006",99711,58949,0.517,"[95811, 103597]","[57829, 60168]","[0.5, 0.53]"
"390","provincia","Marga Marga","p58","2006",143885,105489,0.443,"[137440, 150756]","[100171, 111626]","[0.42, 0.465]"
"391","provincia","Melipilla","p135","2006",128940,84167,0.477,"[118827, 142239]","[82143, 85035]","[0.438, 0.522]"
"392","provincia","Ñuble","p84","2006",106986,67618,0.495,"[102247, 111623]","[65424, 69214]","[0.479, 0.511]"
"393","provincia","Osorno","p103","2006",132199,80902,0.508,"[122542, 147706]","[79040, 84272]","[0.477, 0.557]"
"394","provincia","Parinacota","p152","2006",99206,69756,0.445,"[89729, 112338]","[63963, 74335]","[0.409, 0.478]"
"395","provincia","Petorca","p54","2006",113671,78141,0.449,"[109165, 121627]","[75313, 80075]","[0.43, 0.473]"
"396","provincia","Quillota","p55","2006",125872,86699,0.447,"[120982, 131110]","[85054, 90960]","[0.431, 0.462]"
"397","provincia","Ranco","p142","2006",105802,61605,0.529,"[97440, 115068]","[60327, 63141]","[0.493, 0.561]"
"398","provincia","San Antonio","p56","2006",124331,79040,0.493,"[117391, 131734]","[76654, 81512]","[0.469, 0.519]"
"399","provincia","San Felipe","p57","2006",109876,84040,0.407,"[105451, 113903]","[81217, 86657]","[0.389, 0.422]"
"400","provincia","Santiago","p131","2006",242443,128799,0.558,"[238066, 248163]","[127439, 131561]","[0.551, 0.565]"
"401","provincia","Talagante","p136","2006",147708,93496,0.492,"[140209, 156456]","[90663, 95878]","[0.47, 0.518]"
"402","provincia","Talca","p71","2006",120262,80580,0.452,"[116463, 124457]","[77724, 83118]","[0.441, 0.463]"
"403","provincia","Tamarugal","p12","2006",134994,85814,0.48,"[124516, 150069]","[83052, 92119]","[0.439, 0.528]"
"404","provincia","Tierra del Fuego","p123","2006",250904,139923,0.523,"[223503, 285111]","[129910, 157094]","[0.466, 0.571]"
"405","provincia","Tocopilla","p23","2006",136655,105683,0.39,"[130187, 146509]","[101629, 108480]","[0.367, 0.421]"
"406","provincia","Última Esperanza","p124","2006",157465,104070,0.496,"[129449, 197175]","[98888, 107266]","[0.412, 0.599]"
"407","provincia","Valdivia","p141","2006",130263,75232,0.503,"[123915, 136772]","[72994, 78900]","[0.485, 0.531]"
"408","provincia","Valparaíso","p51","2006",155649,90130,0.509,"[148731, 164239]","[87413, 92220]","[0.489, 0.528]"
"409","provincia","Antofagasta","p21","2009",196114,143052,0.388,"[188804, 205096]","[138008, 146450]","[0.37, 0.407]"
"410","provincia","Arauco","p82","2009",122659,85453,0.456,"[113033, 136019]","[82522, 86332]","[0.415, 0.511]"
"411","provincia","Arica","p151","2009",187510,133963,0.433,"[176072, 198693]","[127046, 139971]","[0.4, 0.457]"
"412","provincia","Aysén","p112","2009",179410,123915,0.454,"[168844, 191721]","[115303, 134495]","[0.431, 0.482]"
"413","provincia","Bíobío","p83","2009",144408,92858,0.498,"[136107, 154860]","[88403, 97500]","[0.472, 0.53]"
"414","provincia","Cachapoal","p61","2009",180926,121502,0.443,"[175397, 185531]","[118285, 125512]","[0.433, 0.454]"
"415","provincia","Capitán Prat","p113","2009",182191,111126,0.446,"[164881, 199532]","[107757, 135000]","[0.416, 0.469]"
"416","provincia","Cardenal Caro","p62","2009",130412,96472,0.4,"[125689, 136781]","[94007, 98996]","[0.383, 0.421]"
"417","provincia","Cauquenes","p72","2009",130237,81437,0.485,"[118537, 148285]","[77972, 85941]","[0.43, 0.548]"
"418","provincia","Cautín","p91","2009",146549,84717,0.537,"[139175, 155882]","[82826, 87240]","[0.518, 0.555]"
"419","provincia","Chacabuco","p133","2009",174302,116209,0.449,"[162580, 188463]","[108965, 119980]","[0.429, 0.473]"
"420","provincia","Chañaral","p32","2009",200608,138463,0.467,"[186623, 216834]","[132600, 146767]","[0.437, 0.495]"
"421","provincia","Chiloé","p102","2009",155042,112970,0.423,"[149549, 161113]","[108798, 116393]","[0.406, 0.438]"
"422","provincia","Choapa","p42","2009",131756,99168,0.401,"[126429, 136579]","[95628, 103719]","[0.382, 0.417]"
"423","provincia","Colchagua","p63","2009",146824,97746,0.445,"[142170, 152343]","[95700, 99156]","[0.432, 0.459]"
"424","provincia","Concepción","p81","2009",174454,113504,0.475,"[169413, 180165]","[110302, 116466]","[0.462, 0.488]"
"425","provincia","Copiapó","p31","2009",173566,133824,0.42,"[162910, 184680]","[124319, 139520]","[0.4, 0.443]"
"426","provincia","Cordillera","p152","2009",153696,121740,0.382,"[148312, 163279]","[115419, 127027]","[0.366, 0.399]"
"427","provincia","Coyhaique","p111","2009",249780,126159,0.571,"[215693, 281287]","[123015, 139859]","[0.52, 0.603]"
"428","provincia","Curicó","p73","2009",171433,101719,0.506,"[161942, 182674]","[99007, 105872]","[0.486, 0.53]"
"429","provincia","El Loa","p22","2009",232330,176500,0.42,"[220516, 246780]","[159805, 186644]","[0.398, 0.439]"
"430","provincia","Elqui","p41","2009",184050,114177,0.475,"[175008, 192470]","[111706, 118000]","[0.455, 0.492]"
"431","provincia","General Carrera","p114","2009",284960,176953,0.546,"[258294, 322875]","[158533, 188013]","[0.511, 0.574]"
"432","provincia","Huasco","p33","2009",150519,111420,0.434,"[142828, 158464]","[105222, 120000]","[0.413, 0.461]"
"433","provincia","Iquique","p11","2009",177618,132874,0.421,"[168302, 186480]","[127807, 135853]","[0.402, 0.434]"
"434","provincia","Limarí","p43","2009",116482,85793,0.39,"[111981, 120975]","[83716, 89646]","[0.374, 0.405]"
"435","provincia","Linares","p74","2009",116117,84005,0.433,"[110167, 120367]","[81892, 87086]","[0.412, 0.454]"
"436","provincia","Llanquihue","p101","2009",187436,110181,0.508,"[176533, 200588]","[104317, 113068]","[0.482, 0.534]"
"437","provincia","Los Andes","p53","2009",254415,177292,0.446,"[240217, 272744]","[170456, 190173]","[0.427, 0.468]"
"438","provincia","Magallanes","p121","2009",236923,165162,0.481,"[199142, 287440]","[153033, 173775]","[0.404, 0.584]"
"439","provincia","Maipo","p134","2009",152348,120517,0.376,"[146947, 158251]","[116409, 123420]","[0.365, 0.393]"
"440","provincia","Malleco","p92","2009",105947,75000,0.47,"[101802, 111262]","[72946, 76346]","[0.452, 0.491]"
"441","provincia","Marga Marga","p58","2009",171893,124665,0.424,"[164016, 181211]","[119264, 128970]","[0.403, 0.445]"
"442","provincia","Melipilla","p135","2009",165696,116924,0.44,"[156663, 176419]","[111235, 120470]","[0.413, 0.467]"
"443","provincia","Ñuble","p84","2009",131212,90329,0.435,"[126496, 134793]","[88510, 92736]","[0.425, 0.447]"
"444","provincia","Osorno","p103","2009",175165,110128,0.483,"[163029, 189008]","[106863, 114113]","[0.453, 0.519]"
"445","provincia","Parinacota","p152","2009",106566,80098,0.417,"[98176, 114155]","[75000, 88368]","[0.383, 0.443]"
"446","provincia","Petorca","p54","2009",142284,108586,0.378,"[137216, 147716]","[105774, 112465]","[0.359, 0.394]"
"447","provincia","Quillota","p55","2009",148508,102000,0.423,"[141985, 155291]","[98669, 108499]","[0.407, 0.441]"
"448","provincia","Ranco","p142","2009",127874,80994,0.485,"[119582, 142567]","[77675, 85692]","[0.454, 0.525]"
"449","provincia","San Antonio","p56","2009",147566,109604,0.391,"[142029, 158964]","[104359, 115969]","[0.371, 0.423]"
"450","provincia","San Felipe","p57","2009",154667,109178,0.411,"[147806, 162188]","[105459, 112274]","[0.394, 0.433]"
"451","provincia","Santiago","p131","2009",315954,163000,0.568,"[304453, 322542]","[159316, 166467]","[0.559, 0.574]"
"452","provincia","Talagante","p136","2009",169995,115050,0.455,"[163393, 179059]","[112902, 117692]","[0.436, 0.474]"
"453","provincia","Talca","p71","2009",160078,97783,0.495,"[151802, 172324]","[96104, 100861]","[0.468, 0.524]"
"454","provincia","Tamarugal","p12","2009",150477,98537,0.445,"[140214, 162273]","[95448, 103300]","[0.412, 0.473]"
"455","provincia","Tierra del Fuego","p123","2009",498578,201659,0.624,"[401327, 584321]","[188264, 264396]","[0.574, 0.657]"
"456","provincia","Tocopilla","p23","2009",197798,133080,0.434,"[185240, 214307]","[129603, 151114]","[0.41, 0.461]"
"457","provincia","Última Esperanza","p124","2009",204696,132815,0.481,"[187217, 223848]","[122338, 142996]","[0.441, 0.522]"
"458","provincia","Valdivia","p141","2009",147639,97988,0.47,"[139385, 153489]","[93534, 99655]","[0.453, 0.488]"
"459","provincia","Valparaíso","p51","2009",208065,123259,0.517,"[193570, 222576]","[119935, 128593]","[0.491, 0.546]"
"460","provincia","Antofagasta","p21","2011",294492,187719,0.47,"[280943, 323291]","[175157, 195999]","[0.454, 0.499]"
"461","provincia","Arauco","p82","2011",107879,81784,0.399,"[103435, 112174]","[78164, 85659]","[0.382, 0.414]"
"462","provincia","Arica","p151","2011",196137,131135,0.467,"[185040, 229693]","[124757, 135803]","[0.439, 0.543]"
"463","provincia","Aysén","p112","2011",239285,146995,0.497,"[225428, 262032]","[141579, 156867]","[0.474, 0.529]"
"464","provincia","Bíobío","p83","2011",148885,103545,0.44,"[142580, 158575]","[100421, 107996]","[0.42, 0.467]"
"465","provincia","Cachapoal","p61","2011",197296,138018,0.403,"[189907, 210347]","[133772, 145093]","[0.387, 0.429]"
"466","provincia","Capitán Prat","p113","2011",333127,176174,0.514,"[296418, 383375]","[159411, 243597]","[0.471, 0.552]"
"467","provincia","Cardenal Caro","p62","2011",174641,126904,0.419,"[164904, 191439]","[119127, 132334]","[0.39, 0.449]"
"468","provincia","Cauquenes","p72","2011",140152,99060,0.424,"[129219, 148861]","[92143, 109964]","[0.394, 0.458]"
"469","provincia","Cautín","p91","2011",183385,101376,0.532,"[171472, 200028]","[98134, 106261]","[0.514, 0.557]"
