"","geography_division","geography_name","ID_DIRECTORIO","ID_IDENTIFICACION","ANO_TRIMESTRE","MES_CENTRAL","ESTRATO","TIPO","T_MUESTRA","MES_ENCUESTA","HOGAR","ANO_ENCUESTA","NRO_LINEA","EDAD","PARENTESCO","SEXO","CURSO","NIVEL","TERMINO_NIVEL","CINE","PROVEEDOR","NACIONALIDAD","EST_CONYUGAL","GRUPO_EDAD","TPERH","TMENH","TMAYH","A1","A2","A3","A4","A5","A6","A6_OTRO","A7","A8","B1","CISE","B7_1","B7_2","B7_3","B7_4","B7_5","B7_6","B7_7","PRESTACIONES_TOTALES","PRESTACIONES_SOCIALES","TRAM_PL","B8","B9","B10","B11","B12","B13","B14","B14_REV4CL_CAENES","B15_1","B15_2","B16","B16_OTRO","B17_MES","B17_ANO","MESES_EMPLEO","TME","B18_VARIAS","B18_CODIGO","B19","C1","C5","C9","C10","C11","C12","C13","HABITUALES","EFECTIVAS","CONTRATADAS","HABITUALES_TRAMOS","EFECTIVAS_TRAMOS","E1","E2","E3_1","E3_2","E3_3","E3_4","E3_5","E3_6","E3_7","E3_8","E3_9","E3_10","E3_11","E3_12","E3_TOTAL","E4","E6_MES","E6_ANO","E7","E8","E9","E10","E11","E12","E13","E15_MESES","E15_ANOS","E16","E17","E18","E19","E19_OTRO","D1_opcion","D1_opcionB","D1_monto","SS_T","D2_1_opcion","D2_1_monto","D2_1_porcentaje","D2_1_opcionb","D2_1_opcionc","D2_2_opcion","D2_2_monto","D2_2_porcentaje","D2_2_opcionb","D2_2_opcionc","D2_3_opcion","D2_3_monto","D2_3_porcentaje","D2_3_opcionb","D2_3_opcionc","D2_4_opcion","D2_4_monto","D2_4_porcentaje","D2_4_opcionb","D2_4_opcionc","D2_5_opcion","D2_5_monto","D2_5_porcentaje","D2_5_opcionb","D2_5_opcionc","SVAR_T","D3_1_opcion","D3_1_monto","D3_1_porcentaje","D3_1_opcion2","D3_2_opcion","D3_2_monto","D3_2_porcentaje","D3_2_opcion2","D3_3_opcion","D3_3_monto","D3_3_porcentaje","D3_3_opcion2","D3_4_opcion","D3_4_monto","D3_4_porcentaje","D3_4_opcion2","D3_5_opcion","D3_5_monto","D3_5_porcentaje","D3_5_opcion2","D3_6_opcion","D3_6_monto","D3_6_porcentaje","D3_6_opcion2","D3_7_opcion","D3_7_monto","D3_7_porcentaje","D3_7_opcion2","D3_8_opcion","D3_8_monto","D3_8_porcentaje","D3_8_opcion2","D3_9_opcion","D3_9_monto","D3_9_porcentaje","D3_9_opcion2","D3_10_opcion","D3_10_monto","D3_10_porcentaje","D3_10_opcion2","D3_11_opcion","D3_11_otro","D3_11_monto","D3_11_porcentaje","D3_11_opcion2","REG_T","ING_T_D","DIAS","HORAS","D5_opcion","D5_opcionB","D5_monto","D5_promedio","GAN_T","SALUD_OPCION","AFP_INP_OPCION","D7_opcion","D7_monto","D7_promedio","AUTOCONSUMO_T","D8_opcion","D8_monto","AHORROIMP_T","ING_T_I","ING_T_I_AI","ING_T_P","D9_opcion","D9_monto","D9_promedio","D9_opcionb","D9_montob","D9_promediob","ING_OT","ING_T_T","ING_T_T_AI","D10_opcion","D10_monto","D10_promedio","ING_A_P","D11_opcion","D11_monto","D11_promedio","ING_A_OB","ING_A_T","TIPO_VIVIENDA","VIVIENDA_OTRO","D12_monto","D12_estimacion","DIV_IMP","ALQ_IMP","D13_1_opcion","D13_1_tramo","ING_CAH","D13_2_opcion","D13_2_tramo","ING_INT","D13_3_opcion","D13_3_tramo","ING_DIV","ING_P_T","D14_1_opcion","JUBVEJEZ","D14_2_opcion","JUBINVALIDEZ","D14_3_opcion","MONTEPIO","ING_JUB","D14_4_opcion","PORFAND","D14_5_opcion","PDISCAP","D14_6_opcion","PESTADO","D14_7_opcion","PALIMENT","D14_8_opcion","POTRAS","ING_PEN","D14_10_opcion","SUF","D14_12_opcion","SUBOTROS","ING_SUBE","D14_9_opcion","ING_SUBC","D14_11_opcion","BECAEST","D14_13_opcion","DONACIONES","D14_14_opcion","REMESAS","ING_BDR","ING_DR","D14_15_opcion","SALEXT","D14_16_opcion","D14_16_otro","D14_16_monto","D14_17_opcion","D14_17_otro","D14_17_monto","OTRAFUENT","ING_OTROS","ING_AUT_CB","ING_AUT_SB","ING_MON_CB","ING_MON_SB","CSE_ESPECIFICO","FACT","F_PERS","FACT_PER","FACT_HOG","OCUP_REF","TIM","DECILH_CB","DECILH_SB"
"46","comuna","Coihueco",1,1,1,1,1,1,1,1,1,1,1,0.9892,1,1,0.871,1,1,1,1,1,1,1,1,0.4731,1,0.8387,0.3978,0.5161,0.0323,0.3226,0,1,0,0,0.5161,1,0.3656,0.3763,0.3763,0.3763,0.3333,0.3226,0.3441,0.3011,0.2903,0.3011,0.3763,0.3763,0.2258,0.3763,0.3763,1,0.5161,0.5161,0.5161,1,0.5161,1,0.5161,0.5161,0.3978,0.5161,1,1,0.5161,0.5161,0.5161,0.0968,0.5161,0.3226,0.3226,0.1935,0.5161,0.5161,0.3763,1,1,0.3226,0.8387,0.0108,0.0108,0.0538,0.0108,0,0,0,0,0.0108,0,0,0,0.0645,0.0538,0.0108,0.0108,0.0645,0.0645,0.3118,0,0.3226,0.1828,0.3226,0.2258,0.2258,0.2258,1,0.2258,0.2258,1,0.3763,0.2688,0.2688,0.2688,0.2688,0.0108,0,0,0.0108,0.2688,0.0968,0,0.0215,0.1183,0.2688,0,0,0,0,0.2688,0,0,0,0,0.2688,0,0,0,0,0.0968,0.2688,0.0215,0,0,0.2688,0.0645,0,0,0.2688,0,0,0,0.2688,0,0,0,0.2688,0,0,0,0.2688,0.0753,0,0,0.2688,0,0,0,0.2688,0,0,0,0.2688,0.0108,0,0,0.2688,0,0,0,0.2688,1,0,0,0,0.0968,0.2688,0.2688,0.2688,0.1075,0.0968,0.086,0,0.086,0.0968,0.0968,0.0968,0.0215,0,0.0215,0.0968,0.0753,0.0753,0.086,0.0968,0.3548,0.5161,0.0645,0,0.3226,0.0215,0,0.086,0.4409,0.4516,0.8387,0,0,0,0.8387,0,0,0,0,0.2903,1,0.0323,0.2688,0.0108,0.2581,0.8387,0.0215,0.0215,0.8387,0.0108,0,0.8387,0.0108,0.0108,0.0323,0.8387,0.0538,0.8387,0.0108,0.8387,0.0215,0.086,0.8387,0,0.8387,0,0.8387,0.0753,0.8387,0.0323,0.8387,0.0108,0.1183,0.8387,0.0968,0.8387,0.1505,0.2258,0.8387,0,0.8387,0.2043,0.8387,0.0323,0.8387,0,0.2258,0.0323,0.8387,0,0.8387,1,0,0,1,0,0,0,0.6989,0.6129,0.6989,0.6129,1,1,1,1,1,0.5161,1,1,1
"47","comuna","Colbún",1,1,1,1,1,1,1,1,1,1,1,0.986,1,1,0.8252,1,1,1,1,1,1,1,1,0.5594,1,0.8042,0.4336,0.3776,0,0.4266,0.028,1,0.007,0.007,0.4056,1,0.2587,0.2587,0.2587,0.2587,0.2517,0.2587,0.2517,0.1888,0.1888,0.1888,0.2587,0.2587,0.1259,0.2587,0.2448,1,0.4056,0.4056,0.3916,1,0.3916,1,0.4056,0.4056,0.3636,0.4056,1,1,0.4056,0.4056,0.4056,0.0559,0.4056,0.1678,0.1678,0.2378,0.4056,0.3776,0.2587,1,1,0.3986,0.8042,0.021,0.049,0.035,0.014,0,0,0,0,0,0,0,0,0.049,0.035,0.014,0.014,0.049,0.049,0.3846,0,0.3986,0.3217,0.3986,0.2867,0.2867,0.2867,1,0.2867,0.2867,1,0.2587,0.2238,0.2238,0.2238,0.2238,0.014,0,0,0.014,0.2238,0.014,0,0.007,0.021,0.2238,0,0,0,0,0.2238,0.014,0,0,0.014,0.2238,0,0,0,0,0.042,0.2238,0.014,0,0,0.2238,0.0699,0,0,0.2238,0,0,0,0.2238,0,0,0,0.2238,0,0,0,0.2238,0.035,0,0,0.2238,0,0,0,0.2238,0,0,0,0.2238,0,0,0,0.2238,0,0,0,0.2238,1,0.014,0,0,0.0909,0.2238,0.2238,0.2238,0.1399,0.1329,0.0699,0.0559,0.1259,0.1329,0.1329,0.1329,0.021,0,0.021,0.1329,0.0629,0.0629,0.1259,0.1329,0.3497,0.4056,0.014,0,0.3986,0.021,0,0.035,0.3776,0.3846,0.8042,0.035,0,0.035,0.8042,0,0,0,0.035,0.2937,1,0,0.2937,0,0.2797,0.8042,0,0,0.8042,0.007,0.007,0.8042,0,0,0.042,0.8042,0.0559,0.8042,0.007,0.8042,0.007,0.0699,0.8042,0,0.8042,0.049,0.8042,0.0839,0.8042,0.035,0.8042,0.014,0.1818,0.8042,0.0699,0.8042,0.1049,0.1538,0.8042,0.021,0.8042,0.1608,0.8042,0.021,0.8042,0,0.1748,0.021,0.8042,0,0.8042,1,0,0,1,0,0,0,0.6503,0.6084,0.6643,0.6294,1,1,1,1,1,0.4056,1,1,1
"48","comuna","Colina",1,1,1,1,1,1,1,1,1,1,1,0.9804,1,1,0.824,1,1,1,1,1,1,1,0.9976,0.6599,0.9976,0.7541,0.3346,0.4273,0.0016,0.3268,0.0228,1,0.0071,0.0063,0.4493,1,0.3229,0.3244,0.3268,0.3276,0.3213,0.3071,0.2844,0.2569,0.2522,0.2569,0.3441,0.3441,0.1021,0.3441,0.3166,1,0.4493,0.4493,0.4218,1,0.4218,1,0.4493,0.4493,0.4187,0.4493,1,1,0.4493,0.4493,0.4493,0.0958,0.4493,0.1328,0.1328,0.3166,0.4493,0.4313,0.3441,1,1,0.3048,0.7541,0.0306,0.0126,0.0267,0.0228,0.0024,0,0,0,0.0024,0,0,0.0031,0.066,0.0291,0.0338,0.0338,0.0628,0.0628,0.271,0.0055,0.2875,0.2223,0.3048,0.1964,0.1972,0.2019,1,0.2019,0.2019,1,0.3441,0.3213,0.3189,0.3189,0.3213,0.0165,0,0,0.0165,0.3213,0.0597,0,0.0039,0.0636,0.3213,0.0024,0,0,0.0024,0.3213,0.0204,0,0.0039,0.0244,0.3213,0.0118,0,0.0008,0.0126,0.0495,0.3213,0.0071,0,0,0.3213,0.0848,0,0.0047,0.3213,0.0008,0,0,0.3213,0.0039,0,0,0.3213,0.0008,0,0,0.3213,0.0628,0,0.0047,0.3213,0.0031,0,0.0008,0.3213,0.0086,0,0.0016,0.3213,0.0024,0,0,0.3213,0.0008,0,0,0.3213,1,0.0008,0,0,0.1218,0.3205,0.3213,0.3213,0.1005,0.0927,0.0762,0.0165,0.0927,0.0927,0.0927,0.0927,0.0165,0.0031,0.0196,0.0927,0.0259,0.0259,0.0927,0.0911,0.4132,0.4493,0.0267,0.0024,0.3048,0.0236,0.0008,0.0534,0.4478,0.4462,0.7541,0.0079,0,0.0079,0.7541,0,0,0,0.0079,0.2922,1,0.0856,0.2333,0.0267,0.2019,0.7541,0.0118,0.011,0.7541,0.0055,0.0039,0.7541,0,0,0.0212,0.7541,0.055,0.7541,0.0055,0.7541,0.0126,0.0723,0.7541,0.0016,0.7541,0.0094,0.7541,0.0291,0.7541,0.0236,0.7541,0.0024,0.0628,0.7541,0.0589,0.7541,0.0283,0.0817,0.7541,0.0016,0.7541,0.1846,0.7541,0.0196,0.7541,0,0.1964,0.0196,0.7541,0,0.7541,1,0,0,1,0,0,0,0.608,0.5452,0.6151,0.5577,1,1,1,1,1,0.4493,1,1,1
"49","comuna","Collipulli",1,1,1,1,1,1,1,1,1,1,1,0.9886,1,1,0.8457,1,1,1,1,1,1,1,1,0.5257,1,0.7943,0.36,0.4686,0.0114,0.3257,0.0057,1,0,0,0.4743,1,0.2571,0.2571,0.2571,0.2571,0.2571,0.2571,0.2571,0.2229,0.2229,0.2229,0.2571,0.2571,0.1029,0.2571,0.2457,1,0.4743,0.4743,0.4629,1,0.4629,1,0.4743,0.4743,0.44,0.4743,1,1,0.4743,0.4743,0.4743,0.0857,0.4743,0.2171,0.2171,0.2571,0.4743,0.4743,0.2571,1,1,0.32,0.7943,0.0171,0.0229,0.0171,0.0114,0,0,0,0,0,0,0,0,0.0343,0.0229,0.0114,0.0114,0.0343,0.0343,0.3086,0,0.32,0.2686,0.32,0.2343,0.2343,0.2343,1,0.2343,0.2343,1,0.2571,0.2286,0.2171,0.2171,0.2286,0.0457,0,0,0.0457,0.2286,0.04,0.0057,0,0.0457,0.2286,0,0,0,0,0.2286,0.0171,0,0,0.0171,0.2286,0.0114,0,0,0.0114,0.0457,0.2286,0.0229,0,0,0.2286,0.0514,0,0,0.2286,0,0,0,0.2286,0,0,0,0.2286,0.0057,0,0,0.2286,0.0171,0,0,0.2286,0,0,0,0.2286,0,0,0,0.2286,0,0,0,0.2286,0.0057,0,0,0.2286,1,0.0057,0,0,0.0857,0.2286,0.2286,0.2286,0.2057,0.2,0.0914,0.1086,0.2,0.2,0.2,0.2,0.0571,0.0343,0.0914,0.2,0.0914,0.0914,0.2,0.2,0.4286,0.4743,0.0629,0.0114,0.32,0,0,0.0743,0.4286,0.4286,0.7943,0.0114,0.0057,0.0171,0.7943,0,0,0,0.0171,0.3714,1,0.0229,0.3486,0,0.3314,0.7943,0.0114,0.0114,0.7943,0.0114,0.0114,0.7943,0.0114,0.0114,0.0514,0.7943,0.0857,0.7943,0,0.7943,0.0286,0.1086,0.7943,0.0057,0.7943,0.0286,0.7943,0.08,0.7943,0.0286,0.7943,0.0114,0.1543,0.7943,0.0686,0.7943,0.0971,0.1371,0.7943,0.0057,0.7943,0.1086,0.7943,0.0286,0.7943,0,0.1314,0.0286,0.7943,0,0.7943,1,0,0,1,0,0,0,0.6343,0.6057,0.6457,0.6229,1,1,1,1,1,0.4743,1,1,1
"50","comuna","Coltauco",1,1,1,1,1,1,1,1,1,1,1,0.9884,1,1,0.8837,1,1,1,1,1,1,1,1,0.5814,1,0.8256,0.3256,0.5,0,0.3256,0.0116,1,0,0,0.5116,1,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.3488,0.3372,0.3488,0.4419,0.4419,0.1395,0.4419,0.407,1,0.5116,0.5116,0.4767,1,0.4767,1,0.5116,0.5116,0.4884,0.5116,1,1,0.5116,0.5116,0.5116,0.0698,0.5116,0.2209,0.2209,0.2907,0.5116,0.5,0.4419,1,1,0.314,0.8256,0.0349,0,0.0116,0.0116,0,0,0.0116,0,0,0,0,0,0.0465,0.0116,0.0349,0.0349,0.0465,0.0465,0.2791,0,0.314,0.2674,0.314,0.1744,0.1744,0.1744,1,0.1744,0.1744,1,0.4419,0.4186,0.4186,0.4186,0.4186,0.0233,0,0,0.0233,0.4186,0,0,0,0,0.4186,0,0,0,0,0.4186,0.0233,0,0,0.0233,0.4186,0,0,0,0,0.0116,0.4186,0.0465,0,0,0.4186,0.0233,0,0,0.4186,0,0,0,0.4186,0,0,0,0.4186,0.0116,0,0,0.4186,0.0233,0,0,0.4186,0,0,0,0.4186,0,0,0,0.4186,0,0,0,0.4186,0,0,0,0.4186,1,0.0349,0,0,0.093,0.4186,0.4186,0.4186,0.0698,0.0698,0.0581,0.0116,0.0698,0.0698,0.0698,0.0698,0.0116,0,0.0116,0.0698,0.0116,0.0116,0.0698,0.0698,0.4884,0.5116,0.0465,0,0.314,0.0233,0,0.0698,0.5233,0.5233,0.8256,0.0116,0,0.0116,0.8256,0,0,0,0.0116,0.3256,1,0.0465,0.2907,0.0116,0.2326,0.8256,0,0,0.8256,0,0,0.8256,0,0,0.0116,0.8256,0.1047,0.8256,0,0.8256,0.0349,0.1395,0.8256,0,0.8256,0.0116,0.8256,0.0581,0.8256,0.0116,0.8256,0.0116,0.0814,0.8256,0.0465,0.8256,0.0116,0.0465,0.8256,0,0.8256,0.1977,0.8256,0.0233,0.8256,0,0.1977,0.0233,0.8256,0,0.8256,1,0.0116,0.0116,1,0,0.0116,0.0116,0.7209,0.686,0.7209,0.686,1,1,1,1,1,0.5116,1,1,1
"51","comuna","Combarbalá",1,1,1,1,1,1,1,1,1,1,1,0.9885,1,1,0.8038,1,1,1,1,1,1,1,1,0.6269,1,0.7385,0.3038,0.4346,0.0423,0.3038,0.0385,1,0.0115,0.0115,0.4692,1,0.3,0.3,0.3,0.3,0.2962,0.3,0.2962,0.2269,0.2231,0.2269,0.3,0.3,0.1692,0.3,0.2846,1,0.4692,0.4692,0.4538,1,0.4538,1,0.4692,0.4692,0.4346,0.4692,1,1,0.4692,0.4692,0.4692,0.0846,0.4692,0.1538,0.1538,0.3154,0.4692,0.4385,0.3,1,1,0.2692,0.7385,0,0.0115,0,0.0038,0,0,0,0,0,0,0,0,0.0154,0.0038,0.0115,0.0115,0.0154,0.0154,0.2577,0.0038,0.2692,0.2385,0.2692,0.1962,0.2,0.2,1,0.2,0.2,1,0.3,0.2731,0.2731,0.2731,0.2731,0.0231,0,0,0.0231,0.2731,0,0,0,0,0.2731,0,0,0,0,0.2731,0.0077,0,0,0.0077,0.2731,0.0038,0,0,0.0038,0.0115,0.2731,0,0,0,0.2731,0.0308,0,0,0.2731,0,0,0,0.2731,0,0,0,0.2731,0,0,0,0.2731,0.0192,0,0,0.2731,0,0,0,0.2731,0,0,0,0.2731,0,0,0,0.2731,0.0038,0,0,0.2731,1,0,0,0,0.0346,0.2731,0.2731,0.2731,0.1231,0.1192,0.0808,0.0231,0.1038,0.1192,0.1192,0.1192,0.0808,0,0.0808,0.1192,0.0385,0.0385,0.1115,0.1115,0.3846,0.4692,0.0538,0,0.2692,0.0192,0,0.0731,0.4154,0.4154,0.7385,0.0077,0,0.0077,0.7385,0.0038,0,0.0038,0.0115,0.3731,1,0.0269,0.3462,0,0.3462,0.7385,0.0269,0.0269,0.7385,0,0,0.7385,0,0,0.0385,0.7385,0.0923,0.7385,0.0038,0.7385,0.0385,0.1346,0.7385,0,0.7385,0.0192,0.7385,0.0692,0.7385,0.0538,0.7385,0.0154,0.15,0.7385,0.0808,0.7385,0.2231,0.2615,0.7385,0,0.7385,0.1577,0.7385,0.0269,0.7385,0,0.1692,0.0269,0.7385,0,0.7385,1,0,0,1,0,0,0,0.6462,0.6231,0.6538,0.6385,1,1,1,1,1,0.4692,1,1,1
"52","comuna","Concepción",1,1,1,1,1,1,1,1,1,1,1,0.9937,1,1,0.8909,1,1,1,1,1,1,1,1,0.452,1,0.8422,0.4489,0.4143,0.0063,0.4279,0.0299,1,0.0115,0.0105,0.4436,1,0.3246,0.3309,0.3309,0.3309,0.3288,0.3246,0.3068,0.2737,0.2685,0.2737,0.3325,0.3325,0.1038,0.3325,0.3073,1,0.4436,0.4436,0.4185,1,0.4185,1,0.4436,0.4436,0.4232,0.4436,1,1,0.4436,0.4436,0.4436,0.1148,0.4436,0.1594,0.1594,0.2842,0.4436,0.4169,0.3325,1,1,0.3985,0.8422,0.0399,0.0184,0.0252,0.0252,0.0016,0,0,0.0016,0,0,0,0,0.0614,0.032,0.0288,0.0288,0.0608,0.0608,0.3697,0.001,0.387,0.2989,0.3985,0.2533,0.259,0.2622,1,0.2622,0.2622,1,0.3325,0.3167,0.3162,0.3162,0.3167,0.0058,0,0.0016,0.0073,0.3167,0.0446,0,0.0047,0.0493,0.3167,0.0068,0.0005,0.0005,0.0079,0.3167,0.0068,0,0.0021,0.0089,0.3167,0.0147,0,0.0005,0.0152,0.0425,0.3167,0.001,0,0,0.3167,0.0561,0,0,0.3167,0.001,0,0,0.3167,0.0021,0,0,0.3167,0.001,0,0,0.3167,0.0357,0,0,0.3167,0.0037,0,0,0.3167,0.0079,0,0.0005,0.3167,0.0026,0,0,0.3167,0,0,0,0.3167,1,0.0005,0,0,0.086,0.3167,0.3167,0.3167,0.1012,0.0965,0.086,0.0094,0.0954,0.0965,0.0965,0.0965,0.0163,0.0005,0.0168,0.0965,0.0168,0.0168,0.0954,0.0954,0.4122,0.4436,0.0372,0.001,0.3985,0.0173,0,0.0556,0.4379,0.4379,0.8422,0.0262,0,0.0262,0.8422,0.0005,0,0.0005,0.0267,0.344,1,0.1211,0.2716,0.042,0.2213,0.8422,0.0131,0.0131,0.8422,0.0094,0.0094,0.8422,0.001,0.001,0.0467,0.8422,0.1033,0.8422,0.0084,0.8422,0.0309,0.1363,0.8422,0.0016,0.8422,0.0047,0.8422,0.0309,0.8422,0.0199,0.8422,0.0052,0.0624,0.8422,0.0215,0.8422,0.0603,0.0745,0.8422,0.0031,0.8422,0.1694,0.8422,0.0598,0.8422,0.001,0.2092,0.0608,0.8422,0.001,0.8422,1,0,0,1,0,0,0.001,0.6922,0.6245,0.6953,0.6314,1,1,1,1,1,0.4436,1,1,1
"53","comuna","Conchalí",1,1,1,1,1,1,1,1,1,1,1,0.9882,1,1,0.8731,1,1,1,1,1,1,1,0.9949,0.5567,1,0.8122,0.3604,0.4552,0,0.357,0.0288,1,0.0102,0.0102,0.4822,1,0.357,0.3655,0.3638,0.3638,0.3621,0.3536,0.2978,0.3113,0.3012,0.3113,0.3723,0.3723,0.0846,0.3723,0.3435,1,0.4822,0.4822,0.4535,1,0.4535,1,0.4822,0.4822,0.4535,0.4822,1,1,0.4822,0.4822,0.4822,0.132,0.4822,0.1624,0.1624,0.3198,0.4822,0.4552,0.3723,1,1,0.3299,0.8122,0.0338,0.0034,0.0254,0.0305,0,0,0,0,0,0,0,0,0.0558,0.022,0.0338,0.0338,0.0558,0.0558,0.2961,0.0051,0.3266,0.264,0.3299,0.203,0.203,0.2132,1,0.2132,0.2132,1,0.3723,0.3503,0.3503,0.3503,0.3503,0.0051,0,0,0.0051,0.3503,0.0728,0,0.0085,0.0812,0.3503,0,0,0.0017,0.0017,0.3503,0.0102,0,0,0.0102,0.3503,0.0017,0,0,0.0017,0.0609,0.3503,0.0017,0,0,0.3503,0.1117,0,0,0.3503,0,0,0,0.3503,0.0017,0,0,0.3503,0,0,0,0.3503,0.0558,0,0,0.3503,0.0017,0,0,0.3503,0.0051,0,0,0.3503,0,0,0,0.3503,0.0017,0,0,0.3503,1,0.0034,0,0,0.1354,0.3503,0.3503,0.3503,0.1066,0.0998,0.0846,0.0118,0.0964,0.0998,0.0998,0.0998,0.0135,0,0.0135,0.0998,0.0186,0.0186,0.0964,0.0964,0.4467,0.4822,0.0186,0,0.3299,0.0271,0,0.0457,0.4805,0.4805,0.8122,0.0203,0,0.0203,0.8122,0.0017,0,0.0017,0.022,0.2927,1,0.0964,0.2132,0.0152,0.1929,0.8122,0.0068,0.0068,0.8122,0,0,0.8122,0,0,0.0254,0.8122,0.0728,0.8122,0.0118,0.8122,0.0169,0.1015,0.8122,0.0068,0.8122,0.0068,0.8122,0.0288,0.8122,0.0169,0.8122,0.0051,0.0643,0.8122,0.0355,0.8122,0.0152,0.0491,0.8122,0.0017,0.8122,0.1794,0.8122,0.0237,0.8122,0,0.198,0.0237,0.8122,0,0.8122,1,0,0,1,0,0,0,0.687,0.6108,0.6887,0.6176,1,1,1,1,1,0.4822,1,1,1
"54","comuna","Concón",1,1,1,1,1,1,1,1,1,1,1,0.9926,1,1,0.871,1,1,1,1,1,1,1,1,0.5261,1,0.7965,0.3722,0.4293,0.0099,0.3672,0.0199,1,0.0124,0.0124,0.4417,1,0.3251,0.3251,0.3251,0.3251,0.3226,0.3251,0.3251,0.2581,0.2556,0.2581,0.3251,0.3251,0.0794,0.3251,0.2978,1,0.4417,0.4417,0.4144,1,0.4144,1,0.4417,0.4417,0.4218,0.4417,1,1,0.4417,0.4417,0.4417,0.1141,0.4417,0.0918,0.0918,0.3499,0.4417,0.4318,0.3251,1,1,0.3548,0.7965,0.0273,0.0099,0.0298,0.0347,0,0,0.0074,0.0025,0.0025,0,0,0,0.067,0.0273,0.0372,0.0372,0.0645,0.0645,0.3176,0.0025,0.3474,0.2655,0.3548,0.2184,0.2233,0.2233,1,0.2233,0.2233,1,0.3251,0.3077,0.3077,0.3077,0.3077,0.0124,0,0,0.0124,0.3077,0.0372,0,0.0025,0.0397,0.3077,0.005,0,0,0.005,0.3077,0.0099,0,0,0.0099,0.3077,0.0074,0,0,0.0074,0.0521,0.3077,0.0025,0,0,0.3077,0.072,0,0,0.3077,0,0,0,0.3077,0,0,0,0.3077,0.0025,0,0,0.3077,0.0149,0,0,0.3077,0.005,0,0,0.3077,0.0025,0,0,0.3077,0,0,0,0.3077,0,0,0,0.3077,1,0,0,0,0.0844,0.3077,0.3077,0.3077,0.1067,0.1042,0.0769,0.0248,0.1017,0.1042,0.1042,0.1042,0.0124,0.0025,0.0149,0.1042,0.0372,0.0372,0.1017,0.0968,0.4094,0.4417,0.0298,0.0099,0.3548,0.0124,0,0.0521,0.4243,0.4194,0.7965,0.0372,0,0.0372,0.7965,0.0025,0,0.0025,0.0397,0.2978,1,0.1017,0.2531,0.0471,0.1935,0.7965,0.0174,0.0174,0.7965,0.0124,0.0124,0.7965,0.0074,0.0074,0.0645,0.7965,0.0844,0.7965,0,0.7965,0.0298,0.1117,0.7965,0,0.7965,0.005,0.7965,0.0174,0.7965,0.0273,0.7965,0.0074,0.0571,0.7965,0.0099,0.7965,0.0347,0.0447,0.7965,0,0.7965,0.1414,0.7965,0.0149,0.7965,0,0.1514,0.0149,0.7965,0,0.7965,1,0.0074,0.0074,1,0,0.0074,0.0074,0.6253,0.5682,0.6278,0.5707,1,1,1,1,1,0.4417,1,1,1
"55","comuna","Constitución",1,1,1,1,1,1,1,1,1,1,1,0.981,1,1,0.8389,1,1,1,1,1,1,1,1,0.545,1,0.782,0.327,0.455,0.0237,0.327,0.0284,1,0.019,0.0142,0.4787,1,0.3223,0.327,0.327,0.327,0.327,0.3223,0.3175,0.2275,0.2275,0.2275,0.327,0.327,0.1185,0.327,0.3081,1,0.4787,0.4787,0.4597,1,0.4597,1,0.4787,0.4787,0.455,0.4787,1,1,0.4787,0.4787,0.4787,0.1896,0.4787,0.1232,0.1232,0.3555,0.4787,0.4597,0.327,1,1,0.3033,0.782,0.0095,0.0142,0.0237,0,0,0,0,0,0,0,0,0,0.0284,0.0095,0.0142,0.0142,0.0237,0.0237,0.2891,0.0047,0.2844,0.1754,0.3033,0.1943,0.1943,0.1943,1,0.1943,0.1943,1,0.327,0.3128,0.3128,0.3128,0.3128,0.0095,0,0,0.0095,0.3128,0.0474,0,0,0.0474,0.3128,0,0,0,0,0.3128,0.0047,0,0,0.0047,0.3128,0,0,0,0,0.0569,0.3128,0.0095,0,0,0.3128,0.0616,0,0,0.3128,0.0047,0,0,0.3128,0,0,0,0.3128,0,0,0,0.3128,0.0758,0,0,0.3128,0,0,0,0.3128,0,0,0,0.3128,0.0095,0,0,0.3128,0,0,0,0.3128,1,0,0,0,0.1137,0.3128,0.3128,0.3128,0.1469,0.1374,0.1327,0.0047,0.1374,0.1374,0.1374,0.1374,0.0379,0,0.0379,0.1374,0.0332,0.0332,0.1374,0.128,0.4502,0.4787,0.0332,0,0.3033,0.019,0,0.0521,0.4834,0.4739,0.782,0.0237,0,0.0237,0.782,0,0,0,0.0237,0.346,1,0.0427,0.3128,0.0095,0.2938,0.782,0.0095,0.0095,0.782,0,0,0.782,0,0,0.0332,0.782,0.0521,0.782,0.0047,0.782,0.0379,0.09,0.782,0.0047,0.782,0.019,0.782,0.019,0.782,0.0237,0.782,0,0.0664,0.782,0.0427,0.782,0.0569,0.0948,0.782,0.0047,0.782,0.1659,0.782,0.0142,0.782,0,0.1801,0.0142,0.782,0,0.782,1,0,0,1,0,0,0,0.6303,0.5829,0.6398,0.5972,1,1,1,1,1,0.4787,1,1,1
