"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"55","provincia","Cautín","p91","Hombre",2011,324107.278973413,219296.794208893,"[295431, 351723]","[200967, 247830]"
"56","provincia","Cautín","p91","Hombre",2012,337878.332544736,240000,"[306746, 380187]","[217846, 256533]"
"57","provincia","Cautín","p91","Hombre",2013,354882.12113916,249055.92519331,"[315571, 417290]","[216101, 260286]"
"58","provincia","Cautín","p91","Hombre",2014,405292.761335762,275384.173641169,"[370517, 443650]","[249953, 299944]"
"59","provincia","Cautín","p91","Hombre",2015,434394.469185906,301222.383194496,"[394875, 481355]","[283934, 350000]"
"60","provincia","Chacabuco","p133","Hombre",2010,432874.235163493,250000,"[357331, 526670]","[230225, 272526]"
"61","provincia","Chacabuco","p133","Hombre",2011,620132.86249027,265771.582327137,"[492100, 756953]","[250572, 300000]"
"62","provincia","Chacabuco","p133","Hombre",2012,813750.099790398,298172.277812893,"[680127, 1020441]","[260040, 312619]"
"63","provincia","Chacabuco","p133","Hombre",2013,678422.334984221,300406.687754181,"[536364, 862562]","[280000, 349076]"
"64","provincia","Chacabuco","p133","Hombre",2014,663994.651441657,349934.370898181,"[523701, 825048]","[317499, 371080]"
"65","provincia","Chacabuco","p133","Hombre",2015,656914.663007401,371525.312510927,"[510220, 835200]","[345489, 400000]"
"66","provincia","Chañaral","p32","Hombre",2010,420592.935056973,324068.336392889,"[364552, 488480]","[299795, 370367]"
"67","provincia","Chañaral","p32","Hombre",2011,499648.435516439,403081.205289085,"[419659, 578636]","[340000, 525027]"
"68","provincia","Chañaral","p32","Hombre",2012,526776.954722723,455145.107296944,"[450493, 637540]","[324045, 564084]"
"69","provincia","Chañaral","p32","Hombre",2013,673860.73370075,453866.670587092,"[499289, 945416]","[357983, 600121]"
"70","provincia","Chañaral","p32","Hombre",2014,535704.264088494,454698.163885009,"[424245, 701814]","[321060, 542177]"
"71","provincia","Chañaral","p32","Hombre",2015,564442.315295834,448597.286232732,"[432326, 672709]","[376105, 545004]"
"72","provincia","Chiloé","p102","Hombre",2010,268116.387388541,178563.792456602,"[233000, 308698]","[156312, 200103]"
"73","provincia","Chiloé","p102","Hombre",2011,294970.380078708,219296.794208893,"[267221, 322239]","[200792, 230234]"
"74","provincia","Chiloé","p102","Hombre",2012,380923.650767475,250000,"[326173, 445898]","[200668, 272238]"
"75","provincia","Chiloé","p102","Hombre",2013,349250.855284729,263402.981086856,"[311162, 407746]","[249056, 298867]"
"76","provincia","Chiloé","p102","Hombre",2014,422314.953482214,269949.37183574,"[360002, 482045]","[249967, 300000]"
"77","provincia","Chiloé","p102","Hombre",2015,420991.81171179,300081.183474654,"[378284, 467283]","[271100, 301222]"
"78","provincia","Choapa","p42","Hombre",2010,357644.426979663,220215.306322176,"[313267, 419499]","[199985, 250091]"
"79","provincia","Choapa","p42","Hombre",2011,326339.172279828,240894.189423643,"[283092, 386261]","[206202, 268563]"
"80","provincia","Choapa","p42","Hombre",2012,350371.704863216,281573.903427939,"[312142, 390170]","[267334, 301686]"
"81","provincia","Choapa","p42","Hombre",2013,431150.731687681,300160.939216841,"[364447, 501036]","[282797, 335934]"
"82","provincia","Choapa","p42","Hombre",2014,420343.739015818,304091.168469925,"[361584, 466386]","[291767, 359872]"
"83","provincia","Choapa","p42","Hombre",2015,488004.470598653,369025.742540561,"[428723, 568604]","[300844, 401630]"
"84","provincia","Colchagua","p63","Hombre",2010,286254.223622065,199883.226283276,"[255225, 316864]","[194360, 203394]"
"85","provincia","Colchagua","p63","Hombre",2011,323223.118737019,229359.552155752,"[293623, 374372]","[211780, 249201]"
