"","sex","geography_name","geography_id","year","ub_weighted_median"
"128","Hombre","Calle Larga",24,2012,321518
"129","Hombre","Calle Larga",24,2013,319523
"130","Hombre","Calle Larga",24,2014,354387
"131","Hombre","Calle Larga",24,2015,430353
"132","Hombre","Camarones",25,2010,298362
"133","Hombre","Camarones",25,2011,164948
"134","Hombre","Camarones",25,2012,148139
"135","Hombre","Camarones",25,2013,185251
"136","Hombre","Camiña",26,2011,180870
"137","Hombre","Camiña",26,2012,284214
"138","Hombre","Camiña",26,2013,150203
"139","Hombre","Camiña",26,2014,210000
"140","Hombre","Camiña",26,2015,125464
"141","Hombre","Canela",27,2010,419838
"142","Hombre","Canela",27,2011,392890
"143","Hombre","Canela",27,2012,342633
"144","Hombre","Canela",27,2013,499309
"145","Hombre","Canela",27,2014,399963
"146","Hombre","Canela",27,2015,451269
"147","Hombre","Cañete",28,2010,204865
"148","Hombre","Cañete",28,2011,200967
"149","Hombre","Cañete",28,2012,200799
"150","Hombre","Cañete",28,2013,236511
"151","Hombre","Cañete",28,2014,225000
"152","Hombre","Cañete",28,2015,279537
"153","Hombre","Carahue",29,2010,128982
"154","Hombre","Carahue",29,2011,115066
"155","Hombre","Carahue",29,2012,119291
"156","Hombre","Carahue",29,2013,129248
"157","Hombre","Carahue",29,2014,185937
"158","Hombre","Carahue",29,2015,200000
"159","Hombre","Cartagena",30,2010,220000
"160","Hombre","Cartagena",30,2011,377539
"161","Hombre","Cartagena",30,2012,351579
"162","Hombre","Cartagena",30,2013,298867
"163","Hombre","Cartagena",30,2014,321252
"164","Hombre","Cartagena",30,2015,510138
"165","Hombre","Casablanca",31,2010,600314
"166","Hombre","Casablanca",31,2011,593098
"167","Hombre","Casablanca",31,2012,251128
"168","Hombre","Casablanca",31,2014,424377
"169","Hombre","Casablanca",31,2015,446813
"170","Hombre","Castro",32,2010,200063
"171","Hombre","Castro",32,2011,299475
"172","Hombre","Castro",32,2012,351783
"173","Hombre","Castro",32,2013,321238
"174","Hombre","Castro",32,2014,314694
"175","Hombre","Castro",32,2015,357610
"176","Hombre","Catemu",33,2010,267463
"177","Hombre","Catemu",33,2011,290401
"178","Hombre","Catemu",33,2012,406374
"179","Hombre","Catemu",33,2013,398049
"180","Hombre","Catemu",33,2014,499990
"181","Hombre","Catemu",33,2015,401869
"182","Hombre","Cauquenes",34,2010,174241
"183","Hombre","Cauquenes",34,2011,201184
"184","Hombre","Cauquenes",34,2012,235731
"185","Hombre","Cauquenes",34,2013,240434
"186","Hombre","Cauquenes",34,2014,252561
"187","Hombre","Cauquenes",34,2015,251613
"188","Hombre","Cerrillos",35,2010,291987
"189","Hombre","Cerrillos",35,2011,514226
"190","Hombre","Cerrillos",35,2012,652932
"191","Hombre","Cerrillos",35,2013,640578
"192","Hombre","Cerrillos",35,2014,499945
"193","Hombre","Cerrillos",35,2015,528465
"194","Hombre","Cerro Navia",36,2010,260254
"195","Hombre","Cerro Navia",36,2011,297478
"196","Hombre","Cerro Navia",36,2012,316392
"197","Hombre","Cerro Navia",36,2013,334505
"198","Hombre","Cerro Navia",36,2014,390579
"199","Hombre","Cerro Navia",36,2015,400057
"200","Hombre","Chañaral",39,2010,319822
"201","Hombre","Chañaral",39,2011,633611
"202","Hombre","Chañaral",39,2012,552870
"203","Hombre","Chañaral",39,2013,640469
"204","Hombre","Chañaral",39,2014,500221
