"","sex","year","ub_weighted_median"
"1","Hombre",2010,250245
"2","Hombre",2011,290000
"3","Hombre",2012,301686
"4","Hombre",2013,350000
"5","Hombre",2014,359932
"6","Hombre",2015,400000
"7","Mujer",2010,199863
"8","Mujer",2011,210145
"9","Mujer",2012,241268
"10","Mujer",2013,250339
"11","Mujer",2014,282583
"12","Mujer",2015,300081
