"","geography_level","geography_name","geography_id","sex","isced","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","provincia","Antofagasta","p21","Hombre","Doctorado",2010,1498974.10845139,1498974.10845139,"[1498974, 1498974]","[1498974, 1498974]"
"2","provincia","Antofagasta","p21","Hombre","Doctorado",2011,1893926.85907681,1893926.85907681,"[1893927, 1893927]","[1893927, 1893927]"
"3","provincia","Antofagasta","p21","Hombre","Doctorado",2013,925144.877007873,925144.877007873,"[500000, 1494336]","[500000, 1494336]"
"4","provincia","Antofagasta","p21","Hombre","Doctorado",2014,1999878.28853908,1999878.28853908,"[1999625, 2000000]","[1999625, 2000000]"
"5","provincia","Antofagasta","p21","Hombre","Doctorado",2015,2500000,2500000,"[2500000, 2500000]","[2500000, 2500000]"
"6","provincia","Arica","p151","Hombre","Doctorado",2010,1598905.71568148,1598905.71568148,"[1598906, 1598906]","[1598906, 1598906]"
"7","provincia","Arica","p151","Hombre","Doctorado",2011,1348362.28805114,1348362.28805114,"[1348362, 1348362]","[1348362, 1348362]"
"8","provincia","Arica","p151","Hombre","Doctorado",2012,1500000,1500000,"[1500000, 1500000]","[1500000, 1500000]"
"9","provincia","Arica","p151","Hombre","Doctorado",2015,2451866.32994353,2451866.32994353,"[2409779, 2580712]","[2409779, 2580712]"
"10","provincia","Bíobío","p83","Hombre","Doctorado",2010,860000,860000,"[860000, 860000]","[860000, 860000]"
"11","provincia","Bíobío","p83","Hombre","Doctorado",2011,720000,720000,"[720000, 720000]","[720000, 720000]"
"12","provincia","Bíobío","p83","Hombre","Doctorado",2012,82863.1772945077,82863.1772945077,"[82863, 82863]","[82863, 82863]"
"13","provincia","Bíobío","p83","Hombre","Doctorado",2015,2510186.5266208,2510186.5266208,"[2510187, 2510187]","[2510187, 2510187]"
"14","provincia","Cachapoal","p61","Hombre","Doctorado",2010,1331301.62458406,1331301.62458406,"[1331302, 1331302]","[1331302, 1331302]"
"15","provincia","Cachapoal","p61","Hombre","Doctorado",2013,996223.700773242,996223.700773242,"[996224, 996224]","[996224, 996224]"
"16","provincia","Cautín","p91","Hombre","Doctorado",2010,3297192.46689577,3297192.46689577,"[2252202, 6070845]","[2252202, 6070845]"
"17","provincia","Cautín","p91","Hombre","Doctorado",2012,895148.915649074,950790.345842796,"[543035, 1332769]","[543035, 1458151]"
"18","provincia","Cautín","p91","Hombre","Doctorado",2013,2365702.66606417,2365702.66606417,"[2228016, 2503389]","[2228016, 2503389]"
"19","provincia","Cautín","p91","Hombre","Doctorado",2014,1756361.11059758,1756361.11059758,"[1699681, 1943320]","[1699681, 1943320]"
"20","provincia","Cautín","p91","Hombre","Doctorado",2015,1672796.53655733,1672796.53655733,"[1596479, 1700460]","[1596479, 1700460]"
