"","sex","work_day","geography_name","geography_id","year","lb_weighted_median"
"117","Hombre","Completa","Curicó","p73",2013,257456
"118","Hombre","Completa","Curicó","p73",2014,269966
"119","Hombre","Completa","Curicó","p73",2015,305560
"120","Hombre","Completa","El Loa","p22",2010,449767
"121","Hombre","Completa","El Loa","p22",2011,470908
"122","Hombre","Completa","El Loa","p22",2012,602706
"123","Hombre","Completa","El Loa","p22",2013,714767
"124","Hombre","Completa","El Loa","p22",2014,700861
"125","Hombre","Completa","El Loa","p22",2015,658077
"126","Hombre","Completa","Elqui","p41",2010,249829
"127","Hombre","Completa","Elqui","p41",2011,280000
"128","Hombre","Completa","Elqui","p41",2012,352482
"129","Hombre","Completa","Elqui","p41",2013,350000
"130","Hombre","Completa","Elqui","p41",2014,402528
"131","Hombre","Completa","Elqui","p41",2015,400000
"132","Hombre","Completa","General Carrera","p114",2010,170153
"133","Hombre","Completa","General Carrera","p114",2011,182880
"134","Hombre","Completa","General Carrera","p114",2012,375063
"135","Hombre","Completa","General Carrera","p114",2013,314065
"136","Hombre","Completa","General Carrera","p114",2014,244161
"137","Hombre","Completa","General Carrera","p114",2015,274145
"138","Hombre","Completa","Huasco","p33",2010,200196
"139","Hombre","Completa","Huasco","p33",2011,249201
"140","Hombre","Completa","Huasco","p33",2012,255535
"141","Hombre","Completa","Huasco","p33",2013,264335
"142","Hombre","Completa","Huasco","p33",2014,302262
"143","Hombre","Completa","Huasco","p33",2015,301089
"144","Hombre","Completa","Iquique","p11",2010,302131
"145","Hombre","Completa","Iquique","p11",2011,349044
"146","Hombre","Completa","Iquique","p11",2012,380814
"147","Hombre","Completa","Iquique","p11",2013,424382
"148","Hombre","Completa","Iquique","p11",2014,499906
"149","Hombre","Completa","Iquique","p11",2015,450000
"150","Hombre","Completa","Limarí","p43",2010,200000
"151","Hombre","Completa","Limarí","p43",2011,200967
"152","Hombre","Completa","Limarí","p43",2012,250000
"153","Hombre","Completa","Limarí","p43",2013,280700
"154","Hombre","Completa","Limarí","p43",2014,280000
"155","Hombre","Completa","Limarí","p43",2015,281141
"156","Hombre","Completa","Linares","p74",2010,167336
"157","Hombre","Completa","Linares","p74",2011,179425
"158","Hombre","Completa","Linares","p74",2012,200000
"159","Hombre","Completa","Linares","p74",2013,210000
"160","Hombre","Completa","Linares","p74",2014,229712
"161","Hombre","Completa","Linares","p74",2015,274377
"162","Hombre","Completa","Llanquihue","p101",2010,230893
"163","Hombre","Completa","Llanquihue","p101",2011,299041
"164","Hombre","Completa","Llanquihue","p101",2012,300613
"165","Hombre","Completa","Llanquihue","p101",2013,299987
"166","Hombre","Completa","Llanquihue","p101",2014,321538
"167","Hombre","Completa","Llanquihue","p101",2015,394731
"168","Hombre","Completa","Los Andes","p53",2010,299795
"169","Hombre","Completa","Los Andes","p53",2011,320256
"170","Hombre","Completa","Los Andes","p53",2012,331488
"171","Hombre","Completa","Los Andes","p53",2013,356354
"172","Hombre","Completa","Los Andes","p53",2014,386829
"173","Hombre","Completa","Los Andes","p53",2015,400000
"174","Hombre","Completa","Magallanes","p121",2010,391741
"175","Hombre","Completa","Magallanes","p121",2011,401933
"176","Hombre","Completa","Magallanes","p121",2012,450455
"177","Hombre","Completa","Magallanes","p121",2013,450181
