"","sexo","rama","provincia","2011","2013","2015"
"76","Hombre","Administración Pública y Defensa","Bíobío",328200,3e+05,410000
"77","Hombre","Enseñanza","Bíobío",218800,4e+05,4e+05
"78","Hombre","Servicios Sociales y de Salud","Bíobío",328200,465000,475000
"79","Hombre","Servicios Comunitarios, Sociales y Personales","Bíobío",199655,220000,3e+05
"80","Hombre","Servicio Doméstico","Bíobío",150491,201500,195000
"81","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cachapoal",204578,210000,250000
"82","Hombre","Explotación de Minas y Canteras","Cachapoal",539889,6e+05,550000
"83","Hombre","Industrias Manufactureras","Cachapoal",295380,290000,350000
"84","Hombre","Electricidad, Gas y Agua","Cachapoal",350080,3e+05,322500
"85","Hombre","Construcción","Cachapoal",306320,270000,3e+05
"86","Hombre","Comercio","Cachapoal",218800,240000,280000
"87","Hombre","Hoteles y Restaurantes","Cachapoal",218800,242668,3e+05
"88","Hombre","Transporte, Almacenamiento y Comunicaciones","Cachapoal",312680,3e+05,350000
"89","Hombre","Intermediación Financiera","Cachapoal",475890,415000,8e+05
"90","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cachapoal",306320,410000,450000
"91","Hombre","Administración Pública y Defensa","Cachapoal",437600,4e+05,416132
"92","Hombre","Enseñanza","Cachapoal",382900,4e+05,5e+05
"93","Hombre","Servicios Sociales y de Salud","Cachapoal",393840,5e+05,4e+05
"94","Hombre","Servicios Comunitarios, Sociales y Personales","Cachapoal",204578,250000,280000
"95","Hombre","Servicio Doméstico","Cachapoal",269124,210000,245000
"96","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Capitán Prat",308100,2e+05,241000
"97","Hombre","Industrias Manufactureras","Capitán Prat",616200,650000,5e+05
"98","Hombre","Construcción","Capitán Prat",322730,250000,325000
"99","Hombre","Comercio","Capitán Prat",359450,4e+05,3e+05
"100","Hombre","Hoteles y Restaurantes","Capitán Prat",616200,NA,275000
"101","Hombre","Intermediación Financiera","Capitán Prat",199108,NA,NA
"102","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Capitán Prat",765800,4e+05,6e+05
"103","Hombre","Administración Pública y Defensa","Capitán Prat",691000,1850000,6e+05
"104","Hombre","Enseñanza","Capitán Prat",322730,NA,7e+05
"105","Hombre","Servicios Sociales y de Salud","Capitán Prat",492300,380000,7e+05
"106","Hombre","Servicios Comunitarios, Sociales y Personales","Capitán Prat",185980,5e+05,NA
"107","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cardenal Caro",196920,210000,240000
"108","Hombre","Pesca","Cardenal Caro",308100,180000,214532
"109","Hombre","Explotación de Minas y Canteras","Cardenal Caro",450728,210000,225000
"110","Hombre","Industrias Manufactureras","Cardenal Caro",222629,210000,250000
"111","Hombre","Electricidad, Gas y Agua","Cardenal Caro",202390,245000,275000
"112","Hombre","Construcción","Cardenal Caro",251620,215000,280000
"113","Hombre","Comercio","Cardenal Caro",257090,210000,250000
"114","Hombre","Hoteles y Restaurantes","Cardenal Caro",328640,195000,3e+05
"115","Hombre","Transporte, Almacenamiento y Comunicaciones","Cardenal Caro",308100,250000,3e+05
"116","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cardenal Caro",223040,650000,232500
"117","Hombre","Administración Pública y Defensa","Cardenal Caro",324918,270000,390000
"118","Hombre","Enseñanza","Cardenal Caro",382900,250000,320000
"119","Hombre","Servicios Sociales y de Salud","Cardenal Caro",355550,270000,5e+05
"120","Hombre","Servicios Comunitarios, Sociales y Personales","Cardenal Caro",196920,350000,280000
"121","Hombre","Servicio Doméstico","Cardenal Caro",164320,215000,232500
