"","sexo","region","rama","2011","2013","2015"
"227","Hombre","Araucanía","Servicio Doméstico",175040,190000,196000
"228","Hombre","Arica y Parinacota","Servicio Doméstico",212100,2e+05,2e+05
"229","Hombre","Atacama","Servicio Doméstico",247034,3e+05,150000
"230","Hombre","Aysén","Servicio Doméstico",199108,210000,2e+05
"231","Hombre","Bíobío","Servicio Doméstico",218800,180000,208000
"232","Hombre","Coquimbo","Servicio Doméstico",205400,217000,240500
"233","Hombre","Los Lagos","Servicio Doméstico",158630,210000,160000
"234","Hombre","Los Ríos","Servicio Doméstico",196920,185000,152647
"235","Hombre","Magallanes","Servicio Doméstico",199108,80000,2e+05
"236","Hombre","Maule","Servicio Doméstico",196920,2e+05,243500
"237","Hombre","Metropolitana","Servicio Doméstico",251620,250000,290000
"238","Hombre","O'Higgins","Servicio Doméstico",246480,210000,241000
"239","Hombre","Tarapacá","Servicio Doméstico",212100,280000,277500
"240","Hombre","Valparaíso","Servicio Doméstico",218800,210000,250000
"241","Hombre","Araucanía","Organizaciones y órganos Extraterritoriales",525120,NA,NA
"242","Hombre","Aysén","Organizaciones y órganos Extraterritoriales",667340,NA,NA
"243","Hombre","Bíobío","Organizaciones y órganos Extraterritoriales",765800,NA,85000
"244","Hombre","Los Ríos","Organizaciones y órganos Extraterritoriales",262560,380000,NA
"245","Hombre","Metropolitana","Organizaciones y órganos Extraterritoriales",2665960,332702,2500000
"246","Hombre","O'Higgins","Organizaciones y órganos Extraterritoriales",547000,NA,NA
"247","Hombre","Valparaíso","Organizaciones y órganos Extraterritoriales",513500,550000,960978
"248","Mujer","Antofagasta","Agricultura, Ganadería, Caza y Silvicultura",252642,120000,225000
"249","Mujer","Araucanía","Agricultura, Ganadería, Caza y Silvicultura",154050,180000,191000
"250","Mujer","Arica y Parinacota","Agricultura, Ganadería, Caza y Silvicultura",202390,2e+05,120000
"251","Mujer","Atacama","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,3e+05
"252","Mujer","Aysén","Agricultura, Ganadería, Caza y Silvicultura",218800,170000,90000
"253","Mujer","Bíobío","Agricultura, Ganadería, Caza y Silvicultura",153160,140000,2e+05
"254","Mujer","Coquimbo","Agricultura, Ganadería, Caza y Silvicultura",196920,2e+05,240000
"255","Mujer","Los Lagos","Agricultura, Ganadería, Caza y Silvicultura",102700,150000,176000
"256","Mujer","Los Ríos","Agricultura, Ganadería, Caza y Silvicultura",196920,152000,185000
"257","Mujer","Magallanes","Agricultura, Ganadería, Caza y Silvicultura",218800,250000,3e+05
"258","Mujer","Maule","Agricultura, Ganadería, Caza y Silvicultura",185980,210000,240000
"259","Mujer","Metropolitana","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,250000
"260","Mujer","O'Higgins","Agricultura, Ganadería, Caza y Silvicultura",196920,210000,241000
"261","Mujer","Tarapacá","Agricultura, Ganadería, Caza y Silvicultura",205400,150000,150000
"262","Mujer","Valparaíso","Agricultura, Ganadería, Caza y Silvicultura",196920,210000,242000
"263","Mujer","Antofagasta","Pesca",240680,1e+05,160000
"264","Mujer","Araucanía","Pesca",207860,2e+05,241000
"265","Mujer","Arica y Parinacota","Pesca",196920,265000,NA
"266","Mujer","Atacama","Pesca",199655,205000,241000
"267","Mujer","Aysén","Pesca",218800,228000,3e+05
"268","Mujer","Bíobío","Pesca",196920,175000,240000
"269","Mujer","Coquimbo","Pesca",199108,2e+05,2e+05
"270","Mujer","Los Lagos","Pesca",199108,210000,250000
"271","Mujer","Los Ríos","Pesca",210595,205000,190000
"272","Mujer","Magallanes","Pesca",219894,3e+05,350000
"273","Mujer","Maule","Pesca",164320,90000,150000
"274","Mujer","Metropolitana","Pesca",284440,150000,6e+05
"275","Mujer","O'Higgins","Pesca",328640,1e+05,110000
"276","Mujer","Tarapacá","Pesca",196920,1e+05,150000
"277","Mujer","Valparaíso","Pesca",196920,350000,NA
"278","Mujer","Antofagasta","Explotación de Minas y Canteras",415720,450000,5e+05
"279","Mujer","Arica y Parinacota","Explotación de Minas y Canteras",289910,310000,350000
"280","Mujer","Atacama","Explotación de Minas y Canteras",273500,4e+05,480000
"281","Mujer","Bíobío","Explotación de Minas y Canteras",191450,3e+05,1050000
"282","Mujer","Coquimbo","Explotación de Minas y Canteras",328200,290000,340000
"283","Mujer","Los Ríos","Explotación de Minas y Canteras",127998,152106,NA
"284","Mujer","Magallanes","Explotación de Minas y Canteras",257090,384500,450000
"285","Mujer","Maule","Explotación de Minas y Canteras",208954,NA,375000
"286","Mujer","Metropolitana","Explotación de Minas y Canteras",492300,507494,1050000
"287","Mujer","O'Higgins","Explotación de Minas y Canteras",240680,3e+05,4e+05
"288","Mujer","Tarapacá","Explotación de Minas y Canteras",308100,350000,350000
"289","Mujer","Valparaíso","Explotación de Minas y Canteras",366490,4e+05,4e+05
"290","Mujer","Antofagasta","Industrias Manufactureras",284440,240000,3e+05
"291","Mujer","Araucanía","Industrias Manufactureras",196920,150000,180000
"292","Mujer","Arica y Parinacota","Industrias Manufactureras",199108,150000,228000
"293","Mujer","Atacama","Industrias Manufactureras",246480,150000,245500
"294","Mujer","Aysén","Industrias Manufactureras",204578,210000,153000
"295","Mujer","Bíobío","Industrias Manufactureras",196920,2e+05,2e+05
"296","Mujer","Coquimbo","Industrias Manufactureras",185420,180000,2e+05
"297","Mujer","Los Lagos","Industrias Manufactureras",199108,204960,241000
"298","Mujer","Los Ríos","Industrias Manufactureras",196920,150000,150000
"299","Mujer","Magallanes","Industrias Manufactureras",199108,221000,250000
"300","Mujer","Maule","Industrias Manufactureras",199108,2e+05,2e+05
"301","Mujer","Metropolitana","Industrias Manufactureras",218800,220000,260000
"302","Mujer","O'Higgins","Industrias Manufactureras",199108,210000,250000
"303","Mujer","Tarapacá","Industrias Manufactureras",205400,2e+05,2e+05
"304","Mujer","Valparaíso","Industrias Manufactureras",199108,2e+05,239114
"305","Mujer","Antofagasta","Electricidad, Gas y Agua",367706,405000,350000
"306","Mujer","Araucanía","Electricidad, Gas y Agua",218800,160000,250000
"307","Mujer","Arica y Parinacota","Electricidad, Gas y Agua",328200,8e+05,2e+05
"308","Mujer","Atacama","Electricidad, Gas y Agua",218800,270000,350000
"309","Mujer","Aysén","Electricidad, Gas y Agua",656400,235000,403000
"310","Mujer","Bíobío","Electricidad, Gas y Agua",200749,210000,450000
"311","Mujer","Coquimbo","Electricidad, Gas y Agua",196920,116500,352500
"312","Mujer","Los Lagos","Electricidad, Gas y Agua",196920,250000,241000
"313","Mujer","Los Ríos","Electricidad, Gas y Agua",199655,250000,274000
"314","Mujer","Magallanes","Electricidad, Gas y Agua",503240,NA,NA
"315","Mujer","Maule","Electricidad, Gas y Agua",262560,210000,285000
"316","Mujer","Metropolitana","Electricidad, Gas y Agua",403660,250000,5e+05
"317","Mujer","O'Higgins","Electricidad, Gas y Agua",196920,260000,250000
"318","Mujer","Tarapacá","Electricidad, Gas y Agua",218800,550000,175000
"319","Mujer","Valparaíso","Electricidad, Gas y Agua",54700,210000,260992
"320","Mujer","Antofagasta","Construcción",317260,375000,510000
"321","Mujer","Araucanía","Construcción",218800,250000,310000
"322","Mujer","Arica y Parinacota","Construcción",201843,210000,340000
"323","Mujer","Atacama","Construcción",328200,286000,362500
"324","Mujer","Aysén","Construcción",300850,4e+05,7e+05
"325","Mujer","Bíobío","Construcción",235210,250000,325000
"326","Mujer","Coquimbo","Construcción",236304,250000,3e+05
"327","Mujer","Los Lagos","Construcción",328200,210000,3e+05
"328","Mujer","Los Ríos","Construcción",492300,250000,350000
"329","Mujer","Magallanes","Construcción",656400,346000,475000
"330","Mujer","Maule","Construcción",273500,242500,3e+05
"331","Mujer","Metropolitana","Construcción",421190,350000,395000
"332","Mujer","O'Higgins","Construcción",273500,230000,3e+05
"333","Mujer","Tarapacá","Construcción",308100,280000,4e+05
"334","Mujer","Valparaíso","Construcción",318820,250000,347500
"335","Mujer","Antofagasta","Comercio",240680,228987,250000
"336","Mujer","Araucanía","Comercio",196025,180000,2e+05
"337","Mujer","Arica y Parinacota","Comercio",218800,160000,2e+05
"338","Mujer","Atacama","Comercio",217706,210000,250000
"339","Mujer","Aysén","Comercio",202390,210000,245000
"340","Mujer","Bíobío","Comercio",196920,190000,208841
"341","Mujer","Coquimbo","Comercio",196920,2e+05,230000
"342","Mujer","Los Lagos","Comercio",196920,180000,230000
"343","Mujer","Los Ríos","Comercio",196920,180000,2e+05
"344","Mujer","Magallanes","Comercio",202390,210000,257500
"345","Mujer","Maule","Comercio",196920,2e+05,230000
"346","Mujer","Metropolitana","Comercio",207860,210000,250000
"347","Mujer","O'Higgins","Comercio",199108,210000,240000
"348","Mujer","Tarapacá","Comercio",229740,230000,241000
"349","Mujer","Valparaíso","Comercio",196920,2e+05,240000
"350","Mujer","Antofagasta","Hoteles y Restaurantes",249050,250000,3e+05
"351","Mujer","Araucanía","Hoteles y Restaurantes",198014,2e+05,230000
"352","Mujer","Arica y Parinacota","Hoteles y Restaurantes",199108,189000,2e+05
"353","Mujer","Atacama","Hoteles y Restaurantes",206630,210000,242500
"354","Mujer","Aysén","Hoteles y Restaurantes",218800,205000,245000
"355","Mujer","Bíobío","Hoteles y Restaurantes",199108,193000,220000
"356","Mujer","Coquimbo","Hoteles y Restaurantes",196920,203000,240000
"357","Mujer","Los Lagos","Hoteles y Restaurantes",199108,2e+05,240000
"358","Mujer","Los Ríos","Hoteles y Restaurantes",199108,2e+05,2e+05
"359","Mujer","Magallanes","Hoteles y Restaurantes",202390,220000,285000
"360","Mujer","Maule","Hoteles y Restaurantes",196920,210000,236176
"361","Mujer","Metropolitana","Hoteles y Restaurantes",213330,210000,250000
"362","Mujer","O'Higgins","Hoteles y Restaurantes",199108,210000,241000
"363","Mujer","Tarapacá","Hoteles y Restaurantes",202390,220000,250000
"364","Mujer","Valparaíso","Hoteles y Restaurantes",196920,2e+05,240000
"365","Mujer","Antofagasta","Transporte, Almacenamiento y Comunicaciones",350080,3e+05,350000
"366","Mujer","Araucanía","Transporte, Almacenamiento y Comunicaciones",214048,210000,241000
"367","Mujer","Arica y Parinacota","Transporte, Almacenamiento y Comunicaciones",218800,210000,235000
"368","Mujer","Atacama","Transporte, Almacenamiento y Comunicaciones",218800,3e+05,380000
"369","Mujer","Aysén","Transporte, Almacenamiento y Comunicaciones",307210,250000,3e+05
"370","Mujer","Bíobío","Transporte, Almacenamiento y Comunicaciones",218800,230000,250000
