"","geography_level","geography_name","geography_id","year","mean_income","median_income","gini_income"
"1","region","Antofagasta","2","1990",40995.6822067804,24329.8571428571,0.519085201209112
"2","region","Antofagasta","2","1990",40995.6822067804,24329.8571428571,0.519085201209112
"3","region","Antofagasta","2","1990",40995.6822067804,24329.8571428571,0.519085201209112
"4","region","Antofagasta","2","1990",40995.6822067804,24329.8571428571,0.519085201209112
"5","region","Antofagasta","2","1990",40995.6822067804,24329.8571428571,0.519085201209112
"6","region","Antofagasta","2","1990",40995.6822067804,24329.8571428571,0.519085201209112
"7","region","Antofagasta","2","1990",40995.6822067804,24329.8571428571,0.519085201209112
"8","region","Antofagasta","2","1990",40995.6822067804,24329.8571428571,0.519085201209112
"9","region","Antofagasta","2","1990",40995.6822067804,24329.8571428571,0.519085201209112
"10","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"11","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"12","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"13","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"14","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"15","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"16","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"17","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"18","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"19","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"20","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"21","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"22","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"23","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"24","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"25","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"26","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"27","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"28","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"29","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"30","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"31","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"32","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"33","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"34","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"35","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"36","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"37","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"38","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"39","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"40","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"41","region","Araucanía","9","1990",30352.8500093976,15262.375,0.590076439438967
"42","region","Arica y Parinacota","15","1990",36319.5704413732,22534,0.487198915212849
"43","region","Arica y Parinacota","15","1990",36319.5704413732,22534,0.487198915212849
"44","region","Arica y Parinacota","15","1990",36319.5704413732,22534,0.487198915212849
"45","region","Arica y Parinacota","15","1990",36319.5704413732,22534,0.487198915212849
"46","region","Atacama","3","1990",41561.6063960114,21647.5,0.555117626093397
"47","region","Atacama","3","1990",41561.6063960114,21647.5,0.555117626093397
"48","region","Atacama","3","1990",41561.6063960114,21647.5,0.555117626093397
"49","region","Atacama","3","1990",41561.6063960114,21647.5,0.555117626093397
"50","region","Atacama","3","1990",41561.6063960114,21647.5,0.555117626093397
"51","region","Atacama","3","1990",41561.6063960114,21647.5,0.555117626093397
"52","region","Atacama","3","1990",41561.6063960114,21647.5,0.555117626093397
"53","region","Atacama","3","1990",41561.6063960114,21647.5,0.555117626093397
"54","region","Atacama","3","1990",41561.6063960114,21647.5,0.555117626093397
"55","region","Aysén","11","1990",36235.6633250654,20600,0.511931883222879
"56","region","Aysén","11","1990",36235.6633250654,20600,0.511931883222879
"57","region","Aysén","11","1990",36235.6633250654,20600,0.511931883222879
"58","region","Aysén","11","1990",36235.6633250654,20600,0.511931883222879
"59","region","Aysén","11","1990",36235.6633250654,20600,0.511931883222879
"60","region","Aysén","11","1990",36235.6633250654,20600,0.511931883222879
"61","region","Aysén","11","1990",36235.6633250654,20600,0.511931883222879
"62","region","Aysén","11","1990",36235.6633250654,20600,0.511931883222879
"63","region","Aysén","11","1990",36235.6633250654,20600,0.511931883222879
"64","region","Aysén","11","1990",36235.6633250654,20600,0.511931883222879
"65","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"66","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"67","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"68","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"69","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"70","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"71","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"72","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"73","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"74","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"75","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"76","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"77","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"78","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"79","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"80","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"81","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"82","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
"83","region","Bíobío","8","1990",29512.8847722319,15827.75,0.557912720522159
