"","geography_level","geography_name","geography_id","year","mean_income","median_income","gini_income","lb_mean_income","ub_mean_income","lb_median_income","ub_median_income","lb_gini_income","ub_gini_income"
"56","provincia","Bíobío","p83","1992",30228,19066,0.475,29374,31143,18708,19555,0.466,0.487
"57","provincia","Cachapoal","p61","1992",58809,32802,0.523,55987,61288,32111,33410,0.504,0.535
"58","provincia","Capitán Prat","p113","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","provincia","Cardenal Caro","p62","1992",33243,18973,0.525,23164,45064,18510,20272,0.334,0.645
"60","provincia","Cauquenes","p72","1992",32033,15821,0.563,28105,37355,15656,16623,0.516,0.615
"61","provincia","Cautín","p91","1992",39789,25098,0.479,38369,41158,24717,25753,0.467,0.493
"62","provincia","Chacabuco","p133","1992",37435,26288,0.423,35486,39552,25491,26770,0.403,0.449
"63","provincia","Chañaral","p32","1992",60005,32277,0.539,54345,65556,30480,34576,0.511,0.566
"64","provincia","Chiloé","p102","1992",50370,28835,0.505,45984,54338,26125,32190,0.483,0.524
"65","provincia","Choapa","p42","1992",37127,19610,0.53,31417,43581,16035,22252,0.485,0.57
"66","provincia","Colchagua","p63","1992",38918,24553,0.499,36745,41583,23518,25787,0.48,0.517
"67","provincia","Concepción","p81","1992",38413,23780,0.5,36808,39534,23214,24185,0.485,0.512
"68","provincia","Copiapó","p31","1992",54504,33223,0.501,51758,58454,32190,33410,0.48,0.529
"69","provincia","Cordillera","p152","1992",60988,31746,0.568,57007,65794,30847,33011,0.543,0.587
"70","provincia","Coyhaique","p111","1992",48209,29988,0.48,44316,52969,29312,32186,0.443,0.519
"71","provincia","Curicó","p73","1992",62247,29984,0.573,57025,67527,28401,32149,0.542,0.604
"72","provincia","El Loa","p22","1992",57248,33944,0.495,53686,60082,32991,36637,0.482,0.509
"73","provincia","Elqui","p41","1992",41414,25122,0.487,39558,43564,24415,25549,0.469,0.504
"74","provincia","General Carrera","p114","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","provincia","Huasco","p33","1992",41509,25238,0.493,39313,43929,24009,26004,0.469,0.516
"76","provincia","Iquique","p11","1992",77025,43562,0.517,72336,81418,42934,46236,0.497,0.538
"77","provincia","Limarí","p43","1992",40458,25205,0.478,37513,42905,24567,26745,0.45,0.503
