"","region","provincia","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta","Antofagasta","Antofagasta",0.510078685428919,0.469172102340364,0.50360085990014,0.504358523273444,0.52044870899677,0.545022549289941,0.431092617363685,0.43612560706978,0.392322378954769,0.451780461599484,0.441832876795807,0.521882530982298
"2","Antofagasta","Antofagasta","Mejillones",0.409690751828082,0.427908921872273,0.44263977539189,0.51233317890081,NA,NA,NA,0.487292995588321,0.369636091180114,0.325439386841174,0.390393920806663,0.524064139212692
"3","Antofagasta","Antofagasta","Sierra Gorda",0.464136554271454,0.453254954407926,0.433924097843499,0.432602156158554,0.374250628999093,0.411417575039589,0.511083998017184,0.592826417697115,0.411920722060624,0.382584177001973,0.484288863761498,0.54626931780727
"4","Antofagasta","Antofagasta","Taltal",NA,0.405147123818848,0.652569970182664,0.444728912348984,0.454339260003445,0.564711959251005,0.44313183116803,0.554328784644539,0.435451513992344,0.495579054361471,0.388004541165589,0.442458296344748
"5","Antofagasta","El Loa","Calama",0.549748306527393,0.503916197131646,0.506826441681422,0.486968004380145,0.488894704857426,0.476429010508417,0.486614082305899,0.51634144842806,0.449184965896966,0.438326350107698,0.455947731660383,0.501275748751941
"6","Antofagasta","El Loa","San Pedro de Atacama",NA,0.503542385467036,0.446227155581371,0.477490103330236,0.48135051904166,0.497914356976249,0.466808108657324,0.462927751589563,0.482254521977271,0.531540067525971,0.454611157419045,0.423512766229422
"7","Antofagasta","Tocopilla","María Elena",NA,NA,0.464531601298674,0.302001606417494,0.346228925250131,NA,0.411141916388254,0.399839765812942,0.366117403237889,0.385335214385872,0.462962064819068,0.407465678779766
"8","Antofagasta","Tocopilla","Tocopilla",0.388718369975852,0.50221079162641,0.492292972140978,0.468070171331459,0.494582717244748,0.441021949564313,0.406655043501486,0.422433595436508,0.446867700141973,0.389975442180033,0.397507602991997,0.507879998159133
"9","Araucanía","Cautín","Carahue",NA,NA,NA,0.505231298304032,0.590999172125242,0.44690778764551,0.545905815407947,0.554873505852803,0.514254369537996,0.469215628596523,0.641904712896563,0.580841411263132
"10","Araucanía","Cautín","Cholchol",NA,NA,NA,NA,NA,NA,NA,0.469339179517394,0.558343256658429,0.509651326940752,0.423367582195926,0.479430424020539
"11","Araucanía","Cautín","Cunco",NA,NA,NA,NA,NA,0.505670440611791,0.481902418648571,0.417806958465355,0.463773506595131,0.380240442595337,0.488119818502457,0.471052029977773
"12","Araucanía","Cautín","Curarrehue",NA,NA,NA,0.423168669104214,0.508202587368002,0.480722555484872,0.480708511662009,0.442588557821599,0.529633692250497,0.384870662857186,0.456331386714422,0.395450781741537
"13","Araucanía","Cautín","Freire",NA,NA,NA,0.382888591133826,0.427087691111162,0.530170370572856,0.408310457850062,0.505190744117095,0.415830891728779,0.426374621760472,0.454767369327038,0.412873966858596
"14","Araucanía","Cautín","Galvarino",NA,NA,NA,NA,NA,0.550553495055256,0.51003996439299,0.574451651249863,0.541654999840966,0.423994755434635,0.534353808209937,0.457602869020539
"15","Araucanía","Cautín","Gorbea",NA,NA,0.736978910024183,0.476190563704773,0.581608088067208,0.456933101265171,0.580186785199353,0.451830991519216,0.357786878340241,0.452676679774625,0.501323082764463,0.4370025526593
"16","Araucanía","Cautín","Lautaro",NA,NA,NA,0.495782939549268,0.688283211614562,0.50323240043013,0.472150048289944,0.433076358829095,0.501695676735864,0.398021438085915,0.407449196951723,0.453423496378309
"17","Araucanía","Cautín","Loncoche",NA,NA,NA,0.603935601534484,0.521255136932788,0.522727993739981,0.506216055188569,0.449743199053129,0.484686533871156,0.462648522961273,0.477457170790211,0.4559765865937
"18","Araucanía","Cautín","Melipeuco",NA,NA,NA,NA,NA,0.516462934255032,0.548502253105781,0.525444414953616,0.595439702842706,0.463592679784987,0.391855750041351,0.400102432646779
"19","Araucanía","Cautín","Nueva Imperial",NA,NA,NA,0.423695544597416,NA,0.505062820163409,NA,0.560556892627986,0.404683953626166,0.503507704650561,0.478242863089771,0.457755838153903
"20","Araucanía","Cautín","Padre Las Casas",NA,NA,NA,0.453843639054219,0.48321867001398,0.455167787425497,0.440992159510014,0.480086183217576,0.420241762561018,0.427562666678962,0.457661975861209,0.442389269728191
"21","Araucanía","Cautín","Perquenco",NA,NA,NA,NA,NA,0.452045449198542,0.471104019065743,0.49605877938032,0.407996555350795,0.485966094543358,0.330510506185617,0.333013226363246
"22","Araucanía","Cautín","Pitrufquén",0.512918690649238,0.480505519927559,NA,0.47793255874013,0.642206444083885,NA,0.497069762229497,0.510185179723745,0.438759414978615,0.444535224380395,0.415947124749501,0.481165255917041
"23","Araucanía","Cautín","Pucón",0.39781412753228,0.513798575766683,0.752949704763237,0.445808591516243,0.472297530878808,NA,0.641751796325534,0.566100880982891,0.417759059920412,0.499152984740812,0.477210858458817,0.467777025329531
"24","Araucanía","Cautín","Saavedra",0.7771332378879,0.500911133813619,0.545428699283595,0.529352830438164,NA,0.47478286762548,0.539422222602005,0.655291346362571,0.501883807814983,0.584076744265701,0.583939256069367,0.494350262413091
"25","Araucanía","Cautín","Temuco",0.607264869090914,0.463202654244323,0.583784336601334,0.532455506933344,0.58005206179182,0.582268075024438,0.55497049806889,0.518348319667504,0.558508418585414,0.515465836317433,0.491320997906044,0.523646774125272
"26","Araucanía","Cautín","Teodoro Schmidt",0.569250799288621,0.502846895307725,NA,0.289346041537393,0.631251670565995,0.54944118117337,NA,NA,0.555909188688518,0.504112076198054,0.498602764659007,0.490541423026901
