"","geography_level","geography_name","geography_id","year","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"64","comuna","Curacautín","73",1990,"Mujer",29099,23960,"[20234, 37931]","[13892, 34458]"
"65","comuna","Curacaví","74",1990,"Hombre",77014,42280,"[61360, 95899]","[39600, 49500]"
"66","comuna","Curacaví","74",1990,"Mujer",47624,36240,"[38870, 56621]","[31408, 38436]"
"67","comuna","Curanilahue","76",1990,"Hombre",59009,39761,"[50877, 69125]","[36240, 42410]"
"68","comuna","Curanilahue","76",1990,"Mujer",59996,35640,"[43500, 79221]","[30052, 46437]"
"69","comuna","Curicó","79",1990,"Hombre",162152,48320,"[99940, 267999]","[48320, 58459]"
"70","comuna","Curicó","79",1990,"Mujer",60218,37448,"[50624, 71644]","[36240, 48320]"
"71","comuna","Diego de Almagro","81",1990,"Hombre",176032,113581,"[129428, 224155]","[94476, 144960]"
"72","comuna","Diego de Almagro","81",1990,"Mujer",44562,27180,"[23671, 76141]","[19800, 36240]"
"73","comuna","Doñihue","82",1990,"Hombre",72359,42956,"[52047, 99300]","[36619, 58356]"
"74","comuna","Doñihue","82",1990,"Mujer",33647,28992,"[27241, 41224]","[21744, 33796]"
"75","comuna","El Monte","85",1990,"Hombre",76844,39600,"[55016, 114834]","[36240, 42214]"
"76","comuna","El Monte","85",1990,"Mujer",34817,28068,"[27210, 45399]","[22365, 31153]"
"77","comuna","Estación Central","90",1990,"Hombre",64492,48320,"[57075, 73460]","[42280, 57984]"
"78","comuna","Estación Central","90",1990,"Mujer",58902,42280,"[48566, 71523]","[36240, 52639]"
"79","comuna","Freirina","93",1990,"Hombre",110790,31408,"[40712, 263077]","[31408, 33742]"
"80","comuna","Freirina","93",1990,"Mujer",53454,31408,"[28992, 77915]","[27784, 83538]"
"81","comuna","Fresia","94",1990,"Hombre",137319,31408,"[74242, 208693]","[31408, 36240]"
"82","comuna","Fresia","94",1990,"Mujer",76672,31664,"[34172, 142563]","[23556, 105096]"
"83","comuna","Hualañé","105",1990,"Hombre",60289,39600,"[43083, 78762]","[29700, 49196]"
"84","comuna","Hualañé","105",1990,"Mujer",42889,30200,"[29770, 56984]","[17015, 39600]"
"85","comuna","Hualqui","107",1990,"Hombre",60632,42280,"[43103, 77805]","[36240, 47172]"
"86","comuna","Hualqui","107",1990,"Mujer",38214,39600,"[31425, 44454]","[29700, 42280]"
"87","comuna","Huasco","109",1990,"Hombre",71668,36240,"[51138, 98446]","[31408, 43300]"
"88","comuna","Huasco","109",1990,"Mujer",28992,13892,"[14147, 52138]","[8417, 37970]"
"89","comuna","Illapel","111",1990,"Hombre",55278,42280,"[44002, 64742]","[32616, 51480]"
"90","comuna","Illapel","111",1990,"Mujer",36613,31408,"[26688, 49820]","[21744, 60400]"
"91","comuna","Iquique","113",1990,"Hombre",159236,96640,"[133607, 187829]","[84560, 99041]"
"92","comuna","Iquique","113",1990,"Mujer",124180,54159,"[93516, 180815]","[48320, 65156]"
"93","comuna","Isla de Maipo","114",1990,"Hombre",57753,38945,"[49254, 70471]","[36240, 42280]"
"94","comuna","Isla de Maipo","114",1990,"Mujer",45830,34218,"[35945, 57917]","[31408, 38609]"
"95","comuna","La Cisterna","117",1990,"Hombre",65601,51944,"[60183, 72500]","[48320, 59400]"
"96","comuna","La Cisterna","117",1990,"Mujer",41017,31408,"[35241, 48482]","[28992, 36874]"
"97","comuna","La Florida","120",1990,"Hombre",103583,54360,"[74865, 137853]","[48320, 60400]"
"98","comuna","La Florida","120",1990,"Mujer",58102,36240,"[49906, 67520]","[32616, 43488]"
"99","comuna","La Granja","121",1990,"Hombre",58054,42280,"[51038, 68454]","[39600, 48320]"
"100","comuna","La Granja","121",1990,"Mujer",38537,36240,"[33730, 42875]","[31408, 36240]"
"101","comuna","La Ligua","123",1990,"Hombre",57098,34056,"[39106, 81415]","[32616, 39229]"
"102","comuna","La Ligua","123",1990,"Mujer",49815,30683,"[28939, 80071]","[21083, 31709]"
"103","comuna","La Pintana","124",1990,"Hombre",56974,46923,"[51500, 62429]","[39600, 49838]"
"104","comuna","La Pintana","124",1990,"Mujer",35906,31408,"[32520, 41618]","[30200, 33824]"
"105","comuna","La Reina","125",1990,"Hombre",219502,119800,"[179196, 262275]","[103797, 140269]"
"106","comuna","La Reina","125",1990,"Mujer",111933,72480,"[89588, 149552]","[54360, 73748]"
"107","comuna","La Serena","126",1990,"Hombre",109428,50971,"[85591, 138894]","[48320, 59400]"
"108","comuna","La Serena","126",1990,"Mujer",53540,36240,"[42581, 64413]","[31408, 42280]"
"109","comuna","La Unión","127",1990,"Hombre",126697,49500,"[83551, 170281]","[34715, 69196]"
"110","comuna","La Unión","127",1990,"Mujer",53975,36240,"[36930, 68706]","[25368, 42280]"
"111","comuna","Lampa","346",1990,"Hombre",52335,37822,"[47969, 58307]","[36240, 41535]"
"112","comuna","Lampa","346",1990,"Mujer",52140,36240,"[33650, 77856]","[29702, 38200]"
"113","comuna","Las Condes","134",1990,"Hombre",355091,241600,"[291541, 420533]","[181200, 260022]"
"114","comuna","Las Condes","134",1990,"Mujer",111637,72480,"[97413, 131239]","[54360, 96640]"
"115","comuna","Lebu","136",1990,"Hombre",43270,36240,"[37246, 51210]","[31408, 41714]"
"116","comuna","Lebu","136",1990,"Mujer",37143,33824,"[27757, 48574]","[31408, 39739]"
"117","comuna","Linares","139",1990,"Hombre",87781,42884,"[67206, 114528]","[36240, 48320]"
"118","comuna","Linares","139",1990,"Mujer",40937,33824,"[33896, 48258]","[31408, 38237]"
"119","comuna","Llanquihue","141",1990,"Hombre",72366,48910,"[57055, 101278]","[42280, 60400]"
"120","comuna","Llanquihue","141",1990,"Mujer",63397,42280,"[42782, 90777]","[33824, 72480]"
"121","comuna","Lo Prado","145",1990,"Hombre",74591,51944,"[62904, 88550]","[46528, 59064]"
"122","comuna","Lo Prado","145",1990,"Mujer",54002,36240,"[43019, 69620]","[31408, 42669]"
"123","comuna","Longaví","148",1990,"Hombre",45257,31166,"[36932, 51689]","[24160, 36240]"
"124","comuna","Longaví","148",1990,"Mujer",58572,45904,"[41613, 90374]","[38913, 55311]"
"125","comuna","Los Álamos","150",1990,"Hombre",46872,40578,"[38276, 56349]","[32479, 48320]"
"126","comuna","Los Álamos","150",1990,"Mujer",39768,34900,"[23448, 54999]","[12080, 51059]"
