"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"63","provincia","Concepción","p81","1990","Mujer",55187,36240,"[48555, 63941]","[31408, 36240]"
"64","provincia","Copiapó","p31","1990","Mujer",60817,39600,"[52737, 71322]","[36240, 47858]"
"65","provincia","Cordillera","p152","1990","Mujer",64977,48320,"[57467, 73571]","[39201, 53225]"
"66","provincia","Coyhaique","p111","1990","Mujer",64004,36240,"[51911, 78040]","[31408, 47280]"
"67","provincia","Curicó","p73","1990","Mujer",53348,36240,"[44386, 61375]","[32616, 37448]"
"68","provincia","El Loa","p22","1990","Mujer",77217,46029,"[59983, 94512]","[38536, 53090]"
"69","provincia","Elqui","p41","1990","Mujer",52977,36240,"[44321, 62810]","[33824, 36240]"
"70","provincia","Huasco","p33","1990","Mujer",51849,31408,"[39504, 67618]","[29883, 32616]"
"71","provincia","Iquique","p11","1990","Mujer",124180,54159,"[93516, 180815]","[48320, 65156]"
"72","provincia","Limarí","p43","1990","Mujer",43282,32616,"[34373, 50222]","[29590, 36240]"
"73","provincia","Linares","p74","1990","Mujer",50302,35363,"[43945, 62691]","[31408, 36363]"
"74","provincia","Llanquihue","p101","1990","Mujer",51643,33692,"[46603, 59341]","[31408, 36240]"
"75","provincia","Los Andes","p53","1990","Mujer",34862,24160,"[21322, 57636]","[23677, 33824]"
"76","provincia","Magallanes","p121","1990","Mujer",65146,39600,"[57121, 74688]","[36240, 48320]"
"77","provincia","Maipo","p134","1990","Mujer",55737,39403,"[48302, 64317]","[36240, 42280]"
"78","provincia","Malleco","p92","1990","Mujer",51691,33850,"[43915, 63133]","[24160, 39600]"
"79","provincia","Marga Marga","p58","1990","Mujer",66280,36152,"[49525, 87537]","[31408, 51174]"
"80","provincia","Melipilla","p135","1990","Mujer",55964,36240,"[41814, 73835]","[32778, 37075]"
"81","provincia","Ñuble","p84","1990","Mujer",36645,31408,"[32369, 41399]","[31408, 36240]"
"82","provincia","Osorno","p103","1990","Mujer",45416,31408,"[37073, 54993]","[28057, 33950]"
"83","provincia","Petorca","p54","1990","Mujer",39718,25287,"[25023, 64315]","[16195, 31207]"
"84","provincia","Quillota","p55","1990","Mujer",56273,30200,"[32656, 101624]","[26591, 33511]"
"85","provincia","Ranco","p142","1990","Mujer",53975,36240,"[36930, 68706]","[25368, 42280]"
"86","provincia","San Antonio","p56","1990","Mujer",34360,31408,"[27130, 41856]","[29700, 39600]"
"87","provincia","San Felipe","p57","1990","Mujer",51096,37750,"[40099, 63457]","[31374, 42667]"
"88","provincia","Santiago","p131","1990","Mujer",69946,42280,"[65963, 73997]","[42280, 42671]"
"89","provincia","Talagante","p136","1990","Mujer",57790,36240,"[45829, 73684]","[33481, 36361]"
"90","provincia","Talca","p71","1990","Mujer",54999,33824,"[46534, 68465]","[31408, 36240]"
"91","provincia","Tamarugal","p12","1990","Mujer",40219,30617,"[29137, 53605]","[20434, 35341]"
"92","provincia","Tierra del Fuego","p123","1990","Mujer",43549,32616,"[28624, 59973]","[24160, 72578]"
"93","provincia","Tocopilla","p23","1990","Mujer",51025,36240,"[38594, 65861]","[31982, 56776]"
"94","provincia","Última Esperanza","p124","1990","Mujer",69007,31408,"[41809, 115732]","[21019, 38235]"
"95","provincia","Valdivia","p141","1990","Mujer",49825,36240,"[45793, 54119]","[33824, 40407]"
"96","provincia","Valparaíso","p51","1990","Mujer",50548,35338,"[43555, 58080]","[31408, 36240]"
"97","provincia","Antofagasta","p21","1992","Hombre",131800,88065,"[123615, 139205]","[85840, 96570]"
"98","provincia","Arauco","p82","1992","Hombre",100097,58710,"[90042, 112522]","[53650, 63363]"
"99","provincia","Arica","p151","1992","Hombre",138881,85840,"[121893, 160374]","[75540, 88587]"
"100","provincia","Aysén","p112","1992","Hombre",140957,69745,"[96504, 197249]","[64380, 78280]"
