"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"66","region","Bíobío","8","1994","Hombre",132649,74970,"[124991, 140069]","[74970, 75650]"
"67","region","Coquimbo","4","1994","Hombre",136263,77995,"[126179, 148415]","[74970, 81015]"
"68","region","Los Lagos","10","1994","Hombre",141082,74970,"[125648, 156393]","[70632, 75650]"
"69","region","Los Ríos","14","1994","Hombre",118902,64260,"[109327, 131856]","[64260, 74970]"
"70","region","Magallanes","12","1994","Hombre",192557,139230,"[178084, 207486]","[128520, 151300]"
"71","region","Maule","7","1994","Hombre",122209,64260,"[106443, 148645]","[64260, 64260]"
"72","region","Metropolitana","13","1994","Hombre",249992,128520,"[223123, 291057]","[121040, 128520]"
"73","region","O'Higgins","6","1994","Hombre",139719,75650,"[128751, 148101]","[74970, 80325]"
"74","region","Tarapacá","1","1994","Hombre",186899,128520,"[163015, 211461]","[107100, 128520]"
"75","region","Valparaíso","5","1994","Hombre",163738,96390,"[156762, 172798]","[96390, 105910]"
"76","region","Antofagasta","2","1994","Mujer",130096,75650,"[104416, 162035]","[74970, 85680]"
"77","region","Araucanía","9","1994","Mujer",120428,64260,"[102465, 140234]","[59976, 74970]"
"78","region","Arica y Parinacota","15","1994","Mujer",160775,90780,"[130767, 204886]","[78806, 105430]"
"79","region","Atacama","3","1994","Mujer",99824,74970,"[89701, 109982]","[64260, 75650]"
"80","region","Aysén","11","1994","Mujer",108415,64260,"[92872, 127405]","[56348, 70202]"
"81","region","Bíobío","8","1994","Mujer",108429,64940,"[97948, 120498]","[64260, 74970]"
"82","region","Coquimbo","4","1994","Mujer",82700,60520,"[76434, 89976]","[58905, 64260]"
"83","region","Los Lagos","10","1994","Mujer",128029,64260,"[106045, 161874]","[64260, 74970]"
"84","region","Los Ríos","14","1994","Mujer",96497,64260,"[80395, 111447]","[55692, 68392]"
"85","region","Magallanes","12","1994","Mujer",129989,96636,"[115671, 148484]","[85680, 107100]"
"86","region","Maule","7","1994","Mujer",89134,58905,"[82277, 101083]","[55873, 60520]"
"87","region","Metropolitana","13","1994","Mujer",168285,94248,"[159928, 178469]","[90780, 96390]"
"88","region","O'Higgins","6","1994","Mujer",96638,64260,"[88183, 104073]","[64260, 70878]"
"89","region","Tarapacá","1","1994","Mujer",115447,85680,"[102415, 138095]","[75585, 96390]"
"90","region","Valparaíso","5","1994","Mujer",105956,74970,"[101325, 111378]","[67200, 75650]"
"91","region","Antofagasta","2","1996","Hombre",311281,200000,"[272020, 355303]","[182809, 204300]"
"92","region","Araucanía","9","1996","Hombre",149848,83832,"[138357, 160152]","[81720, 90000]"
"93","region","Arica y Parinacota","15","1996","Hombre",217031,140000,"[179691, 278996]","[122580, 150000]"
"94","region","Atacama","3","1996","Hombre",304341,153521,"[260139, 353328]","[150000, 166835]"
"95","region","Aysén","11","1996","Hombre",189985,120000,"[170106, 221344]","[107914, 129947]"
"96","region","Bíobío","8","1996","Hombre",193221,100000,"[181471, 211788]","[95000, 102150]"
"97","region","Coquimbo","4","1996","Hombre",177531,102150,"[163010, 192623]","[100000, 102150]"
"98","region","Los Lagos","10","1996","Hombre",168191,96763,"[148531, 188865]","[90000, 100000]"
"99","region","Los Ríos","14","1996","Hombre",159459,80000,"[137856, 184477]","[70000, 88602]"
"100","region","Magallanes","12","1996","Hombre",265775,160000,"[219665, 306625]","[145683, 187662]"
"101","region","Maule","7","1996","Hombre",154030,80000,"[142541, 169002]","[80000, 81720]"
"102","region","Metropolitana","13","1996","Hombre",311237,160000,"[295017, 333922]","[150000, 160000]"
"103","region","O'Higgins","6","1996","Hombre",164368,90000,"[151037, 177336]","[89134, 99050]"
"104","region","Tarapacá","1","1996","Hombre",272838,197264,"[225167, 315863]","[150000, 201278]"
"105","region","Valparaíso","5","1996","Hombre",201007,120000,"[190834, 213198]","[120000, 130000]"
