"","geography_level","geography_name","geography_id","year","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1521","comuna","Coronel","70","1996","Mujer",122597,89982,"[108783, 143151]","[80000, 100000]"
"1522","comuna","Coyhaique","54","1996","Hombre",176765,115000,"[161918, 203191]","[100000, 126998]"
"1523","comuna","Coyhaique","54","1996","Mujer",176765,115000,"[161918, 203191]","[100000, 126998]"
"1524","comuna","Curacautín","73","1996","Hombre",92758,65000,"[69732, 116970]","[53800, 70000]"
"1525","comuna","Curacautín","73","1996","Mujer",92758,65000,"[69732, 116970]","[53800, 70000]"
"1526","comuna","Curacaví","74","1996","Hombre",158142,87000,"[104497, 211915]","[77500, 117625]"
"1527","comuna","Curacaví","74","1996","Mujer",158142,87000,"[104497, 211915]","[77500, 117625]"
"1528","comuna","Curanilahue","76","1996","Hombre",127243,85554,"[110141, 146900]","[80817, 100000]"
"1529","comuna","Curanilahue","76","1996","Mujer",127243,85554,"[110141, 146900]","[80817, 100000]"
"1530","comuna","Curicó","79","1996","Hombre",206508,88000,"[160973, 268599]","[72060, 100000]"
"1531","comuna","Curicó","79","1996","Mujer",206508,88000,"[160973, 268599]","[72060, 100000]"
"1532","comuna","Diego de Almagro","81","1996","Hombre",226275,200000,"[197399, 261688]","[150000, 212518]"
"1533","comuna","Diego de Almagro","81","1996","Mujer",226275,200000,"[197399, 261688]","[150000, 212518]"
"1534","comuna","Doñihue","82","1996","Hombre",121177,80000,"[90968, 150753]","[70000, 103529]"
"1535","comuna","Doñihue","82","1996","Mujer",121177,80000,"[90968, 150753]","[70000, 103529]"
"1538","comuna","Estación Central","90","1996","Hombre",220147,150000,"[198499, 245652]","[149688, 171615]"
"1539","comuna","Estación Central","90","1996","Mujer",220147,150000,"[198499, 245652]","[149688, 171615]"
"1540","comuna","Freirina","93","1996","Hombre",137891,93032,"[115500, 163053]","[76738, 122580]"
"1541","comuna","Freirina","93","1996","Mujer",137891,93032,"[115500, 163053]","[76738, 122580]"
"1550","comuna","Illapel","111","1996","Hombre",127844,80000,"[113922, 149430]","[72746, 98100]"
"1551","comuna","Illapel","111","1996","Mujer",127844,80000,"[113922, 149430]","[72746, 98100]"
"1552","comuna","Iquique","113","1996","Hombre",256344,180000,"[217466, 298981]","[150000, 200000]"
"1553","comuna","Iquique","113","1996","Mujer",256344,180000,"[217466, 298981]","[150000, 200000]"
"1554","comuna","Isla de Maipo","114","1996","Hombre",152661,105000,"[116555, 194568]","[91788, 132000]"
"1555","comuna","Isla de Maipo","114","1996","Mujer",152661,105000,"[116555, 194568]","[91788, 132000]"
"1556","comuna","La Cisterna","117","1996","Hombre",290717,200000,"[263418, 322888]","[180000, 200000]"
"1557","comuna","La Cisterna","117","1996","Mujer",290717,200000,"[263418, 322888]","[180000, 200000]"
"1558","comuna","La Florida","120","1996","Hombre",271359,166177,"[239034, 328138]","[150000, 190000]"
"1559","comuna","La Florida","120","1996","Mujer",271359,166177,"[239034, 328138]","[150000, 190000]"
"1560","comuna","La Granja","121","1996","Hombre",153495,120000,"[140733, 163125]","[110000, 122826]"
"1561","comuna","La Granja","121","1996","Mujer",153495,120000,"[140733, 163125]","[110000, 122826]"
"1562","comuna","La Ligua","123","1996","Hombre",137302,85000,"[119577, 158946]","[78265, 101913]"
"1563","comuna","La Ligua","123","1996","Mujer",137302,85000,"[119577, 158946]","[78265, 101913]"
"1564","comuna","La Pintana","124","1996","Hombre",152627,115000,"[138393, 169407]","[100000, 120000]"
"1565","comuna","La Pintana","124","1996","Mujer",152627,115000,"[138393, 169407]","[100000, 120000]"
"1566","comuna","La Reina","125","1996","Hombre",568486,280000,"[470045, 698176]","[200742, 311292]"
"1567","comuna","La Reina","125","1996","Mujer",568486,280000,"[470045, 698176]","[200742, 311292]"
"1568","comuna","La Serena","126","1996","Hombre",227987,120000,"[190159, 266023]","[117048, 133502]"
"1569","comuna","La Serena","126","1996","Mujer",227987,120000,"[190159, 266023]","[117048, 133502]"
"1570","comuna","La Unión","127","1996","Hombre",138271,81205,"[107710, 181124]","[70000, 100564]"
"1571","comuna","La Unión","127","1996","Mujer",138271,81205,"[107710, 181124]","[70000, 100564]"
"1574","comuna","Las Condes","134","1996","Hombre",1013871,498684,"[859843, 1143116]","[400000, 600000]"
"1575","comuna","Las Condes","134","1996","Mujer",1013871,498684,"[859843, 1143116]","[400000, 600000]"
"1576","comuna","Lebu","136","1996","Hombre",139190,85111,"[108327, 180204]","[70147, 99427]"
"1577","comuna","Lebu","136","1996","Mujer",139190,85111,"[108327, 180204]","[70147, 99427]"
"1578","comuna","Linares","139","1996","Hombre",123407,80000,"[112154, 137111]","[70000, 94281]"
"1579","comuna","Linares","139","1996","Mujer",123407,80000,"[112154, 137111]","[70000, 94281]"
"1582","comuna","Lo Prado","145","1996","Hombre",184855,130000,"[160324, 220818]","[120000, 143010]"
"1583","comuna","Lo Prado","145","1996","Mujer",184855,130000,"[160324, 220818]","[120000, 143010]"
"1584","comuna","Longaví","148","1996","Hombre",74367,61290,"[63034, 87396]","[60000, 70000]"
"1585","comuna","Longaví","148","1996","Mujer",74367,61290,"[63034, 87396]","[60000, 70000]"
"1588","comuna","Los Andes","151","1996","Hombre",200955,150000,"[174060, 251435]","[120761, 180216]"
"1589","comuna","Los Andes","151","1996","Mujer",200955,150000,"[174060, 251435]","[120761, 180216]"
"1590","comuna","Los Ángeles","152","1996","Hombre",272567,100000,"[220644, 337281]","[80000, 120000]"
"1591","comuna","Los Ángeles","152","1996","Mujer",272567,100000,"[220644, 337281]","[80000, 120000]"
"1594","comuna","Lota","157","1996","Hombre",101000,75000,"[90478, 114292]","[70000, 80000]"
"1595","comuna","Lota","157","1996","Mujer",101000,75000,"[90478, 114292]","[70000, 80000]"
"1596","comuna","Machalí","159","1996","Hombre",156416,100000,"[130460, 186221]","[85000, 120000]"
"1597","comuna","Machalí","159","1996","Mujer",156416,100000,"[130460, 186221]","[85000, 120000]"
"1598","comuna","Macul","160","1996","Hombre",287403,200000,"[253749, 330342]","[180000, 200000]"
"1599","comuna","Macul","160","1996","Mujer",287403,200000,"[253749, 330342]","[180000, 200000]"
"1600","comuna","Maipú","162","1996","Hombre",234130,160000,"[209692, 262725]","[150000, 180000]"
"1601","comuna","Maipú","162","1996","Mujer",234130,160000,"[209692, 262725]","[150000, 180000]"
"1602","comuna","María Pinto","166","1996","Hombre",108223,80000,"[81921, 149332]","[70000, 85000]"
"1603","comuna","María Pinto","166","1996","Mujer",108223,80000,"[81921, 149332]","[70000, 85000]"
"1606","comuna","Maullín","169","1996","Hombre",132161,93500,"[106756, 162474]","[68000, 118976]"
"1607","comuna","Maullín","169","1996","Mujer",132161,93500,"[106756, 162474]","[68000, 118976]"
"1608","comuna","Mejillones","170","1996","Hombre",222777,160000,"[179539, 278593]","[122580, 245160]"
"1609","comuna","Mejillones","170","1996","Mujer",222777,160000,"[179539, 278593]","[122580, 245160]"
"1610","comuna","Melipilla","172","1996","Hombre",179814,120000,"[151967, 202137]","[100000, 130000]"
"1611","comuna","Melipilla","172","1996","Mujer",179814,120000,"[151967, 202137]","[100000, 130000]"
