"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"64","provincia","Copiapó","p31","1990","Mujer",58784,38656,"[50471, 67558]","[36240, 39600]"
"65","provincia","Cordillera","p152","1990","Mujer",65383,42280,"[57087, 74375]","[36269, 42280]"
"66","provincia","Coyhaique","p111","1990","Mujer",63489,36240,"[49189, 82786]","[31408, 43201]"
"67","provincia","Curicó","p73","1990","Mujer",53054,36240,"[45695, 61236]","[32616, 38656]"
"68","provincia","El Loa","p22","1990","Mujer",66331,39600,"[53770, 76578]","[34398, 45330]"
"69","provincia","Elqui","p41","1990","Mujer",52515,36240,"[44725, 62689]","[33824, 36240]"
"70","provincia","Huasco","p33","1990","Mujer",48878,31408,"[36207, 63457]","[26229, 31408]"
"71","provincia","Iquique","p11","1990","Mujer",118324,51480,"[83279, 164671]","[48320, 61034]"
"72","provincia","Limarí","p43","1990","Mujer",42560,32012,"[35423, 51724]","[29963, 36240]"
"73","provincia","Linares","p74","1990","Mujer",50484,35640,"[42057, 60120]","[31408, 36874]"
"74","provincia","Llanquihue","p101","1990","Mujer",50718,32616,"[45520, 58546]","[31408, 36240]"
"75","provincia","Los Andes","p53","1990","Mujer",34862,24160,"[20150, 57107]","[15840, 33824]"
"76","provincia","Magallanes","p121","1990","Mujer",65640,39864,"[59271, 75873]","[36240, 50540]"
"77","provincia","Maipo","p134","1990","Mujer",46923,36240,"[43249, 51737]","[36240, 38656]"
"78","provincia","Malleco","p92","1990","Mujer",51839,33824,"[43324, 63093]","[24160, 39130]"
"79","provincia","Marga Marga","p58","1990","Mujer",66280,36152,"[46728, 90020]","[31408, 53756]"
"80","provincia","Melipilla","p135","1990","Mujer",45439,33824,"[37090, 56224]","[31408, 36240]"
"81","provincia","Ñuble","p84","1990","Mujer",37220,31408,"[32778, 41432]","[27517, 34056]"
"82","provincia","Osorno","p103","1990","Mujer",46765,30200,"[37993, 56739]","[24160, 31408]"
