"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"57","comuna","Las Condes","134","1990","Hombre",355091,241600,"[281465, 411199]","[172694, 253680]"
"58","comuna","Lebu","136","1990","Hombre",43270,36240,"[36484, 52451]","[31408, 45937]"
"59","comuna","Linares","139","1990","Hombre",87781,42884,"[68519, 107888]","[36240, 49619]"
"60","comuna","Llanquihue","141","1990","Hombre",72366,48910,"[53903, 96968]","[42280, 62242]"
"61","comuna","Lo Prado","145","1990","Hombre",74591,51944,"[65624, 84282]","[48320, 59009]"
"62","comuna","Longaví","148","1990","Hombre",45257,31166,"[37949, 52149]","[24160, 36240]"
"63","comuna","Los Álamos","150","1990","Hombre",46872,40578,"[40337, 54997]","[35319, 48320]"
"64","comuna","Los Andes","151","1990","Hombre",63054,41072,"[48520, 83846]","[31408, 59400]"
"65","comuna","Los Ángeles","152","1990","Hombre",119063,42280,"[79480, 165069]","[39600, 48747]"
"66","comuna","Los Vilos","156","1990","Hombre",51720,37980,"[41769, 62513]","[35640, 51084]"
"67","comuna","Lota","157","1990","Hombre",60479,48320,"[53936, 66526]","[48320, 54360]"
"68","comuna","Machalí","159","1990","Hombre",79659,38656,"[68527, 92099]","[36240, 54360]"
"69","comuna","Macul","160","1990","Hombre",132778,74292,"[107255, 168402]","[60400, 84560]"
"70","comuna","Maipú","162","1990","Hombre",109088,72480,"[92091, 126730]","[60400, 84560]"
"71","comuna","María Pinto","166","1990","Hombre",55558,36240,"[44528, 69069]","[33824, 36240]"
"72","comuna","Mariquina","167","1990","Hombre",49483,35640,"[41902, 58147]","[31408, 36240]"
"73","comuna","Maullín","169","1990","Hombre",78128,39600,"[50046, 121121]","[36240, 40424]"
"74","comuna","Mejillones","170","1990","Hombre",76126,60400,"[64350, 89077]","[43634, 72480]"
"75","comuna","Melipilla","172","1990","Hombre",54101,38052,"[47263, 63206]","[36240, 42280]"
"76","comuna","Molina","173","1990","Hombre",35935,31408,"[28790, 45066]","[28596, 32359]"
"77","comuna","Mostazal","175","1990","Hombre",54661,41072,"[49257, 60485]","[36240, 45904]"
"78","comuna","Mulchén","176","1990","Hombre",45422,39600,"[39554, 54434]","[34966, 44774]"
"79","comuna","Natales","179","1990","Hombre",60946,38594,"[50470, 71333]","[36240, 43962]"
"80","comuna","Nogales","183","1990","Hombre",56835,42280,"[46324, 69821]","[33507, 51174]"
"81","comuna","Ñuñoa","186","1990","Hombre",232941,177271,"[186824, 281003]","[120800, 217440]"
"82","comuna","Osorno","191","1990","Hombre",86640,33824,"[73079, 99859]","[31408, 36240]"
"83","comuna","Ovalle","192","1990","Hombre",67156,36240,"[53695, 80822]","[33934, 38656]"
"84","comuna","Paillaco","196","1990","Hombre",51130,36240,"[43668, 60582]","[31982, 36240]"
"85","comuna","Paine","197","1990","Hombre",55889,36240,"[45556, 66745]","[36240, 37448]"
"86","comuna","Paredones","203","1990","Hombre",43081,32779,"[36651, 50237]","[31408, 38373]"
"87","comuna","Parral","204","1990","Hombre",68900,33001,"[52981, 85999]","[31408, 35955]"
"88","comuna","Pelarco","206","1990","Hombre",48687,31408,"[36839, 65670]","[29938, 32012]"
"89","comuna","Pelluhue","207","1990","Hombre",83006,31408,"[37022, 170223]","[29700, 36240]"
"90","comuna","Peñaflor","211","1990","Hombre",80074,48320,"[66622, 95931]","[43247, 52245]"
"91","comuna","Peñalolén","212","1990","Hombre",59873,48320,"[55118, 64486]","[48320, 57984]"
"92","comuna","Penco","210","1990","Hombre",67045,47111,"[56046, 84379]","[42280, 52578]"
"93","comuna","Pica","217","1990","Hombre",73997,49500,"[61900, 86796]","[47116, 60400]"
"94","comuna","Pirque","221","1990","Hombre",135595,41676,"[98316, 186074]","[36240, 43963]"
"95","comuna","Pitrufquén","222","1990","Hombre",73159,48320,"[50613, 111035]","[36240, 66440]"
"96","comuna","Porvenir","225","1990","Hombre",59679,43488,"[46831, 77620]","[38898, 60400]"
"97","comuna","Pozo Almonte","226","1990","Hombre",102967,50840,"[25061, 198599]","[23218, 166313]"
"98","comuna","Providencia","228","1990","Hombre",386050,241600,"[332599, 450387]","[198000, 348055]"
"99","comuna","Pucón","230","1990","Hombre",44089,36240,"[39691, 49838]","[35764, 40380]"
"100","comuna","Pudahuel","231","1990","Hombre",67435,51944,"[58569, 77749]","[48320, 54994]"
"101","comuna","Puente Alto","232","1990","Hombre",85606,59400,"[74604, 98069]","[49500, 65232]"
"102","comuna","Puerto Montt","233","1990","Hombre",64451,42280,"[56126, 71397]","[39600, 47346]"
"103","comuna","Puerto Octay","234","1990","Hombre",114699,33687,"[48815, 184642]","[31408, 36240]"
"104","comuna","Puerto Varas","235","1990","Hombre",83325,52920,"[62578, 107495]","[38270, 76056]"
"105","comuna","Punta Arenas","238","1990","Hombre",99620,59400,"[91521, 109007]","[50510, 60400]"
"106","comuna","Purranque","241","1990","Hombre",35011,31408,"[31415, 38911]","[28992, 31408]"
"107","comuna","Quilicura","249","1990","Hombre",58925,43668,"[52532, 63840]","[41555, 48320]"
"108","comuna","Quillón","251","1990","Hombre",49149,31408,"[37039, 65799]","[30200, 35496]"
"109","comuna","Quillota","252","1990","Hombre",45806,36240,"[41722, 51243]","[33824, 36240]"
"110","comuna","Quilpué","253","1990","Hombre",83854,64714,"[67898, 103328]","[47112, 89100]"
"111","comuna","Quinta Normal","256","1990","Hombre",65547,54360,"[59823, 73015]","[48320, 59400]"
"112","comuna","Rancagua","259","1990","Hombre",122891,72480,"[103748, 148972]","[72480, 84560]"
"113","comuna","Renaico","263","1990","Hombre",55378,49500,"[44341, 68491]","[42280, 59400]"
"114","comuna","Renca","264","1990","Hombre",67902,48320,"[59153, 77370]","[46306, 54692]"
"115","comuna","Rengo","265","1990","Hombre",63472,44696,"[53279, 74844]","[38656, 48320]"
"116","comuna","Saavedra","276","1990","Hombre",111327,27096,"[42466, 171025]","[24160, 33001]"
"117","comuna","San Antonio","279","1990","Hombre",44576,36240,"[37323, 57742]","[31408, 48320]"
"118","comuna","San Bernardo","280","1990","Hombre",95294,60400,"[77940, 114908]","[59400, 72480]"
