"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"49","comuna","Arauco","11","Hombre",2010,287951.102298873,240491.037942017,"[240580, 339833]","[217771, 306000]"
"50","comuna","Arauco","11","Hombre",2011,292151.164510923,249200.902510106,"[227461, 386158]","[210823, 268108]"
"51","comuna","Arauco","11","Hombre",2012,335421.136894329,272187.408561822,"[271656, 414058]","[238716, 305228]"
"52","comuna","Arauco","11","Hombre",2013,308889.026318083,277271.272453305,"[235928, 410128]","[234204, 300024]"
"53","comuna","Arauco","11","Hombre",2014,344447.227170146,299943.746484155,"[248574, 462113]","[224791, 335937]"
"54","comuna","Arauco","11","Hombre",2015,319620.045652668,313106.329534304,"[240905, 376761]","[264402, 406386]"
"55","comuna","Arica","12","Hombre",2010,357564.907809961,250244.6662752,"[334015, 390054]","[239950, 279909]"
"56","comuna","Arica","12","Hombre",2011,372070.43521014,261256.633813495,"[342151, 402830]","[249201, 297291]"
"57","comuna","Arica","12","Hombre",2012,479116.911014535,301353.092783505,"[427738, 530509]","[285148, 320700]"
"58","comuna","Arica","12","Hombre",2013,400570.349189182,301920.076409118,"[372703, 430596]","[300000, 340461]"
"59","comuna","Arica","12","Hombre",2014,427456.587330667,327109.976882429,"[398233, 459926]","[303127, 351575]"
"60","comuna","Arica","12","Hombre",2015,485925.89642523,400000,"[456816, 521254]","[356665, 400737]"
"61","comuna","Aysén","13","Hombre",2010,583137.736628521,347282.138128909,"[427328, 745043]","[254304, 385883]"
"62","comuna","Aysén","13","Hombre",2011,551191.461041426,351691.622441243,"[465465, 626204]","[320523, 414850]"
"63","comuna","Aysén","13","Hombre",2012,606521.042328246,417518.562051132,"[513945, 728083]","[391561, 480061]"
"64","comuna","Aysén","13","Hombre",2013,626075.207613011,498111.850386621,"[535051, 711422]","[388971, 550000]"
"65","comuna","Aysén","13","Hombre",2014,595270.26891651,399924.995312207,"[509650, 693024]","[349934, 499906]"
"66","comuna","Aysén","13","Hombre",2015,682933.776415255,467122.37543926,"[541236, 897686]","[401483, 571108]"
"67","comuna","Buin","14","Hombre",2010,503268.623920334,250000,"[333863, 705210]","[199876, 297261]"
"68","comuna","Buin","14","Hombre",2011,477884.074503348,249702.951922495,"[336419, 702758]","[210000, 348881]"
"69","comuna","Buin","14","Hombre",2012,739377.077787155,276050.0370589,"[414250, 1140146]","[230000, 385750]"
"70","comuna","Buin","14","Hombre",2013,718133.34273625,350000,"[477571, 1040548]","[299906, 412848]"
"71","comuna","Buin","14","Hombre",2014,529922.996678801,350000,"[412738, 646265]","[300000, 405340]"
"72","comuna","Buin","14","Hombre",2015,607392.917899097,371529.918349215,"[436729, 791081]","[301222, 400000]"
"73","comuna","Bulnes","15","Hombre",2010,192600.694222069,170164.304586369,"[154538, 231451]","[152876, 188280]"
"74","comuna","Bulnes","15","Hombre",2011,268181.11340933,189360.778955907,"[189133, 399689]","[150123, 202917]"
"75","comuna","Bulnes","15","Hombre",2012,292432.703894358,204714.068295724,"[222901, 375984]","[180131, 248590]"
"76","comuna","Bulnes","15","Hombre",2013,289362.07908366,210000,"[212540, 368437]","[198557, 257989]"
"77","comuna","Bulnes","15","Hombre",2014,299804.447677624,227685.128864037,"[227730, 377110]","[210450, 264446]"
"78","comuna","Bulnes","15","Hombre",2015,350023.631426354,259756.03500215,"[277710, 434760]","[241065, 330687]"
"79","comuna","Cabildo","16","Hombre",2010,308135.144483064,217578.611374927,"[227397, 403234]","[199863, 300000]"
"80","comuna","Cabildo","16","Hombre",2011,404396.651208097,362352.210518227,"[336604, 473930]","[235347, 443578]"
"81","comuna","Cabildo","16","Hombre",2012,554611.869861864,402055.743985638,"[391697, 807504]","[291171, 619083]"
"82","comuna","Cabildo","16","Hombre",2013,588800.778930974,300372.159038768,"[377996, 1033907]","[249056, 392034]"
"83","comuna","Cabildo","16","Hombre",2014,463379.017383104,351085.294927753,"[351364, 623253]","[265007, 599887]"
"84","comuna","Cabildo","16","Hombre",2015,422779.252615454,395585.451112472,"[357622, 497026]","[300017, 516899]"
"85","comuna","Cabrero","18","Hombre",2010,305943.871172631,219996.234444963,"[215487, 410631]","[180876, 357956]"
"86","comuna","Cabrero","18","Hombre",2011,400214.221630168,268947.920775496,"[280975, 574590]","[221562, 389276]"
"87","comuna","Cabrero","18","Hombre",2012,383005.275243399,227388.771668091,"[235257, 488341]","[196731, 313279]"
"88","comuna","Cabrero","18","Hombre",2013,309588.028841511,273440.460639139,"[241454, 374796]","[209207, 388527]"
"89","comuna","Cabrero","18","Hombre",2014,347942.132932306,330183.983170448,"[273576, 431012]","[232051, 399925]"
"90","comuna","Cabrero","18","Hombre",2015,326835.823792029,318474.679874194,"[285135, 362664]","[286953, 396433]"
"91","comuna","Calama","19","Hombre",2010,735500.491533876,496937.626823522,"[653684, 811492]","[449215, 568462]"
"92","comuna","Calama","19","Hombre",2011,835693.28156717,550000,"[719515, 919784]","[492368, 690886]"
"93","comuna","Calama","19","Hombre",2012,804061.931165534,606968.007535166,"[722421, 869770]","[560346, 700012]"
"94","comuna","Calama","19","Hombre",2013,1077359.81027356,796978.960618594,"[931515, 1203948]","[695391, 946139]"
"95","comuna","Calama","19","Hombre",2014,1007919.28877344,799870.558927435,"[905236, 1124180]","[612814, 908550]"
"96","comuna","Calama","19","Hombre",2015,987808.495689964,700189.428107526,"[888050, 1075675]","[600077, 761741]"
"97","comuna","Calbuco","20","Hombre",2010,255036.397657811,228080.833639406,"[205921, 314884]","[200196, 278968]"
"98","comuna","Calbuco","20","Hombre",2011,354216.380980173,303102.167579198,"[265530, 491141]","[216306, 392875]"
"99","comuna","Calbuco","20","Hombre",2012,311487.54309205,301353.092783505,"[210043, 505193]","[192866, 331488]"
"100","comuna","Calbuco","20","Hombre",2013,308447.274529385,299103.406272494,"[239293, 460099]","[196887, 351169]"
"101","comuna","Calbuco","20","Hombre",2014,995645.16499913,290915.332304323,"[324548, 2106579]","[212235, 318538]"
"102","comuna","Calbuco","20","Hombre",2015,462595.907123418,347511.088113037,"[355359, 592194]","[279845, 401291]"
"103","comuna","Caldera","21","Hombre",2010,313776.310728409,270076.877053357,"[255455, 366783]","[179877, 337800]"
"104","comuna","Caldera","21","Hombre",2011,376185.939374777,300343.430889429,"[297449, 467199]","[239853, 498231]"
"105","comuna","Caldera","21","Hombre",2012,458369.100213215,285419.483401973,"[336832, 573569]","[250000, 500000]"
"106","comuna","Caldera","21","Hombre",2013,448213.286290657,386894.391184902,"[366621, 565858]","[298867, 496777]"
"107","comuna","Caldera","21","Hombre",2014,512371.02606484,405134.534532975,"[401951, 685741]","[325239, 539899]"
"108","comuna","Caldera","21","Hombre",2015,463549.197095496,397498.961514234,"[375727, 581586]","[301126, 550149]"
"109","comuna","Calera","22","Hombre",2010,384132.465260357,270011.667976502,"[315377, 465753]","[190680, 324182]"
"110","comuna","Calera","22","Hombre",2011,279869.740312553,200966.641394996,"[247272, 326407]","[181418, 249330]"
"111","comuna","Calera","22","Hombre",2012,408443.847760751,251099.03375017,"[315953, 512090]","[201805, 280642]"
