"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"46","comuna","Antuco","10","Hombre","Asalariado Sector Privado",2013,394058.923267933,373960.62729396,"[295388, 539466]","[241607, 597734]"
"47","comuna","Antuco","10","Hombre","Asalariado Sector Privado",2014,261104.334805645,242414.895249135,"[186033, 334401]","[192532, 332992]"
"48","comuna","Antuco","10","Hombre","Asalariado Sector Privado",2015,367165.765370043,303342.151675485,"[202322, 533213]","[110030, 643516]"
"49","comuna","Arauco","11","Hombre","Asalariado Sector Privado",2010,296190.607572739,283533.404414845,"[238649, 341371]","[230993, 340508]"
"50","comuna","Arauco","11","Hombre","Asalariado Sector Privado",2011,304619.237443267,249929.075870203,"[241424, 375393]","[223689, 287712]"
"51","comuna","Arauco","11","Hombre","Asalariado Sector Privado",2012,308376.504014323,281340.391102304,"[267312, 360365]","[244215, 304100]"
"52","comuna","Arauco","11","Hombre","Asalariado Sector Privado",2013,284691.327126568,288935.565449639,"[249059, 322503]","[265261, 340847]"
"53","comuna","Arauco","11","Hombre","Asalariado Sector Privado",2014,311721.633358139,299995.884187403,"[280712, 363347]","[275000, 338051]"
"54","comuna","Arauco","11","Hombre","Asalariado Sector Privado",2015,357530.570690284,380572.360080249,"[302311, 409969]","[260899, 425034]"
"55","comuna","Arica","12","Hombre","Asalariado Sector Privado",2010,336682.031866618,260000,"[312781, 358442]","[249910, 294798]"
"56","comuna","Arica","12","Hombre","Asalariado Sector Privado",2011,347607.708577717,251208.301743745,"[318934, 377604]","[239581, 279369]"
"57","comuna","Arica","12","Hombre","Asalariado Sector Privado",2012,424712.559562016,300000,"[394999, 461953]","[261362, 329772]"
"58","comuna","Arica","12","Hombre","Asalariado Sector Privado",2013,390920.503771314,305418.871764621,"[361316, 428004]","[299868, 350000]"
"59","comuna","Arica","12","Hombre","Asalariado Sector Privado",2014,421119.300941834,349934.370898181,"[386642, 455504]","[300000, 376692]"
"60","comuna","Arica","12","Hombre","Asalariado Sector Privado",2015,463745.749494683,391589.098152845,"[430718, 493018]","[361314, 402653]"
"61","comuna","Aysén","13","Hombre","Asalariado Sector Privado",2010,354180.788346704,260595.210106943,"[300521, 448915]","[232981, 350325]"
"62","comuna","Aysén","13","Hombre","Asalariado Sector Privado",2011,415563.691795007,338913.227413744,"[360578, 489948]","[299475, 371585]"
"63","comuna","Aysén","13","Hombre","Asalariado Sector Privado",2012,456180.083164045,370064.672617379,"[390757, 536168]","[296514, 401804]"
"64","comuna","Aysén","13","Hombre","Asalariado Sector Privado",2013,472646.118148256,374698.2496687,"[404782, 545654]","[300407, 498112]"
"65","comuna","Aysén","13","Hombre","Asalariado Sector Privado",2014,628589.626408513,399924.995312207,"[495048, 812498]","[338425, 524902]"
"66","comuna","Aysén","13","Hombre","Asalariado Sector Privado",2015,461039.962955661,400082.0674616,"[407996, 518424]","[349954, 443447]"
"67","comuna","Buin","14","Hombre","Asalariado Sector Privado",2010,470139.478186254,249853.613194106,"[292568, 703790]","[200000, 287690]"
