"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"50","comuna","Antuco","10","Hombre","Menos de 5",2015,118902.179012675,122020.326190892,"[76802, 159236]","[60016, 171022]"
"51","comuna","Arauco","11","Hombre","Menos de 5",2010,78586.6284972844,60195.5470139991,"[57468, 110984]","[37500, 120109]"
"52","comuna","Arauco","11","Hombre","Menos de 5",2011,150250.668672269,117482.165909645,"[78789, 239668]","[45965, 199934]"
"53","comuna","Arauco","11","Hombre","Menos de 5",2012,367520.541772191,178842.289959568,"[130409, 706843]","[63462, 291308]"
"54","comuna","Arauco","11","Hombre","Menos de 5",2013,151743.131357373,141379.192623902,"[117376, 202087]","[99622, 210000]"
"55","comuna","Arauco","11","Hombre","Menos de 5",2014,164733.357523898,150479.249281956,"[118622, 222251]","[114372, 190000]"
"56","comuna","Arauco","11","Hombre","Menos de 5",2015,269946.320298492,300081.183474654,"[119352, 399299]","[51782, 450000]"
"57","comuna","Arica","12","Hombre","Menos de 5",2010,239452.511023388,180000,"[212949, 266867]","[160157, 199964]"
"58","comuna","Arica","12","Hombre","Menos de 5",2011,226376.523159404,180869.977255496,"[201252, 251336]","[173154, 198556]"
"59","comuna","Arica","12","Hombre","Menos de 5",2012,282853.308541543,200603.387580206,"[233026, 353180]","[180926, 240672]"
"60","comuna","Arica","12","Hombre","Menos de 5",2013,314964.615946177,253375.895164205,"[283977, 347095]","[221093, 298867]"
"61","comuna","Arica","12","Hombre","Menos de 5",2014,315316.676239217,252605.647148,"[296551, 343761]","[239955, 298123]"
"62","comuna","Arica","12","Hombre","Menos de 5",2015,347747.341653659,300081.183474654,"[308198, 396108]","[280562, 301222]"
"63","comuna","Aysén","13","Hombre","Menos de 5",2010,491004.754620047,200195.73302016,"[300992, 713093]","[182733, 283850]"
"64","comuna","Aysén","13","Hombre","Menos de 5",2011,354651.760078939,253412.310759762,"[249420, 528509]","[179425, 300000]"
"65","comuna","Aysén","13","Hombre","Menos de 5",2012,564318.278315258,374831.257761947,"[350386, 973552]","[255302, 435717]"
"66","comuna","Aysén","13","Hombre","Menos de 5",2013,370347.065625963,298867.110231973,"[296916, 468916]","[207215, 466275]"
"67","comuna","Aysén","13","Hombre","Menos de 5",2014,381344.437752977,299344.932128822,"[290105, 483947]","[249972, 387664]"
"68","comuna","Aysén","13","Hombre","Menos de 5",2015,370499.767177685,281392.077779141,"[276420, 491977]","[200744, 400057]"
"69","comuna","Buin","14","Hombre","Menos de 5",2010,296296.651585512,195537.981665544,"[145708, 458649]","[77522, 379138]"
"70","comuna","Buin","14","Hombre","Menos de 5",2011,462277.694640365,189286.695039255,"[159984, 1067095]","[79744, 401933]"
"71","comuna","Buin","14","Hombre","Menos de 5",2012,455637.243584474,243891.143390776,"[210011, 705412]","[127293, 730026]"
"72","comuna","Buin","14","Hombre","Menos de 5",2013,659119.270488294,309767.317986387,"[279448, 1160711]","[232647, 597734]"
"73","comuna","Buin","14","Hombre","Menos de 5",2014,515609.636198956,300000,"[241953, 1042050]","[239824, 408176]"
"74","comuna","Buin","14","Hombre","Menos de 5",2015,379584.423807559,400000,"[293289, 476871]","[268283, 425000]"
"75","comuna","Bulnes","15","Hombre","Menos de 5",2010,122453.480758012,100015.605266371,"[76957, 166889]","[71367, 163304]"
"76","comuna","Bulnes","15","Hombre","Menos de 5",2011,445220.598493116,195712.398963592,"[194831, 863771]","[98345, 401933]"
"77","comuna","Bulnes","15","Hombre","Menos de 5",2012,197637.391306498,156854.886850373,"[127700, 290480]","[76055, 274086]"
"78","comuna","Bulnes","15","Hombre","Menos de 5",2013,171101.289316557,196922.064188712,"[127949, 218660]","[88453, 204058]"
"79","comuna","Bulnes","15","Hombre","Menos de 5",2014,210763.837957005,180590.973903948,"[160877, 294422]","[160000, 239885]"
"80","comuna","Bulnes","15","Hombre","Menos de 5",2015,185288.457978252,186404.786524453,"[125146, 265784]","[87484, 256334]"
"81","comuna","Cabildo","16","Hombre","Menos de 5",2010,265680.380698047,201420.928580487,"[156855, 420796]","[161855, 245128]"
"82","comuna","Cabildo","16","Hombre","Menos de 5",2011,345321.955877149,258585.714277347,"[213647, 496202]","[180670, 523322]"
"83","comuna","Cabildo","16","Hombre","Menos de 5",2012,350817.769511941,335807.490201372,"[209630, 518837]","[197539, 653470]"
"84","comuna","Cabildo","16","Hombre","Menos de 5",2013,266540.508727385,236037.356163409,"[210945, 324831]","[198347, 375368]"
"85","comuna","Cabildo","16","Hombre","Menos de 5",2014,288594.014212581,256169.78384015,"[228717, 359834]","[199962, 347147]"
"86","comuna","Cabildo","16","Hombre","Menos de 5",2015,316165.357671826,293962.415799143,"[225956, 411627]","[250807, 355342]"
"87","comuna","Cabrero","18","Hombre","Menos de 5",2010,197085.202270609,182848.454058033,"[139313, 278811]","[108810, 295705]"
"88","comuna","Cabrero","18","Hombre","Menos de 5",2011,195798.145850031,161275.325244797,"[103327, 300641]","[79744, 265678]"
"89","comuna","Cabrero","18","Hombre","Menos de 5",2012,389536.855453034,303496.215065629,"[145683, 750369]","[140787, 750369]"
"90","comuna","Cabrero","18","Hombre","Menos de 5",2013,251198.107285646,229629.563028232,"[184344, 325087]","[149434, 398215]"
"91","comuna","Cabrero","18","Hombre","Menos de 5",2014,232974.693347374,179059.882318156,"[118786, 392146]","[51877, 446546]"
"92","comuna","Cabrero","18","Hombre","Menos de 5",2015,254224.711618683,271231.038842674,"[190927, 315550]","[186583, 330734]"
"93","comuna","Calama","19","Hombre","Menos de 5",2010,491582.626802482,263110.041044686,"[288851, 849050]","[200000, 320313]"
"94","comuna","Calama","19","Hombre","Menos de 5",2011,416039.194564175,255346.558161047,"[293927, 586212]","[219297, 300393]"
"95","comuna","Calama","19","Hombre","Menos de 5",2012,367214.035459737,300000,"[296262, 498488]","[253237, 382401]"
"96","comuna","Calama","19","Hombre","Menos de 5",2013,414180.696854711,300406.687754181,"[289180, 561430]","[236245, 384544]"
"97","comuna","Calama","19","Hombre","Menos de 5",2014,496459.216040078,349550.936337272,"[378662, 651614]","[289946, 454690]"
"98","comuna","Calama","19","Hombre","Menos de 5",2015,552199.263835211,400099.657260539,"[388463, 744855]","[300980, 531024]"
"99","comuna","Calbuco","20","Hombre","Menos de 5",2010,251317.869391032,227424.463647196,"[141323, 406057]","[114643, 339767]"
"100","comuna","Calbuco","20","Hombre","Menos de 5",2011,298166.951372112,236474.445152645,"[208973, 394229]","[129584, 417757]"
"101","comuna","Calbuco","20","Hombre","Menos de 5",2012,232395.893813477,157889.736496591,"[136685, 540008]","[120541, 283710]"
"102","comuna","Calbuco","20","Hombre","Menos de 5",2013,165515.960715306,149344.709761264,"[121703, 224289]","[100612, 199245]"
"103","comuna","Calbuco","20","Hombre","Menos de 5",2014,331204.80254713,200000,"[197682, 477636]","[151792, 229399]"
"104","comuna","Calbuco","20","Hombre","Menos de 5",2015,309094.486759741,200759.093107006,"[218817, 387783]","[172727, 304537]"
"105","comuna","Caldera","21","Hombre","Menos de 5",2010,222828.396545287,142631.711817934,"[142794, 292908]","[109235, 268815]"
"106","comuna","Caldera","21","Hombre","Menos de 5",2011,344653.396166114,241159.969673995,"[229595, 461727]","[163603, 475641]"
"107","comuna","Caldera","21","Hombre","Menos de 5",2012,379781.339172613,250000,"[227744, 560916]","[195572, 318978]"
"108","comuna","Caldera","21","Hombre","Menos de 5",2013,330875.03343975,282838.512332918,"[246685, 441243]","[224959, 520000]"
"109","comuna","Caldera","21","Hombre","Menos de 5",2014,338080.752878028,310606.522709884,"[266300, 407386]","[299969, 439352]"
"110","comuna","Caldera","21","Hombre","Menos de 5",2015,314607.009639567,300081.183474654,"[211965, 430046]","[138412, 320087]"
"111","comuna","Calera","22","Hombre","Menos de 5",2010,190644.420064736,149912.213238365,"[132194, 249724]","[109925, 250245]"
"112","comuna","Calera","22","Hombre","Menos de 5",2011,197539.864108708,153044.601097964,"[125114, 324609]","[100483, 200507]"
"113","comuna","Calera","22","Hombre","Menos de 5",2012,392172.215798032,243290.147796261,"[248582, 707161]","[191606, 300758]"
"114","comuna","Calera","22","Hombre","Menos de 5",2013,319945.031980818,235047.640385005,"[196802, 598970]","[150000, 300344]"
"115","comuna","Calera","22","Hombre","Menos de 5",2014,329523.511151513,297882.287021723,"[256519, 475670]","[201404, 351576]"
"116","comuna","Calera","22","Hombre","Menos de 5",2015,359369.038901962,301216.523340846,"[257467, 508620]","[193588, 384940]"
"117","comuna","Calera de Tango","23","Hombre","Menos de 5",2010,600587.19906048,600587.19906048,"[600587, 600587]","[600587, 600587]"
"118","comuna","Calera de Tango","23","Hombre","Menos de 5",2011,1406766.48976497,1406766.48976497,"[803867, 2009666]","[803867, 2009666]"
"119","comuna","Calera de Tango","23","Hombre","Menos de 5",2012,271517.692591227,271517.692591227,"[60337, 482698]","[60337, 482698]"
"120","comuna","Calera de Tango","23","Hombre","Menos de 5",2013,295956.162675103,275372.797107999,"[198449, 445895]","[176113, 467299]"
"121","comuna","Calera de Tango","23","Hombre","Menos de 5",2014,202084.5177184,202084.5177184,"[202085, 202085]","[202085, 202085]"
"122","comuna","Calera de Tango","23","Hombre","Menos de 5",2015,476879.611035294,476879.611035294,"[451834, 501926]","[451834, 501926]"
"123","comuna","Calle Larga","24","Hombre","Menos de 5",2010,130384.885260965,123638.372483556,"[88152, 176417]","[61668, 172746]"
"124","comuna","Calle Larga","24","Hombre","Menos de 5",2011,253998.982883374,195948.092238634,"[169666, 364118]","[156828, 309603]"
"125","comuna","Calle Larga","24","Hombre","Menos de 5",2012,279684.691554655,201124.216734242,"[184978, 414771]","[150843, 402248]"
"126","comuna","Calle Larga","24","Hombre","Menos de 5",2013,829158.189669623,200271.125169454,"[168919, 1893254]","[145997, 237455]"
"127","comuna","Calle Larga","24","Hombre","Menos de 5",2014,313186.871748646,253257.098584012,"[213583, 477471]","[202085, 293613]"
"128","comuna","Calle Larga","24","Hombre","Menos de 5",2015,315620.591111111,296965.901230377,"[239989, 383754]","[233063, 388492]"
"129","comuna","Camarones","25","Hombre","Menos de 5",2010,186462.77055019,135631.507112791,"[135780, 234879]","[79959, 221812]"
"130","comuna","Camarones","25","Hombre","Menos de 5",2011,135172.711510725,87107.7546745815,"[104769, 171877]","[80096, 119734]"
"131","comuna","Camarones","25","Hombre","Menos de 5",2012,232743.123827952,102501.805402968,"[110887, 414941]","[64360, 197724]"
"132","comuna","Camarones","25","Hombre","Menos de 5",2013,104307.925817142,44059.6475372799,"[33946, 176097]","[26035, 185251]"
"133","comuna","Camiña","26","Hombre","Menos de 5",2011,104455.122488628,73540.6660348749,"[54150, 185743]","[32615, 132213]"
"134","comuna","Camiña","26","Hombre","Menos de 5",2012,143933.593093439,129054.370530778,"[78762, 227827]","[44319, 187825]"
"135","comuna","Camiña","26","Hombre","Menos de 5",2013,176038.31902395,130176.231360145,"[111984, 243592]","[115156, 150203]"
"136","comuna","Camiña","26","Hombre","Menos de 5",2014,169545.454545455,150000,"[124284, 218943]","[125000, 210000]"
"137","comuna","Camiña","26","Hombre","Menos de 5",2015,88589.1550468374,98605.2045255984,"[63159, 113579]","[41666, 125464]"
"138","comuna","Canela","27","Hombre","Menos de 5",2010,200987.637060787,167350.696911042,"[152881, 293850]","[119918, 265172]"
"139","comuna","Canela","27","Hombre","Menos de 5",2011,98961.4326487677,95302.8287397978,"[70861, 135668]","[52306, 132521]"
"140","comuna","Canela","27","Hombre","Menos de 5",2012,247163.780039114,200070.617161919,"[145950, 371312]","[69727, 265720]"
"141","comuna","Canela","27","Hombre","Menos de 5",2013,250989.90651045,248410.075286012,"[170340, 366030]","[93390, 300407]"
"142","comuna","Canela","27","Hombre","Menos de 5",2014,243278.877849338,203868.741471199,"[156865, 360001]","[100866, 304324]"
"143","comuna","Canela","27","Hombre","Menos de 5",2015,237985.785822121,180038.236554046,"[156216, 336670]","[122950, 357495]"
"144","comuna","Cañete","28","Hombre","Menos de 5",2010,149359.256158706,104910.73398251,"[114702, 187739]","[74677, 143410]"
"145","comuna","Cañete","28","Hombre","Menos de 5",2011,155833.109305833,98845.5109931149,"[116116, 200585]","[70000, 136890]"
"146","comuna","Cañete","28","Hombre","Menos de 5",2012,325652.897243401,142971.639543382,"[135305, 721642]","[86594, 168929]"
"147","comuna","Cañete","28","Hombre","Menos de 5",2013,225053.72179307,116222.473844113,"[114924, 430969]","[81280, 149565]"
"148","comuna","Cañete","28","Hombre","Menos de 5",2014,196887.307167241,87107.2822556743,"[117275, 305898]","[61251, 154971]"
"149","comuna","Cañete","28","Hombre","Menos de 5",2015,253032.408789318,176790.311935286,"[150998, 422607]","[100181, 215600]"
"150","comuna","Carahue","29","Hombre","Menos de 5",2010,113485.70771563,80000,"[85668, 136589]","[59659, 115759]"
"151","comuna","Carahue","29","Hombre","Menos de 5",2011,115219.552562663,63437.5545145143,"[68871, 185164]","[43908, 81298]"
"152","comuna","Carahue","29","Hombre","Menos de 5",2012,109426.750001167,82519.8930112001,"[82831, 138783]","[64051, 112333]"
"153","comuna","Carahue","29","Hombre","Menos de 5",2013,109410.66677284,75016.1465751287,"[76565, 142795]","[46976, 114612]"
"154","comuna","Carahue","29","Hombre","Menos de 5",2014,130669.326208683,102168.901035003,"[108532, 151227]","[88447, 151544]"
"155","comuna","Carahue","29","Hombre","Menos de 5",2015,132539.520515759,100050.422545801,"[97848, 164131]","[83601, 177336]"
"156","comuna","Cartagena","30","Hombre","Menos de 5",2010,128108.378866432,142190.29140191,"[85991, 163389]","[59959, 178619]"
"157","comuna","Cartagena","30","Hombre","Menos de 5",2011,214312.776158691,209328.758108489,"[156872, 275429]","[159489, 299041]"
"158","comuna","Cartagena","30","Hombre","Menos de 5",2012,238571.198453608,251127.577319587,"[150677, 326466]","[100451, 351579]"
