"","sexo","oficio_id","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"50","Hombre","Empleados de Oficina","Cachapoal",36240,NA,NA,2e+05,180720,NA,2e+05,181800,317634,268030,350000,400794
"51","Hombre","Ff.aa.","Cachapoal",120800,NA,160650,NA,NA,125000,NA,NA,NA,NA,NA,NA
"52","Hombre","Miembros del Poder Ejecutivo","Cachapoal",450500,NA,NA,NA,NA,NA,NA,NA,513500,NA,NA,NA
"53","Hombre","Oficiales, Operarios y Artesanos","Cachapoal",66440,NA,117604,NA,NA,140000,NA,NA,NA,NA,NA,NA
"54","Hombre","Operadores y Montadores","Cachapoal",96640,76183,102816,NA,NA,150000,NA,NA,NA,NA,NA,NA
"55","Hombre","Profesionales y Científicos","Cachapoal",103860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Hombre","Técnicos y Profesionales Nivel Medio","Cachapoal",59900,160950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Hombre","Trabajadores No Calificados","Cachapoal",25542,48285,NA,68000,85340,NA,115000,133320,182325,204578,210000,250000
"58","Hombre","Agricultores y  y Trabajadores Calificados","Cardenal Caro",32617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Hombre","Comerciantes y Vendedores","Cardenal Caro",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Hombre","Empleados de Oficina","Cardenal Caro",75104,NA,NA,95000,155620,NA,110000,178770,254150,328200,350000,320500
"61","Hombre","Ff.aa.","Cardenal Caro",69460,NA,NA,NA,NA,342000,NA,NA,NA,NA,NA,NA
"62","Hombre","Oficiales, Operarios y Artesanos","Cardenal Caro",19800,NA,49470,NA,NA,130000,NA,NA,NA,NA,NA,NA
"63","Hombre","Profesionales y Científicos","Cardenal Caro",67041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Hombre","Técnicos y Profesionales Nivel Medio","Cardenal Caro",59400,107300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Hombre","Agricultores y  y Trabajadores Calificados","Cauquenes",29700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Hombre","Comerciantes y Vendedores","Cauquenes",38761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Hombre","Empleados de Oficina","Cauquenes",21980,NA,NA,161000,200800,NA,120000,214120,287300,204578,225000,380000
"68","Hombre","Ff.aa.","Cauquenes",60400,NA,91035,NA,NA,251867,NA,NA,NA,NA,NA,NA
"69","Hombre","Miembros del Poder Ejecutivo","Cauquenes",2131000,NA,NA,NA,NA,NA,NA,NA,513500,NA,NA,NA
"70","Hombre","Oficiales, Operarios y Artesanos","Cauquenes",31408,NA,64260,NA,NA,1e+05,NA,NA,NA,NA,NA,NA
"71","Hombre","Operadores y Montadores","Cauquenes",36240,42920,77988,NA,NA,127820,NA,NA,NA,NA,NA,NA
"72","Hombre","Profesionales y Científicos","Cauquenes",39600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Hombre","Técnicos y Profesionales Nivel Medio","Cauquenes",25604,64380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Hombre","Agricultores y  y Trabajadores Calificados","Cautín",24160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Hombre","Comerciantes y Vendedores","Cautín",42570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Hombre","Empleados de Oficina","Cautín",36240,NA,NA,120000,150600,NA,180000,194425,221000,262560,260000,280000
"77","Hombre","Ff.aa.","Cautín",85768,NA,192780,NA,NA,321818,NA,NA,NA,NA,NA,NA
"78","Hombre","Miembros del Poder Ejecutivo","Cautín",346500,NA,NA,NA,NA,NA,NA,NA,398775,NA,NA,NA
