"","sexo","region","oficio","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"200","Mujer","Magallanes","Profesionales, Científicos e Intelectuales",68800,189060,224479,262846,357213,406368,535334,570892,702967,762682,783805,877881
"201","Mujer","Maule","Profesionales, Científicos e Intelectuales",65084,109352,155506,218938,235245,321691,352326,383634,545702,634719,644956,677737
"202","Mujer","Metropolitana","Profesionales, Científicos e Intelectuales",86621,209523,278180,384349,511291,477946,545799,625341,685520,945720,902071,988073
"203","Mujer","O'Higgins","Profesionales, Científicos e Intelectuales",60196,150712,203723,180565,322732,277801,343521,383199,472924,560355,562485,705410
"204","Mujer","Tarapacá","Profesionales, Científicos e Intelectuales",87302,194747,189775,329400,309862,323963,415891,392776,556983,714102,834237,837016
"205","Mujer","Valparaíso","Profesionales, Científicos e Intelectuales",61915,112792,188435,254497,332574,315783,385495,425550,491442,645208,631458,686358
"206","Mujer","Antofagasta","Técnicos y Profesionales de Nivel Medio",92556,127694,105892,166203,271661,223444,278515,291518,314861,531254,631549,692420
"207","Mujer","Araucanía","Técnicos y Profesionales de Nivel Medio",76449,101699,235533,178013,196648,207149,220662,253549,254281,391679,356716,341759
"208","Mujer","Arica y Parinacota","Técnicos y Profesionales de Nivel Medio",69581,153965,144858,149875,162876,222249,294391,214937,275776,385086,371266,459431
"209","Mujer","Atacama","Técnicos y Profesionales de Nivel Medio",52045,71966,127480,153368,260328,162771,245767,247860,319083,404146,488457,526411
"210","Mujer","Aysén","Técnicos y Profesionales de Nivel Medio",76825,77605,150743,173173,269166,230857,336473,291065,523333,497703,463655,458065
"211","Mujer","Bíobío","Técnicos y Profesionales de Nivel Medio",76643,86835,107530,156294,215198,183214,204154,254234,282338,322643,349068,398949
"212","Mujer","Coquimbo","Técnicos y Profesionales de Nivel Medio",62710,93507,119594,147089,173553,206126,209122,253626,292376,338663,383807,454447
"213","Mujer","Los Lagos","Técnicos y Profesionales de Nivel Medio",59251,103840,162252,156197,213314,214925,234909,282263,315359,421629,369353,407757
"214","Mujer","Los Ríos","Técnicos y Profesionales de Nivel Medio",60938,71961,122516,157368,214142,253476,231007,188431,289388,383330,345110,386722
"215","Mujer","Magallanes","Técnicos y Profesionales de Nivel Medio",71657,157072,142011,189480,209365,328389,312591,381657,402831,435865,486482,550924
"216","Mujer","Maule","Técnicos y Profesionales de Nivel Medio",59475,96409,102617,148800,173718,185920,189864,232416,302909,407623,383495,416803
"217","Mujer","Metropolitana","Técnicos y Profesionales de Nivel Medio",69041,144973,181084,243609,286260,290967,371522,395236,392364,560973,527426,590359
"218","Mujer","O'Higgins","Técnicos y Profesionales de Nivel Medio",68018,117731,131414,165190,161822,192936,243360,250362,301495,412582,341950,431180
"219","Mujer","Tarapacá","Técnicos y Profesionales de Nivel Medio",86477,163672,154302,239451,299599,242905,209281,193986,324159,444217,543083,459375
"220","Mujer","Valparaíso","Técnicos y Profesionales de Nivel Medio",76025,117804,129527,178791,222419,194733,216809,285266,317037,465239,372948,414304
"221","Mujer","Antofagasta","Trabajadores Agropecuarios y Pesqueros",41088,60231,27180,37618,87151,64755,159325,109276,263594,257407,171250,176481
"222","Mujer","Araucanía","Trabajadores Agropecuarios y Pesqueros",23670,49560,59187,113534,76066,72305,70100,117879,156575,198868,112731,164740
"223","Mujer","Arica y Parinacota","Trabajadores Agropecuarios y Pesqueros",35947,77174,129646,71404,104644,85344,99908,93266,237299,376125,170673,152150
"224","Mujer","Atacama","Trabajadores Agropecuarios y Pesqueros",36811,112201,59854,106726,115927,105402,132171,170729,272055,273242,265500,289000
"225","Mujer","Aysén","Trabajadores Agropecuarios y Pesqueros",27972,49680,151772,119560,123558,128339,171257,238247,264595,313915,191308,168617
"226","Mujer","Bíobío","Trabajadores Agropecuarios y Pesqueros",37353,62626,56435,63306,123384,72364,90815,100141,169655,153092,140704,165492
"227","Mujer","Coquimbo","Trabajadores Agropecuarios y Pesqueros",33801,44789,61505,70195,91120,86754,103189,151267,200365,178867,174903,174763
"228","Mujer","Los Lagos","Trabajadores Agropecuarios y Pesqueros",37902,65241,115651,147634,123800,93468,118870,121361,157933,189600,182641,179231
"229","Mujer","Los Ríos","Trabajadores Agropecuarios y Pesqueros",45435,310324,37825,94255,351900,91156,102160,173263,177797,248295,120741,142793
"230","Mujer","Magallanes","Trabajadores Agropecuarios y Pesqueros",43080,202660,113203,110978,108641,118815,286343,242410,596547,250968,306451,387501
"231","Mujer","Maule","Trabajadores Agropecuarios y Pesqueros",35906,64603,61025,100094,128729,89690,74408,188454,191338,167728,194250,218852
"232","Mujer","Metropolitana","Trabajadores Agropecuarios y Pesqueros",46183,56604,75611,155642,144144,131257,219482,166727,197646,208074,229411,289055
"233","Mujer","O'Higgins","Trabajadores Agropecuarios y Pesqueros",33047,72210,56738,69907,81763,90102,106119,146467,190175,177200,206572,268950
"234","Mujer","Tarapacá","Trabajadores Agropecuarios y Pesqueros",43319,152926,40347,78575,120584,81557,96345,90352,120707,221208,177757,155936
"235","Mujer","Valparaíso","Trabajadores Agropecuarios y Pesqueros",38774,70646,82599,82809,99067,95796,136896,136405,212826,206104,238695,221860
"236","Mujer","Antofagasta","Trabajadores de Artes Mecánicas y Otros",32395,51935,57875,114254,102419,137330,167159,171245,271837,349954,239952,321326
"237","Mujer","Araucanía","Trabajadores de Artes Mecánicas y Otros",43454,45207,145007,73950,85914,92183,103132,97692,139231,153302,119499,173261
"238","Mujer","Arica y Parinacota","Trabajadores de Artes Mecánicas y Otros",31106,70615,187316,90436,89370,62830,100506,86689,178537,282555,150371,211133
"239","Mujer","Atacama","Trabajadores de Artes Mecánicas y Otros",56960,83935,71328,80124,92377,98543,98767,125467,193195,231625,149843,203377
"240","Mujer","Aysén","Trabajadores de Artes Mecánicas y Otros",43772,54843,53175,65374,89185,98548,152225,159542,137793,195865,203547,193302
"241","Mujer","Bíobío","Trabajadores de Artes Mecánicas y Otros",46248,53394,75714,94734,89189,85722,106763,100851,150633,150472,159620,155657
"242","Mujer","Coquimbo","Trabajadores de Artes Mecánicas y Otros",35304,40867,39903,48658,111604,151449,119170,150794,221286,198596,164258,163019
"243","Mujer","Los Lagos","Trabajadores de Artes Mecánicas y Otros",33918,48534,67600,60420,135684,93071,116789,119600,175870,217932,165529,169095
"244","Mujer","Los Ríos","Trabajadores de Artes Mecánicas y Otros",39834,55072,58617,104261,135184,117535,128131,136190,179423,172790,129207,111850
"245","Mujer","Magallanes","Trabajadores de Artes Mecánicas y Otros",38353,59534,70570,113616,90343,113351,154324,163735,177130,245334,187837,278037
"246","Mujer","Maule","Trabajadores de Artes Mecánicas y Otros",25019,51465,46329,72616,102342,80460,82740,155717,163343,181207,116176,149580
"247","Mujer","Metropolitana","Trabajadores de Artes Mecánicas y Otros",47943,72050,95972,124049,140612,134522,154731,210052,292953,250866,187236,220764
"248","Mujer","O'Higgins","Trabajadores de Artes Mecánicas y Otros",36849,53232,48778,69158,109819,117960,119195,142294,207401,224623,153441,204111
"249","Mujer","Tarapacá","Trabajadores de Artes Mecánicas y Otros",48769,68650,61776,218673,172127,152395,101607,127463,329293,291806,189789,219656
"250","Mujer","Valparaíso","Trabajadores de Artes Mecánicas y Otros",28959,81225,72589,141785,120523,126998,127442,141635,193338,208680,137648,165263
"251","Mujer","Antofagasta","Trabajadores de Servicios y Vendedores",99000,66677,88379,112536,117886,141860,149551,191704,282891,308008,249782,294044
"252","Mujer","Arica y Parinacota","Trabajadores de Servicios y Vendedores",74632,85895,113115,142441,128229,101639,120601,128720,202084,262275,210918,233765
"253","Mujer","Atacama","Trabajadores de Servicios y Vendedores",36838,58394,82398,99588,120921,123312,122524,141742,249942,256381,245920,289399
"254","Mujer","Aysén","Trabajadores de Servicios y Vendedores",59400,59349,133369,83883,116922,117762,166928,214706,268351,276234,258827,313339
"255","Mujer","Bíobío","Trabajadores de Servicios y Vendedores",58998,62091,66572,87337,100946,103723,118658,140753,197595,203322,197188,233290
"256","Mujer","Coquimbo","Trabajadores de Servicios y Vendedores",83485,87894,62917,91076,114036,110270,106830,146060,217967,224191,206226,224145
"257","Mujer","Los Lagos","Trabajadores de Servicios y Vendedores",22164,69685,82473,100353,133916,112588,127440,153118,225916,208602,197476,234953
"258","Mujer","Maule","Trabajadores de Servicios y Vendedores",37989,59721,67595,89842,128273,114175,107985,143777,207283,212515,194483,226297
"259","Mujer","Metropolitana","Trabajadores de Servicios y Vendedores",48173,96172,116566,137868,149863,147241,159746,183258,252890,253901,240750,281865
"260","Mujer","O'Higgins","Trabajadores de Servicios y Vendedores",42758,80991,88419,93478,119426,120275,137754,140452,221621,217794,205605,239317
"261","Mujer","Tarapacá","Trabajadores de Servicios y Vendedores",12080,92298,108321,143894,135872,125604,134458,159557,261911,261867,274885,276146
"262","Mujer","Valparaíso","Trabajadores de Servicios y Vendedores",43779,74926,82508,129240,111641,115913,123897,157657,232762,203358,210063,238567
"263","Mujer","Antofagasta","Trabajadores No Calificados",59400,39878,54380,70676,88158,88217,104011,134683,199893,228293,213738,241463
"264","Mujer","Bíobío","Trabajadores No Calificados",33220,30056,36334,49930,63359,66476,74391,84297,126110,141183,143488,179079
"265","Mujer","Coquimbo","Trabajadores No Calificados",31408,42745,58709,56807,71312,79394,85730,109061,151736,163230,174855,193823
"266","Mujer","Los Lagos","Trabajadores No Calificados",24160,35884,47574,59604,63684,73102,78799,103232,142082,153194,157209,176006
"267","Mujer","Maule","Trabajadores No Calificados",31408,39201,46393,52297,62973,76109,74618,101180,143960,148047,169690,184138
"268","Mujer","Metropolitana","Trabajadores No Calificados",87601,50138,70909,82700,99577,102408,117191,134663,172098,202689,195236,232276
