"","sexo","oficio","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"46","Hombre","Trabajadores de Servicios y Vendedores","Bíobío",127341,71043,86719,137045,138060,175332,156605,237014,277134,287154,273793,377977
"47","Hombre","Trabajadores No Calificados","Bíobío",48049,45812,57250,65575,85142,88217,102204,123400,175638,202181,211687,250371
"48","Hombre","Empleados de Oficina","Cachapoal",45215,134891,189312,214486,219060,224233,234976,235376,360775,335850,412731,531229
"49","Hombre","Fuerzas Armadas","Cachapoal",171218,117172,149940,137500,118221,152000,NA,303000,284538,547000,453333,611429
"50","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Cachapoal",450500,595587,762944,688906,586596,550926,663723,700397,656573,732381,754333,745828
"51","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Cachapoal",87379,127115,124506,156111,177669,195210,225570,259730,337460,366865,387739,416205
"52","Hombre","Profesionales, Científicos e Intelectuales","Cachapoal",186446,372881,484513,433406,846771,604587,774972,753906,1040836,988060,931359,1128114
"53","Hombre","Técnicos y Profesionales de Nivel Medio","Cachapoal",120222,198248,277881,280609,400361,379346,394385,454510,427285,564468,558009,685240
"54","Hombre","Trabajadores Agropecuarios y Pesqueros","Cachapoal",48045,142564,142122,142097,199796,154633,173004,218168,331337,318318,256100,327389
"55","Hombre","Trabajadores de Artes Mecánicas y Otros","Cachapoal",78239,122543,140028,160875,201256,187907,220436,261212,314045,366523,336121,384535
"56","Hombre","Trabajadores de Servicios y Vendedores","Cachapoal",73093,142815,130606,164899,142763,158870,198952,233042,329066,297323,284193,352588
"57","Hombre","Trabajadores No Calificados","Cachapoal",25542,55401,70012,82959,93936,103945,121062,145009,201915,251098,235141,270359
"58","Hombre","Empleados de Oficina","Cardenal Caro",75104,NA,91035,112500,184234,166919,110000,242063,263133,366217,452857,455600
"59","Hombre","Fuerzas Armadas","Cardenal Caro",69460,125541,NA,NA,NA,342000,NA,NA,NA,NA,340000,NA
"60","Hombre","Profesionales, Científicos e Intelectuales","Cardenal Caro",71854,48925,147262,172500,436482,419585,1435900,338152,610740,678258,5e+05,880930
"61","Hombre","Técnicos y Profesionales de Nivel Medio","Cardenal Caro",77756,103366,118490,257588,150597,292618,356000,300450,456540,433756,470000,656047
"62","Hombre","Trabajadores Agropecuarios y Pesqueros","Cardenal Caro",32593,42290,66353,124402,153646,127941,143526,173413,310459,308076,222208,216329
"63","Hombre","Trabajadores de Artes Mecánicas y Otros","Cardenal Caro",19800,54803,41877,113842,153504,155221,207961,233080,279724,305159,259367,306164
"64","Hombre","Trabajadores de Servicios y Vendedores","Cardenal Caro",33299,94375,106398,112879,192988,146209,177782,402044,345228,283227,225238,280498
"65","Hombre","Empleados de Oficina","Cauquenes",18788,55796,168682,161000,200800,189304,159444,247450,332163,264019,225000,380613
"66","Hombre","Fuerzas Armadas","Cauquenes",73890,139490,91035,NA,NA,251867,NA,NA,NA,NA,380000,NA
"67","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Cauquenes",2131000,457099,330432,162856,461620,361589,366187,481571,471386,864144,573333,385000
"68","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Cauquenes",36240,52234,188333,180751,157693,143290,158098,192137,241750,328936,288379,305275
"69","Hombre","Profesionales, Científicos e Intelectuales","Cauquenes",59242,134125,207914,421480,281120,382262,406572,572243,679960,586216,515000,598985
"70","Hombre","Técnicos y Profesionales de Nivel Medio","Cauquenes",41109,59730,162435,85000,211468,417200,418150,409306,478137,284194,550000,416250
"71","Hombre","Trabajadores Agropecuarios y Pesqueros","Cauquenes",30831,54234,67404,88242,69548,123593,112357,149054,208876,184465,222310,197650
"72","Hombre","Trabajadores de Artes Mecánicas y Otros","Cauquenes",32201,79808,82040,128619,128650,130546,191845,155662,234475,212907,243503,269447
"73","Hombre","Trabajadores de Servicios y Vendedores","Cauquenes",60351,49388,55800,87108,128590,165196,178186,227917,305651,315556,341492,326550
"74","Hombre","Empleados de Oficina","Cautín",74393,100038,198010,149658,178801,178461,254628,259856,314138,340339,336182,322304
"75","Hombre","Fuerzas Armadas","Cautín",96622,106858,323978,165000,323623,341164,220292,222200,257324,45948,87000,380000
"76","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Cautín",474180,391693,549292,412034,902997,715493,712991,804492,749674,652633,773549,913870
"77","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Cautín",82446,81362,171698,124183,150585,158368,159356,227099,321446,329848,299293,348688
"78","Hombre","Profesionales, Científicos e Intelectuales","Cautín",124500,192477,339548,322436,399307,592209,534653,627377,696163,950629,864467,887845
"79","Hombre","Técnicos y Profesionales de Nivel Medio","Cautín",144990,184594,221577,263015,312244,278134,303771,398379,416683,481976,453804,491147
"80","Hombre","Trabajadores Agropecuarios y Pesqueros","Cautín",39396,73327,47830,108815,117125,94238,100679,129848,198239,233108,204498,201103
"81","Hombre","Trabajadores de Artes Mecánicas y Otros","Cautín",50226,77923,161281,114455,142368,154527,153845,196235,269567,279175,254273,279074
"82","Hombre","Trabajadores de Servicios y Vendedores","Cautín",65347,114043,254625,140878,170833,156590,162434,216284,295801,275472,317228,338417
"83","Hombre","Trabajadores No Calificados","Cautín",36240,53430,98841,70523,81851,89531,100065,121995,174642,211567,198514,234727
"84","Hombre","Empleados de Oficina","Chacabuco",49741,129833,162333,124857,232905,192371,226292,264322,371517,296762,351000,410173
"85","Hombre","Fuerzas Armadas","Chacabuco",89458,96570,133875,181304,195350,345284,320000,236642,552500,NA,NA,625000
"86","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Chacabuco",321740,170048,314697,471685,880138,441626,1400848,1582691,804211,727458,788641,720871
"87","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Chacabuco",65232,110335,133059,170767,173775,177155,211277,272737,393765,338003,325606,401819
"88","Hombre","Profesionales, Científicos e Intelectuales","Chacabuco",90257,78597,221907,455500,866312,693387,1004702,1440063,785462,1242187,1060000,839062
"89","Hombre","Técnicos y Profesionales de Nivel Medio","Chacabuco",85547,114722,244765,172420,309443,330531,422326,333837,896523,634710,536750,521969
"90","Hombre","Trabajadores Agropecuarios y Pesqueros","Chacabuco",43327,123100,98863,128886,150520,231291,219374,228699,329553,307520,278600,286940
"91","Hombre","Trabajadores de Artes Mecánicas y Otros","Chacabuco",59863,91709,136076,154462,178291,189409,213973,263174,307976,379144,332130,394335
"92","Hombre","Trabajadores de Servicios y Vendedores","Chacabuco",58448,100943,128367,129229,187473,183140,196627,234538,307641,397203,236207,297020
"93","Hombre","Empleados de Oficina","Chañaral",34615,180532,134751,230041,160740,411138,228915,369083,379844,607170,515154,420882
"94","Hombre","Fuerzas Armadas","Chañaral",333686,79402,133875,2e+05,210840,294500,NA,NA,NA,475890,NA,NA
"95","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Chañaral",637650,136108,211920,592417,355769,349309,281020,501143,347912,906588,910000,738233
"96","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Chañaral",132880,139246,153456,204468,222163,317403,280878,440930,463626,461891,546787,564954
"97","Hombre","Profesionales, Científicos e Intelectuales","Chañaral",237881,252461,381389,323889,789770,661406,767430,652315,807217,981915,1015000,1173947
"98","Hombre","Técnicos y Profesionales de Nivel Medio","Chañaral",83185,237549,180216,319850,266063,403378,531700,479245,468340,818023,622143,642974
"99","Hombre","Trabajadores Agropecuarios y Pesqueros","Chañaral",125445,51403,103360,137775,177304,127881,183022,209476,393351,373828,292500,183333
"100","Hombre","Trabajadores de Artes Mecánicas y Otros","Chañaral",66971,157506,157634,162245,232596,190379,211592,336399,377663,501666,399857,436666
"101","Hombre","Trabajadores de Servicios y Vendedores","Chañaral",79868,96751,155584,148513,368366,188648,186568,223390,378063,394409,463000,525312
"102","Hombre","Empleados de Oficina","Chiloé",58140,68495,117351,183775,209200,194889,266273,264294,345178,418208,382697,454928
"103","Hombre","Fuerzas Armadas","Chiloé",144447,NA,175376,NA,351400,5e+05,256667,NA,NA,NA,416250,690000
"104","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Chiloé",396000,275171,454907,525267,566607,351527,656143,537092,554103,882997,411409,524688
"105","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Chiloé",84560,125635,137462,123932,163814,187095,191977,264082,348263,441923,280150,330276
"106","Hombre","Profesionales, Científicos e Intelectuales","Chiloé",89183,361438,214200,538700,300730,580863,588582,572270,750786,632646,822014,934765
