"","sexo","oficio","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"200","Hombre","Trabajadores de Servicios y Vendedores","Huasco",65687,73738,105689,135183,207605,136248,153548,249255,368605,376680,265450,468455
"201","Hombre","Empleados de Oficina","Iquique",84792,92874,167348,195559,296446,201018,250713,303841,491075,406122,434446,430958
"202","Hombre","Fuerzas Armadas","Iquique",222610,238522,155295,286429,301200,524633,302075,521833,469625,645720,659338,759571
"203","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Iquique",633256,476615,715404,702292,729079,540923,799122,338300,1175200,1052583,905933,1166502
"204","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Iquique",115062,124637,147858,285848,275251,243607,276180,311151,451106,514609,511708,506245
"205","Hombre","Profesionales, Científicos e Intelectuales","Iquique",139339,316342,333140,639941,901676,514577,643693,454697,962387,1092286,1256133,1169029
"206","Hombre","Técnicos y Profesionales de Nivel Medio","Iquique",181807,150087,180653,236695,353770,383272,427819,304380,485933,610993,767979,808444
"207","Hombre","Trabajadores Agropecuarios y Pesqueros","Iquique",83494,97219,156837,227646,227325,214081,222654,272064,375369,439495,472518,294000
"208","Hombre","Trabajadores de Artes Mecánicas y Otros","Iquique",82096,119039,140942,208710,227667,213919,222190,299958,345472,437164,431632,409363
"209","Hombre","Trabajadores de Servicios y Vendedores","Iquique",104904,175218,171153,221954,173468,179494,215507,200509,376647,402369,426447,406681
"210","Hombre","Trabajadores No Calificados","Iquique",132880,87048,100976,110828,146834,153670,163964,167131,252221,317322,285329,315409
"211","Hombre","Empleados de Oficina","Limarí",61865,86773,93194,129760,153207,221429,228333,300095,280960,376420,325101,338518
"212","Hombre","Fuerzas Armadas","Limarí",153520,135913,146370,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Limarí",346335,193542,362721,333987,388229,280916,307327,614546,533490,315761,935467,438294
"214","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Limarí",96640,73849,99133,136337,170196,184966,214048,211768,319388,391006,377356,401739
"215","Hombre","Profesionales, Científicos e Intelectuales","Limarí",79989,133324,202876,490684,311217,420076,602050,484940,488625,814118,953137,644042
"216","Hombre","Técnicos y Profesionales de Nivel Medio","Limarí",52247,91782,129473,175302,414559,209113,301281,347457,334808,532914,604567,601129
"217","Hombre","Trabajadores Agropecuarios y Pesqueros","Limarí",33376,128156,95979,133131,108107,120389,144049,181364,282565,249149,204105,208040
"218","Hombre","Trabajadores de Artes Mecánicas y Otros","Limarí",41529,121563,121398,140616,145837,168791,200848,228706,280251,402164,330897,352553
"219","Hombre","Trabajadores de Servicios y Vendedores","Limarí",46644,107375,84323,140881,148417,137509,154109,160396,289402,271637,269971,313349
"220","Hombre","Empleados de Oficina","Linares",65681,53369,122513,112237,189705,150232,168584,206991,315963,290208,285484,439294
"221","Hombre","Fuerzas Armadas","Linares",128854,101935,154046,340000,237358,258433,516800,137697,537767,765800,375000,762170
"222","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Linares",516800,318630,296718,397004,698478,517647,513127,425126,736236,672868,840376,615216
"223","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Linares",79728,99009,94570,141113,184153,155858,162572,195146,304931,304022,335168,368381
"224","Hombre","Profesionales, Científicos e Intelectuales","Linares",107191,176514,286350,256394,333175,405031,396648,520217,632746,544612,698403,743858
"225","Hombre","Técnicos y Profesionales de Nivel Medio","Linares",82959,151499,173862,184838,271602,263087,455543,261840,459344,403407,453851,479589
"226","Hombre","Trabajadores Agropecuarios y Pesqueros","Linares",30293,155006,67774,121562,124001,122914,153092,193074,252329,228064,201942,323138
"227","Hombre","Trabajadores de Artes Mecánicas y Otros","Linares",50420,72326,92334,116851,156592,143222,176063,218787,282466,277650,244373,277318
"228","Hombre","Trabajadores de Servicios y Vendedores","Linares",63295,65469,100967,110336,186373,154635,155686,183280,276987,280834,248075,322031
"229","Hombre","Empleados de Oficina","Llanquihue",41227,86341,152455,176274,209861,188478,206167,252416,356192,407848,318611,367428
"230","Hombre","Fuerzas Armadas","Llanquihue",123772,121249,NA,195000,261040,380000,390500,315518,408850,235575,633333,440000
"231","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Llanquihue",630333,617443,758745,690401,574168,641846,809764,1010362,730297,1265093,928205,626890
"232","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Llanquihue",82667,95241,136619,231631,175315,180001,202708,234282,340649,342036,322563,356873
"233","Hombre","Profesionales, Científicos e Intelectuales","Llanquihue",198980,298875,580057,408404,563194,661016,582984,667952,659527,974800,1186196,1106661
"234","Hombre","Técnicos y Profesionales de Nivel Medio","Llanquihue",75039,171918,239714,278731,312893,278392,417935,477084,520895,473728,605101,555438
"235","Hombre","Trabajadores Agropecuarios y Pesqueros","Llanquihue",42521,80592,114586,139588,161201,124443,163142,214234,309884,326681,217553,278295
"236","Hombre","Trabajadores de Artes Mecánicas y Otros","Llanquihue",47648,104593,104059,124835,160055,171493,193928,240218,251998,345358,266809,314456
"237","Hombre","Trabajadores de Servicios y Vendedores","Llanquihue",71066,111569,127882,137898,236081,246498,190755,244951,310762,372721,326365,397334
"238","Hombre","Trabajadores No Calificados","Llanquihue",50570,44019,59729,105879,92303,97136,117682,139506,211149,265882,224570,259937
"239","Hombre","Empleados de Oficina","Los Andes",31005,124768,130259,178456,241468,162056,202200,222006,230475,500602,318629,530633
"240","Hombre","Fuerzas Armadas","Los Andes",55827,59981,130718,154000,589850,181600,115000,312907,331132,567057,542500,795387
"241","Hombre","Profesionales, Científicos e Intelectuales","Los Andes",62212,265723,432861,445900,612810,916606,928037,612735,773854,1692601,1573580,1048685
"242","Hombre","Técnicos y Profesionales de Nivel Medio","Los Andes",124740,226392,441633,274992,390491,363113,297309,544185,425409,537309,516977,884679
"243","Hombre","Trabajadores Agropecuarios y Pesqueros","Los Andes",97247,149275,149850,152729,263258,115605,151511,182894,244805,244254,225497,278034
"244","Hombre","Trabajadores de Artes Mecánicas y Otros","Los Andes",48615,106006,148684,153517,189234,191424,177357,246076,350649,503046,371743,442781
"245","Hombre","Trabajadores de Servicios y Vendedores","Los Andes",45304,70254,102638,194867,134696,169945,183861,226602,311552,349488,309107,320983
"246","Hombre","Trabajadores No Calificados","Los Andes",99056,58387,72788,82932,97538,108658,117773,147659,210322,247788,238437,258439
"247","Hombre","Empleados de Oficina","Magallanes",61754,221174,204088,139823,212179,247250,286920,313722,521806,548017,427705,601722
"248","Hombre","Fuerzas Armadas","Magallanes",175090,157820,199141,198821,329312,314024,447657,506731,577362,849085,682188,822904
"249","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Magallanes",244620,826668,485384,826570,750395,1536425,849060,971096,1957526,1992464,1206979,1303846
"250","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Magallanes",125446,142791,194138,179977,252110,278949,271263,345953,508741,629569,466876,581264
"251","Hombre","Profesionales, Científicos e Intelectuales","Magallanes",197342,374592,320543,444900,435381,564433,879250,868212,1169570,1110536,1064816,1469460
"252","Hombre","Técnicos y Profesionales de Nivel Medio","Magallanes",141587,223662,323554,243268,458919,465143,790173,500839,407189,631328,716880,842520
"253","Hombre","Trabajadores Agropecuarios y Pesqueros","Magallanes",62945,230815,198736,171553,154778,202782,322403,219334,416990,485454,469855,589049
"254","Hombre","Trabajadores de Artes Mecánicas y Otros","Magallanes",71017,109933,163258,158241,214658,223334,286241,315464,435642,465741,383053,485158
"255","Hombre","Trabajadores de Servicios y Vendedores","Magallanes",65718,92212,128952,155721,265118,235720,188152,250044,294320,347595,359638,512753
"256","Hombre","Empleados de Oficina","Maipo",44509,74323,135841,347409,233513,197105,216710,238957,360888,478490,368763,407116
"257","Hombre","Fuerzas Armadas","Maipo",185062,95497,294359,196667,226904,281898,420000,207892,221000,583467,NA,585000
"258","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Maipo",359186,301632,786939,1412130,2158001,1090518,1687829,1222283,1267253,761035,753323,986426
"259","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Maipo",91284,96152,106519,173903,226669,197297,218089,286202,295849,354852,340903,380647
"260","Hombre","Profesionales, Científicos e Intelectuales","Maipo",93743,248081,480030,934424,580104,660512,745686,1205949,655184,1476842,1038748,960222
"261","Hombre","Técnicos y Profesionales de Nivel Medio","Maipo",168165,134418,237791,405943,390559,293443,577036,437386,550737,425194,450896,537871
"262","Hombre","Trabajadores Agropecuarios y Pesqueros","Maipo",41375,94438,105602,188438,154684,175222,205817,223736,297752,311894,260825,267046
"263","Hombre","Trabajadores de Artes Mecánicas y Otros","Maipo",62128,107641,117450,163614,183066,185241,228692,247877,295103,339382,326406,354702
"264","Hombre","Trabajadores de Servicios y Vendedores","Maipo",55257,100324,114714,132478,183393,164860,175012,249628,293740,288712,263786,395275
"265","Hombre","Trabajadores No Calificados","Maipo",65465,58512,80413,87786,112472,113855,127307,156444,217150,241577,240804,290859
"266","Hombre","Empleados de Oficina","Malleco",35616,87135,98685,434389,168867,161041,210354,210499,251894,305226,375976,339542
"267","Hombre","Fuerzas Armadas","Malleco",127863,92922,142775,2e+05,263215,290451,237500,286167,166440,456198,372000,518000
"268","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Malleco",234960,148359,348992,545727,394455,369557,555684,516607,784965,614597,915436,708054
"269","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Malleco",67648,69724,107053,192862,136298,140792,173568,243312,291728,316786,301711,356696
"270","Hombre","Profesionales, Científicos e Intelectuales","Malleco",119360,86779,171130,349357,345567,465090,857626,557281,737383,822304,819321,913187
"271","Hombre","Técnicos y Profesionales de Nivel Medio","Malleco",91567,134864,203077,185483,256263,288589,278825,331348,292086,797726,443531,545290
"272","Hombre","Trabajadores Agropecuarios y Pesqueros","Malleco",34617,87424,95370,100844,112428,89788,97994,121721,222286,209851,162290,230298
"273","Hombre","Trabajadores de Artes Mecánicas y Otros","Malleco",46698,66595,98276,113311,128646,123907,145643,190096,262190,288217,263875,274152
"274","Hombre","Trabajadores de Servicios y Vendedores","Malleco",36753,70109,79471,128486,152878,210175,175123,219854,278515,337697,332516,326786
"275","Hombre","Empleados de Oficina","Marga Marga",54154,151695,171200,211198,197656,198031,291316,295238,387746,422537,394123,388184
"276","Hombre","Fuerzas Armadas","Marga Marga",101714,94335,126485,156667,176537,224447,251861,383169,387649,594320,589048,696134
"277","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Marga Marga",208900,502368,401918,688862,828727,518567,800546,476244,1157238,785063,694730,913755
"278","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Marga Marga",105700,115382,145267,174019,272099,230534,236324,263298,346360,343528,320047,391264
"279","Hombre","Profesionales, Científicos e Intelectuales","Marga Marga",106299,283278,497581,444748,735800,794461,665887,796518,839876,1076609,1027619,1118323
"280","Hombre","Técnicos y Profesionales de Nivel Medio","Marga Marga",100968,278810,218769,314349,358607,351884,502044,310589,621382,642473,591503,591522
"281","Hombre","Trabajadores Agropecuarios y Pesqueros","Marga Marga",71798,133088,97897,252354,169380,171147,288248,247629,213935,261541,228154,282741
"282","Hombre","Trabajadores de Artes Mecánicas y Otros","Marga Marga",53975,102005,115120,184352,173828,184544,225669,237475,330418,348441,369452,374412
"283","Hombre","Trabajadores de Servicios y Vendedores","Marga Marga",79051,142663,114675,178880,203816,205090,180176,209535,299344,300282,531381,344696
"284","Hombre","Trabajadores No Calificados","Marga Marga",129860,61772,71740,85250,115434,111384,129952,137781,194601,215322,226101,287244
"285","Hombre","Empleados de Oficina","Melipilla",54330,113625,115421,208654,231627,189417,198591,416427,272534,332819,297551,412285
"286","Hombre","Fuerzas Armadas","Melipilla",82621,99636,135374,130000,167192,266667,NA,NA,NA,NA,NA,NA
"287","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Melipilla",287373,525452,610495,781227,470601,773422,1026161,1582342,761120,1437800,465953,913864
"288","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Melipilla",69719,107489,129184,204749,186825,177614,230651,234550,329946,398465,348481,453846
"289","Hombre","Profesionales, Científicos e Intelectuales","Melipilla",102087,144789,244337,332723,453274,698569,573322,637452,682660,775485,983333,887626
"290","Hombre","Técnicos y Profesionales de Nivel Medio","Melipilla",103172,115099,172528,307186,246085,265267,466635,458187,537900,450761,511825,594731
"291","Hombre","Trabajadores Agropecuarios y Pesqueros","Melipilla",36150,86474,106492,111672,146342,137017,200749,234406,289703,315327,262778,375717
"292","Hombre","Trabajadores de Artes Mecánicas y Otros","Melipilla",48138,101356,100901,227594,175311,209974,250213,234981,309141,312391,291763,401985
"293","Hombre","Trabajadores de Servicios y Vendedores","Melipilla",58040,107604,98374,165383,125673,167324,174652,250077,396494,244178,275688,369488
"294","Hombre","Trabajadores No Calificados","Melipilla",36844,59868,70391,85469,98643,100667,120266,148218,196479,227059,209959,282654
"295","Hombre","Empleados de Oficina","Ñuble",38372,98010,125612,127263,156023,182493,182516,231293,297938,282503,312707,363944
"296","Hombre","Fuerzas Armadas","Ñuble",76951,112818,152618,NA,207493,380500,472500,280528,391138,619933,735211,436254
"297","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Ñuble",77284,481636,237111,345906,1019998,420991,578375,731394,597320,795408,717790,791673
"298","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Ñuble",64829,80128,90234,125315,171990,170671,170296,192726,260336,316685,289342,336099
"299","Hombre","Profesionales, Científicos e Intelectuales","Ñuble",94830,161380,211394,384270,274931,458979,553548,582385,668532,1531773,893091,802578
"300","Hombre","Técnicos y Profesionales de Nivel Medio","Ñuble",155840,113132,150830,248898,288231,240027,285448,334673,477051,430941,441585,472578
"301","Hombre","Trabajadores Agropecuarios y Pesqueros","Ñuble",26700,83940,54190,101703,296250,104401,133599,136466,218228,209862,169958,205578
"302","Hombre","Trabajadores de Artes Mecánicas y Otros","Ñuble",38722,68118,76055,119015,147951,140722,167778,186597,243811,269029,267168,285936
"303","Hombre","Trabajadores de Servicios y Vendedores","Ñuble",46078,101874,86242,124147,136726,158381,163995,202557,273524,277591,282116,351662
"304","Hombre","Trabajadores No Calificados","Ñuble",50639,46911,48637,61836,74228,80668,86422,105212,159386,191308,179207,202544
"305","Hombre","Empleados de Oficina","Osorno",48130,97583,152273,131250,154575,168428,191512,205595,272846,366237,390578,396012
"306","Hombre","Fuerzas Armadas","Osorno",263158,NA,NA,NA,NA,180000,280000,404000,589333,207209,795476,3e+05
"307","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Osorno",855889,251177,471400,757099,708218,544051,506244,1321924,1255199,1735030,939875,717103
"308","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Osorno",76144,97496,103068,126283,157180,136866,186419,216859,277544,272749,321879,323867
"309","Hombre","Profesionales, Científicos e Intelectuales","Osorno",251485,346975,370663,247938,489847,592318,595350,546611,527878,927868,1182692,956394
"310","Hombre","Técnicos y Profesionales de Nivel Medio","Osorno",97614,127522,217299,196147,279537,331587,340625,308741,436651,482522,492492,495580
"311","Hombre","Trabajadores Agropecuarios y Pesqueros","Osorno",32534,82638,175326,127552,135132,129676,133664,182633,286851,309819,204709,270028
"312","Hombre","Trabajadores de Artes Mecánicas y Otros","Osorno",42510,88262,107081,115518,158159,159539,154812,192617,256020,270122,260355,303961
"313","Hombre","Trabajadores de Servicios y Vendedores","Osorno",43602,95912,125792,101116,166632,159541,155621,220495,310593,370292,275625,363442
"314","Hombre","Empleados de Oficina","Petorca",35860,117494,181952,156000,196162,194688,188538,294470,276641,263396,360000,372624
"315","Hombre","Fuerzas Armadas","Petorca",63713,NA,123165,160000,130158,NA,524000,181800,NA,NA,3e+05,80000
"316","Hombre","Profesionales, Científicos e Intelectuales","Petorca",163958,176496,431195,310509,668595,577709,509074,629415,638444,669780,594884,793373
"317","Hombre","Técnicos y Profesionales de Nivel Medio","Petorca",64477,227642,112992,288514,329585,406621,324143,420032,445626,377904,469231,496906
"318","Hombre","Trabajadores Agropecuarios y Pesqueros","Petorca",35189,66041,98053,130899,142624,119622,160115,213470,275545,300154,217196,276493
"319","Hombre","Trabajadores de Artes Mecánicas y Otros","Petorca",42813,77723,114213,127418,174246,186814,218768,237104,312173,340061,356719,333434
"320","Hombre","Trabajadores de Servicios y Vendedores","Petorca",35974,119718,94973,105999,136321,183145,167821,198080,259951,269471,386085,376231
"321","Hombre","Empleados de Oficina","Quillota",40843,119699,157792,142202,225564,243002,232002,234165,354784,309275,482544,414511
"322","Hombre","Fuerzas Armadas","Quillota",84731,NA,NA,165000,212926,245000,293333,250087,480675,640238,488375,476031
"323","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Quillota",302000,755496,388502,446106,437134,574254,603268,640344,635425,1154520,518538,529031
"324","Hombre","Profesionales, Científicos e Intelectuales","Quillota",71027,593128,332714,607487,613975,1339278,582897,646810,814674,1018861,828037,1040645
"325","Hombre","Técnicos y Profesionales de Nivel Medio","Quillota",91458,182559,177489,298330,333839,306025,314203,456794,590121,456473,589473,654713
"326","Hombre","Trabajadores Agropecuarios y Pesqueros","Quillota",38460,117247,117190,217116,131363,160230,194277,225974,287772,308412,223477,262141
"327","Hombre","Trabajadores de Artes Mecánicas y Otros","Quillota",50333,94143,131761,163922,178452,206712,197990,235258,312298,394951,354526,334781
"328","Hombre","Trabajadores de Servicios y Vendedores","Quillota",49814,119193,105590,139941,153718,161074,172279,298271,309748,309745,301296,300469
"329","Hombre","Trabajadores No Calificados","Quillota",36240,52101,71211,76683,97580,108476,129931,145867,207676,259239,225739,254794
"330","Hombre","Empleados de Oficina","Ranco",50110,131979,145924,122167,305216,295188,170115,164176,419144,312439,319640,317750
"331","Hombre","Fuerzas Armadas","Ranco",304336,NA,NA,181190,NA,282793,NA,NA,265200,NA,651842,3e+05
"332","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Ranco",584100,204825,1059100,699093,578822,483068,400706,646296,437883,556437,1160591,315294
"333","Hombre","Profesionales, Científicos e Intelectuales","Ranco",268176,393232,402333,351256,657060,430542,462595,756790,618728,671597,725527,996378
"334","Hombre","Técnicos y Profesionales de Nivel Medio","Ranco",127860,148365,326655,175200,401600,373182,266022,480219,416221,650499,417590,551794
"335","Hombre","Trabajadores Agropecuarios y Pesqueros","Ranco",54843,223598,NA,96095,129014,138955,168489,233702,317358,448193,201125,208714
"336","Hombre","Trabajadores de Artes Mecánicas y Otros","Ranco",67250,71670,122175,96423,96536,145157,189724,202780,238721,268889,250638,264823
"337","Hombre","Trabajadores de Servicios y Vendedores","Ranco",32603,170918,120993,148470,128977,121696,176646,170413,244669,314183,284739,317724
"338","Hombre","Empleados de Oficina","San Antonio",42461,106709,136456,331285,202489,238556,207704,236084,366260,337226,308037,393200
"339","Hombre","Fuerzas Armadas","San Antonio",42280,128760,117810,198622,272753,210000,308333,NA,1270750,864260,1e+06,4e+05
"340","Hombre","Operadores y Montadores de Instalaciones y Máquinas","San Antonio",48320,145756,181906,167708,211547,235582,228221,325085,458532,334131,353362,352603
"341","Hombre","Profesionales, Científicos e Intelectuales","San Antonio",81724,360285,382543,850320,630136,329090,744231,1298501,656810,745719,702960,1113591
"342","Hombre","Técnicos y Profesionales de Nivel Medio","San Antonio",52669,178378,175648,211323,432108,328824,269799,312953,434702,422426,582085,593216
"343","Hombre","Trabajadores Agropecuarios y Pesqueros","San Antonio",33737,102727,126412,175108,148395,172546,170027,211748,284707,315196,242779,259359
"344","Hombre","Trabajadores de Artes Mecánicas y Otros","San Antonio",42341,101381,120079,182556,200367,180342,234060,267228,327827,332038,400507,334831
"345","Hombre","Trabajadores de Servicios y Vendedores","San Antonio",68478,139978,99808,147490,163369,185837,187028,252539,339080,316015,327686,404137
"346","Hombre","Empleados de Oficina","San Felipe",73690,98239,146148,173364,170219,233607,192203,233535,319757,274539,285000,448079
"347","Hombre","Fuerzas Armadas","San Felipe",229220,150220,160650,68667,182111,3e+05,230000,NA,NA,NA,425000,515000
"348","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","San Felipe",114760,372255,310687,482064,472060,485823,576469,656513,1103963,1554840,647271,566710
"349","Hombre","Profesionales, Científicos e Intelectuales","San Felipe",296853,126614,336085,322506,445303,551386,455799,536881,663832,1230381,871346,992554
"350","Hombre","Técnicos y Profesionales de Nivel Medio","San Felipe",122784,230608,197967,274251,243808,354311,303189,289850,471294,400992,613846,515973
"351","Hombre","Trabajadores Agropecuarios y Pesqueros","San Felipe",40049,79089,143552,115496,136842,131012,171531,209950,237532,283562,234098,278353
"352","Hombre","Trabajadores de Artes Mecánicas y Otros","San Felipe",53586,97458,115684,131494,169878,157539,189434,205719,346703,325972,326741,359629
"353","Hombre","Trabajadores de Servicios y Vendedores","San Felipe",42522,110993,130082,128818,157540,156900,183562,183269,286230,309057,268925,348595
"354","Hombre","Empleados de Oficina","Santiago",59869,126766,165151,219127,253150,240506,267561,286248,374109,385480,379418,437168
"355","Hombre","Fuerzas Armadas","Santiago",187326,152277,261661,220000,274279,244942,530966,412165,518244,760890,930008,1394024
"356","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Santiago",556837,847501,1683558,1051388,1352351,1072769,1945723,1418975,1659774,2013811,1604510,1712455
"357","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Santiago",67346,112054,150930,193345,221759,215971,233143,287829,381577,393953,372265,435853
"358","Hombre","Profesionales, Científicos e Intelectuales","Santiago",132744,562431,653444,757038,1037292,921854,1198085,1213497,1308280,1617168,1431117,1531032
"359","Hombre","Técnicos y Profesionales de Nivel Medio","Santiago",107042,267875,270315,344213,383776,410838,494256,514330,588272,764701,665362,804923
"360","Hombre","Trabajadores Agropecuarios y Pesqueros","Santiago",57198,107682,145026,155392,193495,145741,232930,282952,412534,400583,251594,311255
"361","Hombre","Trabajadores de Artes Mecánicas y Otros","Santiago",63851,103823,149277,177936,211861,204035,232033,291106,338673,386560,337667,391149
"362","Hombre","Trabajadores de Servicios y Vendedores","Santiago",75885,119878,151634,191946,201474,188225,208397,269973,377856,357627,320507,398169
"363","Hombre","Trabajadores No Calificados","Santiago",71834,72796,104736,114367,136367,137804,153124,182264,248251,290430,266659,302483
"364","Hombre","Empleados de Oficina","Talagante",38748,105108,140273,303800,246696,225660,239479,221249,301349,511957,354286,544538
"365","Hombre","Fuerzas Armadas","Talagante",137000,1056905,151011,NA,140560,140000,120000,397334,66300,NA,NA,396000
"366","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Talagante",452249,1200932,551585,404006,792721,729907,1047052,1353795,968980,1154474,1200663,996376
"367","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Talagante",53756,104654,116831,129808,187358,191722,213649,254607,332659,341059,331466,375781
"368","Hombre","Profesionales, Científicos e Intelectuales","Talagante",144809,218374,368021,168977,766085,564643,807303,1441515,1000131,1411063,1153089,1823684
"369","Hombre","Técnicos y Profesionales de Nivel Medio","Talagante",91095,178138,192134,206667,487119,286274,416940,552774,433584,513805,994445,687182
"370","Hombre","Trabajadores Agropecuarios y Pesqueros","Talagante",39565,105853,99997,212140,180986,153850,204901,218416,269379,211636,232314,656249
"371","Hombre","Trabajadores de Artes Mecánicas y Otros","Talagante",72336,94604,119915,156684,194509,208730,211677,270632,306834,362308,339022,372316
"372","Hombre","Trabajadores de Servicios y Vendedores","Talagante",70738,162045,120192,137287,187957,175011,178747,223465,324727,316324,328574,382044
"373","Hombre","Trabajadores No Calificados","Talagante",89995,67566,73106,91078,110517,117313,126825,141845,215977,251953,233385,285089
"374","Hombre","Empleados de Oficina","Talca",49018,133454,135100,178788,273786,211824,201414,228672,397611,338484,367485,487220
"375","Hombre","Fuerzas Armadas","Talca",181401,107300,182223,NA,NA,320200,190000,398950,359125,656400,NA,NA
"376","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Talca",190190,333251,288478,625663,630020,481340,598916,502565,936134,772547,513637,571972
"377","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Talca",68575,75261,98056,145451,167210,159731,182924,234308,282922,364364,374965,365110
"378","Hombre","Profesionales, Científicos e Intelectuales","Talca",127405,252003,234204,611590,556523,530718,565530,495587,812357,813124,857255,1240302
"379","Hombre","Técnicos y Profesionales de Nivel Medio","Talca",92050,210334,224082,300158,295888,325479,374838,313118,539351,542002,582759,665325
"380","Hombre","Trabajadores Agropecuarios y Pesqueros","Talca",35493,88578,70865,101167,134404,119427,144840,191742,325000,256541,233916,277360
"381","Hombre","Trabajadores de Artes Mecánicas y Otros","Talca",61739,75086,97352,144227,169552,158703,169987,218300,301906,332598,303650,323741
"382","Hombre","Trabajadores de Servicios y Vendedores","Talca",69026,100106,99160,125470,156171,240820,148817,200172,313995,269606,308705,320835
"383","Hombre","Empleados de Oficina","Tamarugal",38624,75110,NA,199720,261699,242353,180542,209182,252200,467140,356667,436875
"384","Hombre","Fuerzas Armadas","Tamarugal",125330,NA,283815,70000,239328,334125,200526,NA,386750,547000,NA,556308
"385","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Tamarugal",60400,206709,99285,187615,224154,226258,211941,320946,358053,491656,529400,486220
"386","Hombre","Profesionales, Científicos e Intelectuales","Tamarugal",142309,128760,167612,472000,326483,411261,405842,572412,773482,980665,775000,872500
"387","Hombre","Técnicos y Profesionales de Nivel Medio","Tamarugal",84207,321900,321300,161600,235791,242222,231448,331515,468941,654087,326667,486842
"388","Hombre","Trabajadores Agropecuarios y Pesqueros","Tamarugal",50753,113099,76337,116184,155465,109943,172736,137767,151512,328960,143158,212882
"389","Hombre","Trabajadores de Artes Mecánicas y Otros","Tamarugal",52533,103408,106816,241788,218113,213477,239585,246823,339324,450193,394080,359203
"390","Hombre","Trabajadores de Servicios y Vendedores","Tamarugal",109325,73270,81268,177843,198610,246695,257652,409432,489117,464538,3e+05,407800
"391","Hombre","Fuerzas Armadas","Tierra del Fuego",103284,102490,178500,238083,352004,382793,518771,686800,773500,809560,7e+05,824587
"392","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Tierra del Fuego",102680,75110,160123,188733,231488,239355,257276,283746,678501,442654,564347,403764
"393","Hombre","Profesionales, Científicos e Intelectuales","Tierra del Fuego",79728,252155,432684,306875,567260,650286,452571,610208,1754025,803543,736194,974516
"394","Hombre","Técnicos y Profesionales de Nivel Medio","Tierra del Fuego",59400,173826,562543,378252,227884,382010,278800,471231,567028,509864,625141,727200
"395","Hombre","Trabajadores Agropecuarios y Pesqueros","Tierra del Fuego",41881,89528,97053,178756,247299,193810,206587,314144,444107,440254,298529,432379
"396","Hombre","Trabajadores de Artes Mecánicas y Otros","Tierra del Fuego",48320,54723,196702,141616,227804,316304,263116,272707,487096,478594,294556,430959
"397","Hombre","Empleados de Oficina","Tocopilla",41223,111132,200812,262627,257392,258286,286435,304894,483340,313021,311429,663333
"398","Hombre","Fuerzas Armadas","Tocopilla",91860,144855,NA,120000,219876,NA,NA,NA,497250,510533,NA,NA
"399","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Tocopilla",71755,132246,171606,186024,282452,247995,298030,304065,487892,521603,410833,552594
"400","Hombre","Profesionales, Científicos e Intelectuales","Tocopilla",88335,616648,535738,494372,451122,774545,437567,639177,867632,845145,1110093,921004
"401","Hombre","Técnicos y Profesionales de Nivel Medio","Tocopilla",108660,365394,259510,195000,281207,471767,516739,444488,678580,553760,435025,561250
"402","Hombre","Trabajadores Agropecuarios y Pesqueros","Tocopilla",67562,84522,83477,176956,124857,241581,205143,260929,312202,475354,194000,178286
