"","sexo","oficio","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"46","Hombre","Técnicos y Profesionales de Nivel Medio","Aysén",137371,135913,186660,203538,458660,350371,571384,429245,557626,690772,703071,551923
"47","Hombre","Trabajadores Agropecuarios y Pesqueros","Aysén",50141,129345,113309,260667,149535,154929,215997,255401,282968,397818,285916,421121
"48","Hombre","Trabajadores de Artes Mecánicas y Otros","Aysén",60903,125621,93028,121399,177203,159574,191299,320716,346680,371402,316214,408186
"49","Hombre","Trabajadores de Servicios y Vendedores","Aysén",67422,82966,138694,217330,154004,132571,220328,363435,450170,514669,385057,424500
"50","Hombre","Trabajadores No Calificados","Aysén",33824,62016,72392,112974,83872,127924,153512,221965,233201,326034,257345,291317
"51","Hombre","Empleados de Oficina","Buin",47035,70052,142054,NA,251335,204286,228289,234349,349751,1020529,340375,270000
"52","Hombre","Fuerzas Armadas","Buin",396680,NA,NA,NA,NA,426667,NA,NA,221000,NA,NA,NA
"53","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Buin",60400,89661,103200,NA,207242,140432,188100,236957,294436,416201,277113,335913
"54","Hombre","Profesionales, Científicos e Intelectuales","Buin",93064,187836,434290,NA,489624,443333,599945,927387,553735,872885,1202495,1466667
"55","Hombre","Técnicos y Profesionales de Nivel Medio","Buin",288265,149862,158106,NA,441841,333256,548316,386358,329586,510533,550252,539860
"56","Hombre","Trabajadores Agropecuarios y Pesqueros","Buin",38813,115032,134947,NA,163256,139219,261368,211234,375410,522962,317592,283944
"57","Hombre","Trabajadores de Artes Mecánicas y Otros","Buin",62974,116557,101298,NA,167183,175453,231940,268984,259049,441932,241611,353091
"58","Hombre","Trabajadores de Servicios y Vendedores","Buin",65117,113206,125592,NA,239811,162284,241236,194115,269224,393840,258000,464728
"59","Hombre","Empleados de Oficina","Bulnes",24160,NA,244120,NA,NA,276667,196167,252500,628442,362170,170000,322667
"60","Hombre","Fuerzas Armadas","Bulnes",72480,64380,NA,NA,NA,NA,250000,NA,NA,NA,NA,NA
"61","Hombre","Profesionales, Científicos e Intelectuales","Bulnes",103047,96570,148155,NA,NA,287500,362857,514326,515667,344610,450000,660000
"62","Hombre","Técnicos y Profesionales de Nivel Medio","Bulnes",60148,91374,193861,NA,NA,512000,200900,336667,237913,298115,5e+05,415000
"63","Hombre","Trabajadores Agropecuarios y Pesqueros","Bulnes",30998,238850,84035,NA,NA,71965,195900,161534,173445,221998,137214,330000
"64","Hombre","Trabajadores de Artes Mecánicas y Otros","Bulnes",27301,74205,107856,NA,NA,109948,161407,191616,273349,215689,280769,255250
"65","Hombre","Trabajadores de Servicios y Vendedores","Bulnes",41072,52169,124985,NA,NA,356449,166047,213197,224300,210595,233250,360000
"66","Hombre","Empleados de Oficina","Calama",43871,172677,209137,244000,230418,343333,349465,264230,419900,474476,412491,660174
"67","Hombre","Fuerzas Armadas","Calama",218605,193140,NA,NA,NA,NA,NA,562007,718250,545177,NA,560000
"68","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Calama",755160,207624,231531,677796,587858,290468,678409,942715,1088389,1719285,509091,1490000
"69","Hombre","Profesionales, Científicos e Intelectuales","Calama",80408,377208,534576,640587,1053887,671250,829064,852960,1043393,1102232,832582,1284084
"70","Hombre","Técnicos y Profesionales de Nivel Medio","Calama",154533,290691,434362,445133,394409,420713,686950,492441,698182,680774,674219,988041
"71","Hombre","Trabajadores Agropecuarios y Pesqueros","Calama",67629,83798,94256,112966,142231,58684,217453,137085,499145,193920,284286,277500
"72","Hombre","Trabajadores de Artes Mecánicas y Otros","Calama",93432,147270,160163,285960,261824,337371,330536,407796,478245,539157,626383,558938
"73","Hombre","Trabajadores de Servicios y Vendedores","Calama",111275,88050,174786,146555,174529,288650,156739,245429,342835,442267,335451,482650
"74","Hombre","Empleados de Oficina","Calera",28690,211024,85952,133990,240960,255471,211289,298960,397760,341328,225000,304130
"75","Hombre","Fuerzas Armadas","Calera",97137,NA,NA,NA,NA,3e+05,NA,220850,276250,780644,NA,NA
"76","Hombre","Profesionales, Científicos e Intelectuales","Calera",54587,262885,396270,666661,1223709,947200,603169,689860,497706,1349083,833333,1638048
"77","Hombre","Técnicos y Profesionales de Nivel Medio","Calera",123829,221335,151011,234326,476146,302500,241573,541732,452726,589065,719800,583333
"78","Hombre","Trabajadores Agropecuarios y Pesqueros","Calera",63052,81243,83952,143891,123126,136961,122611,227526,308314,266492,218333,239240
"79","Hombre","Trabajadores de Artes Mecánicas y Otros","Calera",48007,65991,120404,142281,167850,174329,206972,261416,324374,323031,327911,310925
"80","Hombre","Trabajadores de Servicios y Vendedores","Calera",42899,61924,133735,136425,183248,177195,171634,213784,248800,234899,248495,280706
"81","Hombre","Trabajadores No Calificados","Calera",36240,51563,71631,75272,99510,125762,128873,146672,231874,253173,232962,252527
"82","Hombre","Empleados de Oficina","Calera de Tango",34328,65668,98746,1345174,129803,198000,262250,230357,456055,400658,4e+05,461250
"83","Hombre","Fuerzas Armadas","Calera de Tango",69762,NA,204638,NA,200800,NA,NA,141400,NA,306320,NA,NA
"84","Hombre","Profesionales, Científicos e Intelectuales","Calera de Tango",92210,464967,943242,1150000,712732,1099243,1105629,1906874,630704,3319406,NA,1051228
"85","Hombre","Técnicos y Profesionales de Nivel Medio","Calera de Tango",108992,119818,485083,659882,164216,222551,422222,460610,1004774,514581,403333,437338
"86","Hombre","Trabajadores Agropecuarios y Pesqueros","Calera de Tango",41432,91563,100843,137939,135107,136323,173796,224741,275347,260428,270000,265000
"87","Hombre","Trabajadores de Artes Mecánicas y Otros","Calera de Tango",59495,107245,98229,190408,206649,164550,230626,246949,308014,305997,285091,375308
"88","Hombre","Trabajadores de Servicios y Vendedores","Calera de Tango",39192,98817,141757,NA,164402,204840,181744,289021,311058,326132,259114,885038
"89","Hombre","Trabajadores No Calificados","Calera de Tango",55810,61428,74267,88727,98881,130538,130718,169187,212178,211847,229167,307967
"90","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Cartagena",48320,112665,130552,176553,208986,241245,336076,311503,271196,317717,358142,381075
"91","Hombre","Profesionales, Científicos e Intelectuales","Cartagena",202045,NA,535500,NA,314228,410850,294571,452300,306932,907933,510000,580000
"92","Hombre","Técnicos y Profesionales de Nivel Medio","Cartagena",64548,64380,111126,246032,367171,423533,132616,410619,324878,526900,320000,NA
"93","Hombre","Trabajadores Agropecuarios y Pesqueros","Cartagena",30690,42920,252129,172448,151342,119759,161488,238566,220786,620835,221429,303712
"94","Hombre","Trabajadores de Artes Mecánicas y Otros","Cartagena",53660,80726,117246,190700,171156,180462,217446,255134,272891,352141,226429,319869
"95","Hombre","Trabajadores de Servicios y Vendedores","Cartagena",56706,273980,74526,187722,162165,134886,127220,340875,250231,154050,479820,408000
"96","Hombre","Empleados de Oficina","Casablanca",28388,128760,162792,NA,221870,177420,235000,226464,343813,296474,243500,372500
"97","Hombre","Profesionales, Científicos e Intelectuales","Casablanca",68756,268250,188496,NA,753000,260315,701867,818100,866661,970013,7e+05,85000
