"","sex","geography_name","geography_id","year","weighted_median"
"110","Hombre","Caldera",21,2012,285419.483401973
"111","Hombre","Caldera",21,2013,386894.391184902
"112","Hombre","Caldera",21,2014,405134.534532975
"113","Hombre","Caldera",21,2015,397498.961514234
"114","Hombre","Calera",22,2010,270011.667976502
"115","Hombre","Calera",22,2011,200966.641394996
"116","Hombre","Calera",22,2012,251099.03375017
"117","Hombre","Calera",22,2013,300401.035751127
"118","Hombre","Calera",22,2014,413300.277897289
"119","Hombre","Calera",22,2015,320829.89435433
"120","Hombre","Calera de Tango",23,2010,350342.53278528
"121","Hombre","Calera de Tango",23,2011,587827.426080364
"122","Hombre","Calera de Tango",23,2012,331854.957611499
"123","Hombre","Calera de Tango",23,2013,332116.115680074
"124","Hombre","Calera de Tango",23,2014,325861.28482092
"125","Hombre","Calera de Tango",23,2015,527139.170590368
"126","Hombre","Calle Larga",24,2010,199981.943538663
"127","Hombre","Calle Larga",24,2011,206809.426899811
"128","Hombre","Calle Larga",24,2012,274136.767650758
"129","Hombre","Calle Larga",24,2013,253074.917867685
"130","Hombre","Calle Larga",24,2014,288116.110792735
"131","Hombre","Calle Larga",24,2015,334732.590784448
"132","Hombre","Camarones",25,2010,151667.267203527
"133","Hombre","Camarones",25,2011,94980.6295399516
"134","Hombre","Camarones",25,2012,101525.020268785
"135","Hombre","Camarones",25,2013,50067.7812923635
"136","Hombre","Camiña",26,2011,73540.6660348749
"137","Hombre","Camiña",26,2012,129054.370530778
"138","Hombre","Camiña",26,2013,130176.231360145
"139","Hombre","Camiña",26,2014,150000
"140","Hombre","Camiña",26,2015,98605.2045255984
"141","Hombre","Canela",27,2010,296723.976508459
"142","Hombre","Canela",27,2011,300916.947852716
"143","Hombre","Canela",27,2012,279109.87082197
"144","Hombre","Canela",27,2013,320234.877458903
"145","Hombre","Canela",27,2014,306045.912050319
"146","Hombre","Canela",27,2015,297978.984093217
"147","Hombre","Cañete",28,2010,169883.732291158
"148","Hombre","Cañete",28,2011,179424.649807276
"149","Hombre","Cañete",28,2012,169589.782741544
"150","Hombre","Cañete",28,2013,200271.125169454
"151","Hombre","Cañete",28,2014,181215.144526552
"152","Hombre","Cañete",28,2015,229844.423116578
"153","Hombre","Carahue",29,2010,80694.9033450742
"154","Hombre","Carahue",29,2011,77822.0624678769
"155","Hombre","Carahue",29,2012,90241.9426855653
"156","Hombre","Carahue",29,2013,114596.591273468
"157","Hombre","Carahue",29,2014,143972.4784269
"158","Hombre","Carahue",29,2015,159667.398885582
"159","Hombre","Cartagena",30,2010,173115.578432379
"160","Hombre","Cartagena",30,2011,259168.93861051
"161","Hombre","Cartagena",30,2012,251127.577319588
"162","Hombre","Cartagena",30,2013,259018.162201043
"163","Hombre","Cartagena",30,2014,236455.653478342
"164","Hombre","Cartagena",30,2015,400108.244632872
"165","Hombre","Casablanca",31,2010,249829.018075232
"166","Hombre","Casablanca",31,2011,249200.902510106
"167","Hombre","Casablanca",31,2012,193870.489690722
"168","Hombre","Casablanca",31,2014,381434.52719348
"169","Hombre","Casablanca",31,2015,401629.844259328
"170","Hombre","Castro",32,2010,173063.879503669
"171","Hombre","Castro",32,2011,253405.600955263
"172","Hombre","Castro",32,2012,280877.166553979
"173","Hombre","Castro",32,2013,291812.391009002
"174","Hombre","Castro",32,2014,295938.897164525
"175","Hombre","Castro",32,2015,300968.488080465
"176","Hombre","Catemu",33,2010,204784.799582614
"177","Hombre","Catemu",33,2011,251208.301743745
"178","Hombre","Catemu",33,2012,392192.222631772
"179","Hombre","Catemu",33,2013,349699.111965198
"180","Hombre","Catemu",33,2014,412107.802482392
"181","Hombre","Catemu",33,2015,377005.413103944
"182","Hombre","Cauquenes",34,2010,170251.317147915
"183","Hombre","Cauquenes",34,2011,193134.89217091
"184","Hombre","Cauquenes",34,2012,216557.473532296
"185","Hombre","Cauquenes",34,2013,211748.76240061
"186","Hombre","Cauquenes",34,2014,225000
"187","Hombre","Cauquenes",34,2015,241000
"188","Hombre","Cerrillos",35,2010,213853.639472399
"189","Hombre","Cerrillos",35,2011,402522.521322685
"190","Hombre","Cerrillos",35,2012,426960.775016054
"191","Hombre","Cerrillos",35,2013,498111.850386621
"192","Hombre","Cerrillos",35,2014,400217.589428115
"193","Hombre","Cerrillos",35,2015,400078.594396705
"194","Hombre","Cerro Navia",36,2010,220215.306322176
"195","Hombre","Cerro Navia",36,2011,251208.301743745
"196","Hombre","Cerro Navia",36,2012,281909.48904149
"197","Hombre","Cerro Navia",36,2013,300000
"198","Hombre","Cerro Navia",36,2014,346855.007432158
"199","Hombre","Cerro Navia",36,2015,343757.047851475
"200","Hombre","Chañaral",39,2010,299794.821690278
"201","Hombre","Chañaral",39,2011,352387.74626488
"202","Hombre","Chañaral",39,2012,397597.305971252
"203","Hombre","Chañaral",39,2013,494556.474045797
"204","Hombre","Chañaral",39,2014,377112.695979242
"205","Hombre","Chañaral",39,2015,577210.936135875
"206","Hombre","Chanco",38,2010,136985.375956496
"207","Hombre","Chanco",38,2011,189574.911008559
"208","Hombre","Chanco",38,2012,205347.36206008
"209","Hombre","Chanco",38,2013,247251.523606187
"210","Hombre","Chanco",38,2014,239080.837321716
"211","Hombre","Chanco",38,2015,251018.65266208
"212","Hombre","Chépica",40,2010,203984.583697913
"213","Hombre","Chépica",40,2011,205321.270217199
"214","Hombre","Chépica",40,2012,203034.681508066
"215","Hombre","Chépica",40,2013,204968.198708858
"216","Hombre","Chépica",40,2014,347537.104661075
"217","Hombre","Chépica",40,2015,198070.873857134
"218","Hombre","Chiguayante",41,2010,267857.602050638
"219","Hombre","Chiguayante",41,2011,248485.412053186
"220","Hombre","Chiguayante",41,2012,280902.268636915
"221","Hombre","Chiguayante",41,2013,300406.687754181
"222","Hombre","Chiguayante",41,2014,325997.97104519
"223","Hombre","Chiguayante",41,2015,353665.249719573
"224","Hombre","Chile Chico",42,2010,183033.277145014
"225","Hombre","Chile Chico",42,2011,351691.622441243
"226","Hombre","Chile Chico",42,2012,482698.120162181
"227","Hombre","Chile Chico",42,2013,500322.771895001
"228","Hombre","Chile Chico",42,2014,367273.831258203
"229","Hombre","Chile Chico",42,2015,384831.425310918
"230","Hombre","Chillán",43,2010,229289.28042981
"231","Hombre","Chillán",43,2011,295410.978437804
"232","Hombre","Chillán",43,2012,290872.187801287
"233","Hombre","Chillán",43,2013,298867.110231973
"234","Hombre","Chillán",43,2014,300767.710096229
"235","Hombre","Chillán",43,2015,350000
"236","Hombre","Chillán Viejo",44,2010,218507.943406408
"237","Hombre","Chillán Viejo",44,2011,205693.926448083
"238","Hombre","Chillán Viejo",44,2012,249992.863393417
"239","Hombre","Chillán Viejo",44,2013,272386.632152371
"240","Hombre","Chillán Viejo",44,2014,274405.739772905
"241","Hombre","Chillán Viejo",44,2015,338986.806618472
"242","Hombre","Chimbarongo",45,2010,199863.214460186
"243","Hombre","Chimbarongo",45,2011,218093.85429707
"244","Hombre","Chimbarongo",45,2012,210947.164948454
"245","Hombre","Chimbarongo",45,2013,258503.5003174
"246","Hombre","Chimbarongo",45,2014,299943.746484155
"247","Hombre","Chimbarongo",45,2015,290870.98736213
"248","Hombre","Chonchi",47,2010,148426.226657272
"249","Hombre","Chonchi",47,2011,179415.58291592
"250","Hombre","Chonchi",47,2012,184293.582218009
"251","Hombre","Chonchi",47,2013,248406.511026998
"252","Hombre","Chonchi",47,2014,231331.775208978
"253","Hombre","Chonchi",47,2015,295449.789460253
"254","Hombre","Cisnes",48,2010,312016.158902418
"255","Hombre","Cisnes",48,2011,310000
"256","Hombre","Cisnes",48,2012,351984.517061933
"257","Hombre","Cisnes",48,2013,325294.114437047
"258","Hombre","Cisnes",48,2014,531825.607286878
"259","Hombre","Cisnes",48,2015,453105.092351656
"260","Hombre","Cochrane",51,2010,468479.098803323
"261","Hombre","Cochrane",51,2011,437341.842313997
"262","Hombre","Cochrane",51,2012,547018.508725542
"263","Hombre","Cochrane",51,2013,350000
"264","Hombre","Cochrane",51,2014,300000
"265","Hombre","Codegua",52,2010,253749.158243077
"266","Hombre","Codegua",52,2011,250764.095198703
"267","Hombre","Codegua",52,2012,272787.299221382
"268","Hombre","Codegua",52,2013,324151.442555491
"269","Hombre","Codegua",52,2014,371517.802016876
"270","Hombre","Codegua",52,2015,301001.422755359
"271","Hombre","Coelemu",53,2010,171502.014155907
"272","Hombre","Coelemu",53,2011,223824.203570206
"273","Hombre","Coelemu",53,2012,186076.568909408
"274","Hombre","Coelemu",53,2013,260485.922484202
"275","Hombre","Coelemu",53,2014,252273.493739373
"276","Hombre","Coelemu",53,2015,448301.776480012
"277","Hombre","Coihueco",55,2010,195916.84208401
"278","Hombre","Coihueco",55,2011,207854.918074902
"279","Hombre","Coihueco",55,2012,251405.270917803
"280","Hombre","Coihueco",55,2013,250338.906461818
"281","Hombre","Coihueco",55,2014,255367.130441799
"282","Hombre","Coihueco",55,2015,354400.138540352
"283","Hombre","Colbún",57,2010,167509.271699117
"284","Hombre","Colbún",57,2011,233284.511225146
