"","sex","company_size","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Menos de 5","Antofagasta",2,2010,385138.307297726
"2","Hombre","Menos de 5","Antofagasta",2,2011,379081.767745067
"3","Hombre","Menos de 5","Antofagasta",2,2012,400927.066206953
"4","Hombre","Menos de 5","Antofagasta",2,2013,417813.689609833
"5","Hombre","Menos de 5","Antofagasta",2,2014,498904.004491797
"6","Hombre","Menos de 5","Antofagasta",2,2015,632270.712872447
"7","Hombre","Menos de 5","Araucanía",9,2010,187102.309958726
"8","Hombre","Menos de 5","Araucanía",9,2011,214772.357030759
"9","Hombre","Menos de 5","Araucanía",9,2012,188570.958624898
"10","Hombre","Menos de 5","Araucanía",9,2013,231802.370668398
"11","Hombre","Menos de 5","Araucanía",9,2014,282005.8791817
"12","Hombre","Menos de 5","Araucanía",9,2015,234477.227647762
"13","Hombre","Menos de 5","Arica y Parinacota",15,2010,233985.591228959
"14","Hombre","Menos de 5","Arica y Parinacota",15,2011,220298.343304913
"15","Hombre","Menos de 5","Arica y Parinacota",15,2012,276774.910632951
"16","Hombre","Menos de 5","Arica y Parinacota",15,2013,311587.280232197
"17","Hombre","Menos de 5","Arica y Parinacota",15,2014,313172.138475535
"18","Hombre","Menos de 5","Arica y Parinacota",15,2015,344868.53822739
"19","Hombre","Menos de 5","Atacama",3,2010,282971.285635272
"20","Hombre","Menos de 5","Atacama",3,2011,314975.967118832
"21","Hombre","Menos de 5","Atacama",3,2012,328638.141408956
"22","Hombre","Menos de 5","Atacama",3,2013,387468.940834422
"23","Hombre","Menos de 5","Atacama",3,2014,329017.671756321
"24","Hombre","Menos de 5","Atacama",3,2015,370401.648030236
"25","Hombre","Menos de 5","Aysén",11,2010,367384.18261283
"26","Hombre","Menos de 5","Aysén",11,2011,345250.057112921
"27","Hombre","Menos de 5","Aysén",11,2012,394674.555485725
"28","Hombre","Menos de 5","Aysén",11,2013,314701.835707783
"29","Hombre","Menos de 5","Aysén",11,2014,357001.628006262
"30","Hombre","Menos de 5","Aysén",11,2015,422108.797033558
"31","Hombre","Menos de 5","Bíobío",8,2010,226326.0813857
"32","Hombre","Menos de 5","Bíobío",8,2011,247215.217918698
"33","Hombre","Menos de 5","Bíobío",8,2012,281898.18233331
"34","Hombre","Menos de 5","Bíobío",8,2013,260558.971566823
"35","Hombre","Menos de 5","Bíobío",8,2014,273524.40847758
"36","Hombre","Menos de 5","Bíobío",8,2015,301201.9845082
"37","Hombre","Menos de 5","Coquimbo",4,2010,254361.583528317
"38","Hombre","Menos de 5","Coquimbo",4,2011,304148.402551064
"39","Hombre","Menos de 5","Coquimbo",4,2012,289557.257514661
"40","Hombre","Menos de 5","Coquimbo",4,2013,319728.021559302
"41","Hombre","Menos de 5","Coquimbo",4,2014,362913.872521774
"42","Hombre","Menos de 5","Coquimbo",4,2015,437049.6060722
"43","Hombre","Menos de 5","Los Lagos",10,2010,242192.625616679
"44","Hombre","Menos de 5","Los Lagos",10,2011,311171.469961276
"45","Hombre","Menos de 5","Los Lagos",10,2012,297559.12561626
"46","Hombre","Menos de 5","Los Lagos",10,2013,308536.141757054
"47","Hombre","Menos de 5","Los Lagos",10,2014,361198.344588898
"48","Hombre","Menos de 5","Los Lagos",10,2015,380224.67510058
"49","Hombre","Menos de 5","Los Ríos",14,2010,222878.899893778
"50","Hombre","Menos de 5","Los Ríos",14,2011,218409.196514295
"51","Hombre","Menos de 5","Los Ríos",14,2012,303217.471366676
"52","Hombre","Menos de 5","Los Ríos",14,2013,280852.162692488
"53","Hombre","Menos de 5","Los Ríos",14,2014,268506.05555019
"54","Hombre","Menos de 5","Los Ríos",14,2015,304473.310226336
"55","Hombre","Menos de 5","Magallanes",12,2010,354368.561380452
"56","Hombre","Menos de 5","Magallanes",12,2011,393888.106470997
"57","Hombre","Menos de 5","Magallanes",12,2012,522832.74448279
"58","Hombre","Menos de 5","Magallanes",12,2013,423899.945721341
"59","Hombre","Menos de 5","Magallanes",12,2014,464355.703355988
"60","Hombre","Menos de 5","Magallanes",12,2015,481638.079671017
"61","Hombre","Menos de 5","Maule",7,2010,199057.442341628
"62","Hombre","Menos de 5","Maule",7,2011,220497.142502275
"63","Hombre","Menos de 5","Maule",7,2012,228725.31429123
"64","Hombre","Menos de 5","Maule",7,2013,276714.44914088
"65","Hombre","Menos de 5","Maule",7,2014,290200.086951505
"66","Hombre","Menos de 5","Maule",7,2015,303910.386732022
"67","Hombre","Menos de 5","Metropolitana",13,2010,389922.333861543
"68","Hombre","Menos de 5","Metropolitana",13,2011,371341.534624703
"69","Hombre","Menos de 5","Metropolitana",13,2012,431073.015412392
"70","Hombre","Menos de 5","Metropolitana",13,2013,447264.268308776
"71","Hombre","Menos de 5","Metropolitana",13,2014,437923.14969777
"72","Hombre","Menos de 5","Metropolitana",13,2015,456064.336283053
