"","sex","geography_name","geography_id","year","lb_weighted_median"
"546","Mujer","Ranco","p142",2014,64910
"547","Mujer","Ranco","p142",2015,120015
"548","Mujer","San Antonio","p56",2010,104766
"549","Mujer","San Antonio","p56",2011,170991
"550","Mujer","San Antonio","p56",2012,190820
"551","Mujer","San Antonio","p56",2013,210000
"552","Mujer","San Antonio","p56",2014,220000
"553","Mujer","San Antonio","p56",2015,291645
"554","Mujer","San Felipe","p57",2010,159118
"555","Mujer","San Felipe","p57",2011,179599
"556","Mujer","San Felipe","p57",2012,193870
"557","Mujer","San Felipe","p57",2013,214293
"558","Mujer","San Felipe","p57",2014,230070
"559","Mujer","San Felipe","p57",2015,200815
"560","Mujer","Santiago","p131",2010,205189
"561","Mujer","Santiago","p131",2011,240515
"562","Mujer","Santiago","p131",2012,253967
"563","Mujer","Santiago","p131",2013,298867
"564","Mujer","Santiago","p131",2014,300000
"565","Mujer","Santiago","p131",2015,301222
"566","Mujer","Talagante","p136",2010,174880
"567","Mujer","Talagante","p136",2011,191841
"568","Mujer","Talagante","p136",2012,199714
"569","Mujer","Talagante","p136",2013,200271
"570","Mujer","Talagante","p136",2014,251593
"571","Mujer","Talagante","p136",2015,263347
"572","Mujer","Talca","p71",2010,133384
"573","Mujer","Talca","p71",2011,149866
"574","Mujer","Talca","p71",2012,159046
"575","Mujer","Talca","p71",2013,210000
"576","Mujer","Talca","p71",2014,219959
"577","Mujer","Talca","p71",2015,240978
"578","Mujer","Tamarugal","p12",2010,125937
"579","Mujer","Tamarugal","p12",2011,175194
"580","Mujer","Tamarugal","p12",2012,181913
"581","Mujer","Tamarugal","p12",2013,199563
"582","Mujer","Tamarugal","p12",2014,180000
"583","Mujer","Tamarugal","p12",2015,261059
"584","Mujer","Tierra del Fuego","p123",2010,198412
"585","Mujer","Tierra del Fuego","p123",2011,183000
"586","Mujer","Tierra del Fuego","p123",2012,250000
"587","Mujer","Tierra del Fuego","p123",2013,230000
"588","Mujer","Tierra del Fuego","p123",2014,425000
"589","Mujer","Tierra del Fuego","p123",2015,318923
"590","Mujer","Tocopilla","p23",2010,124031
"591","Mujer","Tocopilla","p23",2011,197109
"592","Mujer","Tocopilla","p23",2012,74389
"593","Mujer","Tocopilla","p23",2013,185593
"594","Mujer","Tocopilla","p23",2014,148823
"595","Mujer","Tocopilla","p23",2015,210000
"596","Mujer","Última Esperanza","p124",2010,171907
"597","Mujer","Última Esperanza","p124",2011,60290
"598","Mujer","Última Esperanza","p124",2012,150000
"599","Mujer","Última Esperanza","p124",2013,209248
"600","Mujer","Última Esperanza","p124",2014,259273
"601","Mujer","Última Esperanza","p124",2015,291182
"602","Mujer","Valdivia","p141",2010,160104
"603","Mujer","Valdivia","p141",2011,150000
"604","Mujer","Valdivia","p141",2012,179393
"605","Mujer","Valdivia","p141",2013,199803
