"","sex","work_day","geography_name","geography_id","year","weighted_median"
"109","Hombre","Completa","Caldera",21,2011,319072.402812883
"110","Hombre","Completa","Caldera",21,2012,309228.228576698
"111","Hombre","Completa","Caldera",21,2013,399849.01792703
"112","Hombre","Completa","Caldera",21,2014,401362.867930171
"113","Hombre","Completa","Caldera",21,2015,442787.942931927
"114","Hombre","Completa","Calera",22,2010,280236.710913481
"115","Hombre","Completa","Calera",22,2011,210000
"116","Hombre","Completa","Calera",22,2012,261502.739637149
"117","Hombre","Completa","Calera",22,2013,340506.20167161
"118","Hombre","Completa","Calera",22,2014,438638.541221
"119","Hombre","Completa","Calera",22,2015,350094.714053763
"120","Hombre","Completa","Calera de Tango",23,2010,300293.59953024
"121","Hombre","Completa","Calera de Tango",23,2011,371788.286580743
"122","Hombre","Completa","Calera de Tango",23,2012,384184.96475304
"123","Hombre","Completa","Calera de Tango",23,2013,332116.115680074
"124","Hombre","Completa","Calera de Tango",23,2014,404169.035436801
"125","Hombre","Completa","Calera de Tango",23,2015,577342.901122784
"126","Hombre","Completa","Calle Larga",24,2010,210386.749402302
"127","Hombre","Completa","Calle Larga",24,2011,229475.258188013
"128","Hombre","Completa","Calle Larga",24,2012,281573.903427939
"129","Hombre","Completa","Calle Larga",24,2013,280379.575237236
"130","Hombre","Completa","Calle Larga",24,2014,297159.691629522
"131","Hombre","Completa","Calle Larga",24,2015,373416.639966922
"132","Hombre","Completa","Camarones",25,2010,165000
"133","Hombre","Completa","Camarones",25,2011,182147.727272727
"134","Hombre","Completa","Camarones",25,2012,103556.112538031
"135","Hombre","Completa","Camarones",25,2013,44059.6475372799
"136","Hombre","Completa","Camiña",26,2011,68591.6622441243
"137","Hombre","Completa","Camiña",26,2012,160899.373387394
"138","Hombre","Completa","Camiña",26,2013,125169.453230909
"139","Hombre","Completa","Camiña",26,2014,150000
"140","Hombre","Completa","Camiña",26,2015,98605.2045255984
"141","Hombre","Completa","Canela",27,2010,323507.756614612
"142","Hombre","Completa","Canela",27,2011,349352.517126303
"143","Hombre","Completa","Canela",27,2012,296330.586938941
"144","Hombre","Completa","Canela",27,2013,354905.743146748
"145","Hombre","Completa","Canela",27,2014,343585.078371213
"146","Hombre","Completa","Canela",27,2015,392325.732334011
"147","Hombre","Completa","Cañete",28,2010,200024.952010908
"148","Hombre","Completa","Cañete",28,2011,186075.813706581
"149","Hombre","Completa","Cañete",28,2012,180397.791218552
"150","Hombre","Completa","Cañete",28,2013,214968.360103619
"151","Hombre","Completa","Cañete",28,2014,205601.957871307
"152","Hombre","Completa","Cañete",28,2015,250000
"153","Hombre","Completa","Carahue",29,2010,122677.431347241
"154","Hombre","Completa","Carahue",29,2011,78727.9797738052
"155","Hombre","Completa","Carahue",29,2012,100417.623741966
"156","Hombre","Completa","Carahue",29,2013,134785.819286253
"157","Hombre","Completa","Carahue",29,2014,178513.044975021
"158","Hombre","Completa","Carahue",29,2015,194968.73310066
"159","Hombre","Completa","Cartagena",30,2010,176026.992619895
"160","Hombre","Completa","Cartagena",30,2011,259168.93861051
"161","Hombre","Completa","Cartagena",30,2012,251127.577319588
"162","Hombre","Completa","Cartagena",30,2013,298867.110231973
"163","Hombre","Completa","Cartagena",30,2014,319939.996249766
"164","Hombre","Completa","Cartagena",30,2015,400108.244632872
"165","Hombre","Completa","Casablanca",31,2010,249829.018075232
"166","Hombre","Completa","Casablanca",31,2011,249200.902510106
"167","Hombre","Completa","Casablanca",31,2012,202408.827319588
"168","Hombre","Completa","Casablanca",31,2014,381434.52719348
"169","Hombre","Completa","Casablanca",31,2015,397613.545816734
"170","Hombre","Completa","Castro",32,2010,202046.62222195
"171","Hombre","Completa","Castro",32,2011,276774.1698389
"172","Hombre","Completa","Castro",32,2012,319683.514139212
"173","Hombre","Completa","Castro",32,2013,344807.309185948
"174","Hombre","Completa","Castro",32,2014,300000
"175","Hombre","Completa","Castro",32,2015,323706.32338183
"176","Hombre","Completa","Catemu",33,2010,206808.1159945
"177","Hombre","Completa","Catemu",33,2011,258265.861328134
"178","Hombre","Completa","Catemu",33,2012,394400.618575142
"179","Hombre","Completa","Catemu",33,2013,350552.541375809
"180","Hombre","Completa","Catemu",33,2014,424841.237692244
"181","Hombre","Completa","Catemu",33,2015,400000
"182","Hombre","Completa","Cauquenes",34,2010,171882.36443576
"183","Hombre","Completa","Cauquenes",34,2011,199360.722008085
"184","Hombre","Completa","Cauquenes",34,2012,216713.123981896
"185","Hombre","Completa","Cauquenes",34,2013,225332.78033328
"186","Hombre","Completa","Cauquenes",34,2014,225000
"187","Hombre","Completa","Cauquenes",34,2015,241028.556404894
"188","Hombre","Completa","Cerrillos",35,2010,213922.281943473
"189","Hombre","Completa","Cerrillos",35,2011,402299.8915287
"190","Hombre","Completa","Cerrillos",35,2012,447781.624316278
"191","Hombre","Completa","Cerrillos",35,2013,538059.309988794
"192","Hombre","Completa","Cerrillos",35,2014,414416.154021417
"193","Hombre","Completa","Cerrillos",35,2015,450483.039391014
"194","Hombre","Completa","Cerro Navia",36,2010,249929.573947222
"195","Hombre","Completa","Cerro Navia",36,2011,252930.26540851
"196","Hombre","Completa","Cerro Navia",36,2012,295889.415918072
"197","Hombre","Completa","Cerro Navia",36,2013,300313.040478137
"198","Hombre","Completa","Cerro Navia",36,2014,353647.9060072
"199","Hombre","Completa","Cerro Navia",36,2015,350094.714053763
"200","Hombre","Completa","Chañaral",39,2010,299794.821690278
"201","Hombre","Completa","Chañaral",39,2011,352387.74626488
"202","Hombre","Completa","Chañaral",39,2012,413947.842763293
"203","Hombre","Completa","Chañaral",39,2013,494556.474045797
"204","Hombre","Completa","Chañaral",39,2014,399951.488972683
"205","Hombre","Completa","Chañaral",39,2015,580156.954717664
"206","Hombre","Completa","Chanco",38,2010,141156.922051494
"207","Hombre","Completa","Chanco",38,2011,184136.566228461
"208","Hombre","Completa","Chanco",38,2012,206020.937783857
"209","Hombre","Completa","Chanco",38,2013,260649.334312054
"210","Hombre","Completa","Chanco",38,2014,250000
"211","Hombre","Completa","Chanco",38,2015,259333.050612319
"212","Hombre","Completa","Chépica",40,2010,209037.577709629
"213","Hombre","Completa","Chépica",40,2011,200966.641394996
"214","Hombre","Completa","Chépica",40,2012,206113.796675381
"215","Hombre","Completa","Chépica",40,2013,210284.681427927
"216","Hombre","Completa","Chépica",40,2014,350000
"217","Hombre","Completa","Chépica",40,2015,207467.256822452
"218","Hombre","Completa","Chiguayante",41,2010,299794.821690278
"219","Hombre","Completa","Chiguayante",41,2011,260518.314516223
"220","Hombre","Completa","Chiguayante",41,2012,301353.092783505
"221","Hombre","Completa","Chiguayante",41,2013,308662.294362356
"222","Hombre","Completa","Chiguayante",41,2014,352994.124447404
"223","Hombre","Completa","Chiguayante",41,2015,400108.244632872
"224","Hombre","Completa","Chile Chico",42,2010,188274.617646597
"225","Hombre","Completa","Chile Chico",42,2011,401933.282789992
"226","Hombre","Completa","Chile Chico",42,2012,482698.120162181
"227","Hombre","Completa","Chile Chico",42,2013,500322.771895001
"228","Hombre","Completa","Chile Chico",42,2014,365743.417680326
"229","Hombre","Completa","Chile Chico",42,2015,405302.420046315
"230","Hombre","Completa","Chillán",43,2010,249903.188418502
"231","Hombre","Completa","Chillán",43,2011,299041.083012127
"232","Hombre","Completa","Chillán",43,2012,301353.092783505
"233","Hombre","Completa","Chillán",43,2013,348259.313817337
"234","Hombre","Completa","Chillán",43,2014,350000
"235","Hombre","Completa","Chillán",43,2015,374037.509488686
"236","Hombre","Completa","Chillán Viejo",44,2010,219915.39830803
"237","Hombre","Completa","Chillán Viejo",44,2011,228464.81317706
"238","Hombre","Completa","Chillán Viejo",44,2012,253836.068905246
"239","Hombre","Completa","Chillán Viejo",44,2013,274896.527970991
"240","Hombre","Completa","Chillán Viejo",44,2014,279947.496718545
"241","Hombre","Completa","Chillán Viejo",44,2015,369024.960635175
"242","Hombre","Completa","Chimbarongo",45,2010,199863.214460186
"243","Hombre","Completa","Chimbarongo",45,2011,231478.17564035
"244","Hombre","Completa","Chimbarongo",45,2012,210947.164948454
"245","Hombre","Completa","Chimbarongo",45,2013,259018.162201043
"246","Hombre","Completa","Chimbarongo",45,2014,299943.746484155
"247","Hombre","Completa","Chimbarongo",45,2015,291314.831480973
"248","Hombre","Completa","Chonchi",47,2010,192660.334595167
"249","Hombre","Completa","Chonchi",47,2011,199455.522756679
"250","Hombre","Completa","Chonchi",47,2012,190000
"251","Hombre","Completa","Chonchi",47,2013,292892.820462129
"252","Hombre","Completa","Chonchi",47,2014,277160.586124402
"253","Hombre","Completa","Chonchi",47,2015,394233.452950558
"254","Hombre","Completa","Cisnes",48,2010,349434.911829246
"255","Hombre","Completa","Cisnes",48,2011,353562.291068845
"256","Hombre","Completa","Cisnes",48,2012,366030.164605568
"257","Hombre","Completa","Cisnes",48,2013,362865.866278122
"258","Hombre","Completa","Cisnes",48,2014,560988.813417999
"259","Hombre","Completa","Cisnes",48,2015,552820.856923232
"260","Hombre","Completa","Cochrane",51,2010,452908.362750679
"261","Hombre","Completa","Cochrane",51,2011,457950.409915597
"262","Hombre","Completa","Cochrane",51,2012,547018.508725542
"263","Hombre","Completa","Cochrane",51,2013,350000
"264","Hombre","Completa","Cochrane",51,2014,692500
"265","Hombre","Completa","Codegua",52,2010,253749.158243077
"266","Hombre","Completa","Codegua",52,2011,268547.101892276
"267","Hombre","Completa","Codegua",52,2012,278265.81690678
"268","Hombre","Completa","Codegua",52,2013,324944.269031341
"269","Hombre","Completa","Codegua",52,2014,377686.797469293
"270","Hombre","Completa","Codegua",52,2015,301174.281721963
"271","Hombre","Completa","Coelemu",53,2010,182337.965213542
"272","Hombre","Completa","Coelemu",53,2011,223824.203570206
"273","Hombre","Completa","Coelemu",53,2012,193594.360565036
"274","Hombre","Completa","Coelemu",53,2013,294822.246651242
"275","Hombre","Completa","Coelemu",53,2014,301241.252885085
"276","Hombre","Completa","Coelemu",53,2015,524386.449525917
"277","Hombre","Completa","Coihueco",55,2010,199959.652476893
"278","Hombre","Completa","Coihueco",55,2011,214213.088357753
"279","Hombre","Completa","Coihueco",55,2012,251369.966498725
"280","Hombre","Completa","Coihueco",55,2013,278877.541798465
"281","Hombre","Completa","Coihueco",55,2014,264749.670480732
"282","Hombre","Completa","Coihueco",55,2015,358631.428099181
"283","Hombre","Completa","Colbún",57,2010,167509.271699117
"284","Hombre","Completa","Colbún",57,2011,250000
"285","Hombre","Completa","Colbún",57,2012,250822.71079606
"286","Hombre","Completa","Colbún",57,2013,253333.802532642
"287","Hombre","Completa","Colbún",57,2014,397075.906662132
"288","Hombre","Completa","Colbún",57,2015,372770.518126454
"289","Hombre","Completa","Colina",59,2010,250000
"290","Hombre","Completa","Colina",59,2011,299041.083012127
"291","Hombre","Completa","Colina",59,2012,315218.707231266
"292","Hombre","Completa","Colina",59,2013,360488.025305017
"293","Hombre","Completa","Colina",59,2014,368145.922077085
"294","Hombre","Completa","Colina",59,2015,400108.244632872
"295","Hombre","Completa","Collipulli",60,2010,184559.506466244
"296","Hombre","Completa","Collipulli",60,2011,199552.043157424
"297","Hombre","Completa","Collipulli",60,2012,245138.960358567
"298","Hombre","Completa","Collipulli",60,2013,210544.642173761
"299","Hombre","Completa","Collipulli",60,2014,225552.130710494
"300","Hombre","Completa","Collipulli",60,2015,271073.335738771
"301","Hombre","Completa","Coltauco",61,2014,295000
"302","Hombre","Completa","Coltauco",61,2015,309017.094017094
"303","Hombre","Completa","Combarbalá",62,2010,172881.680508061
"304","Hombre","Completa","Combarbalá",62,2011,249444.86575345
"305","Hombre","Completa","Combarbalá",62,2012,250751.559398208
"306","Hombre","Completa","Combarbalá",62,2013,233340.944099022
"307","Hombre","Completa","Combarbalá",62,2014,255677.839538294
"308","Hombre","Completa","Combarbalá",62,2015,298460.368815904
"309","Hombre","Completa","Concepción",64,2010,265717.499376963
"310","Hombre","Completa","Concepción",64,2011,301449.962092494
"311","Hombre","Completa","Concepción",64,2012,344019.00045196
"312","Hombre","Completa","Concepción",64,2013,348390.61268543
"313","Hombre","Completa","Concepción",64,2014,333377.193139684
"314","Hombre","Completa","Concepción",64,2015,400000
"315","Hombre","Completa","Conchalí",65,2010,234962.610056906
"316","Hombre","Completa","Conchalí",65,2011,299041.083012127
"317","Hombre","Completa","Conchalí",65,2012,300000
"318","Hombre","Completa","Conchalí",65,2013,348678.295270635
"319","Hombre","Completa","Conchalí",65,2014,382984.072975431
"320","Hombre","Completa","Conchalí",65,2015,426765.911116914
"321","Hombre","Completa","Concón",63,2010,300293.59953024
"322","Hombre","Completa","Concón",63,2011,373101.362312699
"323","Hombre","Completa","Concón",63,2012,508163.952778514
"324","Hombre","Completa","Concón",63,2013,541608.77530513
"325","Hombre","Completa","Concón",63,2014,623924.370364198
"326","Hombre","Completa","Concón",63,2015,603909.222609243
"327","Hombre","Completa","Constitución",66,2010,252598.195240684
"328","Hombre","Completa","Constitución",66,2011,259652.442401757
"329","Hombre","Completa","Constitución",66,2012,252170.650107468
"330","Hombre","Completa","Constitución",66,2013,296728.21069321
"331","Hombre","Completa","Constitución",66,2014,280979.533814425
"332","Hombre","Completa","Constitución",66,2015,280000
"333","Hombre","Completa","Copiapó",68,2010,349804.546926432
"334","Hombre","Completa","Copiapó",68,2011,398026.298504547
"335","Hombre","Completa","Copiapó",68,2012,401804.12371134
"336","Hombre","Completa","Copiapó",68,2013,502579.748006809
"337","Hombre","Completa","Copiapó",68,2014,502371.202548976
"338","Hombre","Completa","Copiapó",68,2015,600000
"339","Hombre","Completa","Coquimbo",69,2010,267862.042227405
"340","Hombre","Completa","Coquimbo",69,2011,281220.445219772
"341","Hombre","Completa","Coquimbo",69,2012,400066.218686099
"342","Hombre","Completa","Coquimbo",69,2013,350000
"343","Hombre","Completa","Coquimbo",69,2014,415557.924671193
"344","Hombre","Completa","Coquimbo",69,2015,450000
"345","Hombre","Completa","Coronel",70,2010,264695.564055869
"346","Hombre","Completa","Coronel",70,2011,271879.405709863
"347","Hombre","Completa","Coronel",70,2012,261336.79618951
"348","Hombre","Completa","Coronel",70,2013,300406.687754181
"349","Hombre","Completa","Coronel",70,2014,316013.584844576
