"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"38","comuna","Antuco","10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,118889.615430897,91160.3545640889,"[60390, 203562]","[41708, 272092]"
"39","comuna","Antuco","10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,70700.0749760308,78223.9932239932,"[35191, 107307]","[10045, 125000]"
"40","comuna","Antuco","10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,121750,118500,"[74038, 165000]","[50000, 200000]"
"41","comuna","Antuco","10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,178888.751355485,99981.2488280518,"[99981, 273639]","[99981, 268768]"
"42","comuna","Antuco","10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,106695.531902099,110029.76727404,"[60016, 150041]","[60016, 150041]"
"43","comuna","Arauco","11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,137676.704110457,48077.9289933033,"[40528, 240057]","[20000, 306129]"
"44","comuna","Arauco","11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,116225.61737493,134190.92655647,"[30145, 194377]","[30145, 194377]"
"45","comuna","Arauco","11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,142623.180560284,80414.5493681816,"[61544, 250181]","[29024, 223200]"
"46","comuna","Arauco","11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,148682.235406925,128245.21770978,"[113253, 191318]","[99622, 179320]"
"47","comuna","Arauco","11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,191043.906445142,194273.316068443,"[93259, 252910]","[43452, 323414]"
"48","comuna","Arauco","11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,254735.582416262,284076.853689339,"[100027, 380103]","[100027, 380103]"
"49","comuna","Arica","12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,276563.344896083,211941.46164693,"[227645, 331676]","[166808, 274691]"
"50","comuna","Arica","12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,300848.492106806,210263.525417181,"[246290, 385660]","[174540, 302423]"
"51","comuna","Arica","12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,343835.999170096,219627.615034573,"[250285, 454531]","[199482, 277251]"
"52","comuna","Arica","12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,366860.018582536,300406.687754181,"[302790, 477354]","[246333, 331227]"
"53","comuna","Arica","12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,330302.045997063,300000,"[290663, 366564]","[259356, 307958]"
"54","comuna","Arica","12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,464621.97158815,406288.775161349,"[394225, 558066]","[331760, 502521]"
"55","comuna","Aysén","13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,291505.570950765,223954.294035619,"[170223, 446992]","[99932, 263253]"
"56","comuna","Aysén","13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,267224.006480699,252477.749480652,"[218337, 340440]","[176997, 300000]"
"57","comuna","Aysén","13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,407271.940021734,372515.985370626,"[336009, 516949]","[300000, 602706]"
