"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"38","region","Coquimbo",4,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,255917.874871171,178125.85458662,"[196095, 366986]","[141409, 200204]"
"39","region","Coquimbo",4,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,184854.69759487,150607.96965411,"[159552, 218807]","[116087, 200474]"
"40","region","Coquimbo",4,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,252610.079151633,167010.526162302,"[191239, 349667]","[150203, 203240]"
"41","region","Coquimbo",4,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,281211.552898182,221060.014818818,"[232064, 347116]","[197903, 260000]"
"42","region","Coquimbo",4,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,279409.503039953,230937.160449114,"[220235, 339304]","[185166, 250000]"
"43","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,211134.657093044,136603.0284465,"[172588, 327420]","[106444, 162640]"
"44","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,303872.385191723,171454.887887654,"[246430, 376092]","[152299, 200798]"
"45","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,233599.607876994,150681.792678278,"[207470, 277736]","[132742, 185251]"
"46","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,293327.928428772,214872.471845205,"[248912, 344664]","[182855, 277272]"
"47","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,374150.239105699,199962.497656104,"[256958, 565484]","[159625, 202898]"
"48","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,315085.983494464,240000,"[272223, 365177]","[200786, 265808]"
"49","region","Los Ríos",14,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,165543.814845011,130057.949438959,"[128071, 209345]","[87835, 170000]"
"50","region","Los Ríos",14,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,192698.386139446,126046.71458754,"[159869, 227433]","[100472, 183403]"
"51","region","Los Ríos",14,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,272661.265334607,194246.21268946,"[197052, 352873]","[139874, 200941]"
"52","region","Los Ríos",14,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,214800.284919187,159395.792123719,"[185531, 253188]","[110989, 199245]"
"53","region","Los Ríos",14,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,203912.531750637,179960.493419862,"[172732, 243345]","[120592, 200548]"
"54","region","Los Ríos",14,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,266702.460978121,200048.616627512,"[212253, 354279]","[150041, 235728]"
"55","region","Magallanes",12,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,928900.199148666,279986.088866209,"[359212, 1887012]","[184794, 586130]"
"56","region","Magallanes",12,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,219135.528181567,202911.388164932,"[181177, 256800]","[182655, 279105]"
"57","region","Magallanes",12,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,439643.434789345,306982.050557851,"[285418, 628130]","[193000, 548418]"
"58","region","Magallanes",12,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,369002.713461738,382231.209578728,"[246497, 496181]","[194266, 427579]"
"59","region","Magallanes",12,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,506896.255313438,400000,"[317146, 701019]","[318052, 522664]"
"60","region","Magallanes",12,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,576418.356456435,394114.524348798,"[375199, 839255]","[355199, 500000]"
"61","region","Maule",7,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,189419.329047959,131155.598046009,"[154216, 242173]","[99925, 160000]"
"62","region","Maule",7,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,218463.376325689,150000,"[184511, 272650]","[112125, 170285]"
"63","region","Maule",7,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,209836.274108195,167326.515357783,"[176847, 241297]","[120405, 193000]"
"64","region","Maule",7,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,265290.568680244,189622.729579068,"[215062, 320629]","[128615, 211401]"
"65","region","Maule",7,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,266647.729645186,196529.010198969,"[209402, 364704]","[151440, 232348]"
"66","region","Maule",7,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,257929.117746528,200759.093107006,"[215186, 298505]","[174126, 224198]"
"67","region","Metropolitana",13,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,245103.356868597,168938.579520042,"[189292, 317860]","[149970, 199863]"
"68","region","Metropolitana",13,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,254262.918813892,181418.257027357,"[183535, 431389]","[176437, 200000]"
"69","region","Metropolitana",13,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,236234.353936535,200902.06185567,"[193876, 307927]","[193870, 222082]"
"70","region","Metropolitana",13,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,277848.833715968,209206.977162381,"[228241, 351619]","[200271, 231759]"
"71","region","Metropolitana",13,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,318445.592754311,227895.16869501,"[263347, 409245]","[202085, 279520]"
"72","region","Metropolitana",13,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,388288.731366735,300000,"[316725, 476240]","[250000, 315279]"
"73","region","O'Higgins",6,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,318747.255736442,184889.538341153,"[234295, 480056]","[171882, 263596]"
"74","region","O'Higgins",6,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,295624.059315826,239128.510898966,"[244817, 345045]","[200000, 265250]"
"75","region","O'Higgins",6,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,252451.051190605,200977.940170511,"[207909, 314955]","[173486, 241082]"
"76","region","O'Higgins",6,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,325240.392334397,219944.352161501,"[245575, 526030]","[204516, 275008]"
"77","region","O'Higgins",6,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,372137.289990328,278656.540081162,"[289024, 497904]","[248026, 355210]"
"78","region","O'Higgins",6,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,410863.801918654,280075.77124301,"[311443, 575577]","[192897, 320801]"
"79","region","Tarapacá",1,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,166351.460231006,110107.653161088,"[112560, 287126]","[70975, 157579]"
"80","region","Tarapacá",1,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,193626.444007353,150724.981046247,"[140854, 251692]","[111769, 201396]"
