"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"14565","comuna","Rinconada","268","Mujer","200 y más personas",2012,308578.063532385,260912.658883997,"[208404, 451208]","[197889, 382315]"
"14566","comuna","Rinconada","268","Mujer","200 y más personas",2013,224467.801119223,197590.145933838,"[189713, 271392]","[189283, 289946]"
"14567","comuna","Rinconada","268","Mujer","200 y más personas",2014,889897.476862002,698994.478103697,"[505832, 1431903]","[364451, 1674482]"
"14568","comuna","Rinconada","268","Mujer","200 y más personas",2015,901241.599186896,658489.982864428,"[489154, 1303917]","[348720, 1196123]"
"14569","comuna","Río Bueno","269","Mujer","200 y más personas",2010,273280.915911443,158248.351758282,"[107719, 512478]","[60000, 627604]"
"14570","comuna","Río Bueno","269","Mujer","200 y más personas",2011,539669.474475886,539669.474475886,"[539669, 539669]","[539669, 539669]"
"14571","comuna","Río Bueno","269","Mujer","200 y más personas",2012,358573.910049418,358573.910049418,"[183023, 520000]","[183023, 520000]"
"14572","comuna","Río Bueno","269","Mujer","200 y más personas",2013,195264.347040218,195264.347040218,"[195264, 195264]","[195264, 195264]"
"14573","comuna","Río Bueno","269","Mujer","200 y más personas",2014,326591.215120368,287074.90337811,"[218725, 516941]","[183056, 614846]"
"14574","comuna","Río Bueno","269","Mujer","200 y más personas",2015,394819.143164724,396691.110601837,"[224226, 560000]","[200054, 560000]"
"14575","comuna","Río Claro","270","Mujer","200 y más personas",2010,275269.13290272,275269.13290272,"[275269, 275269]","[275269, 275269]"
"14576","comuna","Río Claro","270","Mujer","200 y más personas",2011,223915.636891088,221063.305534496,"[147710, 301450]","[147710, 301450]"
"14577","comuna","Río Claro","270","Mujer","200 y más personas",2013,223080.529175888,170200.148788676,"[83962, 397738]","[50068, 480651]"
"14578","comuna","Río Claro","270","Mujer","200 y más personas",2014,327377.027458652,255947.201451089,"[229692, 437386]","[182000, 448945]"
"14579","comuna","Río Claro","270","Mujer","200 y más personas",2015,280045.738484012,306536.847523559,"[224553, 346198]","[196430, 352779]"
"14580","comuna","Río Hurtado","271","Mujer","200 y más personas",2010,127457.950022835,148144.842434918,"[70069, 164161]","[70069, 164161]"
"14581","comuna","Río Hurtado","271","Mujer","200 y más personas",2011,134312.705332322,125604.150871872,"[90435, 186899]","[90435, 186899]"
"14582","comuna","Río Hurtado","271","Mujer","200 y más personas",2012,309530.169553998,406270.917803169,"[159612, 457950]","[75422, 565159]"
"14583","comuna","Río Hurtado","271","Mujer","200 y más personas",2013,290393.131495708,290393.131495708,"[290393, 290393]","[290393, 290393]"
"14584","comuna","Río Hurtado","271","Mujer","200 y más personas",2014,223030.577979912,91948.455561872,"[74024, 463324]","[40417, 719067]"
"14585","comuna","Río Hurtado","271","Mujer","200 y más personas",2015,90848.67077146,96792.7924664981,"[80005, 97757]","[68277, 98399]"
"14586","comuna","Río Ibáñez","272","Mujer","200 y más personas",2010,89438.7884709331,71451.0991695164,"[53713, 141016]","[44969, 169884]"
"14587","comuna","Río Ibáñez","272","Mujer","200 y más personas",2011,229101.971190295,229101.971190295,"[229102, 229102]","[229102, 229102]"
"14588","comuna","Río Ibáñez","272","Mujer","200 y más personas",2014,163183.248057608,163183.248057608,"[58605, 267762]","[58605, 267762]"
"14589","comuna","Río Ibáñez","272","Mujer","200 y más personas",2015,414839.657531284,438687.60993957,"[335793, 485302]","[274112, 502037]"
"14590","comuna","Río Negro","273","Mujer","200 y más personas",2010,400391.46604032,400391.46604032,"[200196, 600587]","[200196, 600587]"
"14591","comuna","Río Negro","273","Mujer","200 y más personas",2011,82000,82000,"[82000, 82000]","[82000, 82000]"
"14592","comuna","Río Negro","273","Mujer","200 y más personas",2012,544481.442089207,544481.442089207,"[80361, 1220824]","[80361, 1220824]"
"14593","comuna","Río Negro","273","Mujer","200 y más personas",2013,539843.092828522,506952.863910516,"[262672, 901220]","[229131, 901220]"
"14594","comuna","Río Negro","273","Mujer","200 y más personas",2014,623421.663014976,378853.393695386,"[159970, 1317591]","[159970, 1317591]"
"14595","comuna","Río Negro","273","Mujer","200 y más personas",2015,509150.178465403,509150.178465403,"[350095, 600162]","[350095, 600162]"
"14596","comuna","Romeral","275","Mujer","200 y más personas",2010,263683.333333333,214750,"[126300, 450000]","[126300, 450000]"
"14597","comuna","Romeral","275","Mujer","200 y más personas",2011,252814.324048437,183500,"[144356, 441690]","[130319, 474929]"
"14598","comuna","Romeral","275","Mujer","200 y más personas",2012,215174.131007963,212213.705155016,"[203114, 230948]","[197553, 232875]"
"14599","comuna","Romeral","275","Mujer","200 y más personas",2013,465630.366018981,465630.366018981,"[200271, 730990]","[200271, 730990]"
"14600","comuna","Romeral","275","Mujer","200 y más personas",2014,439139.107235783,350000,"[261321, 674040]","[188887, 908586]"
"14601","comuna","Romeral","275","Mujer","200 y más personas",2015,438299.682596512,361177.308565709,"[250000, 713043]","[250000, 713043]"
"14602","comuna","Saavedra","276","Mujer","200 y más personas",2010,117419.638495359,117419.638495359,"[117420, 117420]","[117420, 117420]"
"14603","comuna","Saavedra","276","Mujer","200 y más personas",2011,119616.433204851,119616.433204851,"[119616, 119616]","[119616, 119616]"
"14604","comuna","Saavedra","276","Mujer","200 y más personas",2012,67763,78700,"[45517, 79222]","[34300, 79352]"
"14605","comuna","Sagrada Familia","277","Mujer","200 y más personas",2010,16738.5442110405,16738.5442110405,"[15989, 17488]","[15989, 17488]"
"14606","comuna","Sagrada Familia","277","Mujer","200 y más personas",2011,193901.582177383,206074.876539766,"[145715, 232216]","[109719, 256179]"
"14607","comuna","Sagrada Familia","277","Mujer","200 y más personas",2012,274512.340293115,258662.80302266,"[193640, 373058]","[131999, 301353]"
"14608","comuna","Sagrada Familia","277","Mujer","200 y más personas",2013,291705.111940405,289257.203902002,"[249284, 324568]","[227721, 331668]"
"14609","comuna","Sagrada Familia","277","Mujer","200 y más personas",2014,332469.145252119,320739.036659858,"[254386, 409147]","[195225, 400175]"
"14610","comuna","Sagrada Familia","277","Mujer","200 y más personas",2015,602387.24683188,300081.183474654,"[249226, 1333220]","[222083, 380103]"
"14611","comuna","Salamanca","278","Mujer","200 y más personas",2010,341167.892417806,259181.042071901,"[180826, 558817]","[130552, 719241]"
"14612","comuna","Salamanca","278","Mujer","200 y más personas",2011,240369.810716743,233735.32331849,"[200000, 278339]","[200000, 278339]"
"14613","comuna","Salamanca","278","Mujer","200 y más personas",2012,275584.09405146,269169.320411065,"[215070, 337131]","[222607, 329528]"
"14614","comuna","Salamanca","278","Mujer","200 y más personas",2013,292919.339173953,262542.968457735,"[212787, 372943]","[198087, 310420]"
"14615","comuna","Salamanca","278","Mujer","200 y más personas",2014,324475.688252154,316261.482320644,"[224413, 439909]","[201499, 353648]"
"14616","comuna","Salamanca","278","Mujer","200 y más personas",2015,314209.426248316,300379.763813391,"[260150, 383666]","[241762, 351426]"
"14617","comuna","San Antonio","279","Mujer","200 y más personas",2010,300619.477452648,239844.139668951,"[241715, 356699]","[193898, 272266]"
"14618","comuna","San Antonio","279","Mujer","200 y más personas",2011,353629.160971598,254101.504104771,"[271447, 411732]","[192111, 377301]"
"14619","comuna","San Antonio","279","Mujer","200 y más personas",2012,413299.815422881,251127.577319588,"[327781, 501785]","[205384, 354266]"
"14620","comuna","San Antonio","279","Mujer","200 y más personas",2013,486595.951748238,324878.847075153,"[394203, 629085]","[257987, 473462]"
"14621","comuna","San Antonio","279","Mujer","200 y más personas",2014,463211.593554,355753.60785953,"[405272, 553627]","[322361, 453511]"
"14622","comuna","San Antonio","279","Mujer","200 y más personas",2015,527716.247074135,400108.244632872,"[466467, 594669]","[365082, 491759]"
"14623","comuna","San Bernardo","280","Mujer","200 y más personas",2010,287209.541521694,220155.58130009,"[238783, 328428]","[193877, 256719]"
"14624","comuna","San Bernardo","280","Mujer","200 y más personas",2011,360354.12335515,279318.318871962,"[302470, 434449]","[249246, 336821]"
"14625","comuna","San Bernardo","280","Mujer","200 y más personas",2012,338952.923758557,281375.688792407,"[301073, 407661]","[250000, 352865]"
"14626","comuna","San Bernardo","280","Mujer","200 y más personas",2013,404524.029669282,298621.3278967,"[327611, 568295]","[274440, 378439]"
"14627","comuna","San Bernardo","280","Mujer","200 y más personas",2014,491086.83344869,393684.774704861,"[412625, 618475]","[307569, 432461]"
"14628","comuna","San Bernardo","280","Mujer","200 y más personas",2015,467179.232059171,340043.653544239,"[404488, 543965]","[301222, 396731]"
"14629","comuna","San Carlos","281","Mujer","200 y más personas",2010,274686.91945452,220480.889564566,"[193824, 371159]","[190165, 400000]"
"14630","comuna","San Carlos","281","Mujer","200 y más personas",2011,238412.36222383,231819.021711134,"[195406, 297498]","[177855, 326231]"
"14631","comuna","San Carlos","281","Mujer","200 y más personas",2012,405064.58553217,402080.920173044,"[316783, 500701]","[234286, 602706]"
"14632","comuna","San Carlos","281","Mujer","200 y más personas",2013,400243.354422591,294986.6721616,"[309540, 512278]","[259781, 598445]"
"14633","comuna","San Carlos","281","Mujer","200 y más personas",2014,466034.176692415,459913.744609038,"[404914, 530354]","[378122, 551529]"
"14634","comuna","San Carlos","281","Mujer","200 y más personas",2015,520619.392120955,473052.358694391,"[408786, 636147]","[393938, 750354]"
"14635","comuna","San Clemente","282","Mujer","200 y más personas",2010,378729.967360992,230000,"[178311, 800000]","[170000, 800000]"
"14636","comuna","San Clemente","282","Mujer","200 y más personas",2011,180000,180000,"[172000, 188000]","[172000, 188000]"
"14637","comuna","San Clemente","282","Mujer","200 y más personas",2012,377140.855390474,215212.073586482,"[178260, 678714]","[167508, 888000]"
"14638","comuna","San Clemente","282","Mujer","200 y más personas",2013,322964.05297877,285403.954730245,"[244391, 427515]","[208819, 366325]"
"14639","comuna","San Clemente","282","Mujer","200 y más personas",2014,258396.560565835,233854.769471691,"[190440, 339262]","[150553, 365408]"
"14640","comuna","San Clemente","282","Mujer","200 y más personas",2015,215030.060460884,192852.173913044,"[192005, 246400]","[190774, 231714]"
"14641","comuna","San Esteban","283","Mujer","200 y más personas",2010,351530.471100289,328859.115778564,"[263749, 421335]","[247331, 412336]"
"14642","comuna","San Esteban","283","Mujer","200 y más personas",2011,298738.713312769,306996.348802383,"[253750, 351837]","[234369, 374069]"
"14643","comuna","San Esteban","283","Mujer","200 y más personas",2012,363871.91442002,325946.19085995,"[278838, 434485]","[250692, 379566]"
"14644","comuna","San Esteban","283","Mujer","200 y más personas",2013,392431.680716282,353345.190624649,"[319243, 482022]","[254971, 494053]"
"14645","comuna","San Esteban","283","Mujer","200 y más personas",2014,448256.500306249,363770.544106017,"[303537, 557961]","[243867, 680000]"
"14646","comuna","San Esteban","283","Mujer","200 y más personas",2015,390694.076768407,334414.631475836,"[302193, 510148]","[254789, 408738]"
"14647","comuna","San Felipe","285","Mujer","200 y más personas",2010,385206.92333897,243363.393063602,"[277426, 553079]","[195191, 349761]"
"14648","comuna","San Felipe","285","Mujer","200 y más personas",2011,291592.853774431,240165.884317894,"[237305, 356448]","[201899, 279446]"
"14649","comuna","San Felipe","285","Mujer","200 y más personas",2012,386230.390536502,300190.461423431,"[310936, 471618]","[237694, 352081]"
"14650","comuna","San Felipe","285","Mujer","200 y más personas",2013,386352.680029822,285997.895956107,"[261464, 477498]","[220318, 340000]"
"14651","comuna","San Felipe","285","Mujer","200 y más personas",2014,571847.900034793,372724.133711852,"[447857, 702742]","[305495, 500904]"
"14652","comuna","San Felipe","285","Mujer","200 y más personas",2015,470931.628646977,416628.077407194,"[390479, 564500]","[318454, 529702]"
"14653","comuna","San Fernando","286","Mujer","200 y más personas",2010,441134.34867326,400000,"[358136, 583879]","[288510, 510468]"
"14654","comuna","San Fernando","286","Mujer","200 y más personas",2011,486777.209988269,430644.539831092,"[381980, 590372]","[299736, 485160]"
"14655","comuna","San Fernando","286","Mujer","200 y más personas",2012,425751.005567493,300000,"[345130, 548357]","[250000, 518453]"
"14656","comuna","San Fernando","286","Mujer","200 y más personas",2013,411524.37313559,368839.39302574,"[353629, 479515]","[252521, 448301]"
"14657","comuna","San Fernando","286","Mujer","200 y más personas",2014,395548.079749089,332450.885846769,"[340371, 460501]","[280000, 421961]"
"14658","comuna","San Fernando","286","Mujer","200 y más personas",2015,438104.717105997,316368.482032264,"[363713, 542369]","[292447, 400000]"
"14659","comuna","San Ignacio","288","Mujer","200 y más personas",2010,277210.278456278,179876.893014167,"[117055, 528803]","[56961, 779467]"
"14660","comuna","San Ignacio","288","Mujer","200 y más personas",2011,383769.389865563,383769.389865563,"[249201, 518338]","[249201, 518338]"
"14661","comuna","San Ignacio","288","Mujer","200 y más personas",2013,142050,142050,"[34000, 250100]","[34000, 250100]"
"14662","comuna","San Ignacio","288","Mujer","200 y más personas",2014,180500,180500,"[36000, 325000]","[36000, 325000]"
"14663","comuna","San Ignacio","288","Mujer","200 y más personas",2015,38000,38000,"[38000, 38000]","[38000, 38000]"
"14664","comuna","San Javier","289","Mujer","200 y más personas",2010,368631.045489057,282079.301454781,"[154921, 743146]","[115000, 1000979]"
"14665","comuna","San Javier","289","Mujer","200 y más personas",2011,205859.317229321,205859.317229321,"[179425, 221063]","[179425, 221063]"
"14666","comuna","San Javier","289","Mujer","200 y más personas",2012,569486.140509239,285289.604731524,"[266554, 1129131]","[241349, 816704]"
"14667","comuna","San Javier","289","Mujer","200 y más personas",2013,503400.217749229,402469.056885046,"[315393, 763562]","[209207, 670150]"
"14668","comuna","San Javier","289","Mujer","200 y más personas",2014,459538.290828271,398165.654221447,"[331814, 608358]","[328893, 640518]"
"14669","comuna","San Javier","289","Mujer","200 y más personas",2015,550207.908656247,400121.792517227,"[356072, 907467]","[320087, 543589]"
"14670","comuna","San Joaquín","290","Mujer","200 y más personas",2010,249989.485555933,250000,"[213245, 288089]","[199863, 310488]"
"14671","comuna","San Joaquín","290","Mujer","200 y más personas",2011,217982.371217577,200966.641394996,"[162914, 284317]","[131460, 209329]"
"14672","comuna","San Joaquín","290","Mujer","200 y más personas",2012,330527.483934016,335883.6583008,"[210754, 434766]","[126382, 474735]"
"14673","comuna","San Joaquín","290","Mujer","200 y más personas",2013,341974.09345168,299657.635136561,"[204681, 466095]","[191491, 575779]"
"14674","comuna","San Joaquín","290","Mujer","200 y más personas",2014,549343.427606094,410838.59821083,"[356563, 779521]","[245486, 677401]"
"14675","comuna","San Joaquín","290","Mujer","200 y más personas",2015,458361.453476443,401999.678876183,"[376510, 560697]","[325090, 552133]"
"14676","comuna","San José de Maipo","291","Mujer","200 y más personas",2010,273189.771909891,255678.996865204,"[175113, 379955]","[159891, 420000]"
"14677","comuna","San José de Maipo","291","Mujer","200 y más personas",2011,362174.981957133,352813.579446663,"[308000, 423642]","[308000, 423642]"
