"","sex","work_day","geography_name","geography_id","year","weighted_median"
"105","Hombre","Completa","Cordillera","p152",2013,372595.777941992
"106","Hombre","Completa","Cordillera","p152",2014,401583.483280691
"107","Hombre","Completa","Cordillera","p152",2015,492408.190629967
"108","Hombre","Completa","Coyhaique","p111",2010,321370.542783822
"109","Hombre","Completa","Coyhaique","p111",2011,343901.050241726
"110","Hombre","Completa","Coyhaique","p111",2012,331854.957611499
"111","Hombre","Completa","Coyhaique","p111",2013,350474.469046544
"112","Hombre","Completa","Coyhaique","p111",2014,397340.110662082
"113","Hombre","Completa","Coyhaique","p111",2015,500135.30579109
"114","Hombre","Completa","Curicó","p73",2010,202202.572034132
"115","Hombre","Completa","Curicó","p73",2011,200966.641394996
"116","Hombre","Completa","Curicó","p73",2012,251127.577319588
"117","Hombre","Completa","Curicó","p73",2013,285000
"118","Hombre","Completa","Curicó","p73",2014,282227.609405179
"119","Hombre","Completa","Curicó","p73",2015,334602.263701765
"120","Hombre","Completa","El Loa","p22",2010,500000
"121","Hombre","Completa","El Loa","p22",2011,520214.449751219
"122","Hombre","Completa","El Loa","p22",2012,650000
"123","Hombre","Completa","El Loa","p22",2013,820185.081622166
"124","Hombre","Completa","El Loa","p22",2014,846602.306196014
"125","Hombre","Completa","El Loa","p22",2015,750000
"126","Hombre","Completa","Elqui","p41",2010,280144.524926852
"127","Hombre","Completa","Elqui","p41",2011,300000
"128","Hombre","Completa","Elqui","p41",2012,400000
"129","Hombre","Completa","Elqui","p41",2013,398489.480309297
"130","Hombre","Completa","Elqui","p41",2014,436486.138260854
"131","Hombre","Completa","Elqui","p41",2015,411670.590365811
"132","Hombre","Completa","General Carrera","p114",2010,199627.032822499
"133","Hombre","Completa","General Carrera","p114",2011,306881.993073541
"134","Hombre","Completa","General Carrera","p114",2012,482698.120162181
"135","Hombre","Completa","General Carrera","p114",2013,500322.771895001
"136","Hombre","Completa","General Carrera","p114",2014,349988.572098983
"137","Hombre","Completa","General Carrera","p114",2015,397063.372499939
"138","Hombre","Completa","Huasco","p33",2010,240212.323649328
"139","Hombre","Completa","Huasco","p33",2011,265785.859891491
"140","Hombre","Completa","Huasco","p33",2012,301686.325101363
"141","Hombre","Completa","Huasco","p33",2013,300000
"142","Hombre","Completa","Huasco","p33",2014,346912.979475379
"143","Hombre","Completa","Huasco","p33",2015,343583.537357566
"144","Hombre","Completa","Iquique","p11",2010,350000
"145","Hombre","Completa","Iquique","p11",2011,398721.44401617
"146","Hombre","Completa","Iquique","p11",2012,402248.433468484
"147","Hombre","Completa","Iquique","p11",2013,460686.046667639
"148","Hombre","Completa","Iquique","p11",2014,500000
"149","Hombre","Completa","Iquique","p11",2015,500000
"150","Hombre","Completa","Limarí","p43",2010,200195.73302016
"151","Hombre","Completa","Limarí","p43",2011,222032.977114947
"152","Hombre","Completa","Limarí","p43",2012,278376.806534076
"153","Hombre","Completa","Limarí","p43",2013,298867.110231973
"154","Hombre","Completa","Limarí","p43",2014,299943.746484155
"155","Hombre","Completa","Limarí","p43",2015,300081.183474654
"156","Hombre","Completa","Linares","p74",2010,171882.36443576
"157","Hombre","Completa","Linares","p74",2011,180869.977255496
"158","Hombre","Completa","Linares","p74",2012,201124.216734242
"159","Hombre","Completa","Linares","p74",2013,234875.786049528
"160","Hombre","Completa","Linares","p74",2014,249953.12207013
"161","Hombre","Completa","Linares","p74",2015,300081.183474654
"162","Hombre","Completa","Llanquihue","p101",2010,249829.018075232
"163","Hombre","Completa","Llanquihue","p101",2011,309009.119112532
"164","Hombre","Completa","Llanquihue","p101",2012,316790.449354381
"165","Hombre","Completa","Llanquihue","p101",2013,331377.672513815
"166","Hombre","Completa","Llanquihue","p101",2014,353647.9060072
