"","sex","year","weighted_median"
"1","Hombre",2010,250000
"2","Hombre",2011,281353.297952994
"3","Hombre",2012,301686.325101363
"4","Hombre",2013,348678.295270635
"5","Hombre",2014,353647.9060072
"6","Hombre",2015,399012.177887222
"7","Mujer",2010,199863.214460186
"8","Mujer",2011,201354.329228166
"9","Mujer",2012,235315.333579063
"10","Mujer",2013,250000
"11","Mujer",2014,279947.496718545
"12","Mujer",2015,300000
