"","sex","year","weighted_mean"
"1","Hombre",2010,422376.387692554
"2","Hombre",2011,461923.663954147
"3","Hombre",2012,506187.897451408
"4","Hombre",2013,538210.059282699
"5","Hombre",2014,549198.935950337
"6","Hombre",2015,594060.950140874
"7","Mujer",2010,287665.499698858
"8","Mujer",2011,307867.776469733
"9","Mujer",2012,347634.549735799
"10","Mujer",2013,364117.375515
"11","Mujer",2014,392046.072786691
"12","Mujer",2015,411736.999394094
