"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"38","provincia","Capitán Prat","p113","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,133000,133000,"[133000, 133000]","[133000, 133000]"
"39","provincia","Capitán Prat","p113","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,266697.487113402,266697.487113402,"[63284, 470111]","[63284, 470111]"
"40","provincia","Cardenal Caro","p62","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,187420.650356837,123578.430574689,"[127820, 248286]","[100058, 150624]"
"41","provincia","Cardenal Caro","p62","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,231611.518440748,163503.270675502,"[175770, 308562]","[150000, 199914]"
"42","provincia","Cardenal Caro","p62","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,216042.543982859,199434.362418895,"[182871, 240647]","[180098, 217491]"
"43","provincia","Cardenal Caro","p62","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,235395.279746455,190574.126868988,"[190495, 310732]","[150297, 249904]"
"44","provincia","Cardenal Caro","p62","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,287384.902181789,210184.968350046,"[205726, 371098]","[177414, 283396]"
"45","provincia","Cardenal Caro","p62","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,500612.330391783,299583.583894952,"[308494, 755741]","[246000, 305443]"
"46","provincia","Cauquenes","p72","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,119755.849489964,79381.6094195867,"[80928, 184865]","[49298, 116018]"
"47","provincia","Cauquenes","p72","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,196265.701518916,125550.171130571,"[132503, 275632]","[99778, 155853]"
"48","provincia","Cauquenes","p72","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,218389.759249601,159682.820673686,"[156003, 294141]","[114396, 200353]"
"49","provincia","Cauquenes","p72","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,187834.408317175,176365.457662983,"[136747, 232007]","[110149, 209207]"
"50","provincia","Cauquenes","p72","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,246161.023651146,154137.058745673,"[175226, 370849]","[113412, 195469]"
"51","provincia","Cauquenes","p72","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,206747.48389007,191476.340769952,"[160435, 280204]","[150108, 237771]"
"52","provincia","Cautín","p91","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,125113.61370326,70016.9278530353,"[94812, 185212]","[60059, 82532]"
"53","provincia","Cautín","p91","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,128760.215917058,65339.8768405824,"[98558, 166421]","[60239, 83024]"
"54","provincia","Cautín","p91","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,141796.484188591,86054.804971241,"[110892, 171883]","[64463, 114749]"
"55","provincia","Cautín","p91","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,119374.44245791,73952.3800525132,"[102595, 143509]","[59628, 112000]"
"56","provincia","Cautín","p91","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,161914.008082957,107301.018770517,"[132349, 188860]","[83682, 150504]"
"57","provincia","Cautín","p91","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,193312.183546489,115991.956190928,"[149580, 270370]","[88434, 153785]"
"58","provincia","Chacabuco","p133","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,198594.761265607,199410.749054434,"[138840, 258886]","[149897, 208482]"
"59","provincia","Chacabuco","p133","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,262057.584325258,199360.722008085,"[171235, 383267]","[128881, 272243]"
"60","provincia","Chacabuco","p133","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,235164.51233024,214082.79914784,"[190990, 293178]","[199103, 279505]"
"61","provincia","Chacabuco","p133","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,251411.794515902,251816.074904339,"[196427, 317648]","[176721, 361956]"
"62","provincia","Chacabuco","p133","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,299334.196630655,315395.862355646,"[222850, 373057]","[179966, 430000]"
"63","provincia","Chacabuco","p133","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,289093.699937303,220151.011904478,"[192948, 572337]","[198908, 451834]"
"64","provincia","Chañaral","p32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,242799.647269371,299794.821690278,"[149989, 299795]","[122916, 299795]"
"65","provincia","Chañaral","p32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,458351.525037227,266195.231958763,"[90243, 1005621]","[90243, 1005621]"
