"","sex","year","lb_weighted_median"
"1","Hombre",2010,249829
"2","Hombre",2011,279105
"3","Hombre",2012,301353
"4","Hombre",2013,333631
"5","Hombre",2014,350000
"6","Hombre",2015,381963
"7","Mujer",2010,189932
"8","Mujer",2011,200967
"9","Mujer",2012,230000
"10","Mujer",2013,249056
"11","Mujer",2014,269949
"12","Mujer",2015,294460
