"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"58","region","Magallanes","12","Hombre",2013,756068.099475887,464107.471084774,"[670325, 845364]","[429006, 500000]"
"59","region","Magallanes","12","Hombre",2014,696086.74902722,453762.409036094,"[618122, 768283]","[404169, 509455]"
"60","region","Magallanes","12","Hombre",2015,818846.152833175,501214.855875221,"[700453, 936184]","[450000, 558891]"
"61","region","Maule","7","Hombre",2010,270326.110509997,187871.421592574,"[254837, 288460]","[180000, 193968]"
"62","region","Maule","7","Hombre",2011,305636.797696011,199360.722008085,"[287158, 331886]","[190095, 200507]"
"63","region","Maule","7","Hombre",2012,315742.175810407,229628.885468413,"[299085, 330312]","[216710, 238732]"
"64","region","Maule","7","Hombre",2013,361965.60574767,256277.002768534,"[344239, 386243]","[250339, 273021]"
"65","region","Maule","7","Hombre",2014,388326.588271091,272941.15808119,"[367381, 411011]","[259974, 282918]"
"66","region","Maule","7","Hombre",2015,440054.147054046,300081.183474654,"[408128, 471134]","[291182, 301107]"
"67","region","Metropolitana","13","Hombre",2010,501771.665196898,289801.660967269,"[473713, 531957]","[274798, 299795]"
"68","region","Metropolitana","13","Hombre",2011,542950.249177681,301449.962092494,"[516761, 570018]","[300000, 310348]"
"69","region","Metropolitana","13","Hombre",2012,607443.541807816,351578.608247422,"[583351, 637026]","[345096, 369285]"
"70","region","Metropolitana","13","Hombre",2013,644414.784511262,398489.480309297,"[612362, 681717]","[383794, 400000]"
"71","region","Metropolitana","13","Hombre",2014,632047.979241082,399924.995312207,"[606321, 658522]","[389962, 400000]"
"72","region","Metropolitana","13","Hombre",2015,680566.492784056,408979.83431749,"[651791, 715087]","[401630, 430314]"
"73","region","O'Higgins","6","Hombre",2010,356522.079983565,239956.574334271,"[334243, 382447]","[216394, 250000]"
"74","region","O'Higgins","6","Hombre",2011,353035.239383783,249200.902510106,"[326756, 382793]","[240179, 251208]"
"75","region","O'Higgins","6","Hombre",2012,384659.084076733,252670.684164508,"[356021, 421459]","[241604, 280000]"
"76","region","O'Higgins","6","Hombre",2013,415186.399953244,298867.110231973,"[388211, 457466]","[290000, 303969]"
"77","region","O'Higgins","6","Hombre",2014,419966.187150401,301790.979541628,"[390153, 449695]","[299944, 313235]"
"78","region","O'Higgins","6","Hombre",2015,463566.891269482,328048.875919071,"[437044, 491444]","[305432, 350000]"
"79","region","Tarapacá","1","Hombre",2010,467406.922988147,300009.478375582,"[411491, 549660]","[279809, 304663]"
"80","region","Tarapacá","1","Hombre",2011,466989.430560122,311498.294162244,"[423804, 543172]","[299191, 366548]"
"81","region","Tarapacá","1","Hombre",2012,540202.160120298,385556.070161897,"[486193, 592482]","[351579, 402248]"
"82","region","Tarapacá","1","Hombre",2013,597893.373041721,400000,"[535860, 663294]","[358917, 435150]"
"83","region","Tarapacá","1","Hombre",2014,620285.95956337,479909.994374649,"[568478, 673591]","[449966, 500000]"
"84","region","Tarapacá","1","Hombre",2015,688026.204172571,420931.726598645,"[597715, 834978]","[401630, 486022]"
"85","region","Valparaíso","5","Hombre",2010,374310.751398357,230055.869938282,"[352787, 401219]","[219850, 249829]"
"86","region","Valparaíso","5","Hombre",2011,433149.830203456,262716.978854945,"[407091, 475402]","[250574, 281353]"
"87","region","Valparaíso","5","Hombre",2012,475578.716408947,296159.080965767,"[445897, 505502]","[277956, 301353]"
"88","region","Valparaíso","5","Hombre",2013,508890.491124892,329882.010077489,"[486069, 535368]","[312000, 348678]"
"89","region","Valparaíso","5","Hombre",2014,555215.485870828,363752.13189312,"[528034, 587365]","[353648, 398975]"
"90","region","Valparaíso","5","Hombre",2015,553934.881459019,380102.832401228,"[520887, 581359]","[353811, 400000]"
"91","region",NA,NA,"Hombre",2010,207989.976678026,153061.54939356,"[160898, 266246]","[100098, 194890]"
"92","region",NA,NA,"Hombre",2011,279946.021530606,222033.423070089,"[219504, 345362]","[180642, 296954]"
"93","region",NA,NA,"Hombre",2012,302265.939766311,200239.891183642,"[224758, 406000]","[150829, 251128]"
"94","region","Antofagasta","2","Mujer",2010,322968.998553496,240829.837413023,"[285449, 362309]","[217137, 255943]"
"95","region","Antofagasta","2","Mujer",2011,374082.005778499,250000,"[333360, 411147]","[239233, 291402]"
"96","region","Antofagasta","2","Mujer",2012,422365.583391289,295000,"[376113, 468409]","[261173, 317152]"
"97","region","Antofagasta","2","Mujer",2013,406385.374332975,320075.583169335,"[372409, 443407]","[298867, 350249]"
"98","region","Antofagasta","2","Mujer",2014,441016.354047784,344994.066719939,"[406323, 483218]","[301393, 359932]"
"99","region","Antofagasta","2","Mujer",2015,482853.983232594,365980.710750254,"[451697, 542075]","[342488, 400108]"
"100","region","Araucanía","9","Mujer",2010,219919.168323325,140000,"[200105, 252404]","[120000, 159543]"
"101","region","Araucanía","9","Mujer",2011,222832.995591442,169375.423667482,"[198215, 248379]","[140321, 190336]"
"102","region","Araucanía","9","Mujer",2012,252960.924619977,157143.146161879,"[228302, 287815]","[150000, 192812]"
