"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"48","region","Los Lagos","10","Hombre","Asalariado Sector Privado",2015,523416.506762362,360097.420169585,"[487444, 574282]","[350000, 391589]"
"49","region","Los Ríos","14","Hombre","Asalariado Sector Privado",2010,283495.855409487,193949.413677164,"[252076, 321377]","[180063, 200196]"
"50","region","Los Ríos","14","Hombre","Asalariado Sector Privado",2011,321861.531792771,228041.292307037,"[292659, 352132]","[211086, 244226]"
"51","region","Los Ríos","14","Hombre","Asalariado Sector Privado",2012,360064.476911857,266795.955044281,"[323533, 399547]","[249394, 295396]"
"52","region","Los Ríos","14","Hombre","Asalariado Sector Privado",2013,387124.467511593,280379.575237236,"[344433, 433847]","[265000, 310609]"
"53","region","Los Ríos","14","Hombre","Asalariado Sector Privado",2014,379282.929813819,299943.746484155,"[349562, 428438]","[263963, 314868]"
"54","region","Los Ríos","14","Hombre","Asalariado Sector Privado",2015,420476.314565691,338456.313548734,"[385737, 463730]","[300081, 362353]"
"55","region","Magallanes","12","Hombre","Asalariado Sector Privado",2010,543976.740978342,300000,"[428433, 682377]","[267564, 338497]"
"56","region","Magallanes","12","Hombre","Asalariado Sector Privado",2011,599545.654707736,300387.530854136,"[478859, 770558]","[288867, 356716]"
"57","region","Magallanes","12","Hombre","Asalariado Sector Privado",2012,581984.964565503,336766.707584583,"[490713, 712035]","[300000, 400000]"
"58","region","Magallanes","12","Hombre","Asalariado Sector Privado",2013,594480.680974397,400000,"[508224, 712697]","[350935, 476540]"
"59","region","Magallanes","12","Hombre","Asalariado Sector Privado",2014,535597.720283939,400000,"[472001, 627539]","[387121, 450000]"
"60","region","Magallanes","12","Hombre","Asalariado Sector Privado",2015,632802.058521854,431673.254433854,"[508857, 752972]","[380103, 500000]"
"61","region","Maule","7","Hombre","Asalariado Sector Privado",2010,256622.91011959,184888.664196878,"[240241, 274407]","[180000, 192000]"
"62","region","Maule","7","Hombre","Asalariado Sector Privado",2011,261026.314858527,198000,"[246616, 278172]","[185304, 199696]"
"63","region","Maule","7","Hombre","Asalariado Sector Privado",2012,307674.543315867,230000,"[288337, 330283]","[214374, 238106]"
"64","region","Maule","7","Hombre","Asalariado Sector Privado",2013,340132.039231649,256130.333553602,"[321274, 362477]","[250000, 274463]"
"65","region","Maule","7","Hombre","Asalariado Sector Privado",2014,349461.880211949,257657.76009096,"[326947, 374169]","[250000, 272814]"
"66","region","Maule","7","Hombre","Asalariado Sector Privado",2015,418613.68713203,300081.183474654,"[384174, 454948]","[289943, 301222]"
"67","region","Metropolitana","13","Hombre","Asalariado Sector Privado",2010,460559.30812943,279808.50024426,"[439644, 484838]","[260000, 288852]"
"68","region","Metropolitana","13","Hombre","Asalariado Sector Privado",2011,512848.001247371,301449.962092494,"[481385, 554695]","[299668, 309572]"
"69","region","Metropolitana","13","Hombre","Asalariado Sector Privado",2012,580611.121337658,350000,"[548670, 606793]","[335665, 357512]"
"70","region","Metropolitana","13","Hombre","Asalariado Sector Privado",2013,610264.090700522,390000,"[581592, 638678]","[370502, 400000]"
"71","region","Metropolitana","13","Hombre","Asalariado Sector Privado",2014,627710.377901107,399924.995312207,"[598267, 679870]","[389927, 402100]"
"72","region","Metropolitana","13","Hombre","Asalariado Sector Privado",2015,655742.235969022,412210.85906967,"[623440, 681736]","[401630, 435901]"
"73","region","O'Higgins","6","Hombre","Asalariado Sector Privado",2010,325792.503783663,229842.696629213,"[305698, 344931]","[214853, 249829]"
"74","region","O'Higgins","6","Hombre","Asalariado Sector Privado",2011,309034.857862393,241159.969673995,"[286885, 327168]","[230000, 249201]"
"75","region","O'Higgins","6","Hombre","Asalariado Sector Privado",2012,347407.242228961,251127.577319588,"[324605, 368908]","[236264, 263947]"
