"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"51","region","Los Ríos","14","Hombre","Menos de 5",2012,303217.471366676,180811.855670103,"[244258, 389242]","[150756, 200902]"
"52","region","Los Ríos","14","Hombre","Menos de 5",2013,280852.162692488,180244.012652509,"[217807, 403514]","[131437, 200142]"
"53","region","Los Ríos","14","Hombre","Menos de 5",2014,268506.05555019,202084.5177184,"[243119, 304768]","[200000, 249953]"
"54","region","Los Ríos","14","Hombre","Menos de 5",2015,304473.310226336,200814.922129664,"[262946, 350943]","[191486, 242209]"
"55","region","Magallanes","12","Hombre","Menos de 5",2010,354368.561380452,252309.67166572,"[284185, 446927]","[240476, 299795]"
"56","region","Magallanes","12","Hombre","Menos de 5",2011,393888.106470997,299041.083012127,"[326903, 497711]","[251208, 301450]"
"57","region","Magallanes","12","Hombre","Menos de 5",2012,522832.74448279,350000,"[405085, 686564]","[301353, 402248]"
"58","region","Magallanes","12","Hombre","Menos de 5",2013,423899.945721341,319897.237774061,"[355876, 551270]","[298867, 355451]"
"59","region","Magallanes","12","Hombre","Menos de 5",2014,464355.703355988,321946.346324562,"[357048, 596663]","[299944, 368577]"
"60","region","Magallanes","12","Hombre","Menos de 5",2015,481638.079671017,350000,"[404682, 566211]","[300803, 401304]"
"61","region","Maule","7","Hombre","Menos de 5",2010,199057.442341628,150146.79976512,"[184878, 216298]","[150000, 161100]"
"62","region","Maule","7","Hombre","Menos de 5",2011,220497.142502275,171450.220926953,"[197069, 248401]","[150000, 179727]"
"63","region","Maule","7","Hombre","Menos de 5",2012,228725.31429123,190000,"[208424, 250676]","[157045, 195453]"
"64","region","Maule","7","Hombre","Menos de 5",2013,276714.44914088,205059.332948941,"[249671, 305385]","[200068, 210000]"
"65","region","Maule","7","Hombre","Menos de 5",2014,290200.086951505,231574.103489267,"[261954, 316707]","[207356, 249978]"
"66","region","Maule","7","Hombre","Menos de 5",2015,303910.386732022,240931.905808631,"[267831, 344590]","[205231, 250068]"
"67","region","Metropolitana","13","Hombre","Menos de 5",2010,389922.333861543,200195.73302016,"[338955, 449393]","[200000, 245082]"
"68","region","Metropolitana","13","Hombre","Menos de 5",2011,371341.534624703,220000,"[340694, 406444]","[200967, 249201]"
"69","region","Metropolitana","13","Hombre","Menos de 5",2012,431073.015412392,261286.675255832,"[387201, 470896]","[250000, 300000]"
"70","region","Metropolitana","13","Hombre","Menos de 5",2013,447264.268308776,300000,"[419268, 493025]","[298867, 300407]"
"71","region","Metropolitana","13","Hombre","Menos de 5",2014,437923.14969777,300000,"[391565, 506420]","[299944, 303127]"
"72","region","Metropolitana","13","Hombre","Menos de 5",2015,456064.336283053,301222.383194496,"[414314, 492787]","[300968, 336020]"
"73","region","O'Higgins","6","Hombre","Menos de 5",2010,272808.858509994,190065.522254568,"[242646, 318077]","[179935, 200196]"
"74","region","O'Higgins","6","Hombre","Menos de 5",2011,285698.751451521,200000,"[244572, 341890]","[189681, 210000]"
"75","region","O'Higgins","6","Hombre","Menos de 5",2012,297895.649045475,200902.06185567,"[252754, 344088]","[200902, 219878]"
"76","region","O'Higgins","6","Hombre","Menos de 5",2013,332790.02842328,250000,"[288780, 414964]","[240000, 268613]"
