"","geography_level","geography_name","geography_id","sex","work_day","year","weighted_mean","weighted_median","lb_weighted_mean","ub_weighted_mean","lb_weighted_median","ub_weighted_median","ci_weighted_mean","ci_weighted_median"
"42","comuna","Antofagasta",9,"Hombre","Completa",2010,587248.423329379,449692.232535418,523476,652478,400042,500000,"[523476, 652478]","[400042, 500000]"
"43","comuna","Antofagasta",9,"Hombre","Completa",2011,592898.443922658,452174.943138741,535770,656307,400000,500201,"[535770, 656307]","[400000, 500201]"
"44","comuna","Antofagasta",9,"Hombre","Completa",2012,677328.017272422,502255.154639175,611523,744401,478934,561597,"[611523, 744401]","[478934, 561597]"
"45","comuna","Antofagasta",9,"Hombre","Completa",2013,700660.229664308,501000.173442195,634822,774803,499009,597734,"[634822, 774803]","[499009, 597734]"
"46","comuna","Antofagasta",9,"Hombre","Completa",2014,723159.079249829,500000,654191,818361,466670,547923,"[654191, 818361]","[466670, 547923]"
"47","comuna","Antofagasta",9,"Hombre","Completa",2015,817110.739012962,600005.77301454,738185,910622,561904,665435,"[738185, 910622]","[561904, 665435]"
"48","comuna","Antuco",10,"Hombre","Completa",2010,232293.447916812,189870.053737176,118346,369283,99932,439699,"[118346, 369283]","[99932, 439699]"
"49","comuna","Antuco",10,"Hombre","Completa",2011,179643.800488016,150000,127242,254748,99680,222883,"[127242, 254748]","[99680, 222883]"
"50","comuna","Antuco",10,"Hombre","Completa",2012,256413.085578232,151523.680424505,139084,367382,81075,301353,"[139084, 367382]","[81075, 301353]"
"51","comuna","Antuco",10,"Hombre","Completa",2013,380243.996713051,333960.62729396,280301,529338,205943,582659,"[280301, 529338]","[205943, 582659]"
"52","comuna","Antuco",10,"Hombre","Completa",2014,326930.705841591,249921.415543017,211297,492699,199879,349934,"[211297, 492699]","[199879, 349934]"
"53","comuna","Antuco",10,"Hombre","Completa",2015,610320.535515501,308342.151675485,226657,1205766,172936,643932,"[226657, 1205766]","[172936, 643932]"
"54","comuna","Arauco",11,"Hombre","Completa",2010,323053.539665785,288075.820635845,260871,392292,237274,340782,"[260871, 392292]","[237274, 340782]"
"55","comuna","Arauco",11,"Hombre","Completa",2011,313408.183232284,257805.67143447,255808,419447,233331,301630,"[255808, 419447]","[233331, 301630]"
"56","comuna","Arauco",11,"Hombre","Completa",2012,361611.18113839,291307.989690722,290968,449869,245659,307295,"[290968, 449869]","[245659, 307295]"
"57","comuna","Arauco",11,"Hombre","Completa",2013,344541.72272951,289139.368519706,271212,480199,258651,333010,"[271212, 480199]","[258651, 333010]"
"58","comuna","Arauco",11,"Hombre","Completa",2014,291803.353442401,299943.746484155,250628,337486,254086,324950,"[250628, 337486]","[254086, 324950]"
"59","comuna","Arauco",11,"Hombre","Completa",2015,338926.942352325,327360.18574935,272618,407731,283633,446291,"[272618, 407731]","[283633, 446291]"
"60","comuna","Arica",12,"Hombre","Completa",2010,370101.331727308,270204.573583241,340114,403550,250000,299795,"[340114, 403550]","[250000, 299795]"
"61","comuna","Arica",12,"Hombre","Completa",2011,391347.3864844,280000,365696,431902,251208,300000,"[365696, 431902]","[251208, 300000]"
"62","comuna","Arica",12,"Hombre","Completa",2012,511259.484105106,318547.430522867,469153,564776,301353,351579,"[469153, 564776]","[301353, 351579]"
"63","comuna","Arica",12,"Hombre","Completa",2013,425627.865970497,340460.912788072,398396,453904,309109,350474,"[398396, 453904]","[309109, 350474]"
"64","comuna","Arica",12,"Hombre","Completa",2014,452011.573533962,350000,416183,481798,325901,380944,"[416183, 481798]","[325901, 380944]"
"65","comuna","Arica",12,"Hombre","Completa",2015,510581.568782083,400108.244632872,479706,546310,380789,445440,"[479706, 546310]","[380789, 445440]"
"66","comuna","Aysén",13,"Hombre","Completa",2010,645642.600620467,359544.056182754,492504,812319,300125,424331,"[492504, 812319]","[300125, 424331]"
"67","comuna","Aysén",13,"Hombre","Completa",2011,596542.894897874,398721.44401617,492972,680941,348881,460267,"[492972, 680941]","[348881, 460267]"
"68","comuna","Aysén",13,"Hombre","Completa",2012,639959.18522526,419812.326077764,515932,736772,401804,495620,"[515932, 736772]","[401804, 495620]"
"69","comuna","Aysén",13,"Hombre","Completa",2013,640434.939947922,498111.850386621,560315,770662,403878,573979,"[560315, 770662]","[403878, 573979]"
"70","comuna","Aysén",13,"Hombre","Completa",2014,627050.635135477,419921.245077818,543884,758424,354417,515072,"[543884, 758424]","[354417, 515072]"
"71","comuna","Aysén",13,"Hombre","Completa",2015,744625.951018784,500135.30579109,607183,974457,440219,600364,"[607183, 974457]","[440219, 600364]"
"72","comuna","Buin",14,"Hombre","Completa",2010,527322.344738956,250000,338084,758612,207095,317565,"[338084, 758612]","[207095, 317565]"
