"","geography_level","geography_name","geography_id","sex","work_day","year","weighted_mean","weighted_median","lb_weighted_mean","ub_weighted_mean","lb_weighted_median","ub_weighted_median","ci_weighted_mean","ci_weighted_median"
"44","region","Los Lagos","10","Hombre","Completa",2011,413922.792640291,294760.12829861,393164,438525,270598,303197,"[393164, 438525]","[270598, 303197]"
"45","region","Los Lagos","10","Hombre","Completa",2012,503899.126932769,300000,456621,618684,276478,308072,"[456621, 618684]","[276478, 308072]"
"46","region","Los Lagos","10","Hombre","Completa",2013,472504.146379008,311275.742429699,437763,511690,300000,338716,"[437763, 511690]","[300000, 338716]"
"47","region","Los Lagos","10","Hombre","Completa",2014,554854.111887218,325000,500199,656637,303127,350000,"[500199, 656637]","[303127, 350000]"
"48","region","Los Lagos","10","Hombre","Completa",2015,613366.191238382,371507.605939878,568671,687051,351424,400000,"[568671, 687051]","[351424, 400000]"
"49","region","Los Ríos","14","Hombre","Completa",2010,351926.043850953,214964.878123469,323655,393906,200196,228421,"[323655, 393906]","[200196, 228421]"
"50","region","Los Ríos","14","Hombre","Completa",2011,360212.424610052,241717.127286298,330066,394330,228866,265313,"[330066, 394330]","[228866, 265313]"
"51","region","Los Ríos","14","Hombre","Completa",2012,441202.313231291,289253.580417388,392518,483421,265421,300000,"[392518, 483421]","[265421, 300000]"
"52","region","Los Ríos","14","Hombre","Completa",2013,423715.861500049,300399.997690698,397485,471135,280000,330447,"[397485, 471135]","[280000, 330447]"
"53","region","Los Ríos","14","Hombre","Completa",2014,438469.156321849,319969.393277289,409747,466772,300711,343544,"[409747, 466772]","[300711, 343544]"
"54","region","Los Ríos","14","Hombre","Completa",2015,491741.513763404,360825.643456725,449670,522560,349659,400108,"[449670, 522560]","[349659, 400108]"
"55","region","Magallanes","12","Hombre","Completa",2010,744604.037966642,400000,647302,835275,349874,449847,"[647302, 835275]","[349874, 449847]"
"56","region","Magallanes","12","Hombre","Completa",2011,797618.173666186,422507.384291515,704531,1021144,397190,498402,"[704531, 1021144]","[397190, 498402]"
"57","region","Magallanes","12","Hombre","Completa",2012,744113.670173484,480942.531510119,653887,835194,407250,506328,"[653887, 835194]","[407250, 506328]"
"58","region","Magallanes","12","Hombre","Completa",2013,754339.659838953,500000,660130,854273,441759,531881,"[660130, 854273]","[441759, 531881]"
"59","region","Magallanes","12","Hombre","Completa",2014,735754.031778527,500000,651984,813293,431284,557594,"[651984, 813293]","[431284, 557594]"
"60","region","Magallanes","12","Hombre","Completa",2015,846604.988284474,502037.30532416,752250,957642,450266,605819,"[752250, 957642]","[450266, 605819]"
"61","region","Maule","7","Hombre","Completa",2010,284224.855349336,195539.874031576,266112,306656,184368,200000,"[266112, 306656]","[184368, 200000]"
"62","region","Maule","7","Hombre","Completa",2011,322790.739106126,200966.641394996,293069,354955,199361,207742,"[293069, 354955]","[199361, 207742]"
"63","region","Maule","7","Hombre","Completa",2012,332862.240924085,240000,314913,352077,229154,250063,"[314913, 352077]","[229154, 250063]"
"64","region","Maule","7","Hombre","Completa",2013,377312.095537311,269459.060119768,355053,401443,255164,287933,"[355053, 401443]","[255164, 287933]"
"65","region","Maule","7","Hombre","Completa",2014,397967.300843907,283180.819167234,376016,419534,271398,299944,"[376016, 419534]","[271398, 299944]"
"66","region","Maule","7","Hombre","Completa",2015,460938.448932559,301222.383194496,426604,492731,300081,320000,"[426604, 492731]","[300081, 320000]"
"67","region","Metropolitana","13","Hombre","Completa",2010,532269.077946767,300000,511837,556582,299795,300294,"[511837, 556582]","[299795, 300294]"
"68","region","Metropolitana","13","Hombre","Completa",2011,571989.701542813,321546.626231994,545878,601670,303121,336000,"[545878, 601670]","[303121, 336000]"
"69","region","Metropolitana","13","Hombre","Completa",2012,634749.392868999,372079.800958348,601913,667744,351579,389821,"[601913, 667744]","[351579, 389821]"
"70","region","Metropolitana","13","Hombre","Completa",2013,677007.84088917,400542.250338908,640295,704678,400000,410556,"[640295, 704678]","[400000, 410556]"
"71","region","Metropolitana","13","Hombre","Completa",2014,663119.969834719,400000,635370,696614,399925,404169,"[635370, 696614]","[399925, 404169]"
"72","region","Metropolitana","13","Hombre","Completa",2015,717412.447458811,440119.069096159,684030,745935,415000,450122,"[684030, 745935]","[415000, 450122]"
"73","region","O'Higgins","6","Hombre","Completa",2010,370326.152439408,249841.920702168,345287,397662,230475,250501,"[345287, 397662]","[230475, 250501]"
"74","region","O'Higgins","6","Hombre","Completa",2011,364394.900695408,250000,340903,436614,249201,257308,"[340903, 436614]","[249201, 257308]"
"75","region","O'Higgins","6","Hombre","Completa",2012,402025.92426633,268220.631990587,371993,432606,251128,284742,"[371993, 432606]","[251128, 284742]"
"76","region","O'Higgins","6","Hombre","Completa",2013,424176.663938649,300000,391639,467991,288918,308829,"[391639, 467991]","[288918, 308829]"
"77","region","O'Higgins","6","Hombre","Completa",2014,431516.00232976,304942.808925558,398383,462086,300000,324287,"[398383, 462086]","[300000, 324287]"
"78","region","O'Higgins","6","Hombre","Completa",2015,476662.746202309,341385.367620429,449025,512307,320000,350794,"[449025, 512307]","[320000, 350794]"
"79","region","Tarapacá","1","Hombre","Completa",2010,526835.354773055,339767.464582316,470713,609025,303304,372279,"[470713, 609025]","[303304, 372279]"
"80","region","Tarapacá","1","Hombre","Completa",2011,501548.863457374,371753.149144993,457270,559965,313942,400000,"[457270, 559965]","[313942, 400000]"
"81","region","Tarapacá","1","Hombre","Completa",2012,565305.751146235,401804.12371134,510985,613694,380000,418620,"[510985, 613694]","[380000, 418620]"
"82","region","Tarapacá","1","Hombre","Completa",2013,654101.032200097,448300.665347959,596060,732543,403678,498094,"[596060, 732543]","[403678, 498094]"
"83","region","Tarapacá","1","Hombre","Completa",2014,643281.226630715,499906.244140259,592900,718286,450000,500000,"[592900, 718286]","[450000, 500000]"
"84","region","Tarapacá","1","Hombre","Completa",2015,739532.928821465,472193.227966039,647962,896600,420873,500135,"[647962, 896600]","[420873, 500135]"
"85","region","Valparaíso","5","Hombre","Completa",2010,399497.416516931,250000,370386,433425,239836,253308,"[370386, 433425]","[239836, 253308]"
"86","region","Valparaíso","5","Hombre","Completa",2011,464480.784099751,298671.123662219,426530,506540,276329,300000,"[426530, 506540]","[276329, 300000]"
"87","region","Valparaíso","5","Hombre","Completa",2012,507723.265397045,301353.092783505,472782,538577,300000,311965,"[472782, 538577]","[300000, 311965]"
"88","region","Valparaíso","5","Hombre","Completa",2013,544985.511375167,350474.469046545,509192,582993,345000,379174,"[509192, 582993]","[345000, 379174]"
"89","region","Valparaíso","5","Hombre","Completa",2014,592307.393722308,399924.995312207,564149,628787,381259,404169,"[564149, 628787]","[381259, 404169]"
"90","region","Valparaíso","5","Hombre","Completa",2015,587284.501738923,400000,552448,625559,381548,400108,"[552448, 625559]","[381548, 400108]"
"91","region",NA,NA,"Hombre","Completa",2010,252092.829153373,179876.893014167,190794,329591,153229,224755,"[190794, 329591]","[153229, 224755]"
"92","region",NA,NA,"Hombre","Completa",2011,282592.443599165,222397.097464637,228754,342333,181498,279284,"[228754, 342333]","[181498, 279284]"
"93","region",NA,NA,"Hombre","Completa",2012,344641.778755998,242762.842507926,241541,457082,166853,397812,"[241541, 457082]","[166853, 397812]"
"94","region","Antofagasta","2","Hombre","Parcial",2010,219528.789640272,199944.306855226,175027,294667,102011,274126,"[175027, 294667]","[102011, 274126]"
"95","region","Antofagasta","2","Hombre","Parcial",2011,265646.080851029,198111.955449574,199146,359029,146313,300854,"[199146, 359029]","[146313, 300854]"
"96","region","Antofagasta","2","Hombre","Parcial",2012,333522.096072793,229076.903616353,227748,453324,150414,301353,"[227748, 453324]","[150414, 301353]"
"97","region","Antofagasta","2","Hombre","Parcial",2013,363995.293739466,215637.23147784,241419,581291,160659,283915,"[241419, 581291]","[160659, 283915]"
"98","region","Antofagasta","2","Hombre","Parcial",2014,347046.348861294,254842.262307536,227716,543639,139003,336640,"[227716, 543639]","[139003, 336640]"
"99","region","Antofagasta","2","Hombre","Parcial",2015,494852.191818043,249862.34213408,304545,765815,195768,301019,"[304545, 765815]","[195768, 301019]"
"100","region","Araucanía","9","Hombre","Parcial",2010,124333.150730081,71031.272235791,99313,165102,59338,85218,"[99313, 165102]","[59338, 85218]"
"101","region","Araucanía","9","Hombre","Parcial",2011,158472.394997619,70338.3244882486,108191,222463,56459,99848,"[108191, 222463]","[56459, 99848]"
"102","region","Araucanía","9","Hombre","Parcial",2012,127572.593788957,80187,103737,157611,57375,103711,"[103737, 157611]","[57375, 103711]"
"103","region","Araucanía","9","Hombre","Parcial",2013,192964.379597111,100009.333391691,152290,259620,84774,120378,"[152290, 259620]","[84774, 120378]"
"104","region","Araucanía","9","Hombre","Parcial",2014,251341.036893224,149971.873242078,191472,336639,100212,160000,"[191472, 336639]","[100212, 160000]"
"105","region","Araucanía","9","Hombre","Parcial",2015,186787.638631772,100027.061158218,141295,280435,84444,120452,"[141295, 280435]","[84444, 120452]"
"106","region","Arica y Parinacota","15","Hombre","Parcial",2010,217426.85786625,119352.652919567,143699,336242,90013,149919,"[143699, 336242]","[90013, 149919]"
"107","region","Arica y Parinacota","15","Hombre","Parcial",2011,183345.455640493,119932.991745069,142435,223179,100483,148083,"[142435, 223179]","[100483, 148083]"
"108","region","Arica y Parinacota","15","Hombre","Parcial",2012,216213.427277619,120000,141562,293505,92899,150355,"[141562, 293505]","[92899, 150355]"
"109","region","Arica y Parinacota","15","Hombre","Parcial",2013,198981.645896367,129777.882677941,133058,243482,100136,150107,"[133058, 243482]","[100136, 150107]"
"110","region","Arica y Parinacota","15","Hombre","Parcial",2014,206181.362946242,150000,156268,281181,119977,180000,"[156268, 281181]","[119977, 180000]"
"111","region","Arica y Parinacota","15","Hombre","Parcial",2015,285187.465362801,200009.076558836,220518,366653,150380,251019,"[220518, 366653]","[150380, 251019]"
"112","region","Atacama","3","Hombre","Parcial",2010,297400.085038659,133216.209841161,156452,575618,90747,180151,"[156452, 575618]","[90747, 180151]"
"113","region","Atacama","3","Hombre","Parcial",2011,147701.450263339,120031.271864502,101372,209629,88320,142182,"[101372, 209629]","[88320, 142182]"
"114","region","Atacama","3","Hombre","Parcial",2012,189642.557576526,120546.440353717,145535,250305,80450,200185,"[145535, 250305]","[80450, 200185]"
"115","region","Atacama","3","Hombre","Parcial",2013,221576.193726293,194327.630166877,167598,307186,150197,200284,"[167598, 307186]","[150197, 200284]"
"116","region","Atacama","3","Hombre","Parcial",2014,273525.256041174,121250.71063104,184381,417319,100493,206019,"[184381, 417319]","[100493, 206019]"
"117","region","Atacama","3","Hombre","Parcial",2015,238146.348157927,130412.776302712,141262,412762,100373,150611,"[141262, 412762]","[100373, 150611]"
"118","region","Aysén","11","Hombre","Parcial",2010,275864.244004223,200195.73302016,230211,354268,184452,271739,"[230211, 354268]","[184452, 271739]"
"119","region","Aysén","11","Hombre","Parcial",2011,295553.493768546,249303.52031703,241992,350507,191009,291240,"[241992, 350507]","[191009, 291240]"
"120","region","Aysén","11","Hombre","Parcial",2012,315337.602103459,251370.42618537,245227,374259,172305,320482,"[245227, 374259]","[172305, 320482]"
"121","region","Aysén","11","Hombre","Parcial",2013,302565.741910091,248096.506376827,247994,379535,173655,370266,"[247994, 379535]","[173655, 370266]"
"122","region","Aysén","11","Hombre","Parcial",2014,392382.31746745,277163.770567277,266030,574827,214964,300000,"[266030, 574827]","[214964, 300000]"
"123","region","Aysén","11","Hombre","Parcial",2015,360667.42658122,282658.622931326,306271,431751,222729,350903,"[306271, 431751]","[222729, 350903]"
"124","region","Bíobío","8","Hombre","Parcial",2010,136606.617347238,94005.1045331087,113716,155265,80009,99956,"[113716, 155265]","[80009, 99956]"
"125","region","Bíobío","8","Hombre","Parcial",2011,181064.072109161,89939.4271221687,144693,234875,70950,100000,"[144693, 234875]","[70950, 100000]"
"126","region","Bíobío","8","Hombre","Parcial",2012,184586.034581132,100451.030927835,145758,234431,80629,130000,"[145758, 234431]","[80629, 130000]"
"127","region","Bíobío","8","Hombre","Parcial",2013,218291.628521947,119736.776757156,168119,354326,100000,149434,"[168119, 354326]","[100000, 149434]"
"128","region","Bíobío","8","Hombre","Parcial",2014,201670.438281973,119977.498593662,173540,248588,100000,149990,"[173540, 248588]","[100000, 149990]"
"129","region","Bíobío","8","Hombre","Parcial",2015,204009.141029587,100407.461064832,168170,241169,85390,130035,"[168170, 241169]","[85390, 130035]"
"130","region","Coquimbo","4","Hombre","Parcial",2010,170679.32522194,119917.928676111,134621,214310,81391,155679,"[134621, 214310]","[81391, 155679]"
"131","region","Coquimbo","4","Hombre","Parcial",2011,155900.014817881,104041.049895956,124987,191211,80310,159796,"[124987, 191211]","[80310, 159796]"
"132","region","Coquimbo","4","Hombre","Parcial",2012,236652.235982431,150676.546391753,184944,300496,97746,200902,"[184944, 300496]","[97746, 200902]"
"133","region","Coquimbo","4","Hombre","Parcial",2013,183546.618626133,120011.49310162,128061,260391,80052,167439,"[128061, 260391]","[80052, 167439]"
"134","region","Coquimbo","4","Hombre","Parcial",2014,230672.656879857,188541.381176498,196478,274833,149974,202085,"[196478, 274833]","[149974, 202085]"
"135","region","Coquimbo","4","Hombre","Parcial",2015,210366.991384762,170296.05996786,168791,253379,127375,200000,"[168791, 253379]","[127375, 200000]"
"136","region","Los Lagos","10","Hombre","Parcial",2010,148266.038135248,84497.9007935838,121533,184735,75959,99932,"[121533, 184735]","[75959, 99932]"
"137","region","Los Lagos","10","Hombre","Parcial",2011,168039.416826485,100000,129620,224436,95459,114694,"[129620, 224436]","[95459, 114694]"
"138","region","Los Lagos","10","Hombre","Parcial",2012,178921.86318214,112869.035293901,148199,256359,100000,138003,"[148199, 256359]","[100000, 138003]"
"139","region","Los Lagos","10","Hombre","Parcial",2013,168771.905621466,119931.7894158,138636,221245,100136,130000,"[138636, 221245]","[100136, 130000]"
"140","region","Los Lagos","10","Hombre","Parcial",2014,191773.01156343,121250.71063104,161622,250472,106977,150000,"[161622, 250472]","[106977, 150000]"
"141","region","Los Lagos","10","Hombre","Parcial",2015,217047.271841366,150611.191597248,177632,275012,120104,180171,"[177632, 275012]","[120104, 180171]"
"142","region","Los Ríos","14","Hombre","Parcial",2010,112217.761989712,80076.7980021965,88191,134822,70678,91430,"[88191, 134822]","[70678, 91430]"
