year,region_id,cie_10_id,sex_id,casualities_count,casualities_rate_per_100_inhabitants
2012,1,I00-I99,2,181,1.0582
2012,1,I00-I99,1,144,0.9120999999999999
2012,1,J00-J99,2,42,0.2455
2012,1,J00-J99,1,49,0.3104
2012,1,K00-K93,2,60,0.3508
2012,1,K00-K93,1,43,0.2724
2012,1,V01-Y98,2,94,0.5495
2012,1,V01-Y98,1,31,0.19640000000000002
2012,1,B20-B24,2,18,0.1052
2012,1,B20-B24,1,1,0.0063
2012,1,V01-V99,2,36,0.21050000000000002
2012,1,V01-V99,1,15,0.095
2012,1,X60-X84,2,20,0.11689999999999999
2012,1,X60-X84,1,3,0.019
2013,1,C00-D48,2,203,1.2239
2013,1,C00-D48,1,161,1.0388
2013,1,E00-E90,2,39,0.2351
2013,1,E00-E90,1,34,0.2194
2013,1,I00-I99,2,191,1.1516
2013,1,I00-I99,1,176,1.1356
2013,1,J00-J99,2,57,0.34369999999999995
2013,1,J00-J99,1,59,0.3807
2013,1,K00-K93,2,77,0.4642
2013,1,K00-K93,1,44,0.2839
2013,1,V01-Y98,2,112,0.6753
2013,1,V01-Y98,1,35,0.22579999999999997
2013,1,B20-B24,2,3,0.0181
2013,1,B20-B24,1,1,0.006500000000000001
2013,1,V01-V99,2,29,0.1748
2013,1,V01-V99,1,12,0.0774
2013,1,X60-X84,2,27,0.1628
2013,1,X60-X84,1,6,0.0387
2014,1,C00-D48,2,205,1.206
2014,1,C00-D48,1,164,1.0328
2014,1,E00-E90,2,38,0.2235
2014,1,E00-E90,1,37,0.233
2014,1,I00-I99,2,205,1.206
2014,1,I00-I99,1,180,1.1335
2014,1,J00-J99,2,57,0.3353
2014,1,J00-J99,1,59,0.3715
2014,1,K00-K93,2,72,0.4236
2014,1,K00-K93,1,33,0.2078
2014,1,V01-Y98,2,94,0.5529999999999999
2014,1,V01-Y98,1,28,0.17629999999999998
2014,1,B20-B24,2,16,0.0941
2014,1,B20-B24,1,3,0.0189
2014,1,V01-V99,2,32,0.1883
2014,1,V01-V99,1,8,0.0504
2014,1,X60-X84,2,12,0.0706
2014,1,X60-X84,1,2,0.0126
2010,2,C00-D48,2,473,1.5794
2010,2,C00-D48,1,335,1.2147
2010,2,E00-E90,2,72,0.2404
2010,2,E00-E90,1,69,0.2502
2010,2,I00-I99,2,312,1.0418
2010,2,I00-I99,1,291,1.0551000000000001
2010,2,J00-J99,2,148,0.49420000000000003
2010,2,J00-J99,1,104,0.3771
2010,2,K00-K93,2,133,0.44409999999999994
2010,2,K00-K93,1,68,0.2466
2010,2,V01-Y98,2,188,0.6278
2010,2,V01-Y98,1,72,0.2611
2010,2,B20-B24,2,10,0.0334
2010,2,B20-B24,1,1,0.0036
2010,2,V01-V99,2,51,0.1703
2010,2,V01-V99,1,20,0.0725
2010,2,X60-X84,2,46,0.1536
2010,2,X60-X84,1,11,0.039900000000000005
2011,2,C00-D48,2,464,1.5324
2011,2,C00-D48,1,349,1.2512999999999999
2011,2,E00-E90,2,52,0.17170000000000002
2011,2,E00-E90,1,55,0.1972
2011,2,I00-I99,2,320,1.0568
2011,2,I00-I99,1,293,1.0505
2011,2,J00-J99,2,120,0.39630000000000004
2011,2,J00-J99,1,115,0.41229999999999994
2011,2,K00-K93,2,127,0.4194
2011,2,K00-K93,1,72,0.2581
2011,2,V01-Y98,2,186,0.6143
2011,2,V01-Y98,1,50,0.1793
2011,2,B20-B24,2,15,0.0495
2011,2,B20-B24,1,2,0.0072
2011,2,V01-V99,2,69,0.2279
2011,2,V01-V99,1,24,0.086
2011,2,X60-X84,2,46,0.1519
2011,2,X60-X84,1,9,0.0323
2012,2,C00-D48,2,479,1.5648
2012,2,C00-D48,1,363,1.2871000000000001
2012,2,E00-E90,2,69,0.2254
2012,2,E00-E90,1,69,0.2447
2012,2,I00-I99,2,344,1.1238
2012,2,I00-I99,1,302,1.0708
2012,2,J00-J99,2,132,0.43119999999999997
2012,2,J00-J99,1,133,0.47159999999999996
2012,2,K00-K93,2,122,0.3986
2012,2,K00-K93,1,61,0.2163
2012,2,V01-Y98,2,168,0.5488000000000001
2012,2,V01-Y98,1,71,0.25170000000000003
2012,2,B20-B24,2,12,0.0392
2012,2,B20-B24,1,1,0.0034999999999999996
2012,2,V01-V99,2,60,0.196
2012,2,V01-V99,1,24,0.0851
2012,2,X60-X84,2,26,0.0849
2012,2,X60-X84,1,12,0.0425
2013,2,C00-D48,2,434,1.3727
2013,2,C00-D48,1,346,1.2019
2013,2,E00-E90,2,78,0.24670000000000003
2013,2,E00-E90,1,65,0.22579999999999997
2013,2,I00-I99,2,390,1.2336
2013,2,I00-I99,1,330,1.1464
2013,2,J00-J99,2,145,0.4586
2013,2,J00-J99,1,139,0.4829
2013,2,K00-K93,2,144,0.45549999999999996
2013,2,K00-K93,1,78,0.271
2013,2,V01-Y98,2,194,0.6136
2013,2,V01-Y98,1,66,0.2293
2013,2,B20-B24,2,15,0.047400000000000005
2013,2,B20-B24,1,4,0.0139
2013,2,V01-V99,2,56,0.1771
2013,2,V01-V99,1,22,0.0764
2013,2,X60-X84,2,48,0.1518
2013,2,X60-X84,1,11,0.0382
2014,2,C00-D48,2,476,1.4824000000000002
2014,2,C00-D48,1,366,1.2524
2014,2,E00-E90,2,89,0.2772
2014,2,E00-E90,1,81,0.2772
2014,2,I00-I99,2,407,1.2675
2014,2,I00-I99,1,335,1.1464
2014,2,J00-J99,2,151,0.4703
2014,2,J00-J99,1,113,0.38670000000000004
2014,2,K00-K93,2,120,0.3737
2014,2,K00-K93,1,75,0.2566
2014,2,V01-Y98,2,201,0.626
2014,2,V01-Y98,1,63,0.21559999999999999
2014,2,B20-B24,2,22,0.06849999999999999
2014,2,B20-B24,1,4,0.0137
2014,2,V01-V99,2,59,0.1837
2014,2,V01-V99,1,13,0.044500000000000005
2014,2,X60-X84,2,37,0.1152
2014,2,X60-X84,1,7,0.024
2010,3,C00-D48,2,176,1.2290999999999999
2010,3,C00-D48,1,133,0.9684
2010,3,E00-E90,2,35,0.2444
2010,3,E00-E90,1,37,0.26940000000000003
2010,3,I00-I99,2,196,1.3687
2010,3,I00-I99,1,177,1.2887
2010,3,J00-J99,2,117,0.8170000000000001
2010,3,J00-J99,1,49,0.3568
2010,3,K00-K93,2,58,0.405
2010,3,K00-K93,1,40,0.2912
2010,3,V01-Y98,2,82,0.5726
2010,3,V01-Y98,1,28,0.2039
2010,3,B20-B24,2,6,0.04190000000000001
2010,3,B20-B24,1,1,0.0073
2010,3,V01-V99,2,19,0.13269999999999998
2010,3,V01-V99,1,5,0.0364
2010,3,X60-X84,2,29,0.2025
2010,3,X60-X84,1,11,0.0801
2011,3,C00-D48,2,167,1.1577
2011,3,C00-D48,1,163,1.1784000000000001
2011,3,E00-E90,2,46,0.3189
2011,3,E00-E90,1,52,0.3759
2011,3,I00-I99,2,176,1.2201
2011,3,I00-I99,1,166,1.2001
2011,3,J00-J99,2,110,0.7626000000000001
2011,3,J00-J99,1,54,0.39039999999999997
2011,3,K00-K93,2,58,0.4021
2011,3,K00-K93,1,51,0.36869999999999997
2011,3,V01-Y98,2,127,0.8804000000000001
2011,3,V01-Y98,1,37,0.2675
2011,3,B20-B24,2,7,0.048499999999999995
2011,3,B20-B24,1,1,0.0072
2011,3,V01-V99,2,44,0.305
2011,3,V01-V99,1,11,0.0795
2011,3,X60-X84,2,41,0.2842
2011,3,X60-X84,1,6,0.0434
2012,3,C00-D48,2,213,1.4659
2012,3,C00-D48,1,147,1.0553
2012,3,E00-E90,2,31,0.2133
2012,3,E00-E90,1,36,0.2584
2012,3,I00-I99,2,215,1.4796
2012,3,I00-I99,1,199,1.4286
2012,3,J00-J99,2,105,0.7226
2012,3,J00-J99,1,58,0.4164
2012,3,K00-K93,2,48,0.33030000000000004
2012,3,K00-K93,1,52,0.37329999999999997
2012,3,V01-Y98,2,79,0.5437
2012,3,V01-Y98,1,28,0.201
2012,3,B20-B24,2,1,0.0069
2012,3,B20-B24,1,1,0.0072
2012,3,V01-V99,2,27,0.1858
2012,3,V01-V99,1,12,0.0861
2012,3,X60-X84,2,25,0.172
2012,3,X60-X84,1,7,0.050300000000000004
2013,3,C00-D48,2,217,1.3841999999999999
2013,3,C00-D48,1,162,1.1
2013,3,E00-E90,2,36,0.2296
2013,3,E00-E90,1,38,0.258
2013,3,I00-I99,2,219,1.3969999999999998
2013,3,I00-I99,1,172,1.1679000000000002
2013,3,J00-J99,2,89,0.5677
2013,3,J00-J99,1,51,0.34630000000000005
2013,3,K00-K93,2,50,0.3189
2013,3,K00-K93,1,49,0.33270000000000005
2013,3,V01-Y98,2,107,0.6825
2013,3,V01-Y98,1,30,0.20370000000000002
2013,3,B20-B24,2,8,0.051
2013,3,B20-B24,1,2,0.013600000000000001
2013,3,V01-V99,2,35,0.22329999999999997
2013,3,V01-V99,1,16,0.10859999999999999
2013,3,X60-X84,2,28,0.17859999999999998
2013,3,X60-X84,1,6,0.0407
2014,3,C00-D48,2,190,1.1944
2014,3,C00-D48,1,176,1.1798
2014,3,E00-E90,2,38,0.2389
2014,3,E00-E90,1,39,0.2614
2014,3,I00-I99,2,211,1.3263999999999998
2014,3,I00-I99,1,198,1.3273
2014,3,J00-J99,2,104,0.6537999999999999
2014,3,J00-J99,1,36,0.2413
2014,3,K00-K93,2,56,0.35200000000000004
2014,3,K00-K93,1,44,0.295
2014,3,V01-Y98,2,91,0.5721
2014,3,V01-Y98,1,37,0.248
2014,3,B20-B24,2,6,0.0377
2014,3,B20-B24,1,3,0.020099999999999996
2014,3,V01-V99,2,24,0.1509
2014,3,V01-V99,1,15,0.10060000000000001
2014,3,X60-X84,2,30,0.1886
2014,3,X60-X84,1,6,0.04019999999999999
2010,4,C00-D48,2,541,1.5203
2010,4,C00-D48,1,461,1.2705
2010,4,E00-E90,2,84,0.23600000000000002
2010,4,E00-E90,1,97,0.2673
2010,4,I00-I99,2,527,1.4809
2010,4,I00-I99,1,502,1.3835
2010,4,J00-J99,2,214,0.6014
2010,4,J00-J99,1,161,0.4437
2010,4,K00-K93,2,130,0.3653
2010,4,K00-K93,1,97,0.2673
2010,4,V01-Y98,2,239,0.6716
2010,4,V01-Y98,1,69,0.1902
2010,4,B20-B24,2,17,0.0478
2010,4,B20-B24,1,3,0.0083
2010,4,V01-V99,2,65,0.1827
2010,4,V01-V99,1,23,0.0634
2010,4,X60-X84,2,87,0.2445
