"56","Copiapó","Mujer",64439,109040,103475,289149,162156,179627,171372,247562,238423,335732,377210,415118
"57","Coquimbo","Hombre",70347,107217,136060,168994,210979,225010,247848,250546,499095,392864,404764,448913
"58","Coquimbo","Mujer",52592,91240,74802,168994,170534,168684,158331,168878,251409,236182,281293,320536
"59","Coronel","Hombre",59604,78573,122381,122597,166224,180677,201498,261341,279899,328499,317868,407594
"60","Coronel","Mujer",47441,59892,71171,122597,134683,137228,194554,180772,264991,273791,228428,287874
"61","Coyhaique","Hombre",92300,137915,166795,176765,472303,328563,415064,302938,486822,580988,512979,596071
"62","Coyhaique","Mujer",64362,69517,116470,176765,167472,214695,300386,222559,403721,418278,379977,446723
"63","Curacautín","Hombre",61176,72137,109526,92758,112158,123316,180481,171481,218210,365190,260195,309570
"64","Curacautín","Mujer",29099,53373,248371,92758,133618,113586,172279,161122,151106,291067,319919,291997
"65","Curacaví","Hombre",77014,83403,117027,158142,224585,251829,198818,431084,260819,318157,309312,354493
"66","Curacaví","Mujer",47624,67763,85466,158142,194331,228612,159531,229324,229363,368858,214275,348200
"67","Curanilahue","Hombre",59009,91223,94482,127243,122970,151828,176575,202213,261283,290834,372421,383400
"68","Curanilahue","Mujer",59996,61710,65289,127243,139271,138665,148487,193181,176223,235123,344588,269915
"69","Curicó","Hombre",162152,174246,216748,206508,224427,549809,242258,360604,398103,387039,344037,393511
"70","Curicó","Mujer",60218,82674,108166,206508,168463,193976,165743,289905,408221,332496,284698,321030
"71","Diego de Almagro","Hombre",176032,193677,207618,226275,338507,329194,367926,394848,527894,611960,638740,493835
"72","Diego de Almagro","Mujer",44562,151018,103917,226275,140928,173195,247159,189824,255224,373988,461919,396759
"73","Doñihue","Hombre",72359,95225,93770,121177,148987,190407,223531,260426,309684,297664,377853,391677
"74","Doñihue","Mujer",33647,58617,67573,121177,90238,97790,152919,211825,278508,266956,212845,305145
"75","El Monte","Hombre",76844,147726,102862,NA,172234,212009,172207,241194,284881,423825,341161,567458
"76","El Monte","Mujer",34817,102368,81518,NA,110780,160574,144757,274232,265391,434099,253133,373509
"77","Estación Central","Hombre",64492,149542,171896,220147,241782,302328,320618,320839,431897,354186,336280,408388
"78","Estación Central","Mujer",58902,108303,108708,220147,179403,175080,212468,243667,313972,299960,270161,321724
"79","Freirina","Hombre",110790,72516,141492,137891,150161,148269,207105,227779,286343,393179,422042,453365
"80","Freirina","Mujer",53454,61928,56608,137891,112075,127864,136897,164344,222408,281735,205382,292048
"81","Fresia","Hombre",137319,87663,87695,NA,NA,196912,207269,225488,290778,397381,207280,388478
"82","Fresia","Mujer",76672,84408,90428,NA,NA,156970,215033,225961,332736,220642,184208,283955
