"56","Magallanes","Mujer",39600,58782,105910,99320,119756,240291,159826,161600,198900,261730,250000,300000
"57","Maipo","Hombre",55440,64380,107100,120000,140560,160000,160000,181800,243100,257296,300000,326597
"58","Maipo","Mujer",39403,53650,90780,80000,100400,130000,120000,138370,198900,199108,220000,250000
"59","Malleco","Hombre",33001,48925,74970,70000,93372,100000,115000,131300,182325,204578,210000,250000
"60","Malleco","Mujer",33850,41418,72293,65000,85340,92970,111651,111100,176800,196920,210000,240000
"61","Marga Marga","Hombre",72480,94334,107100,150000,170680,176022,197600,197600,300608,271953,300000,320000
"62","Marga Marga","Mujer",36152,53650,72779,110000,120480,128971,120000,136350,193986,199108,210000,260000
"63","Melipilla","Hombre",36361,64380,85680,114326,119323,130000,150000,161600,221000,218800,240000,300000
"64","Melipilla","Mujer",36240,47212,64260,81000,108818,100000,120000,131300,182325,215727,210000,290000
"65","Ñuble","Hombre",31408,52751,60520,80000,110440,120000,118560,136350,187850,199108,210000,250000
"66","Ñuble","Mujer",31408,42920,58905,80000,100400,127820,110000,121200,176800,196920,200000,240000
"67","Osorno","Hombre",35032,58710,74970,80000,100400,117812,131866,149652,198900,205400,220000,270000
"68","Osorno","Mujer",31408,42920,72338,80000,97750,110000,120000,129085,182325,196404,210000,240000
"69","Petorca","Hombre",33982,58949,85680,90000,117300,120000,120000,151500,221000,251620,240000,289599
"70","Petorca","Mujer",25287,46973,64260,80000,80822,90000,115917,136350,173485,196920,200000,241000
"71","Quillota","Hombre",36440,63062,80325,102150,120552,150000,160000,161600,221000,257965,250000,290307
"72","Quillota","Mujer",30200,42920,59986,72266,90360,115000,120000,136350,182325,199108,210000,241000
"73","Ranco","Hombre",49500,82621,85680,68000,81826,101000,120000,136350,186966,205400,210000,250000
"74","Ranco","Mujer",36240,75110,55692,80478,80320,100000,100000,119035,181220,199108,207419,220000
"75","San Antonio","Hombre",39260,85840,90780,146200,150600,150000,170000,181800,225535,273500,280000,300000
"76","San Antonio","Mujer",31408,58753,80221,80242,117300,120000,110000,121200,182325,203484,210000,244134
"77","San Felipe","Hombre",43488,53650,85166,90000,120480,120000,130000,151500,221000,218800,220021,300000
"78","San Felipe","Mujer",37750,42920,65568,80000,96384,100877,115000,135340,182325,202390,210000,246262
"79","Santiago","Hombre",60400,85840,128520,170000,200612,204980,220000,242400,331500,328200,350000,400000
"80","Santiago","Mujer",42280,64380,96390,130000,150600,160000,178968,191900,254150,262560,270000,300000
"81","Talagante","Hombre",43488,74366,87754,110000,140560,150000,180000,181800,232008,306320,280000,320000
"82","Talagante","Mujer",36240,53650,69080,100000,100400,120000,120000,141400,198900,205944,210000,250000
"83","Talca","Hombre",41571,53650,72828,85368,114958,140000,126691,141400,205400,224769,250000,280000
"84","Talca","Mujer",33824,49318,62118,70000,105379,120000,110000,136350,182325,199108,210000,241000
"85","Tamarugal","Hombre",49500,77190,69615,139429,156400,170000,180000,197600,265200,369720,300000,300000
"86","Tamarugal","Mujer",30617,40774,60520,122580,117300,115000,120000,126250,187850,206675,250000,245000
"87","Tierra del Fuego","Hombre",43488,75110,90930,140000,120480,180000,200000,197698,410800,383544,300001,400000
"88","Tierra del Fuego","Mujer",32616,40774,227120,90000,102408,100000,180000,161600,221000,255598,283878,300000
"89","Tocopilla","Hombre",54360,85840,107100,180000,195755,169103,250000,252500,331500,410800,393794,430000
"90","Tocopilla","Mujer",36240,42920,75650,92187,118344,107426,139888,136350,198900,306980,250000,300000
"91","Última Esperanza","Hombre",40641,64380,91140,120000,166220,150000,200000,177840,302150,273500,300000,350000
"92","Última Esperanza","Mujer",31408,40995,59998,86213,95533,109780,115079,139830,221000,196920,250000,287643
"93","Valdivia","Hombre",36240,53650,64260,107081,120013,109560,148200,157560,205400,240680,212000,300000
"94","Valdivia","Mujer",36240,48285,64260,99879,100400,100000,120000,136350,198900,202390,210000,248000
"95","Valparaíso","Hombre",54360,78280,113929,122580,160640,180000,180000,195492,265200,273500,300000,350000
"96","Valparaíso","Mujer",35338,53650,77112,100000,120480,120000,130000,136350,182325,207860,210000,250000
"97","General Carrera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Capitán Prat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Isla de Pascua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Parinacota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Palena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Antártica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
