"56","Copiapó","Mujer",39600,64380,74970,123889,110440,120000,119119,141400,205400,240680,290000,300000
"57","Coquimbo","Hombre",41555,71844,91035,122580,150600,160680,158080,171700,276250,293831,300000,350000
"58","Coquimbo","Mujer",36240,51551,58905,76620,91490,120000,115000,136350,191293,196920,220000,250000
"59","Coronel","Hombre",48320,57202,76222,100000,130520,146080,158080,182779,219453,273500,245000,320000
"60","Coronel","Mujer",31408,46308,59976,65000,100400,100000,132816,131050,187850,196920,200000,250000
"61","Coyhaique","Hombre",56634,84151,112328,123548,171786,195000,200000,200006,294493,350080,300000,400000
"62","Coyhaique","Mujer",36240,53650,72715,83506,106839,120000,197600,151500,216731,218800,220000,300000
"63","Curacautín","Hombre",36240,52577,87754,66000,85039,100000,115000,131300,175695,328200,200000,230000
"64","Curacautín","Mujer",23960,39140,89301,40860,81575,91300,115364,109080,132600,218630,173413,195645
"65","Curacaví","Hombre",42280,61161,74970,100000,130520,150000,128893,186850,187850,224819,242402,300000
"66","Curacaví","Mujer",36240,40774,60520,80000,120480,125000,115165,141400,182325,223747,210000,300000
"67","Curanilahue","Hombre",39761,58845,66350,90000,100400,115982,150000,136350,212434,238280,250000,300000
"68","Curanilahue","Mujer",35640,48656,47135,81720,79097,100000,110000,121200,151161,163151,209112,205000
"69","Curicó","Hombre",48320,79402,64260,100000,120480,146080,150000,191791,209950,218800,240000,300000
"70","Curicó","Mujer",37448,48285,62121,70000,99328,120000,104379,161600,182325,199108,210000,241000
"71","Diego de Almagro","Hombre",113581,171680,171360,200208,251000,236700,260000,303000,442000,547000,500000,436957
"72","Diego de Almagro","Mujer",27180,97850,96934,130241,119185,120000,150000,141400,182325,251620,350000,300000
"73","Doñihue","Hombre",42956,58862,85680,104798,120480,160000,180000,202000,224591,256277,300000,350000
"74","Doñihue","Mujer",28992,48285,64260,65645,80320,102500,150000,151500,185415,205359,206094,280000
"75","El Monte","Hombre",39600,66613,85680,NA,116992,130000,148017,154699,209950,345651,250000,350000
"76","El Monte","Mujer",28068,58724,64260,NA,80320,102720,115633,138442,180893,312956,210000,245000
"77","Estación Central","Hombre",48320,80475,121040,176798,160640,200000,237120,202000,308100,218800,250000,320000
"78","Estación Central","Mujer",42280,69209,91443,142536,135697,120000,170000,172380,221000,217181,210000,270000
"79","Freirina","Hombre",31408,58710,65229,100000,120480,120000,150000,181800,243100,328200,351379,380000
"80","Freirina","Mujer",31408,42920,46793,88000,81324,88500,117870,122210,165750,188694,191500,265000
"81","Fresia","Hombre",31408,40774,55853,NA,NA,120000,115000,141400,221000,215414,197803,250000
"82","Fresia","Mujer",31664,36482,58905,NA,NA,116864,118560,161690,237137,185275,180000,245500
"83","Hualañé","Hombre",39600,64380,64260,NA,NA,100000,115000,136350,182325,199108,213088,279142
"84","Hualañé","Mujer",30200,64380,55445,NA,NA,104000,82449,134957,176800,199108,208038,209000
"85","Hualqui","Hombre",42280,53650,64260,NA,NA,120000,151797,139765,221000,219051,220000,250000
"86","Hualqui","Mujer",39600,41509,45390,NA,NA,100000,130000,121200,175695,165048,200000,240000
"87","Huasco","Hombre",36240,104618,109013,NA,140560,159700,180000,201776,290409,328200,374688,400000
"88","Huasco","Mujer",13892,43993,69233,NA,124645,112443,122727,158080,164870,228531,210000,250000
"89","Illapel","Hombre",42280,58710,55692,85229,120480,116750,120000,194652,246480,273500,252781,280000
"90","Illapel","Mujer",31408,53650,69484,70686,80822,100000,110269,136350,182325,199108,210000,240000
"91","Iquique","Hombre",96640,107300,128520,200000,251000,200000,254002,296400,331500,410800,450000,500000
"92","Iquique","Mujer",54159,75110,90780,161828,150600,120000,186539,172374,230048,235307,300000,315000
"93","Isla de Maipo","Hombre",38945,64380,74970,112500,120480,120000,150000,169955,227545,218800,300000,295000
"94","Isla de Maipo","Mujer",34218,48881,64432,100000,100400,100000,115000,136350,195559,196920,189175,240500
"95","La Cisterna","Hombre",51944,107300,139230,219830,200800,271958,200000,303000,331500,328200,400000,350000
"96","La Cisterna","Mujer",31408,77542,112965,150000,200133,160000,200000,202000,276250,230079,349365,300000
"97","La Florida","Hombre",54360,85840,128520,200000,220752,228017,230000,270885,346292,361724,350000,369638
