"","provincia","sex","occupation","2011","2013","2015"
"116","Antofagasta","Hombre","5163",382900,733468,500000
"117","Antofagasta","Hombre","5169",351671,400000,450000
"118","Antofagasta","Hombre","5220",328200,321488,400000
"119","Antofagasta","Hombre","5230",756399,279118,NA
"120","Antofagasta","Hombre","6111",492300,NA,500000
"121","Antofagasta","Hombre","6113",261637,330270,300000
"122","Antofagasta","Hombre","6122",616200,NA,NA
"123","Antofagasta","Hombre","6152",410800,268276,373684
"124","Antofagasta","Hombre","6210",935711,NA,633333
"125","Antofagasta","Hombre","7111",547000,500000,500000
"126","Antofagasta","Hombre","7112",681646,380000,600000
"127","Antofagasta","Hombre","7113",559796,NA,NA
"128","Antofagasta","Hombre","7121",633270,180000,600000
"129","Antofagasta","Hombre","7122",328200,350000,320035
"130","Antofagasta","Hombre","7123",502353,NA,512772
"131","Antofagasta","Hombre","7124",437600,323011,350000
"132","Antofagasta","Hombre","7129",546683,645147,659677
"133","Antofagasta","Hombre","7131",674568,NA,NA
"134","Antofagasta","Hombre","7132",604728,404301,NA
"135","Antofagasta","Hombre","7133",262560,NA,NA
"136","Antofagasta","Hombre","7136",536399,314752,400000
"137","Antofagasta","Hombre","7137",383210,453521,500000
"138","Antofagasta","Hombre","7141",366213,393883,222024
"139","Antofagasta","Hombre","7142",352131,450000,420721
"140","Antofagasta","Hombre","7143",865558,NA,NA
"141","Antofagasta","Hombre","7212",450408,400000,494262
"142","Antofagasta","Hombre","7213",410800,545946,620000
"143","Antofagasta","Hombre","7214",392845,350000,394570
"144","Antofagasta","Hombre","7216",765800,NA,300000
"145","Antofagasta","Hombre","7221",405131,NA,NA
"146","Antofagasta","Hombre","7223",403280,545385,NA
"147","Antofagasta","Hombre","7231",437600,600000,500000
"148","Antofagasta","Hombre","7232",547000,486719,NA
"149","Antofagasta","Hombre","7233",495562,600000,860199
"150","Antofagasta","Hombre","7241",547000,559680,366465
"151","Antofagasta","Hombre","7244",472994,569429,250000
"152","Antofagasta","Hombre","7245",218800,650000,NA
"153","Antofagasta","Hombre","7311",270213,100000,NA
"154","Antofagasta","Hombre","7313",1232400,NA,NA
"155","Antofagasta","Hombre","7345",718900,NA,NA
"156","Antofagasta","Hombre","7411",257941,120711,346618
"157","Antofagasta","Hombre","7412",382900,394800,315000
"158","Antofagasta","Hombre","7422",473313,258907,368136
"159","Antofagasta","Hombre","7423",273500,NA,NA
"160","Antofagasta","Hombre","7433",839240,NA,NA
"161","Antofagasta","Hombre","7435",218800,NA,NA
"162","Antofagasta","Hombre","7437",349180,NA,NA
"163","Antofagasta","Hombre","7442",410800,NA,NA
"164","Antofagasta","Hombre","8111",964148,650000,575000
"165","Antofagasta","Hombre","8112",544496,2047847,650000
"166","Antofagasta","Hombre","8113",656400,600000,550000
"167","Antofagasta","Hombre","8124",437600,NA,NA
"168","Antofagasta","Hombre","8151",711100,NA,NA
"169","Antofagasta","Hombre","8153",437600,NA,NA
"170","Antofagasta","Hombre","8159",892361,NA,NA
"171","Antofagasta","Hombre","8162",1020155,250000,NA
"172","Antofagasta","Hombre","8163",497680,625170,477551
"173","Antofagasta","Hombre","8211",493452,636325,500000
"174","Antofagasta","Hombre","8212",301589,380769,500000
"175","Antofagasta","Hombre","8222",538381,625214,600000
"176","Antofagasta","Hombre","8223",350080,NA,NA
"177","Antofagasta","Hombre","8229",465474,800000,274867
"178","Antofagasta","Hombre","8231",909821,452790,341288
"179","Antofagasta","Hombre","8264",415720,NA,525000
"180","Antofagasta","Hombre","8271",480884,NA,480000
"181","Antofagasta","Hombre","8281",765800,NA,NA
"182","Antofagasta","Hombre","8290",678280,455556,815335
"183","Antofagasta","Hombre","8311",302265,562185,375837
"184","Antofagasta","Hombre","8312",229740,358654,NA
"185","Antofagasta","Hombre","8321",258913,NA,NA
"186","Antofagasta","Hombre","8322",328200,360000,500000
"187","Antofagasta","Hombre","8323",382900,495500,450000
"188","Antofagasta","Hombre","8324",437600,550000,600000
"189","Antofagasta","Hombre","8331",656400,NA,NA
"190","Antofagasta","Hombre","8332",466044,772571,691190
"191","Antofagasta","Hombre","8333",879578,300000,600000
"192","Antofagasta","Hombre","8334",327205,596729,450000
"193","Antofagasta","Hombre","8340",437600,NA,369128
"194","Antofagasta","Hombre","9111",255435,292121,528000
"195","Antofagasta","Hombre","9112",283104,198416,304602
"196","Antofagasta","Hombre","9113",296867,573529,NA
"197","Antofagasta","Hombre","9131",131024,170759,NA
"198","Antofagasta","Hombre","9132",289910,290526,347846
"199","Antofagasta","Hombre","9133",211886,NA,NA
"200","Antofagasta","Hombre","9141",228789,391519,600000
"201","Antofagasta","Hombre","9142",452786,162955,242787
"202","Antofagasta","Hombre","9151",317075,313675,292941
"203","Antofagasta","Hombre","9152",306320,300000,279149
"204","Antofagasta","Hombre","9161",319448,NA,NA
"205","Antofagasta","Hombre","9162",245134,NA,353655
"206","Antofagasta","Hombre","9211",348584,233039,350000
"207","Antofagasta","Hombre","9213",256750,300000,NA
"208","Antofagasta","Hombre","9311",401722,345388,445531
"209","Antofagasta","Hombre","9312",452732,209820,391992
"210","Antofagasta","Hombre","9313",317260,300000,232765
"211","Antofagasta","Hombre","9322",273500,159118,221553
"212","Antofagasta","Hombre","9331",718900,NA,NA
"213","Antofagasta","Hombre","9333",307143,350000,408364
"214","Antofagasta","Hombre","9999",355053,700000,NA
"215","Antofagasta","Mujer","0110",1203400,480000,NA
"216","Antofagasta","Mujer","1120",1083060,NA,750000
"217","Antofagasta","Mujer","1229",1285149,1131818,NA
"218","Antofagasta","Mujer","1239",1643200,1000000,NA
"219","Antofagasta","Mujer","1313",3081000,NA,400000
"220","Antofagasta","Mujer","1314",205400,347214,300000
"221","Antofagasta","Mujer","1315",1739414,399706,256187
"222","Antofagasta","Mujer","1316",308100,1000000,NA
"223","Antofagasta","Mujer","1317",821600,823077,NA
"224","Antofagasta","Mujer","1318",16432000,380984,NA
"225","Antofagasta","Mujer","1319",821600,500000,NA
"226","Antofagasta","Mujer","2113",533031,1382022,NA
"227","Antofagasta","Mujer","2131",470945,850000,NA
"228","Antofagasta","Mujer","2132",416762,600000,NA
"229","Antofagasta","Mujer","2141",933319,1200000,NA
"230","Antofagasta","Mujer","2142",790871,1073504,1100000
"231","Antofagasta","Mujer","2146",240386,NA,NA
"232","Antofagasta","Mujer","2147",402791,1000000,NA
"233","Antofagasta","Mujer","2148",1520484,NA,NA
"234","Antofagasta","Mujer","2149",1203400,1000000,920192
"235","Antofagasta","Mujer","2211",301246,NA,NA
"236","Antofagasta","Mujer","2213",638896,NA,NA
"237","Antofagasta","Mujer","2221",652272,3355172,1600000
"238","Antofagasta","Mujer","2222",2188000,545570,660092
"239","Antofagasta","Mujer","2223",732980,1600000,NA
"240","Antofagasta","Mujer","2229",562546,NA,767391
"241","Antofagasta","Mujer","2230",656400,1080978,878779
"242","Antofagasta","Mujer","2310",767118,570981,397442
"243","Antofagasta","Mujer","2320",848603,714773,774404
"244","Antofagasta","Mujer","2331",515386,600000,600000
"245","Antofagasta","Mujer","2332",437600,630235,515242
"246","Antofagasta","Mujer","2340",603437,582429,750000
"247","Antofagasta","Mujer","2351",699175,NA,NA
"248","Antofagasta","Mujer","2352",251620,1000000,NA
"249","Antofagasta","Mujer","2411",648013,877848,697285
"250","Antofagasta","Mujer","2412",984600,741538,NA
"251","Antofagasta","Mujer","2419",612640,884065,481778
"252","Antofagasta","Mujer","2421",889343,1200000,950000
"253","Antofagasta","Mujer","2429",328200,NA,550000
"254","Antofagasta","Mujer","2432",213385,NA,320000
"255","Antofagasta","Mujer","2441",1094000,NA,NA
"256","Antofagasta","Mujer","2442",590760,511075,NA
"257","Antofagasta","Mujer","2445",573048,1025225,600000
"258","Antofagasta","Mujer","2446",602017,621774,687791
"259","Antofagasta","Mujer","2451",765800,397087,864189
"260","Antofagasta","Mujer","2452",875200,NA,NA
"261","Antofagasta","Mujer","2453",205400,NA,NA
"262","Antofagasta","Mujer","2455",656400,NA,NA
"263","Antofagasta","Mujer","3131",780520,80000,NA
"264","Antofagasta","Mujer","3151",437600,300000,712879
"265","Antofagasta","Mujer","3152",530859,774433,733742
"266","Antofagasta","Mujer","3221",459480,1229605,400000
"267","Antofagasta","Mujer","3223",629150,159735,700000
"268","Antofagasta","Mujer","3225",328200,263269,467120
"269","Antofagasta","Mujer","3226",747258,707692,798667
"270","Antofagasta","Mujer","3229",164100,585000,NA
"271","Antofagasta","Mujer","3231",273500,311005,486963
"272","Antofagasta","Mujer","3310",281387,192594,300000
"273","Antofagasta","Mujer","3320",273500,187192,325519
"274","Antofagasta","Mujer","3330",218800,NA,NA
"275","Antofagasta","Mujer","3411",660988,522034,551221
"276","Antofagasta","Mujer","3412",654255,570109,NA
"277","Antofagasta","Mujer","3413",951547,455047,313842
"278","Antofagasta","Mujer","3415",281314,565057,574545
"279","Antofagasta","Mujer","3419",328200,450000,NA
"280","Antofagasta","Mujer","3421",940840,NA,NA
"281","Antofagasta","Mujer","3422",415720,NA,NA
"282","Antofagasta","Mujer","3429",109400,NA,804823
"283","Antofagasta","Mujer","3431",328200,365165,NA
"284","Antofagasta","Mujer","3432",415812,600000,274000
"285","Antofagasta","Mujer","3433",433878,269839,1231868
"286","Antofagasta","Mujer","3439",455428,745882,NA
"287","Antofagasta","Mujer","3442",2188000,NA,NA
"288","Antofagasta","Mujer","3449",470420,337615,386130
"289","Antofagasta","Mujer","3460",185980,469811,NA
"290","Antofagasta","Mujer","3471",110612,278409,6067164
"291","Antofagasta","Mujer","3473",259369,NA,NA
"292","Antofagasta","Mujer","3475",269888,NA,NA
"293","Antofagasta","Mujer","4112",240680,NA,NA
"294","Antofagasta","Mujer","4115",437600,343111,355976
"295","Antofagasta","Mujer","4121",447665,334510,452857
"296","Antofagasta","Mujer","4122",237504,500000,534457
"297","Antofagasta","Mujer","4131",447491,347685,396233
"298","Antofagasta","Mujer","4132",457994,230000,NA
"299","Antofagasta","Mujer","4133",492300,213684,235275
"300","Antofagasta","Mujer","4144",251620,NA,3000000
"301","Antofagasta","Mujer","4190",352034,372838,559586
"302","Antofagasta","Mujer","4211",214893,210000,350000
"303","Antofagasta","Mujer","4212",61620,NA,NA
"304","Antofagasta","Mujer","4213",404780,342000,332353
"305","Antofagasta","Mujer","4215",256077,NA,NA
"306","Antofagasta","Mujer","4222",273500,315609,356957
"307","Antofagasta","Mujer","4223",263581,373744,263351
"308","Antofagasta","Mujer","5111",273500,350000,NA
"309","Antofagasta","Mujer","5121",1149067,323404,NA
"310","Antofagasta","Mujer","5122",218800,210000,250000
"311","Antofagasta","Mujer","5123",218800,280000,159463
"312","Antofagasta","Mujer","5131",196920,250000,207391
"313","Antofagasta","Mujer","5132",273500,296810,290000
