"","occupation","sex","2011","2013","2015"
"686","2330",NA,NA,NA,NA
"687","3470",NA,NA,NA,NA
"688","6100",NA,NA,NA,NA
"689","6120",NA,NA,NA,NA
"690","7215","Hombre",328200,287767,NA
"691","7330",NA,NA,NA,NA
"692","7340",NA,NA,NA,NA
"693","7441","Hombre",248124,193062,NA
"694","8279",NA,NA,NA,NA
"695","9150",NA,NA,NA,NA
"696","1228",NA,NA,NA,NA
"697","4130",NA,NA,NA,NA
"698","1141","Hombre",1295296,NA,NA
"699","1141","Mujer",437600,NA,NA
"700","6154","Hombre",251827,NA,NA
"701","6154","Mujer",198355,NA,NA
"702","7492","Hombre",547000,NA,NA
"703","9500","Mujer",196920,NA,NA
