"","region","sex","occupation","2011","2013","2015"
"116","Antofagasta","Hombre","5121",218800,350000,400000
"117","Antofagasta","Hombre","5122",405017,500000,400000
"118","Antofagasta","Hombre","5123",200749,260000,240372
"119","Antofagasta","Hombre","5131",326283,350000,160000
"120","Antofagasta","Hombre","5132",228485,587925,300000
"121","Antofagasta","Hombre","5141",404368,450000,400000
"122","Antofagasta","Hombre","5143",437600,NA,355000
"123","Antofagasta","Hombre","5161",382900,280000,693889
"124","Antofagasta","Hombre","5162",437600,610076,358182
"125","Antofagasta","Hombre","5163",382900,733468,500000
"126","Antofagasta","Hombre","5169",379916,400000,450000
"127","Antofagasta","Hombre","5220",328200,317600,400000
"128","Antofagasta","Hombre","5230",566990,281168,296478
"129","Antofagasta","Hombre","6111",255960,254783,297523
"130","Antofagasta","Hombre","6112",218800,298784,214750
"131","Antofagasta","Hombre","6113",274613,349730,308365
"132","Antofagasta","Hombre","6114",30810,NA,NA
"133","Antofagasta","Hombre","6122",616200,NA,NA
"134","Antofagasta","Hombre","6152",410800,250000,200000
"135","Antofagasta","Hombre","6210",824016,80000,297222
"136","Antofagasta","Hombre","7111",547000,500000,500000
"137","Antofagasta","Hombre","7112",444613,380000,600000
"138","Antofagasta","Hombre","7113",559796,NA,NA
"139","Antofagasta","Hombre","7121",633270,324516,600000
"140","Antofagasta","Hombre","7122",381867,350000,350000
"141","Antofagasta","Hombre","7123",500645,660000,512772
"142","Antofagasta","Hombre","7124",437600,400000,369000
"143","Antofagasta","Hombre","7129",547000,687143,603226
"144","Antofagasta","Hombre","7131",378862,NA,NA
"145","Antofagasta","Hombre","7132",526717,667961,NA
"146","Antofagasta","Hombre","7133",262560,NA,624572
"147","Antofagasta","Hombre","7136",423434,332497,395766
"148","Antofagasta","Hombre","7137",439583,579807,534261
"149","Antofagasta","Hombre","7141",362858,304390,229762
"150","Antofagasta","Hombre","7142",301363,450000,420721
"151","Antofagasta","Hombre","7143",865558,NA,400000
"152","Antofagasta","Hombre","7212",467412,317936,477306
"153","Antofagasta","Hombre","7213",410800,545946,620000
"154","Antofagasta","Hombre","7214",478981,565926,363617
"155","Antofagasta","Hombre","7216",765800,NA,300000
"156","Antofagasta","Hombre","7221",405131,NA,NA
"157","Antofagasta","Hombre","7223",403280,527692,971168
"158","Antofagasta","Hombre","7231",437600,309778,500000
"159","Antofagasta","Hombre","7232",547000,486719,NA
"160","Antofagasta","Hombre","7233",492300,600000,794901
"161","Antofagasta","Hombre","7241",547000,571381,385051
"162","Antofagasta","Hombre","7242",1232400,400000,NA
"163","Antofagasta","Hombre","7243",705239,400000,300000
"164","Antofagasta","Hombre","7244",914503,569429,250000
