"","occupation","sex","2011","2013","2015"
"692","7340",NA,NA,NA,NA
"693","7441","Hombre",214026,126969,NA
"694","8279",NA,NA,NA,NA
"695","9150",NA,NA,NA,NA
"696","1228",NA,NA,NA,NA
"697","4130",NA,NA,NA,NA
"698","1141","Hombre",1295296,NA,NA
"699","1141","Mujer",437600,NA,NA
"700","6154","Hombre",250788,NA,NA
"701","6154","Mujer",194756,NA,NA
"702","7492","Hombre",547000,NA,NA
"703","9500","Mujer",196920,NA,NA
