"","region","sex","occupation","2011","2013","2015"
"115","Antofagasta","Hombre","5113",622212,431381,300000
"116","Antofagasta","Hombre","5121",218800,350000,400000
"117","Antofagasta","Hombre","5122",436653,457366,381604
"118","Antofagasta","Hombre","5123",191826,249883,375870
"119","Antofagasta","Hombre","5131",356394,350000,160000
"120","Antofagasta","Hombre","5132",243333,746253,300000
"121","Antofagasta","Hombre","5141",522343,450000,400000
"122","Antofagasta","Hombre","5143",437600,NA,355000
"123","Antofagasta","Hombre","5161",382900,280000,693889
"124","Antofagasta","Hombre","5162",718667,686598,368564
"125","Antofagasta","Hombre","5163",458348,733468,500000
"126","Antofagasta","Hombre","5169",575713,400000,450000
"127","Antofagasta","Hombre","5220",456664,403426,510263
"128","Antofagasta","Hombre","5230",585105,291745,809263
"129","Antofagasta","Hombre","6111",251157,283417,303909
"130","Antofagasta","Hombre","6112",218800,298784,214750
"131","Antofagasta","Hombre","6113",259867,337868,340862
"132","Antofagasta","Hombre","6114",30810,NA,NA
"133","Antofagasta","Hombre","6122",616200,NA,NA
"134","Antofagasta","Hombre","6152",421003,354168,263547
"135","Antofagasta","Hombre","6210",828632,70000,398017
"136","Antofagasta","Hombre","7111",643622,810291,725496
"137","Antofagasta","Hombre","7112",579804,380000,600000
"138","Antofagasta","Hombre","7113",559796,NA,NA
"139","Antofagasta","Hombre","7121",633270,324516,505129
"140","Antofagasta","Hombre","7122",410073,363425,369935
"141","Antofagasta","Hombre","7123",439130,660000,472318
"142","Antofagasta","Hombre","7124",492775,389948,413963
"143","Antofagasta","Hombre","7129",553338,686251,590377
"144","Antofagasta","Hombre","7131",481029,NA,NA
"145","Antofagasta","Hombre","7132",534223,762581,NA
"146","Antofagasta","Hombre","7133",262560,NA,624572
"147","Antofagasta","Hombre","7136",471246,656287,412586
"148","Antofagasta","Hombre","7137",597998,583642,614646
"149","Antofagasta","Hombre","7141",392113,388717,299729
"150","Antofagasta","Hombre","7142",344262,433065,420721
"151","Antofagasta","Hombre","7143",865558,NA,400000
"152","Antofagasta","Hombre","7212",558197,389785,507703
"153","Antofagasta","Hombre","7213",410800,606604,620000
"154","Antofagasta","Hombre","7214",481209,501974,474360
"155","Antofagasta","Hombre","7216",765800,NA,298934
"156","Antofagasta","Hombre","7221",405131,NA,NA
"157","Antofagasta","Hombre","7223",425278,478431,971168
"158","Antofagasta","Hombre","7231",541026,480186,631183
"159","Antofagasta","Hombre","7232",547000,486719,NA
"160","Antofagasta","Hombre","7233",549290,631793,832230
"161","Antofagasta","Hombre","7241",568992,649762,551017
"162","Antofagasta","Hombre","7242",1232400,400000,NA
"163","Antofagasta","Hombre","7243",697501,466321,300000
"164","Antofagasta","Hombre","7244",1148030,569429,250000
"165","Antofagasta","Hombre","7245",310856,525843,NA
"166","Antofagasta","Hombre","7311",665321,100000,850000
"167","Antofagasta","Hombre","7312",492300,NA,NA
"168","Antofagasta","Hombre","7313",1232400,150000,NA
"169","Antofagasta","Hombre","7331",334509,NA,300000
"170","Antofagasta","Hombre","7345",718900,NA,NA
"171","Antofagasta","Hombre","7346",306320,NA,400000
"172","Antofagasta","Hombre","7411",265959,182800,346618
"173","Antofagasta","Hombre","7412",459238,527204,685648
"174","Antofagasta","Hombre","7422",505400,306449,426967
"175","Antofagasta","Hombre","7423",273500,NA,NA
"176","Antofagasta","Hombre","7433",839240,300000,NA
"177","Antofagasta","Hombre","7435",218800,NA,NA
"178","Antofagasta","Hombre","7437",308808,NA,NA
"179","Antofagasta","Hombre","7442",327146,NA,100000
"180","Antofagasta","Hombre","8111",891539,672767,810558
"181","Antofagasta","Hombre","8112",592151,1480592,698154
"182","Antofagasta","Hombre","8113",570757,667300,550000
"183","Antofagasta","Hombre","8121",523893,650262,1025485
"184","Antofagasta","Hombre","8124",404201,NA,NA
"185","Antofagasta","Hombre","8139",382900,700000,575762
"186","Antofagasta","Hombre","8151",711100,NA,NA
"187","Antofagasta","Hombre","8152",415720,NA,NA
"188","Antofagasta","Hombre","8153",419456,NA,1300000
"189","Antofagasta","Hombre","8159",736047,NA,NA
"190","Antofagasta","Hombre","8161",875200,615625,756350
"191","Antofagasta","Hombre","8162",738416,250000,952225
"192","Antofagasta","Hombre","8163",477703,625170,486556
"193","Antofagasta","Hombre","8211",651307,591767,615827
"194","Antofagasta","Hombre","8212",329376,380769,500000
"195","Antofagasta","Hombre","8222",538381,809330,572632
"196","Antofagasta","Hombre","8223",350080,NA,NA
"197","Antofagasta","Hombre","8229",354864,759951,344878
"198","Antofagasta","Hombre","8231",730059,420381,341288
"199","Antofagasta","Hombre","8264",415720,NA,525000
"200","Antofagasta","Hombre","8271",424799,NA,480000
"201","Antofagasta","Hombre","8281",656590,NA,423119
"202","Antofagasta","Hombre","8290",585759,455556,760658
"203","Antofagasta","Hombre","8311",401658,550919,394545
"204","Antofagasta","Hombre","8312",297194,583740,NA
"205","Antofagasta","Hombre","8321",232789,400000,NA
"206","Antofagasta","Hombre","8322",492926,447392,588596
"207","Antofagasta","Hombre","8323",501908,499063,570196
"208","Antofagasta","Hombre","8324",584672,608755,662033
"209","Antofagasta","Hombre","8331",656400,350000,NA
"210","Antofagasta","Hombre","8332",584998,808399,817216
"211","Antofagasta","Hombre","8333",805817,431707,655541
"212","Antofagasta","Hombre","8334",637633,610562,413757
"213","Antofagasta","Hombre","8340",298115,NA,375269
"214","Antofagasta","Hombre","9111",440407,292121,374615
"215","Antofagasta","Hombre","9112",344461,129745,229779
"216","Antofagasta","Hombre","9113",316127,573529,NA
"217","Antofagasta","Hombre","9131",215792,170759,NA
"218","Antofagasta","Hombre","9132",298774,298757,344796
"219","Antofagasta","Hombre","9133",216967,NA,NA
"220","Antofagasta","Hombre","9141",252030,280977,600000
"221","Antofagasta","Hombre","9142",421719,158589,253308
"222","Antofagasta","Hombre","9151",289016,303535,325525
"223","Antofagasta","Hombre","9152",329267,383201,448200
"224","Antofagasta","Hombre","9161",297646,NA,259836
"225","Antofagasta","Hombre","9162",241312,240000,296287
"226","Antofagasta","Hombre","9211",358420,219801,321335
"227","Antofagasta","Hombre","9213",434082,384579,NA
"228","Antofagasta","Hombre","9311",430619,598035,479291
"229","Antofagasta","Hombre","9312",327254,448430,326471
"230","Antofagasta","Hombre","9313",383471,275213,286546
"231","Antofagasta","Hombre","9321",273500,NA,288551
"232","Antofagasta","Hombre","9322",377559,129360,228953
"233","Antofagasta","Hombre","9331",718900,NA,NA
"234","Antofagasta","Hombre","9333",284972,375692,410502
"235","Antofagasta","Hombre","9999",420797,546165,700000
"236","Antofagasta","Mujer","0110",1203400,480000,NA
"237","Antofagasta","Mujer","1120",1083060,NA,750000
"238","Antofagasta","Mujer","1229",1285149,1522414,1178689
"239","Antofagasta","Mujer","1239",1643200,1000000,NA
"240","Antofagasta","Mujer","1313",3081000,NA,400000
"241","Antofagasta","Mujer","1314",448624,348577,573711
"242","Antofagasta","Mujer","1315",1546237,427247,734502
"243","Antofagasta","Mujer","1316",308100,1000000,NA
"244","Antofagasta","Mujer","1317",754111,876991,NA
"245","Antofagasta","Mujer","1318",16432000,484762,NA
"246","Antofagasta","Mujer","1319",2238672,349432,NA
"247","Antofagasta","Mujer","2113",635448,1382022,NA
"248","Antofagasta","Mujer","2122",164100,NA,NA
"249","Antofagasta","Mujer","2131",570852,850000,NA
"250","Antofagasta","Mujer","2132",416762,600000,NA
"251","Antofagasta","Mujer","2141",891125,1200000,NA
"252","Antofagasta","Mujer","2142",1225810,1073504,1118341
"253","Antofagasta","Mujer","2146",501246,NA,NA
"254","Antofagasta","Mujer","2147",516821,1000000,NA
"255","Antofagasta","Mujer","2148",1520484,NA,NA
"256","Antofagasta","Mujer","2149",1602653,965346,815362
"257","Antofagasta","Mujer","2211",301246,500000,NA
"258","Antofagasta","Mujer","2213",638896,NA,NA
"259","Antofagasta","Mujer","2221",812378,3355172,1600000
"260","Antofagasta","Mujer","2222",2188000,604114,660092
"261","Antofagasta","Mujer","2223",732980,1600000,1200000
"262","Antofagasta","Mujer","2229",602493,NA,767391
"263","Antofagasta","Mujer","2230",990311,1154341,883804
"264","Antofagasta","Mujer","2310",837813,590222,397442
"265","Antofagasta","Mujer","2320",723682,606076,742930
"266","Antofagasta","Mujer","2331",600763,577237,596477
"267","Antofagasta","Mujer","2332",447128,579771,592182
"268","Antofagasta","Mujer","2340",587201,666161,614385
"269","Antofagasta","Mujer","2351",657661,NA,NA
"270","Antofagasta","Mujer","2352",251620,1000000,NA
"271","Antofagasta","Mujer","2359",410800,893000,NA
"272","Antofagasta","Mujer","2411",584720,844796,999076
"273","Antofagasta","Mujer","2412",984600,741538,600000
"274","Antofagasta","Mujer","2419",595064,815833,881899
"275","Antofagasta","Mujer","2421",1017293,1200000,1009417
"276","Antofagasta","Mujer","2429",328200,NA,550000
"277","Antofagasta","Mujer","2432",224934,NA,320000
"278","Antofagasta","Mujer","2441",1094000,NA,NA
"279","Antofagasta","Mujer","2442",498981,511075,NA
"280","Antofagasta","Mujer","2445",649681,1308816,569077
"281","Antofagasta","Mujer","2446",612186,668888,644228
"282","Antofagasta","Mujer","2451",863228,397087,864189
"283","Antofagasta","Mujer","2452",875200,NA,NA
"284","Antofagasta","Mujer","2453",205400,NA,NA
"285","Antofagasta","Mujer","2455",656400,NA,NA
"286","Antofagasta","Mujer","3116",437600,622018,NA
"287","Antofagasta","Mujer","3117",892003,600000,NA
"288","Antofagasta","Mujer","3121",240680,NA,NA
"289","Antofagasta","Mujer","3131",780520,80000,NA
"290","Antofagasta","Mujer","3151",437600,864645,712879
"291","Antofagasta","Mujer","3152",749909,1737503,769027
"292","Antofagasta","Mujer","3221",472351,1137062,420372
"293","Antofagasta","Mujer","3223",618141,159735,700000
"294","Antofagasta","Mujer","3225",377386,291780,467120
"295","Antofagasta","Mujer","3226",730915,570042,600406
"296","Antofagasta","Mujer","3229",289910,585416,NA
"297","Antofagasta","Mujer","3231",353695,327918,513398
"298","Antofagasta","Mujer","3310",362653,213717,300000
