"","provincia","sex","occupation","2011","2013","2015"
"115","Antofagasta","Hombre","5162",796296,693399,358001
"116","Antofagasta","Hombre","5163",458348,733468,500000
"117","Antofagasta","Hombre","5169",358945,400000,450000
"118","Antofagasta","Hombre","5220",475546,420792,517597
"119","Antofagasta","Hombre","5230",698019,330857,NA
"120","Antofagasta","Hombre","6111",492300,NA,500000
"121","Antofagasta","Hombre","6113",259055,324138,346588
"122","Antofagasta","Hombre","6122",616200,NA,NA
"123","Antofagasta","Hombre","6152",414896,381963,395833
"124","Antofagasta","Hombre","6210",935711,NA,615000
"125","Antofagasta","Hombre","7111",632822,571821,731478
"126","Antofagasta","Hombre","7112",678252,380000,600000
"127","Antofagasta","Hombre","7113",559796,NA,NA
"128","Antofagasta","Hombre","7121",633270,180000,600000
"129","Antofagasta","Hombre","7122",416304,378563,334776
"130","Antofagasta","Hombre","7123",445497,NA,472318
"131","Antofagasta","Hombre","7124",529639,357795,395217
"132","Antofagasta","Hombre","7129",529061,672804,627800
"133","Antofagasta","Hombre","7131",674568,NA,NA
"134","Antofagasta","Hombre","7132",655656,404301,NA
"135","Antofagasta","Hombre","7133",262560,NA,NA
"136","Antofagasta","Hombre","7136",527515,692711,414581
"137","Antofagasta","Hombre","7137",546491,505751,566327
"138","Antofagasta","Hombre","7141",402722,449199,300625
"139","Antofagasta","Hombre","7142",358363,433065,420721
"140","Antofagasta","Hombre","7143",865558,NA,NA
"141","Antofagasta","Hombre","7212",588484,484437,469535
"142","Antofagasta","Hombre","7213",410800,606604,620000
"143","Antofagasta","Hombre","7214",450209,350000,487574
"144","Antofagasta","Hombre","7216",765800,NA,332211
"145","Antofagasta","Hombre","7221",405131,NA,NA
"146","Antofagasta","Hombre","7223",425278,545385,NA
"147","Antofagasta","Hombre","7231",540994,598288,681515
"148","Antofagasta","Hombre","7232",547000,486719,NA
"149","Antofagasta","Hombre","7233",566041,570167,846857
"150","Antofagasta","Hombre","7241",545405,632404,473896
"151","Antofagasta","Hombre","7244",472994,569429,250000
"152","Antofagasta","Hombre","7245",218800,653673,NA
"153","Antofagasta","Hombre","7311",270213,100000,NA
"154","Antofagasta","Hombre","7313",1232400,NA,NA
"155","Antofagasta","Hombre","7345",718900,NA,NA
"156","Antofagasta","Hombre","7411",245511,182800,346618
"157","Antofagasta","Hombre","7412",490059,393530,923203
"158","Antofagasta","Hombre","7422",562035,255556,368136
"159","Antofagasta","Hombre","7423",273500,NA,NA
"160","Antofagasta","Hombre","7433",839240,NA,NA
"161","Antofagasta","Hombre","7435",218800,NA,NA
"162","Antofagasta","Hombre","7437",349180,NA,NA
"163","Antofagasta","Hombre","7442",410800,NA,NA
"164","Antofagasta","Hombre","8111",913217,703624,575000
"165","Antofagasta","Hombre","8112",593343,1969712,650000
"166","Antofagasta","Hombre","8113",610802,585892,550000
"167","Antofagasta","Hombre","8124",422508,NA,NA
"168","Antofagasta","Hombre","8151",711100,NA,NA
"169","Antofagasta","Hombre","8153",437600,NA,NA
"170","Antofagasta","Hombre","8159",892361,NA,NA
"171","Antofagasta","Hombre","8162",1020155,250000,NA
"172","Antofagasta","Hombre","8163",534454,625170,502714
"173","Antofagasta","Hombre","8211",656843,632669,500000
"174","Antofagasta","Hombre","8212",329376,380769,500000
"175","Antofagasta","Hombre","8222",538381,790252,543982
"176","Antofagasta","Hombre","8223",350080,NA,NA
"177","Antofagasta","Hombre","8229",465474,789628,274867
"178","Antofagasta","Hombre","8231",922773,427893,341288
"179","Antofagasta","Hombre","8264",415720,NA,525000
"180","Antofagasta","Hombre","8271",436197,NA,480000
"181","Antofagasta","Hombre","8281",765800,NA,NA
"182","Antofagasta","Hombre","8290",760953,455556,767408
"183","Antofagasta","Hombre","8311",419204,590255,394545
"184","Antofagasta","Hombre","8312",229740,583740,NA
"185","Antofagasta","Hombre","8321",232789,NA,NA
"186","Antofagasta","Hombre","8322",473835,424251,613751
"187","Antofagasta","Hombre","8323",445246,493151,536567
"188","Antofagasta","Hombre","8324",532237,592390,677489
"189","Antofagasta","Hombre","8331",656400,NA,NA
"190","Antofagasta","Hombre","8332",588623,912395,857610
"191","Antofagasta","Hombre","8333",827359,435140,598335
"192","Antofagasta","Hombre","8334",407088,638819,450000
"193","Antofagasta","Hombre","8340",437600,NA,374863
"194","Antofagasta","Hombre","9111",529748,292121,523729
"195","Antofagasta","Hombre","9112",363762,201202,249861
"196","Antofagasta","Hombre","9113",316127,573529,NA
"197","Antofagasta","Hombre","9131",203331,170759,NA
"198","Antofagasta","Hombre","9132",292599,277455,344575
"199","Antofagasta","Hombre","9133",216967,NA,NA
"200","Antofagasta","Hombre","9141",245028,381842,600000
"201","Antofagasta","Hombre","9142",421719,158589,253308
"202","Antofagasta","Hombre","9151",303190,307258,327785
"203","Antofagasta","Hombre","9152",332313,336966,304203
"204","Antofagasta","Hombre","9161",319448,NA,NA
"205","Antofagasta","Hombre","9162",241718,NA,354067
"206","Antofagasta","Hombre","9211",355232,233039,350000
"207","Antofagasta","Hombre","9213",343078,408511,NA
"208","Antofagasta","Hombre","9311",464302,345388,507031
"209","Antofagasta","Hombre","9312",468967,304009,345960
"210","Antofagasta","Hombre","9313",352029,367909,251560
"211","Antofagasta","Hombre","9322",383428,159118,228953
"212","Antofagasta","Hombre","9331",718900,NA,NA
"213","Antofagasta","Hombre","9333",306453,396833,412371
"214","Antofagasta","Hombre","9999",386084,592000,NA
"215","Antofagasta","Mujer","0110",1203400,480000,NA
"216","Antofagasta","Mujer","1120",1083060,NA,750000
"217","Antofagasta","Mujer","1229",1285149,1522414,NA
"218","Antofagasta","Mujer","1239",1643200,1000000,NA
"219","Antofagasta","Mujer","1313",3081000,NA,400000
"220","Antofagasta","Mujer","1314",429374,361621,613515
"221","Antofagasta","Mujer","1315",1739414,417962,269959
"222","Antofagasta","Mujer","1316",308100,1000000,NA
"223","Antofagasta","Mujer","1317",821600,876991,NA
"224","Antofagasta","Mujer","1318",16432000,484762,NA
"225","Antofagasta","Mujer","1319",821600,500000,NA
"226","Antofagasta","Mujer","2113",642932,1382022,NA
"227","Antofagasta","Mujer","2131",570852,850000,NA
"228","Antofagasta","Mujer","2132",416762,600000,NA
"229","Antofagasta","Mujer","2141",891125,1200000,NA
"230","Antofagasta","Mujer","2142",779632,1073504,1146107
"231","Antofagasta","Mujer","2146",497238,NA,NA
"232","Antofagasta","Mujer","2147",516821,1000000,NA
"233","Antofagasta","Mujer","2148",1520484,NA,NA
"234","Antofagasta","Mujer","2149",1708502,965346,921275
"235","Antofagasta","Mujer","2211",301246,NA,NA
"236","Antofagasta","Mujer","2213",638896,NA,NA
"237","Antofagasta","Mujer","2221",896935,3355172,1600000
"238","Antofagasta","Mujer","2222",2188000,573732,660092
