"","comuna","sex","occupation","2011","2013","2015"
"96","Alto Hospicio","Hombre","8264",415720,NA,NA
"97","Alto Hospicio","Hombre","8269",273500,NA,NA
"98","Alto Hospicio","Hombre","8271",218800,280000,NA
"99","Alto Hospicio","Hombre","8290",359255,NA,349385
"100","Alto Hospicio","Hombre","8322",487118,525250,350000
"101","Alto Hospicio","Hombre","8323",388917,409211,402381
"102","Alto Hospicio","Hombre","8324",412985,400000,410000
"103","Alto Hospicio","Hombre","8331",492300,NA,NA
"104","Alto Hospicio","Hombre","8332",340508,800000,700000
"105","Alto Hospicio","Hombre","8333",547000,399406,NA
"106","Alto Hospicio","Hombre","8340",382900,297447,500000
"107","Alto Hospicio","Hombre","9111",286259,176923,174603
"108","Alto Hospicio","Hombre","9112",319027,207273,122206
"109","Alto Hospicio","Hombre","9131",218800,NA,NA
"110","Alto Hospicio","Hombre","9132",225364,332973,263247
"111","Alto Hospicio","Hombre","9141",164100,NA,398280
"112","Alto Hospicio","Hombre","9142",222741,209091,280112
"113","Alto Hospicio","Hombre","9151",228876,290625,266463
"114","Alto Hospicio","Hombre","9152",251620,290000,300000
"115","Alto Hospicio","Hombre","9161",393840,308077,250000
"116","Alto Hospicio","Hombre","9162",289070,210000,247172
"117","Alto Hospicio","Hombre","9211",328200,NA,NA
"118","Alto Hospicio","Hombre","9213",204720,150000,300000
"119","Alto Hospicio","Hombre","9311",281705,NA,606757
"120","Alto Hospicio","Hombre","9312",226093,300000,240000
"121","Alto Hospicio","Hombre","9313",218800,300000,252632
"122","Alto Hospicio","Hombre","9322",203348,100000,450000
"123","Alto Hospicio","Hombre","9333",229740,250000,274000
"124","Alto Hospicio","Hombre","9999",374217,300000,NA
"125","Alto Hospicio","Mujer","0110",273500,330000,NA
"126","Alto Hospicio","Mujer","1314",308100,250000,200000
"127","Alto Hospicio","Mujer","1315",474988,350000,NA
"128","Alto Hospicio","Mujer","1316",718900,NA,NA
"129","Alto Hospicio","Mujer","2212",437600,NA,NA
"130","Alto Hospicio","Mujer","2230",1378896,1300000,1294030
"131","Alto Hospicio","Mujer","2320",568880,NA,843382
"132","Alto Hospicio","Mujer","2331",542937,777200,700000
"133","Alto Hospicio","Mujer","2332",527199,453953,713158
"134","Alto Hospicio","Mujer","2351",163006,NA,NA
"135","Alto Hospicio","Mujer","2411",1312800,472222,988537
"136","Alto Hospicio","Mujer","2419",811661,NA,NA
"137","Alto Hospicio","Mujer","2429",382900,NA,NA
"138","Alto Hospicio","Mujer","2445",831440,NA,400000
"139","Alto Hospicio","Mujer","2446",779992,598000,578472
"140","Alto Hospicio","Mujer","3112",328200,NA,NA
"141","Alto Hospicio","Mujer","3114",170664,NA,NA
"142","Alto Hospicio","Mujer","3117",328200,NA,NA
"143","Alto Hospicio","Mujer","3118",191438,NA,NA
"144","Alto Hospicio","Mujer","3213",432130,NA,NA
"145","Alto Hospicio","Mujer","3221",894892,NA,NA
"146","Alto Hospicio","Mujer","3225",328200,NA,450000
"147","Alto Hospicio","Mujer","3231",386000,368143,420718
"148","Alto Hospicio","Mujer","3320",566891,307647,450735
"149","Alto Hospicio","Mujer","3411",535484,NA,NA
"150","Alto Hospicio","Mujer","3412",855988,743750,NA
"151","Alto Hospicio","Mujer","3413",218800,570000,NA
"152","Alto Hospicio","Mujer","3415",437600,414706,292353
"153","Alto Hospicio","Mujer","3422",382900,NA,NA
"154","Alto Hospicio","Mujer","3429",54700,NA,NA
"155","Alto Hospicio","Mujer","3431",330138,600000,403077
"156","Alto Hospicio","Mujer","3432",276955,NA,500000
"157","Alto Hospicio","Mujer","3433",429286,700000,450000
"158","Alto Hospicio","Mujer","3439",656400,NA,700000
"159","Alto Hospicio","Mujer","3442",218800,NA,NA
"160","Alto Hospicio","Mujer","3460",291292,700000,600000
"161","Alto Hospicio","Mujer","3473",273500,112000,100000
"162","Alto Hospicio","Mujer","3475",328200,NA,NA
"163","Alto Hospicio","Mujer","4113",207860,185000,NA
"164","Alto Hospicio","Mujer","4115",284440,376250,250000
"165","Alto Hospicio","Mujer","4121",390296,310366,463333
"166","Alto Hospicio","Mujer","4133",237398,300000,420000
"167","Alto Hospicio","Mujer","4141",196920,NA,NA
"168","Alto Hospicio","Mujer","4190",299482,374324,354907
"169","Alto Hospicio","Mujer","4211",216940,266082,298695
"170","Alto Hospicio","Mujer","4213",218800,NA,NA
"171","Alto Hospicio","Mujer","4215",393840,NA,NA
"172","Alto Hospicio","Mujer","4222",213923,262121,255833
"173","Alto Hospicio","Mujer","5111",196920,NA,NA
"174","Alto Hospicio","Mujer","5121",525120,NA,NA
"175","Alto Hospicio","Mujer","5122",164100,210000,248776
"176","Alto Hospicio","Mujer","5123",196373,210000,276615
"177","Alto Hospicio","Mujer","5131",218800,240000,275455
"178","Alto Hospicio","Mujer","5132",225677,463750,306234
"179","Alto Hospicio","Mujer","5133",175040,NA,NA
"180","Alto Hospicio","Mujer","5141",157675,213091,300000
"181","Alto Hospicio","Mujer","5220",207082,240000,250000
"182","Alto Hospicio","Mujer","5230",205400,250000,150000
"183","Alto Hospicio","Mujer","6113",241393,250000,NA
"184","Alto Hospicio","Mujer","6114",308100,NA,NA
"185","Alto Hospicio","Mujer","6141",513500,NA,NA
"186","Alto Hospicio","Mujer","6152",193175,NA,NA
"187","Alto Hospicio","Mujer","6210",513500,85000,NA
"188","Alto Hospicio","Mujer","7122",148613,220000,NA
"189","Alto Hospicio","Mujer","7124",313454,NA,NA
"190","Alto Hospicio","Mujer","7132",328640,NA,NA
"191","Alto Hospicio","Mujer","7137",308100,NA,NA
"192","Alto Hospicio","Mujer","7231",328200,NA,NA
"193","Alto Hospicio","Mujer","7244",273500,NA,NA
"194","Alto Hospicio","Mujer","7332",205400,NA,108750
"195","Alto Hospicio","Mujer","7412",215670,161538,210370
"196","Alto Hospicio","Mujer","7432",196920,211538,NA
"197","Alto Hospicio","Mujer","7433",298277,159241,150000
"198","Alto Hospicio","Mujer","7436",248475,229535,239024
"199","Alto Hospicio","Mujer","8262",218800,NA,NA
"200","Alto Hospicio","Mujer","8322",377948,265385,194083
"201","Alto Hospicio","Mujer","8323",594767,NA,300000
"202","Alto Hospicio","Mujer","8324",382900,NA,500000
"203","Alto Hospicio","Mujer","8333",164100,NA,NA
"204","Alto Hospicio","Mujer","9111",350300,186500,164732
"205","Alto Hospicio","Mujer","9112",171927,156857,200000
"206","Alto Hospicio","Mujer","9113",172220,235484,NA
"207","Alto Hospicio","Mujer","9131",163416,168158,214233
"208","Alto Hospicio","Mujer","9132",196920,211066,250450
"209","Alto Hospicio","Mujer","9133",156094,200000,NA
"210","Alto Hospicio","Mujer","9142",82160,NA,60000
"211","Alto Hospicio","Mujer","9152",264953,261014,281720
"212","Alto Hospicio","Mujer","9162",199108,250000,266589
"213","Alto Hospicio","Mujer","9213",222447,NA,NA
"214","Alto Hospicio","Mujer","9313",547000,NA,NA
"215","Alto Hospicio","Mujer","9322",235210,116739,250000
"216","Alto Hospicio","Mujer","9331",218800,NA,NA
"217","Alto Hospicio","Mujer","9333",200168,NA,NA
"218","Alto Hospicio","Mujer","9999",237554,120000,NA
"219","Angol","Hombre","0110",481471,468163,417778
"220","Angol","Hombre","1229",765800,900000,NA
"221","Angol","Hombre","1311",1232400,NA,1475325
"222","Angol","Hombre","1316",1027000,NA,NA
"223","Angol","Hombre","2142",2054000,400000,1552941
"224","Angol","Hombre","2144",373828,NA,NA
"225","Angol","Hombre","2149",929900,900000,943478
"226","Angol","Hombre","2310",328200,1200000,168000
"227","Angol","Hombre","2331",820500,425966,716279
"228","Angol","Hombre","2352",765800,NA,1200000
"229","Angol","Hombre","2411",1818124,846753,NA
"230","Angol","Hombre","2419",326458,NA,NA
"231","Angol","Hombre","2452",1094000,NA,NA
"232","Angol","Hombre","3131",328200,NA,NA
"233","Angol","Hombre","3340",820500,440000,277083
"234","Angol","Hombre","3431",208265,NA,437946
"235","Angol","Hombre","3433",695784,NA,NA
"236","Angol","Hombre","3449",1641000,450000,NA
"237","Angol","Hombre","4131",199108,215446,402410
"238","Angol","Hombre","4142",218800,NA,280000
"239","Angol","Hombre","4211",614828,210000,144000
"240","Angol","Hombre","5162",575168,574390,640000
"241","Angol","Hombre","5163",713042,816000,NA
"242","Angol","Hombre","5220",203588,210000,248573
"243","Angol","Hombre","5230",303635,NA,294595
"244","Angol","Hombre","6111",241106,210000,261638
"245","Angol","Hombre","6112",177346,361661,NA
"246","Angol","Hombre","6113",193415,190000,NA
"247","Angol","Hombre","6121",185980,151111,NA
"248","Angol","Hombre","6141",195830,250000,241000
"249","Angol","Hombre","6142",175324,100000,120000
"250","Angol","Hombre","7124",83463,220171,270928
"251","Angol","Hombre","7129",1312800,NA,300000
"252","Angol","Hombre","7136",328200,214466,300000
"253","Angol","Hombre","7137",391019,569223,407326
"254","Angol","Hombre","7141",41080,192353,139024
"255","Angol","Hombre","7212",115970,351711,247500
"256","Angol","Hombre","7214",196920,365000,45000
"257","Angol","Hombre","7231",175436,277636,200000
"258","Angol","Hombre","7412",199108,341484,200000
"259","Angol","Hombre","7422",196920,300000,NA
"260","Angol","Hombre","8143",328200,NA,NA
"261","Angol","Hombre","8162",251620,NA,NA
"262","Angol","Hombre","8240",199108,220755,283861
"263","Angol","Hombre","8290",547000,210000,503333
"264","Angol","Hombre","8322",218212,301889,500000
"265","Angol","Hombre","8323",220434,500000,251282
"266","Angol","Hombre","8324",207207,309291,500000
"267","Angol","Hombre","8333",437600,NA,NA
"268","Angol","Hombre","9111",281059,245000,249000
"269","Angol","Hombre","9112",205400,NA,40000
"270","Angol","Hombre","9132",246508,163226,241000
"271","Angol","Hombre","9141",355550,NA,NA
"272","Angol","Hombre","9151",328200,210000,250000
"273","Angol","Hombre","9152",201401,336910,242379
"274","Angol","Hombre","9162",152967,NA,NA
"275","Angol","Hombre","9211",174809,210000,216800
"276","Angol","Hombre","9212",226458,300000,242432
"277","Angol","Hombre","9313",198508,409319,269320
"278","Angol","Hombre","9333",246480,219000,140000
"279","Angol","Hombre","9999",87520,207907,NA
"280","Angol","Mujer","1314",410800,94521,221026
"281","Angol","Mujer","2320",629050,771875,446765
"282","Angol","Mujer","2331",440882,650000,708407
"283","Angol","Mujer","2332",509804,410386,434839
"284","Angol","Mujer","2351",178322,NA,NA
"285","Angol","Mujer","2419",328200,NA,NA
"286","Angol","Mujer","2445",765800,NA,750000
"287","Angol","Mujer","2455",199108,NA,NA
"288","Angol","Mujer","3231",300149,445880,NA
"289","Angol","Mujer","3411",1312800,NA,NA
"290","Angol","Mujer","3413",382900,NA,NA
"291","Angol","Mujer","3431",329763,561446,542326
"292","Angol","Mujer","3432",263498,253261,NA
"293","Angol","Mujer","3439",185980,NA,NA
"294","Angol","Mujer","3449",1094000,NA,NA
"295","Angol","Mujer","4115",198545,500000,300000
"296","Angol","Mujer","4121",120340,600000,333000
"297","Angol","Mujer","4133",199108,NA,NA
"298","Angol","Mujer","4190",296021,300000,260118
"299","Angol","Mujer","4211",196920,242266,256667
"300","Angol","Mujer","4212",204578,NA,NA
"301","Angol","Mujer","4222",312578,395294,NA
"302","Angol","Mujer","5122",196920,210000,213587
"303","Angol","Mujer","5131",243462,100000,264247
"304","Angol","Mujer","5133",137844,90000,120000
"305","Angol","Mujer","5141",390260,100000,132000
"306","Angol","Mujer","5163",634520,NA,NA
"307","Angol","Mujer","5220",175724,210000,250000
"308","Angol","Mujer","5230",7189,156000,155000
"309","Angol","Mujer","6111",193832,NA,369444
"310","Angol","Mujer","6112",177346,210000,NA
"311","Angol","Mujer","6113",437600,150000,145110
"312","Angol","Mujer","7332",133510,NA,NA
"313","Angol","Mujer","7412",204271,NA,NA
"314","Angol","Mujer","7433",89594,154494,268475
"315","Angol","Mujer","9112",98593,27471,58961
"316","Angol","Mujer","9131",54700,140000,150000
"317","Angol","Mujer","9132",251620,252595,237317
"318","Angol","Mujer","9141",207860,NA,NA
"319","Angol","Mujer","9142",196920,NA,NA
"320","Angol","Mujer","9151",21880,NA,NA
"321","Angol","Mujer","9162",80956,NA,NA
"322","Angol","Mujer","9211",134015,210000,229024
"323","Angol","Mujer","9322",158630,193000,280000
"324","Antofagasta","Hombre","0110",480409,522079,520656
"325","Antofagasta","Hombre","1120",2625600,NA,NA
"326","Antofagasta","Hombre","1210",3172600,NA,NA
"327","Antofagasta","Hombre","1229",1130467,1704000,NA
"328","Antofagasta","Hombre","1312",1786866,1355395,814824
"329","Antofagasta","Hombre","1313",2849925,2000000,NA
"330","Antofagasta","Hombre","1314",718900,300000,450000
"331","Antofagasta","Hombre","1315",918156,546420,NA
"332","Antofagasta","Hombre","1316",866187,595775,1000000
"333","Antofagasta","Hombre","1317",1983700,2457447,NA
"334","Antofagasta","Hombre","1319",2696540,1450000,2500000
"335","Antofagasta","Hombre","2113",817461,672816,841361
"336","Antofagasta","Hombre","2114",1360870,900000,NA
"337","Antofagasta","Hombre","2131",860282,909369,2000000
"338","Antofagasta","Hombre","2139",1120683,2598455,NA
"339","Antofagasta","Hombre","2141",988652,977992,NA
"340","Antofagasta","Hombre","2142",1094000,1389919,2000000
"341","Antofagasta","Hombre","2143",1814964,1644534,NA
"342","Antofagasta","Hombre","2144",693586,NA,NA
"343","Antofagasta","Hombre","2145",1101459,977457,1908989
"344","Antofagasta","Hombre","2146",1094000,1200000,500000
"345","Antofagasta","Hombre","2147",1611097,2126515,1915966
"346","Antofagasta","Hombre","2148",422597,NA,850000
"347","Antofagasta","Hombre","2149",998979,1058118,1155051
"348","Antofagasta","Hombre","2213",703467,1800000,NA
"349","Antofagasta","Hombre","2221",911667,1230952,2000000
"350","Antofagasta","Hombre","2222",1985297,800000,NA
"351","Antofagasta","Hombre","2223",875200,NA,NA
