"","geography_level","geography_name","geography_id","year","sex","branch","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"44","provincia","Arauco","p82","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",324756,243315,"[257685, 409115]","[196920, 339711]"
"45","provincia","Arauco","p82","2011","Hombre","Intermediación Financiera",403676,403676,"[175040, 547000]","[175040, 547000]"
"46","provincia","Arauco","p82","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",542359,341875,"[331549, 807647]","[270891, 515822]"
"47","provincia","Arauco","p82","2011","Hombre","Administración Pública y Defensa",226588,186243,"[176450, 269509]","[159724, 218800]"
"48","provincia","Arauco","p82","2011","Hombre","Enseñanza",367822,441220,"[223031, 491766]","[155806, 519650]"
"49","provincia","Arauco","p82","2011","Hombre","Servicios Sociales y de Salud",395111,356616,"[304225, 521157]","[245398, 547000]"
"50","provincia","Arauco","p82","2011","Hombre","Otras Actividades de Servicios",209590,183911,"[155348, 293371]","[155348, 328200]"
"51","provincia","Arauco","p82","2011","Hombre","Servicio Doméstico",308100,308100,"[308100, 308100]","[308100, 308100]"
"52","provincia","Arauco","p82","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",173695,158986,"[112093, 260147]","[102700, 299206]"
"53","provincia","Arauco","p82","2011","Mujer","Pesca",112949,112949,"[65640, 143780]","[65640, 143780]"
"54","provincia","Arauco","p82","2011","Mujer","Industrias Manufactureras",131095,132846,"[72753, 203658]","[61620, 196920]"
"55","provincia","Arauco","p82","2011","Mujer","Comercio",168961,156012,"[133015, 214603]","[102700, 196920]"
"56","provincia","Arauco","p82","2011","Mujer","Hoteles y Restaurantes",217295,193637,"[137585, 321302]","[135656, 246480]"
"57","provincia","Arauco","p82","2011","Mujer","Transporte, Almacenamiento y Comunicaciones",54700,54700,"[54700, 54700]","[54700, 54700]"
"58","provincia","Arauco","p82","2011","Mujer","Intermediación Financiera",765800,765800,"[765800, 765800]","[765800, 765800]"
"59","provincia","Arauco","p82","2011","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",406719,183972,"[125254, 790299]","[80956, 698708]"
"60","provincia","Arauco","p82","2011","Mujer","Administración Pública y Defensa",172822,160303,"[148386, 205460]","[143609, 196920]"
"61","provincia","Arauco","p82","2011","Mujer","Enseñanza",295638,196920,"[217158, 380721]","[155445, 389260]"
"62","provincia","Arauco","p82","2011","Mujer","Servicios Sociales y de Salud",315346,306320,"[275363, 369245]","[282739, 332302]"
"63","provincia","Arauco","p82","2011","Mujer","Otras Actividades de Servicios",191944,153160,"[130432, 337789]","[131207, 370432]"
"64","provincia","Arauco","p82","2011","Mujer","Servicio Doméstico",89932,87520,"[75692, 101669]","[65640, 109400]"
"65","provincia","Arauco","p82","2011","Mujer","Organizaciones y Órganos Extraterritoriales",161912,161912,"[161912, 161912]","[161912, 161912]"
"66","provincia","Arica","p151","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",329345,199108,"[245567, 521352]","[185980, 289067]"
"67","provincia","Arica","p151","2011","Hombre","Pesca",439686,328627,"[346858, 536387]","[239078, 435405]"
