"","geography_level","geography_name","geography_id","year","sexo","rama","mean_income","median_income","ci_mean_income","ci_median_income"
"47","pais","País","pais","2013","Hombre","Enseñanza",573742,450000,"[554076, 604497]","[411900, 489141]"
"48","pais","País","pais","2013","Hombre","Servicios Sociales y de Salud",727280,4e+05,"[677572, 791884]","[4e+05, 440500]"
"49","pais","País","pais","2013","Hombre","Servicios Comunitarios, Sociales y Personales",356574,250000,"[330350, 374811]","[236588, 250000]"
"50","pais","País","pais","2013","Hombre","Servicio Doméstico",227750,210000,"[218232, 239963]","[210000, 210000]"
"51","pais","País","pais","2013","Hombre","Organizaciones y órganos Extraterritoriales",398851,390000,"[299052, 493892]","[265403, 550000]"
"52","pais","País","pais","2013","Mujer","Agricultura, Ganadería, Caza y Silvicultura",208777,2e+05,"[193798, 229977]","[2e+05, 200959]"
"53","pais","País","pais","2013","Mujer","Pesca",215605,202500,"[193656, 246592]","[192912, 210000]"
"54","pais","País","pais","2013","Mujer","Explotación de Minas y Canteras",560353,350000,"[486158, 647320]","[330000, 362625]"
"55","pais","País","pais","2013","Mujer","Industrias Manufactureras",236389,210000,"[225798, 245826]","[2e+05, 210000]"
"56","pais","País","pais","2013","Mujer","Electricidad, Gas y Agua",353145,242500,"[282210, 424486]","[210000, 254042]"
"57","pais","País","pais","2013","Mujer","Construcción",392489,280000,"[359158, 432603]","[250000, 3e+05]"
"58","pais","País","pais","2013","Mujer","Comercio",225424,2e+05,"[221010, 230515]","[2e+05, 2e+05]"
"59","pais","País","pais","2013","Mujer","Hoteles y Restaurantes",237669,210000,"[229059, 244202]","[210000, 210000]"
"60","pais","País","pais","2013","Mujer","Transporte, Almacenamiento y Comunicaciones",343333,250000,"[321298, 360300]","[250000, 268927]"
"61","pais","País","pais","2013","Mujer","Intermediación Financiera",626359,409000,"[559188, 697545]","[4e+05, 455113]"
"62","pais","País","pais","2013","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",456521,280000,"[428194, 490990]","[260000, 3e+05]"
"63","pais","País","pais","2013","Mujer","Administración Pública y Defensa",499282,380000,"[480147, 522430]","[359353, 4e+05]"
"64","pais","País","pais","2013","Mujer","Enseñanza",411637,3e+05,"[403810, 419343]","[3e+05, 320000]"
"65","pais","País","pais","2013","Mujer","Servicios Sociales y de Salud",460445,304000,"[447795, 477138]","[3e+05, 320000]"
"66","pais","País","pais","2013","Mujer","Servicios Comunitarios, Sociales y Personales",279722,210000,"[263448, 294366]","[210000, 210000]"
"67","pais","País","pais","2013","Mujer","Servicio Doméstico",158338,150000,"[155748, 161222]","[150000, 160000]"
"68","pais","País","pais","2013","Mujer","Organizaciones y órganos Extraterritoriales",615794,240000,"[344353, 953472]","[195900, 5e+05]"
"69","pais","País","pais","2015","Hombre","Agricultura, Ganadería, Caza y Silvicultura",293506,241000,"[284902, 300280]","[241000, 241000]"
"70","pais","País","pais","2015","Hombre","Pesca",351072,260000,"[330302, 369134]","[250000, 287875]"
"71","pais","País","pais","2015","Hombre","Explotación de Minas y Canteras",762099,6e+05,"[739332, 783175]","[550000, 6e+05]"
"72","pais","País","pais","2015","Hombre","Industrias Manufactureras",422215,3e+05,"[413411, 432069]","[3e+05, 3e+05]"
"73","pais","País","pais","2015","Hombre","Electricidad, Gas y Agua",585884,4e+05,"[534411, 638292]","[370000, 4e+05]"
"74","pais","País","pais","2015","Hombre","Construcción",413398,3e+05,"[406074, 422584]","[3e+05, 3e+05]"
"75","pais","País","pais","2015","Hombre","Comercio",394732,290000,"[384783, 402483]","[280000, 3e+05]"
"76","pais","País","pais","2015","Hombre","Hoteles y Restaurantes",387223,280000,"[365461, 403572]","[263950, 3e+05]"
"77","pais","País","pais","2015","Hombre","Transporte, Almacenamiento y Comunicaciones",464353,350000,"[451614, 476027]","[350000, 350000]"
"78","pais","País","pais","2015","Hombre","Intermediación Financiera",1044147,686756,"[970927, 1132250]","[6e+05, 7e+05]"
"79","pais","País","pais","2015","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",867481,5e+05,"[835280, 905437]","[479519, 5e+05]"
"80","pais","País","pais","2015","Hombre","Administración Pública y Defensa",690488,5e+05,"[670059, 709681]","[5e+05, 530000]"
"81","pais","País","pais","2015","Hombre","Enseñanza",671154,5e+05,"[644835, 708468]","[5e+05, 5e+05]"
"82","pais","País","pais","2015","Hombre","Servicios Sociales y de Salud",866710,480000,"[818467, 918208]","[450000, 5e+05]"
"83","pais","País","pais","2015","Hombre","Servicios Comunitarios, Sociales y Personales",435891,3e+05,"[403710, 471620]","[3e+05, 3e+05]"
"84","pais","País","pais","2015","Hombre","Servicio Doméstico",249997,250000,"[240217, 258451]","[241000, 250000]"
"85","pais","País","pais","2015","Hombre","Organizaciones y órganos Extraterritoriales",2454098,1822500,"[1205446, 3842214]","[1080489, 4020625]"
"86","pais","País","pais","2015","Mujer","Agricultura, Ganadería, Caza y Silvicultura",241371,240000,"[234375, 251509]","[240000, 240000]"
"87","pais","País","pais","2015","Mujer","Pesca",297430,250000,"[267939, 319067]","[241000, 255250]"
"88","pais","País","pais","2015","Mujer","Explotación de Minas y Canteras",721955,450000,"[655328, 787926]","[4e+05, 5e+05]"
"89","pais","País","pais","2015","Mujer","Industrias Manufactureras",291027,241000,"[281269, 303391]","[240000, 241000]"
"90","pais","País","pais","2015","Mujer","Electricidad, Gas y Agua",494564,3e+05,"[424549, 562680]","[274750, 350000]"
"91","pais","País","pais","2015","Mujer","Construcción",529024,350000,"[481364, 573401]","[334275, 380000]"
"92","pais","País","pais","2015","Mujer","Comercio",263654,240000,"[258031, 269839]","[240000, 240000]"
"93","pais","País","pais","2015","Mujer","Hoteles y Restaurantes",270837,241000,"[262071, 279943]","[240000, 241000]"
"94","pais","País","pais","2015","Mujer","Transporte, Almacenamiento y Comunicaciones",407312,3e+05,"[386269, 430127]","[3e+05, 3e+05]"
"95","pais","País","pais","2015","Mujer","Intermediación Financiera",705781,5e+05,"[660927, 747185]","[485392, 5e+05]"
"96","pais","País","pais","2015","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",557191,350000,"[529291, 589168]","[320000, 350000]"
"97","pais","País","pais","2015","Mujer","Administración Pública y Defensa",591150,450000,"[566858, 613959]","[403597, 470000]"
"98","pais","País","pais","2015","Mujer","Enseñanza",464622,350000,"[455381, 473789]","[350000, 377625]"
"99","pais","País","pais","2015","Mujer","Servicios Sociales y de Salud",527268,360000,"[509380, 541066]","[350000, 380000]"
"100","pais","País","pais","2015","Mujer","Servicios Comunitarios, Sociales y Personales",325913,250000,"[309676, 342444]","[243950, 250000]"
"101","pais","País","pais","2015","Mujer","Servicio Doméstico",191220,180000,"[188166, 194898]","[180000, 190000]"
"102","pais","País","pais","2015","Mujer","Organizaciones y órganos Extraterritoriales",929273,850000,"[622909, 1310900]","[250000, 1600000]"
