V1
37001 Antropología (1)
37004 Trabajo Social (1)
37041 Ciencia Política (1)
37042 Sociología (1)
37061 Psicología (1)
37062 Administración Pública (1)
37091 Arqueología (1)
FACULTAD ARTES Y HUMANIDADES
37005 Licenciatura en Artes Visuales (1)
37035 Traducción Ingles - Español (1)
37051 Diseño Industrial (1)
37052 Diseño Gráfico (1)
37092 Arquitectura (1)
FACULTAD DE INGENIERÍA
37013 Ingeniería Civil Ambiental
37018 Ingeniería Civil en Informática
37019 Ingeniería Civil Industrial
37020 Ingeniería Comercial (1)
37053 Ingeniería Civil Química
37054 Ingeniería Civil Plan Común (2)
37055 Contador Auditor (1)
37056 Ingeniería Civil en Obras Civiles
37058 Ingeniería Civil Geológica
FACULTAD DE EDUCACIÓN
Pedagogía en Educación Básica con Mención
37022
(1) (3) (7)
37023 Educación de Párvulos (1) (7)
37024 Pedagogía Media Cc.nn. y Biología (1) (7)
37026 Pedagogía  en Ingles (1) (7)
Ped Ed Diferencial con Esp. en  N.e.e.t.  y
37027
Def. Mental (1) (4) (7)
37029 Pedagogía Media en Matemática (1) (7)
Ped en Educación Básica Intercultural en
37045
Contexto Mapuche (1) (7)
Pedagogía en Lengua Castellana y
37046
Comunicación (1) (7)
"Pedagogía en Historia, Geografía y Ciencias"
37047
Sociales (1) (7)
37048 Pedagogía en Educación Física (1) (5) (7)
Pedagogía en Religión y Orientación
37094
Educacional (7)(8)
FACULTAD CIENCIAS JURÍDICAS
37040 Derecho
FACULTAD RECURSOS NATURALES
37011 Medicina Veterinaria (1)
37049 Geografía (1)
Ingeniería en Recursos Naturales
37050
Renovables (1)
37069 Geología
Ingeniería en Prevención de Riesgos y
37063
Medio Ambiente (1)
37014 Agronomía (1)
ESCUELA DE SALUD
37064 Kinesiología
37065 Fonoaudiología (5)
37066 Terapia Ocupacional (1)
37067 Nutrición y Dietética
37068 Tecnología Médica (5) (6)
FACULTAD TÉCNICA
Técnico Universitario en Administración de
37081
Empresas (1)
Técnico Universitario en Preparación
37082
Física (1)
Técnico Universitario en Educación
37083
Parvularia (1)
37084 Técnico Universitario en Turismo (1)
Técnico Universitario en Producción
37085
Agropecuaria (1)
37086 Técnico Universitario en Acuicultura (1)
Técnico Universitario en Topografía y
37087
Geomensura (1)
Técnico Universitario en Redes y
37088
Telecomunicaciones (1)
Técnico Universitario en Construcción y
37093
Obras Civiles (1)
VICERRECTORÍA ACADÉMICA
37090 Bachiller en Ciencias y Humanidades (1)
