V1
19020 Arquitectura
19022 Diseño
19024 Cine
19027 Gestión en Turismo y Cultura
19028 Teatro (requiere Prueba Especial)
FACULTAD DE CIENCIAS
19070 Licenciatura en Matemáticas
19072 Ingeniería en Estadística
"Licenciatura en Ciencias, Mención en"
19075
Biología o en Química
"Licenciatura en Física, Mención Astronomía"
19078 o Ciencias Atmosférica o Computación
Científica
FACULTAD DE CIENCIAS DEL MAR Y RECURSO
19080 Biología Marina
FACULTAD DE CIENCIAS ECONÓMICAS Y ADM
Ingeniería Comercial
19060
19062 Auditoría-Diurno
19068 Administración Pública
19069 Auditoria-Vespertino
Ingeniería en Información y Control de
19083
Gestión
19086 Administración Hotelera y Gastronómica
19088 Ingeniería en Negocios Internacionales
FACULTAD DE DERECHO Y CIENCIAS SOCIALE
19030 Derecho
19031 Trabajo Social
FACULTAD DE FARMACIA
19090 Química y Farmacia
19091 Nutrición y Dietética
FACULTAD DE HUMANIDADES
19010 Pedagogía en Filosofía
19011 Pedagogía en Historia y Ciencias Sociales
19012 Sociología
19015 Pedagogía en Música
FACULTAD DE INGENIERÍA
19018 Ingeniería Civil Ambiental
19019 Ingeniería Civil Matemática
19021 Ingeniería Civil
19026 Ingeniería en Construcción
19052 Ingeniería Civil Industrial
19074 Ingeniería Ambiental
19076 Ingeniería Civil Biomédica
19081 Ingeniería Civil Oceánica
19085 Ingeniería Civil Informática
19037 Educación Parvularia
19040 Medicina
19041 Enfermería
19043 Kinesiología
19045 Psicología
19046 Fonoaudiología
19047 Obstetricia y Puericultura
19049 Tecnología Médica
FACULTAD DE ODONTOLOGÍA
19050 Odontología
19036 Obstetricia y Puericultura
19039 Medicina
19042 Enfermería
19044 Fonoaudiología
19048 Tecnología Médica
19005 Administración Pública
19089 Ingeniería en Negocios Internacionales
19093 Auditoría
19094 Ingeniería Civil Industrial
19095 Ingeniería Comercial
